research_paper_id,year,author_id,author,last_name,similar_surname,predicted_ethnicity
13,2000,1,"Papageorgiou, Constantine P.",Papageorgiou,PAPAGEORGIOU,White
15,2000,2,"Evgeniou, Theodoros",Evgeniou,NIOUS,Black
15,2000,3,"Pontil, Massimiliano",Pontil,PONTILLO,Hispanic
55,2001,4,"Sezgin, Tevfik Metin",Sezgin,SEZER,White
56,2001,5,"Banks, Jessica",Banks,BANKS,Black
57,2001,6,"Ucko, Aaron Mark",Ucko,BUCKO,White
60,2001,7,"Ho, Purdy",Ho,HO,API
61,2001,8,"Nagpal, Radhika",Nagpal,NAGPAL,API
63,2001,9,"Alvira, Mariano",Alvira,ALVIRA,Hispanic
63,2001,10,"Paris, Jim",Paris,PARIS,Hispanic
63,2001,11,"Rifkin, Ryan",Rifkin,RIFKIN,White
64,2001,12,"Chan, Nicholas T.",Chan,CHAN,API
64,2001,13,"Dahan, Ely",Dahan,DAHAN,White
64,2001,14,"Lo, Andrew W.",Lo,LO,API
64,2001,15,"Poggio, Tomaso",Poggio,POGGIO,White
65,2001,16,"Russell, Richard",Russell,RUSSELL,White
65,2001,17,"Sinha, Pawan",Sinha,SINHA,API
66,2001,18,"Torralba, Antonio",Torralba,TORRALBA,Hispanic
66,2001,17,"Sinha, Pawan",Sinha,SINHA,API
69,2001,19,"Zollei, Lilla",Zollei,ZOLLER,White
70,2001,20,"Shelton, Christian Robert",Shelton,SHELTON,White
71,2001,17,"Sinha, Pawan",Sinha,SINHA,API
71,2001,18,"Torralba, Antonio",Torralba,TORRALBA,Hispanic
72,2001,21,"Beal, Jacob",Beal,BEAL,White
73,2001,22,"Yeo, Gene",Yeo,YEO,API
73,2001,15,"Poggio, Tomaso",Poggio,POGGIO,White
77,2001,23,"Rennie, Jason D. M.",Rennie,RENNIE,White
78,2001,24,"Hong, Won",Hong,HONG,API
79,2001,25,"Bryson, Joanna J.",Bryson,BRYSON,White
80,2001,18,"Torralba, Antonio",Torralba,TORRALBA,Hispanic
80,2001,17,"Sinha, Pawan",Sinha,SINHA,API
81,2001,26,"Dror, Ron O.",Dror,DROR,White
81,2001,27,"Adelson, Edward H.",Adelson,ADELSON,White
81,2001,28,"Willsky, Alan S.",Willsky,WILLS,White
82,2001,29,"Lee, Lily",Lee,LEE,API
83,2001,30,"Miller, Erik G.",Miller,MILLER,White
83,2001,31,"Tieu, Kinh",Tieu,TIEU,API
83,2001,32,"Stauffer, Chris P.",Stauffer,STAUFFER,White
84,2001,33,"Yu, Angela J.",Yu,YU,API
84,2001,34,"Giese, Martin A.",Giese,GIESE,White
84,2001,35,"Poggio, Tomaso A.",Poggio,POGGIO,White
85,2001,36,"Taycher, Leonid",Taycher,TAYCO,Two or More Races
85,2001,37,"Darrell, Trevor",Darrell,DARRELL,White
86,2001,38,"Arkoudas, Konstantine",Arkoudas,MARKOU,White
87,2001,38,"Arkoudas, Konstantine",Arkoudas,MARKOU,White
88,2001,23,"Rennie, Jason D. M.",Rennie,RENNIE,White
88,2001,11,"Rifkin, Ryan",Rifkin,RIFKIN,White
89,2001,39,"Fleming, Roland W.",Fleming,FLEMING,White
89,2001,26,"Dror, Ron O.",Dror,DROR,White
89,2001,27,"Adelson, Edward H.",Adelson,ADELSON,White
90,2001,26,"Dror, Ron O.",Dror,DROR,White
90,2001,40,"Edward H. Adelson,",Edward H. Adelson,EDWARD,API
90,2001,28,"Willsky, Alan S.",Willsky,WILLS,White
92,2001,41,"Ostrovsky, Yuri",Ostrovsky,OSTROVSKY,White
92,2001,42,"Cavanagh, Patrick",Cavanagh,CAVANAGH,White
92,2001,17,"Sinha, Pawan",Sinha,SINHA,API
93,2001,18,"Torralba, Antonio",Torralba,TORRALBA,Hispanic
93,2001,17,"Sinha, Pawan",Sinha,SINHA,API
94,2001,43,"Corduneanu, Adrian",Corduneanu,ORDUNEZ,Hispanic
94,2001,44,"Jaakkola, Tommi",Jaakkola,LAAKKONEN,White
95,2001,38,"Arkoudas, Konstantine",Arkoudas,MARKOU,White
98,2001,18,"Torralba, Antonio",Torralba,TORRALBA,Hispanic
98,2001,45,"Oliva, Aude",Oliva,OLIVA,Hispanic
99,2001,46,"Riesenhuber, Maximilian",Riesenhuber,KASTENHUBER,White
100,2001,47,"Yip, Andrew",Yip,YIP,API
100,2001,17,"Sinha, Pawan",Sinha,SINHA,API
103,2002,21,"Beal, Jacob",Beal,BEAL,White
104,2002,37,"Darrell, Trevor",Darrell,DARRELL,White
104,2002,48,"Checka, Neal",Checka,CHECK,White
104,2002,49,"Oh, Alice",Oh,OH,API
104,2002,50,"Morency, Louis-Philippe",Morency,MORENCY,White
105,2002,51,"Freeman, William T.",Freeman,FREEMAN,White
105,2002,52,"Zhang, Hao",Zhang,ZHANG,API
118,2002,15,"Poggio, Tomaso",Poggio,POGGIO,White
118,2002,11,"Rifkin, Ryan",Rifkin,RIFKIN,White
118,2002,53,"Mukherjee, Sayan",Mukherjee,MUKHERJEE,API
118,2002,54,"Rakhlin, Alex",Rakhlin,NAKHLE,White
120,2002,55,"Knoblich, Ulf",Knoblich,KNOBLICH,White
120,2002,56,"Riesenhuber, Maximilan",Riesenhuber,KASTENHUBER,White
121,2002,57,"Sullivan, Gregory T.",Sullivan,SULLIVAN,White
