dc.contributor.advisor,dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.description.abstract,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.other,dc.description.sponsorship,dc.rights,dc.rights.uri,dc.description,dc.identifier.citation,dc.contributor,dc.relation.isversionof,dc.description.degree,dc.relation.isreplacedby,dc.relation.uri,dc.relation.replaces,dc.relation,dc.date.updated,dc.identifier,dc.relation.isreferencedby,dc.contributor.department,dc.type,dspace.orderedauthors,dc.date.submitted,dc.contributor.editor,dc.coverage.spatial,dc.coverage.temporal,eprint.grantNumber,dc.relation.requires,dc.language.rfc3066,dc.publisher,dc.relation.haspart,dc.identifier.oclc
"Szolovits, Peter","Tsien, Christine L.",2023-03-29T15:33:14Z,2023-03-29T15:33:14Z,2000,https://hdl.handle.net/1721.1/149913,MIT-LCS-TR-809,TrendFinder: Automated Detection of Alarmable Trends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Micali, Silvio",2023-03-29T14:40:47Z,2023-03-29T14:40:47Z,2000,https://hdl.handle.net/1721.1/149277,MIT-LCS-TM-577,Copmutationally Sound Proofs,"This paper puts forward a new notion of a proof based on computational complexity and explores its implications for computation at large. Computationally sound proofs provide, in a novel and meaningful framework, answer to old and new questions in complexity theory. In particular, given a random oracle or a new complexity assumption, they enable us to 1. prove that verifying is easier than deciding for all theorems; 2. provides a quite effective way to prove membership in computationally hard languages (such as C-NP-complete ones); and 3. show that every computation possesses a short certificate vouching its correctness. FInally, if a special type of computationally sound proof exists, we show that Blum's notion of program checking can be meaningfully broadened so as to prove that NP-complete languages are checkable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bar-Joseph, Ziv; Keidar, Idit; Anker, Tal; Lynch, Nancy A.",2023-03-29T15:32:34Z,2023-03-29T15:32:34Z,2000-01,https://hdl.handle.net/1721.1/149906,MIT-LCS-TR-796,QoS Preserving Totally Ordered Multicast,This paper studies the Quality of Service (QoS) guarantees of totally ordered multicast algorithms. The paper shows that totally ordered multicast can coexist with guaranteed predictable delays in certain network models. The paper considers two reservatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amarasinghe, Saman; Agarwal, Anant","Barua, Rajeev",2023-03-29T15:32:37Z,2023-03-29T15:32:37Z,2000-01,https://hdl.handle.net/1721.1/149907,MIT-LCS-TR-799,Maps:  A Compiler-Managed Memory System for Software-Exposed Architectures,"Microprocessors must exploit both instruction-level parallelism (ILP) and memory parallelism for high performance.  Sophisticated techniques for ILP have boosted the ability of modern-day microprocessors to exploit ILP when available. Unfortunately, impro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Katabi, Dina; Bazzi, Issam; Yang, Xiaowei",2023-03-29T14:41:46Z,2023-03-29T14:41:46Z,2000-03,https://hdl.handle.net/1721.1/149295,MIT-LCS-TM-604,An Information Theoretic Approach for Shared Bottleneck Inference Based on End-to-end Measurements,"Recent years have marked a growing interest in studying Internet path characteristics. However, most of the currently available tools to an end system to perform such measurements are slow inaccurate and generate an excessive amount of probing traffic. This paper introduces entropy as a novel and efficient metric for discovering Internet path characteristics based on data collected by an end system. In particular, the paper presents an entropy-based technique that enables an end system to cluster flows it receives according to their shared bottleneck. Our mechanism relies solely on information extracted from the packets' inter-arrivals at the receiver. It does not generate any probing traffic and can use data extracted from both TCP and UDP flows. Moreover, it requires only a small number of packets from each flow, which makes it useful for short-lived flows. We report the result of running the algorithm on simulated data and Internet traffic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bruering, Derek; Devabhaktuni, Srikrishna; Amarasinghe, Saman",2023-03-29T14:41:50Z,2023-03-29T14:41:50Z,2000-04,https://hdl.handle.net/1721.1/149296,MIT-LCS-TM-606,Softspec:  Software-based Speculative Parallelism,"We present Softspec, a technique for parallelizing sequential applications using only simple software mechanisms, requiring no complex program analysis or hardware support.  Softspec parallelizes loops whose memory references are stride-predictable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Taylor, Michael Bedford; Lee, Walter; Frank, Matthew; Amarasinghe, Saman; Agarwal, Anant",2023-03-29T14:42:44Z,2023-03-29T14:42:44Z,2000-04,https://hdl.handle.net/1721.1/149317,MIT-LCS-TM-628,How to Build Scalable On-Chip ILP Networks for a Decentralized Architecture,"The era of billion transistors-on-a-chip is creating a completely different set of design constraints, forcing radically new microprocessor archiecture designs. This paper examines a few of the possible microarchitectures that are capable of obtaining scalable ILP performance. First, we observe that the network that interconnects the processing elements is the critical design point in the microarchitecture. Next, we characterize four fundamental properties that have to be satisfied by the interconnection network. Next, we provide case studies of two different networks that satisfy these properties. Finally, a detailed evaluation of these networks is presented to highlight the scalability and performance of these microarchitectures. We show that by using compile time information, we can build simpler networks and use them efficiently.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bansal, Deepak; Balakrishnan, Hari",2023-03-29T15:33:06Z,2023-03-29T15:33:06Z,2000-05,https://hdl.handle.net/1721.1/149910,MIT-LCS-TR-806,TCP-friendly Congestion Control for Real-time Streaming Applications,"This paper introduces and analyzes a class of nonlinear congestion control algorithms called binomial algorithms, motivated in part by the needs of streaming audio and video applications for which a drastic reduction in transmission rate upon congestion i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bruening, Derek; Chapin, John",2023-03-29T14:41:53Z,2023-03-29T14:41:53Z,2000-05,https://hdl.handle.net/1721.1/149297,MIT-LCS-TM-607,Systematic Testing of Multithreaded Programs,"We present a practical testing algorithm called ExitBlock that systematically and deterministically finds program errors resulting from unintended timing dependencies.  ExitBlock executes a program or a portion of a program on a given input multiple times, enumerating meaningful schedules in order to cover all program behaviors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Heinz, Ernst",2023-03-29T14:41:55Z,2023-03-29T14:41:55Z,2000-05,https://hdl.handle.net/1721.1/149298,MIT-LCS-TM-608,A New Self-Play Experiment in Computer Chess,"This paper presents the results of a new self-play experiment in computer chess. It is the _x000C_rst such experiment ever to feature search depths beyond 9 plies and thousands of games for every single match. Overall, we executed 17,150 self-play games (1,050{3,000 per match) in one \\calibration"" match and seven \\depth X+1 , X"" handicap matches at _x000C_xed iteration depths ranging from 5{12 plies. For the experiment to be realistic and independently repeatable, we relied on a state-of-the-art commercial contestant: Fritz 6 , one of the strongest modern chess pro- grams available. The main result of our new experimentis thatit shows the existence of diminishing returns for additional search in computer chess self-play by Fritz 6 with 95% statistical con_x000C_dence. The dimin- ishing returns manifest themselves by declining rates of won games and reversely increasing rates of drawn games for the deeper searching pro- gram versions. The rate of lost games, however, remains quite steady for the whole depth range of 5{12 plies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Andersen, David; Bansal, Deccuk; Curtis, Dorothy; Seshan, Srinivasan; Balakrishnan, Hari",2023-03-29T15:33:11Z,2023-03-29T15:33:11Z,2000-05,https://hdl.handle.net/1721.1/149912,MIT-LCS-TR-808,System Support for Bandwidth Management and Content Adaptation in Internet Applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
