dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.relation.ispartofseries,dc.title,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.advisor
"Donovan, Alan; Ernst, Michael D.",2023-03-29T15:37:03Z,2023-03-29T15:37:03Z,2003-03,https://hdl.handle.net/1721.1/149981,"Future versions of Java will include support for parametric polymorphism, or generic classes.  This will bring many benefits to Java programmers, not least because current Java practise makes heavy use of pseudo-generic classes.  Such classes (for example, those in package java.util) have logically generic specifications and documentation, but the type system cannot prove their patterns of use to be safe.   This work aims to solve the problem of automatic translation of Java source code into Generic Java (GJ) source code.  We present two algorithms that together can be used to translate automatically a Java source program into a semantically-equivalent GJ program with generic types.   The first algorithm infers a candidate generalisation for any class, based on the methods of that class in isolation.  The second algorithm analyses the whole program; it determines a precise parametric type for every value in the program.  Optionally, it also refines the generalisations produced by the first analysis as required by the patterns of use of those classes in client code.",MIT-LCS-TR-889,Inference of Generic Types in Java,,,,,,
"Zhao, Jianjun; Rinard, Martin",2023-03-29T15:37:09Z,2023-03-29T15:37:09Z,2003-03,https://hdl.handle.net/1721.1/149983,"We extend previous dependence-based representations called system dependence graphs (SDGs) to represent aspect-oriented programs and present an SDG construction algorithm. This algorithm first constructs a module dependence graph (MDG) for each piece of advice, introduction, and method in aspects and classes. It then uses existing techniques to connect the MDGs at call sites to form a partial SDG. Finally, it weaves the MDG for each piece of advice into the partial SDG for those methods whose behavior may be affected by the advice. The result is the complete SDG. Our SDGs capture the additional structure present in many aspect-oriented features such as join points, advice, introduction, aspects, and aspect inheritance, and various types of interactions between aspects and classes. They also correctly reflect the semantics of aspect-oriented concepts such as advice precedence, introduction scope, and aspect weaving. SDGs therefore provide a solid foundation for the further analysis of aspect-oriented programs.",MIT-LCS-TR-891,System Dependence Graph Construction for Aspect-Oriented Programs,,,,,,
"Chen, Benjie; Gil, Thomer M.; Muthitacharoen, Athicha; Morris, Robert T.",2023-03-29T15:37:00Z,2023-03-29T15:37:00Z,2003-03,https://hdl.handle.net/1721.1/149980,"L* is a technique for building multi-user distributed data structures out of untrusted peer-to-peer distributed hash tables (DHTs). L* uses multiple logs, one log per participant, to store changes to the data structure. Each participant finds data by consulting all logs, but performs modifications by appending only to its own log. This dencentralized structure allows L* to maintain meta-data consistency without locking and to isolate users' changes from each other, an appropriate arrangement for unreliable users. Applications use L* to maintain consistent data structures. L* interleaves multiple logs deterministically so that decentralized clients can agree on the order of completed operations, even if those operations where issued concurrently. When the data structure is quiescent, L* guarantees that clients agree on the state of the data structure. L* optionally provides mutual exclusion for applications that need to ensure atomicity for multi-step operations. The Ivy file system, built on top of L*, demonstrates that L*'s consistency guarantees are useful and can be used and implemented efficiently.",MIT-LCS-TR-888,Building Data Structures on Untrusted Peer-to-Peer Storage with Per-participant Logs,,,,,,
"Gilbert, Seth; Lynch, Nancy A.; Shvartsman, Alexander A.",2023-03-29T15:37:05Z,2023-03-29T15:37:05Z,2003-03,https://hdl.handle.net/1721.1/149982,"Future civilian rescue and military operations will depend on a complex system of communicating devices that can operate in highly dynamic environments. In order to present a consistent view of a complex world, these devices will need to maintain data objects with atomic (linearizable) read/write semantics.",MIT-LCS-TR-890,RAMBO II: Rapidly Reconfigurable Atomic Memory for Dynamic Networks,,,,,,
"Henry, Hoffman; Strumpen, Volker; Agarwal, Anant",2023-03-29T14:43:07Z,2023-03-29T14:43:07Z,2003-03,https://hdl.handle.net/1721.1/149323,"Wire-exposed, programmable microarchitectures including Trips [11]], Smart Memories [8], and Raw [13] offer an opportunity to schedule instruction execution and data movement explicitly. This paper proposes stream algorithms, which, along with a decoupled systolic architecture, provide an excellent match for the physical and technological constraints of single-chip tiles architectures. Stream algorithms enable programmed systolic computations for different problem sizes, without incurring the cost of memory accesses. To that end, we decouple memory accesses from computation and move the memory accesses off the critical path. By structuring computations in systolic phases, and deferring memory accesses to dedicated memory processors, stream algorithms can solve many regular problems with varying sizes on a constant-sized tiled array. Contrary to common sense, the compute efficiency of stream algorithms increases as we increase the number of processing elements. In particular, we show that the compute efficiency of stream algorithms can approach 100% asymptotically, that is for large numbers of processors and appropriate problem size.",MIT-LCS-TM-636,Stream Algorithms and Architecture,,,,,,
"Jarudi, Izzat N.; Sinha, Pawan",2004-10-20T21:05:07Z,2004-10-20T21:05:07Z,2003-03-01,http://hdl.handle.net/1721.1/7274,"The central challenge in face recognition lies in  understanding the role different facial features play in  our judgments of identity. Notable in this regard are the  relative contributions of the internal (eyes, nose and  mouth) and external (hair and jaw-line) features. Past  studies that have investigated this issue have typically  used high-resolution images or good-quality line  drawings as facial stimuli. The results obtained are  therefore most relevant for understanding the  identification of faces at close range. However, given  that real-world viewing conditions are rarely optimal, it  is also important to know how image degradations,  such as loss of resolution caused by large viewing  distances, influence our ability to use internal and  external features. Here, we report experiments  designed to address this issue. Our data characterize  how the relative contributions of internal and external  features change as a function of image resolution.  While we replicated results of previous studies that  have shown internal features of familiar faces to be  more useful for recognition than external features at  high resolution, we found that the two feature sets  reverse in importance as resolution decreases. These  results suggest that the visual system uses a highly  non-linear cue-fusion strategy in combining internal  and external features along the dimension of image  resolution and that the configural cues that relate the  two feature sets play an important role in judgments of  facial identity.",AIM-2003-004; CBCL-225,Relative Contributions of Internal and External Features to Face Recognition,AIM-2003-004; CBCL-225,12 p.; 1448956 bytes; 677551 bytes,application/postscript; application/pdf,en_US,AI; Face recognition; features; low resolution; degraded images,
"Beal, Jacob",2004-10-08T20:38:43Z,2004-10-08T20:38:43Z,2003-03-17,http://hdl.handle.net/1721.1/6710,"In a Communication Bootstrapping system, peer  components with different perceptual worlds invent symbols and syntax  based on correlations between their percepts. I propose that  Communication Bootstrapping can also be used to acquire functional  definitions of words and causal reasoning knowledge. I illustrate this  point with several examples, then sketch the architecture of a  system in progress which attempts to execute this task.",AIM-2003-007,Leveraging Learning and Language Via Communication Bootstrapping,AIM-2003-007,13 p.; 2403922 bytes; 651138 bytes,application/postscript; application/pdf,en_US,AI,
"Torralba, Antonio; Murphy, Kevin P.; Freeman, William T.; Rubin, Mark A.",2004-10-08T20:38:46Z,2004-10-08T20:38:46Z,2003-03-19,http://hdl.handle.net/1721.1/6711,"While navigating in an environment, a vision system  has to be able to recognize where it is and what the  main objects in the scene are. In this paper we present  a context-based vision system for place and object  recognition. The goal is to identify familiar locations  (e.g., office 610, conference room 941, Main Street), to  categorize new environments (office, corridor, street)  and to use that information to provide contextual priors  for object recognition (e.g., table, chair, car, computer). We present a low-dimensional global image representation that provides  relevant information for place recognition and  categorization, and how such contextual information  introduces strong priors that simplify object recognition.  We have trained the system to recognize over 60  locations (indoors and outdoors) and to suggest the  presence and locations of more than 20 different object  types. The algorithm has been integrated into a mobile system that provides real-time feedback to the  user.",AIM-2003-005,Context-Based Vision System for Place and Object Recognition,AIM-2003-005,9 p.; 7141251 bytes; 2104025 bytes,application/postscript; application/pdf,en_US,AI; context-based vision; place recognition; object recognition,
"Li, Ji; Liu, Haiyang; Sollins, Karen",2023-03-29T14:43:10Z,2023-03-29T14:43:10Z,2003-04,https://hdl.handle.net/1721.1/149324,"Packet classification is a central function for a number of network applications, such as routing and firewalls. Most existing algorithms for packet classification scale poorly in either time or space when the database size grows. The scalable algorithm Aggregated Bit Vector (ABV) is an improvement on the Lucent bit vector scheme (BV), but has some limitations. Our algorithm, Aggregated and Folded Bit Vector (AFBV), seeks to reduce false matches while keeping the benefits of bit vector aggregation and avoiding rule rearrangement. It combines bit vector aggregation and folding to achieve this goal. Experiments showed that our algorithm outperforms both the BV and ABV schemes in synthetically generated databases.",MIT-LCS-TM-637,Scalable Packet Classification Using Bit Vector Aggregating and Folding,,,,,,
"Priyantha, Nissanka B.; Balakrishnan, Hari; Demaine, Erik; Teller, Seth",2023-03-29T15:37:11Z,2023-03-29T15:37:11Z,2003-04,https://hdl.handle.net/1721.1/149984,"Many sensor network applications require that each node's sensor stream be annotated with its physical location in some common coordinate system. Manual measurement and configuration methods for obtaining location don't scale and are error-prone, and equipping sensors with GPS is often expensive and does not work in indoor and urban deployments. Sensor networks can therefore benefit from a self-configuring method where nodes cooperate with each other, estimate local distances to their neighbors, and converge to a consistent coordinate assignment. This paper describes a fully decentralized algorithm called AFL (Anchor-Free Localization) where nodes start from a random initial coordinate assignment and converge to a consistent solution using only local node interactions. The key idea in AFL is fold-freedom, where nodes first configure into a topology that resembles a scaled and unfolded version of the true configuration, and then run a force-based relaxation procedure. We show using extensive simulations under a variety of network sizes, node densities, and distance estimation errors that our algorithm is superior to previously proposed methods that incrementally compute the coordinate of nodes in the network, in terms of its ability to computer correct coordinates under a wider variety of conditions and its robuestness to measurement errors.",MIT-LCS-TR-892,Anchor-free Distributed Localization in Sensor Networks,,,,,,
