dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.relation.ispartofseries,dc.title,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject
"Kiriansky, Vladimir; Bruening, Derek; Amarasinghe, Saman",2023-03-29T14:43:12Z,2023-03-29T14:43:12Z,2003-05,https://hdl.handle.net/1721.1/149325,"Nearly all security attacks have one thing in common: they coerce the target program into performing actions that it was never intended to perform.  In short, they violate the program's execution model. The execution model encompasses the Application Binary Interface (ABI), higher-level specifications from the program's source programming language, and components specific to the program --- for example, which values a particular function pointer may take.  If this execution model were enforced, and only program actions that the programmer intended were allowed, a majority of current security holes would be closed.   In this paper, we employ program shepherding[26] to enforce a program's execution model.  Program shepherding monitors control flow in order to enforce a security policy.  We use static and dynamic analyses to automatically build a custom security policy for a target program which specifies the program's execution model.  We have implemented our analyses in the DynamoRIO [5] runtime code modification system.  The resulting system imposes minimal or no performance overhead, operates on unmodified native binaries, and requires no special hardware or operating system support.  Our static analyses require source code access but not recompilation.  The analysis process requires no user interaction, but is able to build a strict enough policy to prevent all deviations from the program's control flow graph and nearly all violations of the calling convention, greatly reducing the possibility of an unintended program action.",MIT-LCS-TM-638,Execution Model Enforcement Via Program Shepherding,,,,,
"Moh, Chuang-Hue",2023-03-29T15:37:22Z,2023-03-29T15:37:22Z,2003-05,https://hdl.handle.net/1721.1/149988,,MIT-LCS-TR-901,Snapshots in a Distributed Persistent Object Storage System,,,,,
"Morency, Louis-Philippe",2004-10-20T20:31:42Z,2004-10-20T20:31:42Z,2003-05-01,http://hdl.handle.net/1721.1/7102,"In this text, we present two stereo-based head tracking  techniques along with a fast 3D model acquisition  system. The first tracking technique is a robust  implementation of stereo-based head tracking  designed for interactive environments with uncontrolled  lighting. We integrate fast face detection and drift  reduction algorithms with a gradient-based stereo rigid  motion tracking technique. Our system can  automatically segment and track a user's head under large rotation and illumination variations. Precision and  usability of this approach are compared with previous  tracking methods for cursor control and target selection  in both desktop and interactive room environments.  The second tracking technique is designed to improve  the robustness of head pose tracking for fast  movements. Our iterative hybrid tracker combines  constraints from the ICP (Iterative Closest Point)  algorithm and normal flow constraint. This new  technique is more precise for small movements and  noisy depth than ICP alone, and more robust for large  movements than the normal flow constraint alone. We present experiments which  test the accuracy of our approach on sequences of real  and synthetic stereo images.  The 3D model acquisition system we present quickly  aligns intensity and depth images, and reconstructs a  textured 3D mesh. 3D views are registered with shape  alignment based on our iterative hybrid tracker. We  reconstruct the 3D model using a new Cubic Ray  Projection merging algorithm which takes advantage of  a novel data structure: the linked voxel space. We  present experiments to test the accuracy of our  approach on 3D face modelling using real-time stereo  images.",AITR-2003-006,Stereo-Based Head Pose Tracking Using Iterative Closest Point and Normal Flow Constraint,AITR-2003-006,60 p.; 5276045 bytes; 2896854 bytes,application/postscript; application/pdf,en_US,AI; Head pose estimation; Stereo processing; Cursor control; 3D model acquisition
"Shih, Lawrence; Karger, David",2004-10-08T20:38:58Z,2004-10-08T20:38:58Z,2003-05-01,http://hdl.handle.net/1721.1/6719,"Trees are a common way of organizing large amounts  of information by placing items with similar  characteristics near one another in the tree. We  introduce a classification problem where a given tree  structure gives us information on the best way to label  nearby elements. We suggest there are many practical  problems that fall under this domain. We propose a  way to map the classification problem onto a standard  Bayesian inference problem. We also give a fast,  specialized inference algorithm that incrementally  updates relevant probabilities. We apply this algorithm  to web-classification problems and show that our  algorithm empirically works well.",AIM-2003-013,Learning Classes Correlated to a Hierarchy,AIM-2003-013,1146195 bytes; 480357 bytes,application/postscript; application/pdf,en_US,
"Beal, Jacob",2004-10-08T20:38:56Z,2004-10-08T20:38:56Z,2003-05-01,http://hdl.handle.net/1721.1/6717,"For a very large network deployed in space with only nearby nodes able to talk to each other, we want to do tasks like robust routing and data storage. One way to organize the network is via a hierarchy, but hierarchies often have a few critical nodes whose death can disrupt organization over long distances. I address this with a system of distributed aggregates called Persistent Nodes, such that spatially local failures disrupt the hierarchy in an area proportional to the diameter of the failure. I describe and analyze this system, which has been implemented in simulation.",AIM-2003-012,A Robust Amorphous Hierarchy from Persistent Nodes,AIM-2003-012,12 p.; 3383342 bytes; 1922951 bytes,application/postscript; application/pdf,en_US,AI; amorphous distributed fault tolerant gigascale
"Martin, Martin C.",2004-10-08T20:38:57Z,2004-10-08T20:38:57Z,2003-05-01,http://hdl.handle.net/1721.1/6718,"This paper presents a novel algorithm for learning in a  class of stochastic Markov decision processes (MDPs)  with continuous state and action spaces that trades  speed for accuracy. A transform of the stochastic MDP  into a deterministic one is presented which captures the  essence of the original dynamics, in a sense made  precise. In this transformed MDP, the calculation of  values is greatly simplified. The online algorithm  estimates the model of the transformed MDP and  simultaneously does policy search against it. Bounds  on the error of this approximation are proven, and  experimental results in a bicycle riding domain are  presented. The algorithm learns near optimal policies  in orders of magnitude fewer interactions with the  stochastic MDP, using less domain knowledge. All  code used in the experiments is available on the  project's web site.",AIM-2003-014,The Essential Dynamics Algorithm: Essential Results,AIM-2003-014,12 p.; 1085830 bytes; 303781 bytes,application/postscript; application/pdf,en_US,AI; Reinforcement learning; bicycle; policy search; markov decision processes
"Grauman, Kristen",2004-10-20T20:31:53Z,2004-10-20T20:31:53Z,2003-05-22,http://hdl.handle.net/1721.1/7104,"We present a statistical image-based shape +  structure model for Bayesian visual hull reconstruction  and 3D structure inference. The 3D shape of a class of  objects is represented by sets of contours from  silhouette views simultaneously observed from multiple  calibrated cameras. Bayesian reconstructions of new  shapes are then estimated using a prior density constructed with a mixture model and probabilistic  principal components analysis. We show how the use  of a class-specific prior in a visual hull reconstruction  can reduce the effect of segmentation errors from the  silhouette extraction process. The proposed method is  applied to a data set of pedestrian images, and  improvements in the approximate 3D models under  various noise conditions are shown. We further  augment the shape model to incorporate structural  features of interest; unknown structural parameters for a  novel set of contours are then inferred via the Bayesian  reconstruction process. Model matching and parameter  inference are done entirely in the image domain and  require no explicit 3D construction. Our shape model  enables accurate estimation of structure despite  segmentation errors or missing views in the input  silhouettes, and works even with only a single input  view. Using a data set of thousands of pedestrian  images generated from a synthetic model, we can  accurately infer the 3D locations of 19 joints on the  body based on observed silhouette contours from real images.",AITR-2003-007,A Statistical Image-Based Shape Model for Visual Hull Reconstruction and 3D Structure Inference,AITR-2003-007,60 p.; 14619811 bytes; 42799632 bytes,application/postscript; application/pdf,en_US,AI; visual hull; 3D structure; shape model; Bayesian inference
"Wehowsky, Andreas F.",2004-10-20T20:31:59Z,2004-10-20T20:31:59Z,2003-05-30,http://hdl.handle.net/1721.1/7106,"Research on autonomous intelligent systems has focused on how robots can robustly carry out missions in uncertain and harsh environments with very little or no human intervention. Robotic execution languages such as RAPs, ESL, and TDL improve robustness by managing functionally redundant procedures for achieving goals. The model-based programming approach extends this by guaranteeing correctness of execution through pre-planning of non-deterministic timed threads of activities. Executing model-based programs effectively on distributed autonomous platforms requires distributing this pre-planning process. This thesis presents a distributed planner for modelbased programs whose planning and execution is distributed among agents with widely varying levels of processor power and memory resources. We make two key contributions. First, we reformulate a model-based program, which describes cooperative activities, into a hierarchical dynamic simple temporal network. This enables efficient distributed coordination of robots and supports deployment on heterogeneous robots. Second, we introduce a distributed temporal planner, called DTP, which solves hierarchical dynamic simple temporal networks with the assistance of the distributed Bellman-Ford shortest path algorithm. The implementation of DTP has been demonstrated successfully on a wide range of randomly generated examples and on a pursuer-evader challenge problem in simulation.",AITR-2003-012,Safe Distributed Coordination of Heterogeneous Robots through Dynamic Simple Temporal Networks,AITR-2003-012,95 p.; 3611933 bytes; 908879 bytes,application/postscript; application/pdf,en_US,AI; model-based autonomy; distributed planning; distributed constraint satisfaction
"Demaine, Erik D.; Hajiaghayi, Mohammad Taghi",2023-03-29T15:37:26Z,2023-03-29T15:37:26Z,2003-06,https://hdl.handle.net/1721.1/149990,"Frick and Grohe showed that for each property phi that is definable in first-order logic, and for each class of minor-closed graphs of locally bounded treewidth, there is an O(n^(1+epsilon))-time algorithm deciding whether a given graph has property phi. In this paper, we extend this result for fixed-parameter algorithms and show that any minor-closed [contraction-closed] bidimensional parameter which can be computed in polynomial time on graphs of bounded treewidth is also fixed-parameter tractable on general minor-closed graphs [minor-closed class of graphs of locally bounded treewidth].  These parameters include many domination and covering parameters such as vertex cover, feedback vertex set, dominating set, and clique-transversal set.  Our algorithm is very simple and its running time is explicit (in contrast to the work of Frick and Grohe).  Along the way, we obtain interesting combinatorial bounds between the aforementioned parameters and the treewidth of the graphs.",MIT-LCS-TR-904,Fixed Parameter Algorithms for Minor-Closed Graphs (of Locally Bounded Treewidth),,,,,
"Demaine, Erik D.; Fomin, Fedor V.; Hajiaghayi, Mohammad Taghi; Thilikos, Dimitrios M.",2023-03-29T15:37:28Z,2023-03-29T15:37:28Z,2003-06,https://hdl.handle.net/1721.1/149991,"We introduce a new framework for designing fixed-parameter algorithms with subexponential running time---2^O(sqrt k) n^O(1).  Our results apply to a broad family of graph problems, called bidimensional problems, which includes many domination and covering problems such as vertex cover, feedback vertex set, minimum maximal matching, dominating set, edge dominating set, clique-transversal set, and many others restricted to bounded genus graphs. Furthermore, it is fairly straightforward to prove that a problem is bidimensional.  In particular, our framework includes as special cases all previously known problems to have such subexponential algorithms.  Previously, these algorithms applied to planar graphs, single-crossing-minor-free graphs, and/or map graphs; we extend these results to apply to bounded-genus graphs as well.  In a parallel development of combinatorial results, we establish an upper bound on the treewidth (or branchwidth) of a bounded-genus graph that excludes some planar graph H as a minor.  This bound depends linearly on the size |V(H)| of the excluded graph H and the genus g(G) of the graph G, and applies and extends the graph-minors work of Robertson and Seymour.   Building on these results, we develop subexponential fixed-parameter algorithms for dominating set, vertex cover, and set cover in any class of graphs excluding a fixed graph H as a minor.  In particular, this general category of graphs includes planar graphs, bounded-genus graphs, single-crossing-minor-free graphs, and any class of graphs that is closed under taking minors. Specifically, the running time is 2^O(sqrt k) n^h, where h is a constant depending only on H, which is polynomial for k = O(log^2 n).  We introduce a general approach for developing algorithms on H-minor-free graphs, based on structural results about H-minor-free graphs at the heart of Robertson and Seymour's graph-minors work.  We believe this approach opens the way to further development on problems in H-minor-free graphs.",MIT-LCS-TR-905,Subexponential Parameterized Algorithms on Graphs of Bounded Genus and H-minor-free Graphs,,,,,
