dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.subject,dc.title,dc.contributor.other
"Morgenstern, Christian; Heisele, Bernd",2005-12-22T01:15:11Z,2005-12-22T01:15:11Z,2003-11-28,MIT-CSAIL-TR-2003-031; AIM-2003-024; CBCL-232,http://hdl.handle.net/1721.1/30436,We present a component-based approach for recognizing objectsunder large pose changes. From a set of training images of a givenobject we extract a large number of components which are clusteredbased on the similarity of their image features and their locations withinthe object image. The cluster centers build an initial set of componenttemplates from which we select a subset for the final recognizer.In experiments we evaluate different sizes and types of components andthree standard techniques for component selection. The component classifiersare finally compared to global classifiers on a database of fourobjects.,12 p.; 20676042 bytes; 965767 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; computer vision; object recognition; component object recognition,Component based recognition of objects in an office environment,
"Chang, Yu-Han; Ho, Tracey; Kaelbling, Leslie Pack",2005-12-22T01:15:17Z,2005-12-22T01:15:17Z,2003-12-04,MIT-CSAIL-TR-2003-032; AIM-2003-025,http://hdl.handle.net/1721.1/30437,"Research in mobile ad-hoc networks has focused on situations in whichnodes have no control over their movements.  We investigate animportant but overlooked domain in which nodes do have controlover their movements.  Reinforcement learning methods can be used tocontrol both packet routing decisions and node mobility, dramaticallyimproving the connectivity of the network.  We first motivate theproblem by presenting theoretical bounds for the connectivityimprovement of partially mobile networks and then present superiorempirical results under a variety of different scenarios in which themobile nodes in our ad-hoc network are embedded with adaptive routingpolicies and learned movement policies.",9 p.; 15523730 bytes; 577014 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; reinforcement learning; multi-agent learning; ad-hoc networking,Mobilized ad-hoc networks:  A reinforcement learning approach,
"Chang, Yu-Han; Ho, Tracey; Kaelbling, Leslie Pack",2004-10-08T20:43:04Z,2004-10-08T20:43:04Z,2003-12-04,AIM-2003-025,http://hdl.handle.net/1721.1/6732,"Research in mobile ad-hoc networks has focused on situations in which nodes have no control over their movements. We investigate an important but overlooked domain in which nodes do have control over their movements. Reinforcement learning methods can be used to control both packet routing decisions and node mobility, dramatically improving the connectivity of the network. We first motivate the problem by presenting theoretical bounds for the connectivity improvement of partially mobile networks and then present superior empirical results under a variety of different scenarios in which the mobile nodes in our ad-hoc network are embedded with adaptive routing policies and learned movement policies.",9 p.; 771382 bytes; 1199447 bytes,application/postscript; application/pdf,en_US,AIM-2003-025,AI; reinforcement learning; multi-agent learning; ad-hoc networking,Mobilized ad-hoc networks: A reinforcement learning approach,
"Grauman, Kristen; Darrell, Trevor",2005-12-22T01:15:24Z,2005-12-22T01:15:24Z,2003-12-05,MIT-CSAIL-TR-2003-033; AIM-2003-026,http://hdl.handle.net/1721.1/30438,"Weighted graph matching is a good way to align a pair of shapesrepresented by a set of descriptive local features; the set ofcorrespondences produced by the minimum cost of matching features fromone shape to the features of the other often reveals how similar thetwo shapes are.  However, due to the complexity of computing the exactminimum cost matching, previous algorithms could only run efficientlywhen using a limited number of features per shape, and could not scaleto perform retrievals from large databases.  We present a contourmatching algorithm that quickly computes the minimum weight matchingbetween sets of descriptive local features using a recently introducedlow-distortion embedding of the Earth Mover's Distance (EMD) into anormed space.  Given a novel embedded contour, the nearest neighborsin a database of embedded contours are retrieved in sublinear time viaapproximate nearest neighbors search.  We demonstrate our shapematching method on databases of 10,000 images of human figures and60,000 images of handwritten digits.",16 p.; 18655633 bytes; 2291372 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; contour matching; shape matching; EMD; image retrieval,Fast Contour Matching Using Approximate Earth Mover's Distance,
"Grauman, Kristen; Darrell, Trevor",2004-10-08T20:43:06Z,2004-10-08T20:43:06Z,2003-12-05,AIM-2003-026,http://hdl.handle.net/1721.1/6733,"Weighted graph matching is a good way to align a pair of shapes represented by a set of descriptive local features; the set of correspondences produced by the minimum cost of matching features from one shape to the features of the other often reveals how similar the two shapes are. However, due to the complexity of computing the exact minimum cost matching, previous algorithms could only run efficiently when using a limited number of features per shape, and could not scale to perform retrievals from large databases. We present a contour matching algorithm that quickly computes the minimum weight matching between sets of descriptive local features using a recently introduced low-distortion embedding of the Earth Mover's Distance (EMD) into a normed space. Given a novel embedded contour, the nearest neighbors in a database of embedded contours are retrieved in sublinear time via approximate nearest neighbors search. We demonstrate our shape matching method on databases of 10,000 images of human figures and 60,000 images of handwritten digits.",16 p.; 7561935 bytes; 7530316 bytes,application/postscript; application/pdf,en_US,AIM-2003-026,AI; contour matching; shape matching; EMD; image retrieval,Fast Contour Matching Using Approximate Earth Mover's Distance,
"Rodrigues, Rodrigo; Liskov, Barbara",2005-12-22T01:15:38Z,2005-12-22T01:15:38Z,2003-12-17,MIT-CSAIL-TR-2003-035; MIT-LCS-TR-932,http://hdl.handle.net/1721.1/30440,"This paper presents Rosebud, a new Byzantine faulttolerantstorage architecture designed to be highly scalableand deployable in the wide-area. To support massiveamounts of data, we need to partition the data among thenodes. To support long-lived operation, we need to allowthe set of nodes in the system to change. To our knowledge,we are the first to present a complete design and arunning implementation of Byzantine-fault-tolerant storagealgorithms for a large scale, dynamic membership.We deployed Rosebud in a wide area testbed and ran experimentsto evaluate its performance, and our experimentsshow that it performs well. We show that our storage algorithmsperform equivalently to highly optimized replicationalgorithms in the wide-area. We also show that performancedegradation is minor when the system reconfigures.",14 p.; 28245099 bytes; 1025372 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Rosebud: A Scalable Byzantine-Fault-Tolerant Storage Architecture,Programming Methodology
"Beal, Jacob; Gilbert, Seth",2004-10-08T20:43:07Z,2004-10-08T20:43:07Z,2003-12-17,AIM-2003-027,http://hdl.handle.net/1721.1/6734,"We present an algorithm to store data robustly in a large, geographically distributed network by means of localized regions of data storage that move in response to changing conditions. For example, data might migrate away from failures or toward regions of high demand. The PersistentNode algorithm provides this service robustly, but with limited safety guarantees. We use the RAMBO framework to transform PersistentNode into RamboNode, an algorithm that guarantees atomic consistency in exchange for increased cost and decreased liveness. In addition, a half-life analysis of RamboNode shows that it is robust against continuous low-rate failures. Finally, we provide experimental simulations for the algorithm on 2000 nodes, demonstrating how it services requests and examining how it responds to failures.",22 p.; 1312502 bytes; 499111 bytes,application/postscript; application/pdf,en_US,AIM-2003-027,AI; ad-hoc networks distributed algorithms atomic distributed shared memory,RamboNodes for the Metropolitan Ad Hoc Network,
"Beal, Jacob; Gilbert, Seth",2005-12-22T01:15:30Z,2005-12-22T01:15:30Z,2003-12-17,MIT-CSAIL-TR-2003-034; AIM-2003-027,http://hdl.handle.net/1721.1/30439,"We present an algorithm to store data robustly in a large, geographically distributed network by means of localized regions of data storage that move in response to changing conditions. For example, data might migrate away from failures or toward regions of high demand. The PersistentNode algorithm provides this service robustly, but with limited safety guarantees. We use the RAMBO framework to transform PersistentNode into RamboNode, an algorithm that guarantees atomic consistency in exchange for increased cost and decreased liveness. In addition, a half-life analysis of RamboNode shows that it is robust against continuous low-rate failures. Finally, we provide experimental simulations for the algorithm on 2000 nodes, demonstrating how it services requests and examining how it responds to failures.",22 p.; 23886105 bytes; 803571 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; ad-hoc networks distributed algorithms atomic distributed shared memory,RamboNodes for the Metropolitan Ad Hoc Network,
"Lam, Patrick; Kuncak, Viktor; Rinard, Martin",2005-12-22T01:15:47Z,2005-12-22T01:15:47Z,2003-12-18,MIT-CSAIL-TR-2003-036; MIT-LCS-TR-933,http://hdl.handle.net/1721.1/30441,"We present a technique that enables the focused applicationof multiple analyses to different modules in the same program. Our researchhas two goals: 1) to address the scalability limitations of preciseanalyses by focusing the analysis on only those parts of the program thatare relevant to the properties that the analysis is designed to verify, and2) to enable the application of specialized analyses that verify propertiesof specifc classes of data structures to programs that simultaneouslymanipulate several dfferent kinds of data structures.In our approach, each module encapsulates a data structure and usesmembership in abstract sets to characterize how objects participate inits data structure. Each analysis verifies that the implementation of themodule 1) preserves important internal data structure representationinvariants and 2) conforms to a specification that uses formulas in a setalgebra to characterize the effects of operations on the data structure.The analyses use the common set abstraction to 1) characterize howobjects participate in multiple data structures and to 2) enable the interanalysiscommunication required to verify properties that depend onmultiple modules analyzed by different analyses.We characterize the key soundness property that an analysis plugin mustsatisfy to successfully participate in our system and present several analysisplugins that satisfy this property: a flag plugin that analyzes modulesin which abstract set membership is determined by a flag  field in eachobject, and a graph types plugin that analyzes modules in which abstractset membership is determined by reachability properties of objects storedin tree-like data structures.",34 p.; 31854752 bytes; 1275133 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,On Modular Pluggable Analyses Using Set Interfaces,Computer Architecture
"Schneider, Robert; Riesenhuber, Maximilian",2004-10-20T21:05:18Z,2004-10-20T21:05:18Z,2004-01-14,AIM-2004-004; CBCL-235,http://hdl.handle.net/1721.1/7280,"Numerous psychophysical experiments have shown an important role for attentional modulations in vision. Behaviorally, allocation of attention can improve performance in object detection and recognition tasks. At the neural level, attention increases firing rates of neurons in visual cortex whose preferred stimulus is currently attended to. However, it is not yet known how these two phenomena are linked, i.e., how the visual system could be ""tuned"" in a task-dependent fashion to improve task performance. To answer this question, we performed simulations with the HMAX model of object recognition in cortex [45]. We modulated firing rates of model neurons in accordance with experimental  results about effects of feature-based attention on single neurons and measured changes in the model's performance in a variety of object recognition tasks. It turned out that recognition performance could only be improved under very limited circumstances and that attentional influences on the process of object  recognition per se tend to display a lack of specificity or raise false alarm rates. These observations lead us to postulate a new role for the observed attention-related neural response modulations.",38 p.; 4871469 bytes; 1392271 bytes,application/postscript; application/pdf,en_US,AIM-2004-004; CBCL-235,AI; object recognition; attention; vision; modeling,On the difficulty of feature-based attentional modulations in visual object recognition: A modeling study.,
