dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.title,dc.subject,dc.contributor.advisor,dc.description,dc.relation.isversionof,dc.identifier.citation,dc.description.degree
"Su, Sara L.; Durand, Fredo; Agrawala, Maneesh",Computer Graphics,2005-12-22T02:28:16Z,2005-12-22T02:28:16Z,2005-04-12,MIT-CSAIL-TR-2005-025; MIT-LCS-TR-987,http://hdl.handle.net/1721.1/30537,"A major obstacle in photography is the presence of distracting elements that pull attention away from the main subject and clutter the composition. In this article, we present a new image-processing technique that reduces the salience of distracting regions. It is motivated by computational models of attention that predict that texture variation influences bottom-up attention mechanisms. Our method reduces the spatial variation of texture using power maps, high-order features describing local frequency content in an image. We show how modification of power maps results in  powerful image de-emphasis. We validate our results using a user search experiment and eye tracking data.",12 p.; 24844567 bytes; 1742248 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,De-Emphasis of Distracting Image Regions Using Texture Power Maps,,,,,,
"Beal, Jacob",,2005-12-22T02:28:22Z,2005-12-22T02:28:22Z,2005-04-13,MIT-CSAIL-TR-2005-026; AIM-2005-012,http://hdl.handle.net/1721.1/30538,"Examples are a powerful tool for teaching both humans and computers.In order to learn from examples, however, a student must first extractthe examples from its stream of perception. Snapshot learning is ageneral approach to this problem, in which relevant samples ofperception are used as examples.  Learning from these examples can inturn improve the judgement of the snapshot mechanism, improving thequality of future examples.  One way to implement snapshot learning isthe Top-Cliff heuristic, which identifies relevant samples using ageneralized notion of peaks. I apply snapshot learning with theTop-Cliff heuristic to solve a distributed learning problem and showthat the resulting system learns rapidly and robustly, and canhallucinate useful examples in a perceptual stream from a teacherlesssystem.",22 p.; 16733589 bytes; 735336 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Learning From Snapshot Examples,AI; unsupervised supervised learning examples,,,,,
"Caponnetto, Andrea; Vito, Ernesto De",,2005-12-22T02:28:27Z,2005-12-22T02:28:27Z,2005-04-14,MIT-CSAIL-TR-2005-027; AIM-2005-013; CBCL-248,http://hdl.handle.net/1721.1/30539,"We develop a theoretical analysis of generalization performances of regularized least-squares on reproducing kernel Hilbert spaces for supervised learning.  We show that the concept of effective dimension of an integral operator plays a central role in the definition of a criterion for the choice of the regularization parameter as a function of the number of samples.  In fact, a minimax analysis is performed which shows asymptotic optimality of the above-mentioned criterion.",25 p.; 16130108 bytes; 833989 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Fast Rates for Regularized Least-squares Algorithm,AI; optimal rates; regularized least-squares; reproducing kernel Hilbert space; effe,,,,,
"Eisenstein, Jacob; Davis, Randall",,2005-12-22T02:28:32Z,2005-12-22T02:28:32Z,2005-04-19,MIT-CSAIL-TR-2005-028; AIM-2005-014,http://hdl.handle.net/1721.1/30540,"In human-human dialogues, face-to-face meetings are often preferred over phone conversations.One explanation is that non-verbal modalities such as gesture provide additionalinformation, making communication more efficient and accurate. If so, computerprocessing of natural language could improve by attending to non-verbal modalitiesas well. We consider the problem of sentence segmentation, using hand-annotatedgesture features to improve recognition. We find that gesture features correlate wellwith sentence boundaries, but that these features improve the overall performance of alanguage-only system only marginally. This finding is in line with previous research onthis topic. We provide a regression analysis, revealing that for sentence boundarydetection, the gestural features are largely redundant with the language model andpause features. This suggests that gestural features can still be useful when speech recognition is inaccurate.",13 p.; 13772256 bytes; 521371 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Gestural Cues for Sentence Segmentation,AI; gesture; natural language processing; multimodal,,,,,
"Taylor, Christopher; Rahimi, Ali; Bachrach, Jonathan; Shrobe, Howard",,2005-12-22T02:28:41Z,2005-12-22T02:28:41Z,2005-04-26,MIT-CSAIL-TR-2005-029; AIM-2005-016,http://hdl.handle.net/1721.1/30541,"We introduce Simultaneous Localization and Tracking (SLAT), the  problem of tracking a target in a sensor network while  simultaneously localizing and calibrating the nodes of the network.  Our proposed solution, LaSLAT, is a Bayesian filter providing  on-line probabilistic estimates of sensor locations and target  tracks. It does not require globally accessible beacon signals or  accurate ranging between the nodes.  When applied to a network of 27  sensor nodes, our algorithm can localize the nodes to within one or  two centimeters.",18 p.; 40655574 bytes; 2128443 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"Simultaneous Localization, Calibration, and Tracking in an ad Hoc Sensor Network",AI; sensor network; localization; bayesian filter; extended kalman filter,,,,,
"McCamant, Stephen; Morrisett, Greg",Program Analysis,2005-12-22T02:28:49Z,2005-12-22T02:28:49Z,2005-05-02,MIT-CSAIL-TR-2005-030; MIT-LCS-TR-988,http://hdl.handle.net/1721.1/30542,"Executing untrusted code while preserving security requiresenforcement of memory and control-flow safety policies:untrusted code must be prevented from modifying memory orexecuting code except as explicitly allowed.  Software-basedfault isolation (SFI) or \""sandboxing\"" enforces thosepolicies by rewriting the untrusted code at the level ofindividual instructions.  However, the original sandboxingtechnique of Wahbe et al. is applicable only to RISCarchitectures, and other previous work is either insecure,or has been not described in enough detail to giveconfidence in its security properties.  We present a noveltechnique that allows sandboxing to be easily applied to aCISC architecture like the IA-32.  The technique can beverified to have been applied at load time, so that neitherthe rewriting tool nor the compiler needs to be trusted.  Wedescribe a prototype implementation which provides a robustsecurity guarantee, is scalable to programs of any size, andhas low runtime overheads.  Further, we give amachine-checked proof that any program approved by theverification algorithm is guaranteed to respect the desiredsafety property.",17 p.; 29512899 bytes; 1053603 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"Efficient, Verifiable Binary Sandboxing for a CISC Architecture",,,,,,
"Vito, Ernesto De; Caponnetto, Andrea",,2005-12-22T02:28:54Z,2005-12-22T02:28:54Z,2005-05-16,MIT-CSAIL-TR-2005-031; AIM-2005-015; CBCL-249,http://hdl.handle.net/1721.1/30543,We show that recent results in [3] on risk bounds for regularized least-squares on reproducing kernel Hilbert spaces can be straightforwardly extended to the vector-valued regression setting.  We first briefly introduce central concepts on operator-valued kernels.  Then we show how risk bounds can be expressed in terms of a generalization of effective dimension.,17 p.; 12090406 bytes; 642646 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Risk Bounds for Regularized Least-squares Algorithm with Operator-valued kernels,AI; optimal rates; reproducing kernel Hilbert space; effective dimension,,,,,
"Singh, Neha",Advanced Network Architecture,2005-12-22T02:29:27Z,2005-12-22T02:29:27Z,2005-05-17,MIT-CSAIL-TR-2005-032; MIT-LCS-TR-989,http://hdl.handle.net/1721.1/30544,"A service-providing system consists of hosts that provide services such as data, content, computational and memory resources and data-based services to other entities in the system. Consumers that wish to use services describe their needs with a set of high-level objectives. In this thesis, we address the problem of locating services in a large-scale distributed system using their descriptions, rather than their addresses. We propose a network architecture that is based on the concept of dividing the service-providing hosts into Regions. A Region is a grouping of elements of the network that share a set of common characteristics and policies. Members of a region manage their interactions with other regions and their elements according to some defined rules and policies. Hosts can be divided into regions based on various properties such as their content, their commercial model or their security characteristics to name a few. The service provided by a region is an ! aggregate of the services provided by all its member hosts. The region-based architecture routes a service request through the network efficiently based on its description and on the advertisements from regions providing services. Division of hosts into a set of independent regions partitions the search space and produces a scalable structure. The architecture also does not impose any rules on the internal organization of regions making the system flexible and dynamic.",136 p.; 114357185 bytes; 3081677 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,A Region-based Architecture for Service-Providing Distributed Systems,,,,,,
"Caponnetto, Andrea; Rakhlin, Alexander",,2005-12-22T02:29:32Z,2005-12-22T02:29:32Z,2005-05-17,MIT-CSAIL-TR-2005-033; AIM-2005-018; CBCL-250,http://hdl.handle.net/1721.1/30545,"We study properties of algorithms which minimize (or almost minimize) empirical error over a Donsker class of functions. We show that the L2-diameter of the set of almost-minimizers is converging to zero in probability. Therefore, as the number of samples grows, it is becoming unlikely that adding a point (or a number of points) to the training set will result in a large jump (in L2 distance) to a new hypothesis. We also show that under some conditions the expected errors of the almost-minimizers are becoming close with a rate faster than n^{-1/2}.",9 p.; 7033622 bytes; 434782 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Some Properties of Empirical Risk Minimization over Donsker Classes,AI; empirical risk minimization; stability; empirical processes,,,,,
"Nahnsen, Thade; Uzuner, Ozlem; Katz, Boris",,2005-12-22T02:29:37Z,2005-12-22T02:29:37Z,2005-05-19,MIT-CSAIL-TR-2005-034; AIM-2005-017,http://hdl.handle.net/1721.1/30546,"We present a system to determine content similarity of documents. More specifically, our goal is to identify book chapters that are translations of the same original chapter; this task requires identification of not only the different topics in the documents but also the particular flow of these topics. We experiment with different representations employing n-grams of lexical chains and test these representations on a corpus of approximately 1000 chapters gathered from books with multiple parallel translations.  Our representations include the cosine similarity of attribute vectors of n-grams of lexical chains, the cosine similarity of tf*idf-weighted keywords, and the cosine similarity of unweighted lexical chains (unigrams of lexical chains) as well as multiplicative combinations of the similarity measures produced by these approaches. Our results identify fourgrams of unordered lexical chains as a particularly useful representation for text similarity evaluation.",9 p.; 17827888 bytes; 7011726 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Lexical Chains and Sliding Locality Windows in Content-based Text Similarity Detection,AI; Natural Language Processing; N-grams; Text Similarity; Lexical Chains,,,,,
