dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.title,dc.contributor.advisor,dc.subject,dc.identifier.citation,dc.contributor,dc.relation.isreplacedby,dc.relation.uri
"Dolev, Shlomi; Gilbert, Seth; Schiller, Elad; Shvartsman, Alex; Welch, Jennifer",Theory of Computation,2005-12-22T02:32:47Z,2005-12-22T02:32:47Z,2005-06-15,MIT-CSAIL-TR-2005-043; MIT-LCS-TR-992,http://hdl.handle.net/1721.1/30554,"This paper presents a new abstraction for virtual infrastructure in mobile ad hoc networks. An AutonomousVirtual Mobile Node (AVMN) is a robust and reliable entity that is designed to cope with theinherent difficulties caused by processors arriving, leaving, and moving according to their own agendas,as well as with failures and energy limitations. There are many types of applications that may make useof the AVMN infrastructure: tracking, supporting mobile users, or searching for energy sources.The AVMN extends the focal point abstraction in [9] and the virtual mobile node abstraction in [10].The new abstraction is that of a virtual general-purpose computing entity, an automaton that can makeautonomous on-line decisions concerning its own movement. We describe a self-stabilizing implementationof this new abstraction that is resilient to the chaotic behavior of the physical processors and providesautomatic recovery from any corrupted state of the system.",11 p.; 16020110 bytes; 624285 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Autonomous Virtual Mobile Nodes,,,,,,
"Beal, Jacob",Mathematics and Computation,2006-06-01T16:22:48Z,2006-06-01T16:22:48Z,2005-07,MIT-CSAIL-TR-2006-040,http://hdl.handle.net/1721.1/32986,"Programming reliable behavior on a large mesh network composed of unreliable parts is difficult. Amorphous Medium Language addresses this problem by abstracting robustness and networking issues away from the programmer via language of geometric primitives and homeostasis maintenance.AML is designed to operate on a high diameter network composed of thousands to billions of nodes, and does not assume coordinate, naming, or routing services. Computational processes are distributed through geometric regions of the space approximated by the network and specify behavior in terms of homeostasis conditions and actions to betaken when homeostasis is violated.AML programs are compiled for local execution using previously developed amorphous computing primitives which provide robustness against ongoing failures and joins and localize the impact of changes in topology. I show some examples of how AML allows complex robust behavior to be expressed in simple programs and some preliminary results from simulation.",7 p.; 408752 bytes; 2548880 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Amorphous Medium Language,Gerald Sussman,distributed computing sensor networks,"LSMAS Workshop, AAMAS'05, July 25-­29, 2005, Utrecht, Netherlands.",,,
"Hung, Chou; Kreiman, Gabriel; Poggio, Tomaso; DiCarlo, James J.",,2005-12-22T02:33:06Z,2005-12-22T02:33:06Z,2005-07-06,MIT-CSAIL-TR-2005-045; AIM-2005-022; CBCL-253,http://hdl.handle.net/1721.1/30556,"Understanding the complex brain computations leading to object recognition requires quantitatively characterizing the information represented in inferior temporal cortex (IT), the highest stage of the primate visual stream. A read-out technique based on a trainable classifier is used to characterize the neural coding of selectivity and invariance at the population level. The activity of very small populations of independently recorded IT neurons (~100 randomly selected cells) over very short time intervals (as small as 12.5 ms) contains surprisingly accurate and robust information about both object Â‘identityÂ’ and Â‘categoryÂ’, which is furthermore highly invariant to object position and scale. Significantly, selectivity and invariance are present even for novel objects, indicating that these properties arise from the intrinsic circuitry and do not require object-specific learning. Within the limits of the technique, there is no detectable difference in the latency or temporal resolution of the IT information supporting so-called Â‘categorizationÂ’ (a.k. basic level) and Â‘identificationÂ’ (a.k. subordinate level) tasks.  Furthermore, where information, in particular information about stimulus location and scale, can also be read-out from the same small population of IT neurons. These results show how it is possible to decode invariant object information rapidly, accurately and robustly from a small population in IT and provide insights into the nature of the neural code for different kinds of object-related information.",30 p.; 77109103 bytes; 12556007 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Ultra-fast Object Recognition from Few Spikes,,AI; object recognition; neural coding; inferior temporal cortex,,,,
"Yokono, Jerry Jun; Poggio, Tomaso",,2005-12-22T02:33:20Z,2005-12-22T02:33:20Z,2005-07-07,MIT-CSAIL-TR-2005-046; AIM-2005-023; CBCL-254,http://hdl.handle.net/1721.1/30557,"Object recognition systems relying on local descriptors are increasingly used because of their perceived robustness with respect to occlusions and to global geometrical deformations.  Descriptors of this type -- based on a set of oriented Gaussian derivative filters -- are used in our recognition system.  In this paper, we explore a multi-view 3D object recognition system that does not use explicit geometrical information. The basic idea is to find discriminant features to describe an object across different views.  A boosting procedure is used to select features out of a large feature pool of local features collected from the positive training examples.  We describe experiments on face images with excellent recognition rate.",22 p.; 49560015 bytes; 7562398 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Boosting a Biologically Inspired Local Descriptor for Geometry-free Face and Full Multi-view 3D Object Recognition,,AI; 3D multiview; object recognition; SVM and boosting classifiers,,,,
"Liskov, Barbara; Rodrigues, Rodrigo",Programming Methodology,2005-12-22T02:33:26Z,2005-12-22T02:33:26Z,2005-07-21,MIT-CSAIL-TR-2005-047; MIT-LCS-TR-994,http://hdl.handle.net/1721.1/30558,"Byzantine quorum systems have been proposed that work properly even when up to f replicas fail arbitrarily.However, these systems are not so successful when confronted with Byzantine faulty clients. This paper presents novelprotocols that provide atomic semantics despite Byzantine clients. Our protocols are the first to handle all problemscaused by Byzantine clients. They prevent Byzantine clients from interfering with good clients: bad clients cannotprevent good clients from completing reads and writes, and they cannot cause good clients to see inconsistencies. Inaddition we also prevent bad clients that have been removed from operation from leaving behind more than a boundednumber of writes that could be done on their behalf by a colluder.Our protocols are designed to work in an asynchronous system like the Internet and they are highly efficient. Werequire 3f +1 replicas, and either two or three phases to do writes; reads normally complete in one phase and requireno more than two phases, no matter what the bad clients are doing.We also present strong correctness conditions for systems with Byzantine clients that limit what can be done onbehalf of bad clients once they leave the system. Furthermore we prove that our protocols are both safe (they meetthose conditions) and live.",11 p.; 20805987 bytes; 680924 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Byzantine Clients Rendered Harmless,,,,,,
"Chockler, Gregory; Lynch, Nancy; Mitra, Sayan; Tauber, Joshua",Theory of Computation,2005-12-22T02:33:34Z,2005-12-22T02:33:34Z,2005-07-22,MIT-CSAIL-TR-2005-048; MIT-LCS-TR-995,http://hdl.handle.net/1721.1/30559,"Atomicity (or linearizability) is a commonly used  consistency criterion for distributed services and objects. Although  atomic object implementations are abundant, proving that algorithms  achieve atomicity has turned out to be a challenging problem. In  this paper, we initiate the study of systematic ways of verifying  distributed implementations of atomic objects, beginning with  read/write objects (registers).  Our general approach is to replace  the existing operational reasoning about events and partial orders  with assertional reasoning about invariants and simulation  relations.  To this end, we define an abstract state machine that  captures the atomicity property and prove correctness of the object  implementations by establishing a simulation mapping between the  implementation and the specification automata. We demonstrate the  generality of our specification by showing that it is implemented by  three different read/write register constructions (the  message-passing register emulation of Attiya, Bar-Noy and Dolev, its  optimized version based on real time, and the shared memory register  construction of Vitanyi and Awerbuch), and by a general atomic  object implementation based on the Lamport\'s replicated state  machine algorithm.",15 p.; 14829213 bytes; 699536 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Proving Atomicity: An Assertional Approach,,,,,,
"Hsu, Eugene; Pulli, Kari; Popovic, Jovan",,2008-08-28T18:45:44Z,2008-08-28T18:45:44Z,2005-08-01,,http://hdl.handle.net/1721.1/42004,"Style translation is the process of transforming an input motion into a new style while preserving its original content. This problem is motivated by the needs of interactive applications, which require rapid processing of captured performances. Our solution learns to translate by analyzing differences between performances of the same content in input and output styles. It relies on a novel correspondence algorithm to align motions, and a linear time-invariant model to represent stylistic differences. Once the model is estimated with system identification, our system is capable of translating streaming input with simple linear operations at each frame.",N/A,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Style Translation for Human Motion (Supplemental Material),,,"Style translation is the process of transforming an input motion into a new style while preserving its original content. This problem is motivated by the needs of interactive applications, which require rapid processing of captured performances. Our solution learns to translate by analyzing differences between performances of the same content in input and output styles. It relies on a novel corres",Jovan Popovic; Computer Graphics,,
"Hsu, Eugene; Pulli, Kari; Popovic, Jovan",,2008-08-25T19:00:49Z,2008-08-25T19:00:49Z,2005-08-01,,http://hdl.handle.net/1721.1/41945,"Style translation is the process of transforming an input motion into a new style while preserving its original content. This problem is motivated by the needs of interactive applications, which require rapid processing of captured performances. Our solution learns to translate by analyzing differences between performances of the same content in input and output styles. It relies on a novel correspondence algorithm to align motions, and a linear time-invariant model to represent stylistic differences. Once the model is estimated with system identification, our system is capable of translating streaming input with simple linear operations at each frame.",N/A,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Style Translation for Human Motion,,,"ACM Transactions on Graphics, 24(3):1082-1089, August 2005.",Jovan Popovic; Computer Graphics,,
"Marnette, Bruno; Kuncak, Viktor; Rinard, Martin",Computer Architecture,2005-12-22T02:33:49Z,2005-12-22T02:33:49Z,2005-08-03,MIT-CSAIL-TR-2005-050; MIT-LCS-TR-997,http://hdl.handle.net/1721.1/30561,"Typestate systems ensure many desirable properties of imperativeprograms, including initialization of object fields and correct use ofstateful library interfaces.  Abstract sets with cardinalityconstraints naturally generalize typestate properties: relationshipsbetween the typestates of objects can be expressed as subset anddisjointness relations on sets, and elements of sets can berepresented as sets of cardinality one.  In addition, sets withcardinality constraints provide a natural language for specifyingoperations and invariants of data structures.Motivated by these program analysis applications, thispaper presents new algorithms and new complexity results forconstraints on sets and their cardinalities.  We studyseveral classes of constraints and demonstrate a trade-offbetween their expressive power and their complexity.Our first result concerns a quantifier-free fragment of BooleanAlgebra with Presburger Arithmetic.  We give a nondeterministicpolynomial-time algorithm for reducing the satisfiability of sets withsymbolic cardinalities to constraints on constant cardinalities, andgive a polynomial-space algorithm for the resulting problem.  The bestpreviously existing algorithm runs in exponential space andnondeterministic exponential time.In a quest for more efficient fragments, we identify severalsubclasses of sets with cardinality constraints whose satisfiabilityis NP-hard.  Finally, we identify a class of constraints that haspolynomial-time satisfiability and entailment problems and can serveas a foundation for efficient program analysis.  We give a system ofrewriting rules for enforcing certain consistency properties of theseconstraints and show how to extract complete information fromconstraints in normal form.  This result implies the soundness andcompleteness of our algorithms.",19 p.; 33171425 bytes; 1663929 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,On Algorithms and Complexity for Sets with Cardinality Constraints,,,,,,
"Vutukuru, Mythili; Valiant, Paul; Kopparty, Swastik; Balakrishnan, Hari",Networks and Mobile Systems,2005-12-22T02:33:41Z,2005-12-22T02:33:41Z,2005-08-03,MIT-CSAIL-TR-2005-049; MIT-LCS-TR-996,http://hdl.handle.net/1721.1/30560,"The Border Gateway Protocol (BGP), the current inter domain routing protocol in the Internet, has two modes of operation: eBGP (External BGP), used to exchange routing information between autonomous systems, and iBGP (Internal BGP), used to propagate that information within an autonomous system (AS).  This paper focuses on the construction of an iBGP session configuration that guarantees two correctness properties - loop-free forwarding paths and complete visibility to all eBGP-learned best routes - while attempting to minimize the number of iBGP sessions (for scalability) and ensuring that the constructed configuration guarantees the two correctness properties even in the face of link failures and IGPpath changes.  Our algorithm constructs an iBGP configuration based on route reflectors, a commonly used way to control the number of iBGP sessions.  The algorithm, BGPSep, uses the notion of a graph separator, a (small) set of nodes that partition a graph into connected components of roughly equal sizes, recursively applies this idea to the connected components, and produces a route reflector hierarchy and the associated iBGP sessions.  We prove thatBGPSep guarantees the desired correctness properties, andevaluate an implementation of the BGPSep algorithm on several real-world and simulated network topologies.  Across these topologies, we find that the number of iBGP sessions with is afactor of 2.5 to 5 times smaller than with a \""full mesh\"" iBGP, while guaranteeing the desired correctness properties.",13 p.; 18855558 bytes; 842183 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,How to Construct a Correct and Scalable iBGP Configuration,,,,,,
