dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.title,dc.subject,dc.contributor.advisor
"Gassend, B.; O'Donnell, C. W.; Thies, W.; Lee, A.; van Dijk, M.; Devadas, S.",Computation Structures,2005-12-22T02:37:06Z,2005-12-22T02:37:06Z,2005-10-06,MIT-CSAIL-TR-2005-060; MIT-LCS-TR-1003,http://hdl.handle.net/1721.1/30571,"Our goal is to develop a state-of-the-art predictor with an intuitive and biophysically-motivated energy model through the use of Hidden Markov Support Vector Machines (HM-SVMs), a recent innovation in the field of machine learning.  We focus on the prediction of alpha helices in proteins and show that using HM-SVMs, a simple 7-state HMM with 302 parameters can achieve a Q_alpha value of 77.6% and a SOV_alpha value of 73.4%.  We briefly describe how our method can be generalized to predicting beta strands and sheets.",15 p.; 18110378 bytes; 702915 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Secondary Structure Prediction of All-Helical Proteins Using Hidden Markov Support Vector Machines,,
"Ajmani, Sameer; Liskov, Barbara; Shrira, Liuba; Curtis, Dorothy",Programming Methodology,2005-12-22T02:37:15Z,2005-12-22T02:37:15Z,2005-10-06,MIT-CSAIL-TR-2005-062; MIT-LCS-TR-1005,http://hdl.handle.net/1721.1/30572,"Upgrading the software of long-lived, highly-available distributedsystems is difficult.  It is not possible to upgrade all the nodes in asystem at once, since some nodes may be unavailable and halting thesystem for an upgrade is unacceptable.  Instead, upgrades must happengradually, and there may be long periods of time when different nodesrun different software versions and need to communicate usingincompatible protocols.  We present a methodology and infrastructurethat make it possible to upgrade distributed systems automatically whilelimiting service disruption.  We introduce new ways to reason aboutcorrectness in a multi-version system. We also describe a prototypeimplementation that supports automatic upgrades with modest overhead.",14 p.; 26794595 bytes; 1207166 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Automatic Software Upgrades for Distributed Systems,,
"Das, Sanmay",,2005-12-22T02:37:21Z,2005-12-22T02:37:21Z,2005-10-07,MIT-CSAIL-TR-2005-063; AIM-2005-028; CBCL-255,http://hdl.handle.net/1721.1/30573,"This paper introduces algorithms for learning how to trade usinginsider (superior) information in Kyle's model of financial markets.Prior results in finance theory relied on the insider having perfectknowledge of the structure and parameters of the market. I show herethat it is possible to learn the equilibrium trading strategy whenits form is known even without knowledge of the parameters governingtrading in the model. However, the rate of convergence toequilibrium is slow, and an approximate algorithm that does notconverge to the equilibrium strategy achieves better utility whenthe horizon is limited. I analyze this approximate algorithm fromthe perspective of reinforcement learning and discuss the importanceof domain knowledge in designing a successful learning algorithm.",15 p.; 16523384 bytes; 613212 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Learning to Trade with Insider Information,AI,
"Zhang, MIchael; Asanovic, Krste",Computer Architecture,2005-12-22T02:37:29Z,2005-12-22T02:37:29Z,2005-10-10,MIT-CSAIL-TR-2005-064; MIT-LCS-TR-1006,http://hdl.handle.net/1721.1/30574,"Future CMPs will have more cores and greater onchip cache capacity. The on-chip cache can either be divided into separate private L2 caches for each core, or treated as a large shared L2 cache. Private caches provide low hit latency but low capacity, while shared caches have higher hit latencies but greater capacity. Victim replication was previously introduced as a way of reducing the average hit latency of a shared cache by allowing a processor to make a replica of a primary cache victim in its local slice of the global L2 cache. Although victim replication performs well on multithreaded and single-threaded codes, it performs worse than the private scheme for multiprogrammed workloads where there is little sharing between the different programs running at the same time. In this paper, we propose victim migration, which improves on victim replication by adding an additional set of migration tags on each node which are used to implement an exclusive cache policy for replicas. When a replica has been created on a remote node, it is not also cached on the home node, but only recorded in the migration tags. This frees up space on the home node to store shared global lines or replicas for the local processor. We show that victim migration performs better than private, shared, and victim replication schemes across a range of single threaded, multithreaded, and multiprogrammed workloads, while using less area than a private cache design. Victim migration provides a reduction in average memory access latency of up to 10% over victim replication.",17 p.; 18487877 bytes; 796263 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Victim Migration: Dynamically Adapting Between Private and Shared CMP Caches,,
"Geiger, Gadi; Amara, Domenic G",,2005-12-22T02:37:36Z,2005-12-22T02:37:36Z,2005-10-18,MIT-CSAIL-TR-2005-065; AIM-2005-029; CBCL-256,http://hdl.handle.net/1721.1/30575,"Previous studies have shown that dyslexic individuals who supplement windowed reading practice with intensive small-scale hand-eye coordination tasks exhibit marked improvement in their reading skills. Here we examine whether similar hand-eye coordination activities, in the form of artwork performed by children in kindergarten, first and second grades, could reduce the number of students at-risk for reading problems. Our results suggest that daily hand-eye coordination activities significantly reduce the number of students at-risk. We believe that the effectiveness of these activities derives from their ability to prepare the students perceptually for reading.",0 p.; 14865502 bytes; 6633149 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Towards the Prevention of Dyslexia,AI; dyslexia; prevention,
"Torlak, Emina; van Dijk, Marten; Gassend, Blaise; Jackson, Daniel; Devadas, Srinivas",Software Design,2005-12-22T02:37:42Z,2005-12-22T02:37:42Z,2005-10-19,MIT-CSAIL-TR-2005-066; MIT-LCS-TR-1007,http://hdl.handle.net/1721.1/30576,"Knowledge flow analysis offers a simple and flexible way to find flaws in security protocols. A protocol is described by a collection of rules constraining the propagation of knowledge amongst principals. Because this characterization corresponds closely to informal descriptions of protocols, it allows a succinct and natural formalization; because it abstracts away message ordering, and handles communications between principals and applications of cryptographic primitives uniformly, it is readily represented in a standard logic. A generic framework in the Alloy modelling language is presented, and instantiated for two standard protocols, and a new key management scheme.",23 p.; 22738148 bytes; 915258 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Knowledge Flow Analysis for Security Protocols,,
"Lippert, Ross; Rifkin, Ryan",,2005-12-22T02:40:10Z,2005-12-22T02:40:10Z,2005-10-20,MIT-CSAIL-TR-2005-067; AIM-2005-030; CBCL-257,http://hdl.handle.net/1721.1/30577,"We consider regularized least-squares (RLS) with a Gaussian kernel. Weprove that if we let the Gaussian bandwidth $\sigma \rightarrow\infty$ while letting the regularization parameter $\lambda\rightarrow 0$, the RLS solution tends to a polynomial whose order iscontrolled by the relative rates of decay of $\frac{1}{\sigma^2}$ and$\lambda$: if $\lambda = \sigma^{-(2k+1)}$, then, as $\sigma \rightarrow\infty$, the RLS solution tends to the $k$th order polynomial withminimal empirical error.  We illustrate the result with an example.",1 p.; 7286963 bytes; 527607 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Asymptotics of Gaussian Regularized Least-Squares,AI; machine learning; regularization,
"Drake, Matthew; Hoffmann, Hank; Rabbah, Rodric; Amarasinghe, Saman",Computer Architecture,2005-12-22T02:40:17Z,2005-12-22T02:40:17Z,2005-10-22,MIT-CSAIL-TR-2005-068; MIT-LCS-TM-652,http://hdl.handle.net/1721.1/30578,"Image and video codecs are prevalent in multimedia applications, ranging from embedded systems, to desktop computers, to high-end servers such as HDTV editing consoles. It is not uncommon however that developers create (from scratch) and customize their codec implementations for each of the architecture targets they intend their coders and decoders to run on. This practice is time consuming anderror prone, leading to code that is not malleable or portable.  In this paper we describe an implementation of the MPEG-2 codec using the StreamIt programming language. StreamIt is an architecture-independent stream language that aims to improve programmer productivity, while concomitantly exposing the inherent parallelism and communication topology of the application. We describe why MPEG is a good match forthe streaming programming model, and illustrate the malleability of the implementation using a simple modification to the decoder to support alternate color compression formats. StreamIt allows for modular application development, which also reduces the complexity of the debugging process since stream components can be verifiedindependently. This in turn leads to greater programmer productivity. We implement a fully functional MPEG-2 decoder in StreamIt. The decoder was developed in eight weeks by a single student programmer who did not have any prior experience with MPEG or other video codecs. Many of the MPEG-2 components were subsequently reused to assemble a JPEG codec.",15 p.; 22871205 bytes; 786081 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,MPEG-2 in a Stream Programming Language,,
"Nguyen, Huu Hai; Rinard, Martin",Computer Architecture,2005-12-22T02:40:21Z,2005-12-22T02:40:21Z,2005-10-26,MIT-CSAIL-TR-2005-069; MIT-LCS-TR-1008,http://hdl.handle.net/1721.1/30579,"We present and evaluate a new memory management technique foreliminating memory leaks in programs with dynamic memoryallocation. This technique observes the execution of the program on asequence of training inputsto find m-bounded allocation sites,which have the property that at any time during the execution of theprogram, the program accesses at most only the last m objects allocated atthat site. The technique then transforms the program to usecyclic memory allocation at that site: it preallocates a buffercontaining m objects of the type allocated at that site, with eachallocation returning the next object in the buffer. At the end of thebuffer the allocations wrap back around to the first object.  Cyclicallocation eliminates any memory leak at the allocation site - thetotal amount of memory required to hold all of the objects everallocated at the site is simply $m$ times the object size.We evaluate our technique by applying it to several widely-used opensource programs.  Our results show that it is able to successfullyeliminate important memory leaks in these programs.  A potentialconcern is that the estimated bounds m may be too small, causing theprogram to overlay live objects in memory.  Our results indicate thatour bounds estimation technique is quite accurate in practice,providing incorrect results for only one of the 160 m-bounded sitesthat it identifies. To evaluate the potential impact ofoverlaying live objects, we artificially reduce the bounds at$m$-bounded sites and observe the resulting behavior.The resulting overlayingof live objects often does not affect thefunctionality of the program at all; even when it does impairpart of the functionality, the program does not fail andis still able to acceptably deliver the remaining functionality.",10 p.; 20338887 bytes; 816035 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Using Cyclic Memory Allocation to Eliminate Memory Leaks,,
"Rahul, Hariharan; Kasbekar, Mangesh; Sitaraman, Ramesh; Berger, Arthur",Networks and Mobile Systems,2005-12-22T02:40:26Z,2005-12-22T02:40:26Z,2005-11-01,MIT-CSAIL-TR-2005-070; MIT-LCS-TR-1009,http://hdl.handle.net/1721.1/30580,"Prior analyses of the benefits of routing overlays are based onplatforms consisting of nodes located primarily in North America, onthe academic Internet, and at the edge of the network. This paper isthe first global study of the benefits of overlays on the commercialInternet in terms of round trip latencies and availability, usingmeasurements from diverse ISPs over 1100 locations (77 countries, 630cities and 6 continents).Our study shows that while overlays provide some improvements in North America, their benefits are especially significant for paths withAsian endpoints.  Regarding practical considerations in constructingoverlay routes, we show that an algorithm that randomly chooses asmall number of alternate redundant paths achieves an availability ofover 99.5%. We also propose and evaluate a simple predictive schemethat achieves almost optimal latency using only 2-3 paths, and thatthis is achievable with surprisingly persistent routing choices.",23 p.; 23260667 bytes; 831725 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Towards Realizing the Performance and Availability Benefits of a Global Overlay Network,,
