dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.subject,dc.title,dc.contributor.advisor,dc.contributor.other,dc.description,dc.identifier.citation
"Taycher, Leonid; Shakhnarovich, Gregory; Demirdjian, David; Darrell, Trevor",2005-12-22T02:41:53Z,2005-12-22T02:41:53Z,2005-12-01,MIT-CSAIL-TR-2005-079; AIM-2005-034,http://hdl.handle.net/1721.1/30588,"We describe a state-space tracking approach based on a Conditional Random Field(CRF) model, where the observation potentials are \emph{learned} from data. Wefind functions that embed both state and observation into a space wheresimilarity corresponds to $L_1$ distance, and define an observation potentialbased on distance in this space. This potential is extremely fast to compute and in conjunction with a grid-filtering framework can be used to reduce acontinuous state estimation problem to a discrete one. We show how a statetemporal prior in the grid-filter can be computed in a manner similar to asparse HMM, resulting in real-time system performance. The resulting system isused for human pose tracking in video sequences.",9 p.; 21558399 bytes; 932744 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; articulated tracking; grid filter; conditional random field,Conditional Random People: Tracking Humans with CRFs and Grid Filters,,,,
"Ivanov, Yuri; Serre, Thomas; Bouvrie, Jacob",2005-12-22T02:44:17Z,2005-12-22T02:44:17Z,2005-12-14,MIT-CSAIL-TR-2005-081; AIM-2005-035; CBCL-258,http://hdl.handle.net/1721.1/30590,In this paper we describe a technique of classifier combination used in a human identification system. The system integrates all available features from multi-modal sources within a Bayesian framework. The framework allows representinga class of popular classifier combination rules and methods within a single formalism. It relies on a Â“per-classÂ” measure of confidence derived from performance of each classifier on training data that is shown to improve performance on a synthetic data set. The method is especially relevant in autonomous surveillance setting where varying time scales and missing features are a common occurrence. We show an application of this technique to the real-world surveillance database of video and audio recordings of people collected over several weeks in the office setting.,7 p.; 22108540 bytes; 952178 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; classifier combination; face recognition; identification; multi-modal,Error weighted classifier combination for multi-modal human identification,,,,
"Serre, T.; Kouh, M.; Cadieu, C.; Knoblich, U.; Kreiman, G.; Poggio, T.",2007-03-12T16:41:47Z,2007-03-12T16:41:47Z,2005-12-19,MIT-CSAIL-TR-2005-082; AIM-2005-36; CBCL-259,http://hdl.handle.net/1721.1/36407,"We describe a quantitative theory to account for the computations performed by the feedforward path of the ventral stream of visual cortex and the local circuits implementing them. We show that a model instantiating the theory is capable of performing recognition on datasets of complex images at the level of human observers in rapid categorization tasks. We also show that the theory is consistent with (and in some case has predicted) several properties of neurons in V1, V4, IT and PFC. The theory seems sufficiently comprehensive, detailed and satisfactory to represent an interesting challenge for physiologists and modelers: either disprove its basic features or propose alternative theories of equivalent scope. The theory suggests a number of open questions for visual physiology and psychophysics.",130 p.,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,AI; object recognition; standard model; theory; visual cortex; ventral stream; hmax,A Theory of Object Recognition: Computations and Circuits in the Feedforward Path of the Ventral Stream in Primate Visual Cortex,,,,
"Marton, Gregory",2006-01-10T18:47:00Z,2006-01-10T18:47:00Z,2006-01-09,,http://hdl.handle.net/1721.1/30604,"TREC Definition and Relationship questions are evaluated on thebasis of information nuggets that may be contained in systemresponses.  Human evaluators provide informal descriptions of eachnugget, and judgements (assignments of nuggets to responses) for eachresponse submitted by participants.The best present automatic evaluation for these kinds of questions isPourpre.  Pourpre uses a stemmed unigram similarity of responses withnugget descriptions, yielding an aggregate result that is difficult tointerpret, but is useful for relative comparison.  Nuggeteer, bycontrast, uses both the human descriptions and the human judgements,and makes binary decisions about each response, so that the end resultis as interpretable as the official score.I explore n-gram length, use of judgements, stemming, and termweighting, and provide a new algorithm quantitatively comparable to,and qualitatively better than the state of the art.",15 p.; 236402 bytes,application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,natural language; question answering,Nuggeteer: Automatic Nugget-Based Evaluation Using Descriptions and Judgements,Boris Katz,Infolab,,
"Koch, Olivier; Teller, Seth",2006-01-10T18:51:59Z,2006-01-10T18:51:59Z,2006-01-09,MIT-CSAIL-TR-2006-003,http://hdl.handle.net/1721.1/30605,"We describe an algorithm that takes as inputs a coarse3D model of an environment, and a video sequence acquiredwithin the environment, and produces as output an estimateof the cameraÂ’s 6-DOF egomotion expressed in the coordinatesof the 3D model. Our method has several novelaspects: it performs line-based structure-from-motion; italigns the local line constellation to the known model; andit uses off-line visibility analysis to dramatically acceleratethe alignment process.We present simulation results demonstrating themethodÂ’s operation in a multi-room environment. We showthat the method can estimate metric egomotion accuratelyand could be used for for many minutes of operation andthousands of video frames.",8 p.; 20452907 bytes; 718869 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"computer vision,visual geometry,omnivision,3D",Wide-Area Egomotion Estimation from Known 3D Structure,Seth Teller,"Robotics, Vision & Sensor Networks",,
"Masiello, Elizabeth",2006-01-12T16:07:26Z,2006-01-12T16:07:26Z,2006-01-11,MIT-CSAIL-TR-2006-004,http://hdl.handle.net/1721.1/30606,"The sixteen-bit well-known port number is often overlooked as a network identifier in Internet communications. Its purpose at the most fundamental level is only to demultiplex flows of traffic. Several unintended uses of the port number evolved from associating services with a list of well-known port numbers. This thesis documents those unintended consequences in an effort to describe the port number's influence on Internet players from ISPs to application developers to individual users. Proposals and examples of moving away from well-known port numbers to randomly assigned ones are then presented, with analysis of impacts on the political and economic systems on which Internet communication is dependent.",52 p.; 66099985 bytes; 3014151 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Service Identification in TCP/IP: Well-Known versus Random Port Numbers,David Clark,Advanced Network Architecture,SM thesis,
"Zollei, Lilla",2006-01-25T21:04:03Z,2006-01-25T21:04:03Z,2006-01-25,MIT-CSAIL-TR-2006-005,http://hdl.handle.net/1721.1/30970,"The field of medical image analysis has been rapidly growing for the past two decades. Besides a significant growth in computational power, scanner performance, and storage facilities, this acceleration is partially due to an unprecedented increase in the amount of data sets accessible for researchers. Medical experts traditionally rely on manual comparisons of images, but the abundance of information now available makes this task increasingly difficult. Such a challenge prompts for more automation in processing the images.In order to carry out any sort of comparison among multiple medical images, onefrequently needs to identify the proper correspondence between them. This step allows us to follow the changes that happen to anatomy throughout a time interval, to identify differences between individuals, or to acquire complementary information from different data modalities. Registration achieves such a correspondence. In this dissertation we focus on the unified analysis and characterization of statistical registration approaches.We formulate and interpret a select group of pair-wise registration methods in the context of a unified statistical and information theoretic framework. This clarifies the implicit assumptions of each method and yields a better understanding of their relative strengths and weaknesses. This guides us to a new registration algorithm that incorporates the advantages of the previously described methods. Next we extend the unified formulation with analysis of the group-wise registration algorithms that align a population as opposed to pairs of data sets. Finally, we present our group-wise registration framework, stochastic congealing. The algorithm runs in a simultaneous fashion, with every member of the population approaching the central tendency of the collection at the same time. It eliminates the need for selecting a particular referenceframe a priori, resulting in a non-biased estimate of a digital template. Our algorithm adopts an information theoretic objective function which is optimized via a gradientbased stochastic approximation process embedded in a multi-resolution setting. We demonstrate the accuracy and performance characteristics of stochastic congealing via experiments on both synthetic and real images.",152 p.; 254354390 bytes; 7278255 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"population alignment, spatial normalization, congealing",A Unified Information Theoretic Framework for Pair- and Group-wise Registration of Medical Images,Eric Grimson,Vision,PhD thesis,
"Kushman, Nate; Katabi, Dina; Wroclawski, John",2006-01-27T18:01:59Z,2006-01-27T18:01:59Z,2006-01-27,MIT-CSAIL-TR-2006-006,http://hdl.handle.net/1721.1/30971,"This paper proposes an isolation layer -- a shim -- betweeninter-domain routing and packet forwarding. The job of this layer isto coordinate between Autonomous Systems (AS's) on when and how tomodify the forwarding state to ensure inter-domain routing loops donot cause forwarding loops. The benefits of a consistency layer aretwofold.  First, it prevents the creation of transient inter-domainforwarding loops and the resulting packet loss, high latency, andconnection failures.Second, by taking the burden of forwarding consistency off theinter-domain routing protocol, it enables inter-domain routingprotocols with more complex convergence characteristics than BGP, suchas protocols that optimize route selection based on performance.  Weoffer two possible designs for the consistency layer. We prove thatboth designs are free of forwarding loops and show they are easy todeploy in the current Internet.",13 p.; 20452936 bytes; 768834 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,BGP; inter-domain routing; internet; routing; routing loops; forwarding loops,A Consistency Management Layer for Inter-Domain Routing,Dina Katabi,Networks & Mobile Systems,,
"Weitzner, Daniel J.; Abelson, Harold; Berners-Lee, Tim; Hanson, Chris; Hendler, James; Kagal, Lalana; McGuinness, Deborah L.; Sussman, Gerald Jay; Waterman, K. Krasnow",2006-01-27T19:27:14Z,2006-01-27T19:27:14Z,2006-01-27,MIT-CSAIL-TR-2006-007,http://hdl.handle.net/1721.1/30972,"Attempts to address issues of personal privacy in a world of computerized databases and information networks -- from security technology to data protection regulation to Fourth Amendment law jurisprudence -- typically proceed from the perspective of controlling or preventing access to information.  We argue that this perspective has become inadequate and obsolete, overtaken by the ease of sharing and copying data and of aggregating and searching across multiple data bases, to reveal private information from public sources.  To replace this obsolete framework, we propose that issues of privacy protection currently viewed in terms of data access be re-conceptualized in terms of data use.  From a technology perspective, this requires supplementing legal and technical mechanisms for access control with new mechanisms for transparency and accountability of data use.  In this paper, we present a technology infrastructure -- the Policy Aware Web -- that supports transparent and accountable data use on the World Wide Web, and elements of a new legal and regulatory regime that supports privacy through provable accountability to usage rules rather than merely data access restrictions.",10 p.; 54814550 bytes; 5102588 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Transparent Accountable Data Mining: New Strategies for Privacy Protection,Daniel Weitzner,Decentralized Information Group,,
"Wang, Xiaogang; Tieu, Kinh; Grimson, Eric",2006-02-10T22:46:57Z,2006-02-10T22:46:57Z,2006-02-10,MIT-CSAIL-TR-2006-008,http://hdl.handle.net/1721.1/31208,"In this paper, we describe an unsupervised learning framework to segment a scene into semantic regions and to build semantic scene models from long-term observations of moving objects in the scene. First, we introduce two novel similarity measures for comparing trajectories in far-field visual surveillance. The measures simultaneously compare the spatial distribution of trajectories and other attributes, such as velocity and object size, along the trajectories. They also pro-vide a comparison confidence measure which indicates how well the measured im-age-based similarity approximates true physical similarity.  We also introduce novel clustering algorithms which use both similarity and comparison confidence. Based on the proposed similarity measures and clustering methods, a framework to learn semantic scene models by trajectory analysis is developed. Trajectories are first clustered into vehicles and pedestrians, and then further grouped based on spatial and velocity distributions. Different trajectory clusters represent different activities. The geometric and statistical models of structures in the scene, such as roads, walk paths, sources and sinks, are automatically learned from the trajectory clusters. Abnormal activities are detected using the semantic scene models. The system is robust to low-level tracking errors.",16 p.; 18317255 bytes; 2106560 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,Learning Semantic Scene Models by Trajectory Analysis,Eric Grimson,Vision,,
