dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.title,dc.relation.isreplacedby,dc.relation.uri,dc.subject,dc.description,dc.identifier.citation
Tommi Jaakkola,"Perez-Breva, Luis; Ortiz, Luis E.; Yeang, Chen-Hsiang, 1969-; Jaakkola, Tommi",Tommi's Machine Learning,2006-03-10T01:22:50Z,2006-03-10T01:22:50Z,2006-03-06,MIT-CSAIL-TR-2006-018,http://hdl.handle.net/1721.1/31311,"We propose a game-theoretic approach tolearn and predict coordinate binding of multiple DNA bindingregulators. The framework implements resource constrainedallocation of proteins to local neighborhoods as well as to sitesthemselves, and explicates coordinate and competitive bindingrelations among proteins with affinity to the site or region. The focus of this paper is on mathematical foundationsof the new modeling approach. We demonstrate the approachin the context of the lambda-phage switch, a well-known biologicalsubsystem, and provide simulation results that successfully illustrate the predictions that can be derived from the modelwith known structure and affinities. Subsequentwork will elaborate on methods for learning the affinities and gamestructures from available binding data.",11 p.; 15597128 bytes; 598367 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,DNA Binding and Games,,,,,
Nancy Lynch,"Canetti, Ran; Cheung, Ling; Kaynar, Dilsun; Liskov, Moses; Lynch, Nancy; Pereira, Olivier; Segala, Roberto",Theory of Computation,2006-03-10T01:22:47Z,2006-03-10T01:22:47Z,2006-03-08,MIT-CSAIL-TR-2006-019,http://hdl.handle.net/1721.1/31310,"AbstractThe Probabilistic I/O Automata framework of Lynch, Segala and Vaandrager provides tools for precisely specifying protocols and reasoning about their correctness using multiple levels of abstraction, based on implementation relationships between these levels. We enhance this framework to allow analyzing protocols that use cryptographic primitives. This requires resolving and reconciling issues such as nondeterministic behavior and scheduling, randomness, resource-bounded computation, and computational hardness assumptions. The enhanced framework allows for more rigorous and systematic analysis of cryptographic protocols. To demonstrate the use of this framework, wepresent an example analysis that we have done for an Oblivious Transfer protocol.",98 p.; 104102681 bytes; 4467324 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Using Task-Structured Probabilistic I/O Automata to Analyze an Oblivious Transfer Protocol,http://hdl.handle.net/1721.1/33217,http://hdl.handle.net/1721.1/33217,,,
Trevor Darrell,"Grauman, Kristen; Darrell, Trevor",Vision,2006-03-20T19:24:36Z,2006-03-20T19:24:36Z,2006-03-18,MIT-CSAIL-TR-2006-020,http://hdl.handle.net/1721.1/31338,"Discriminative learning is challenging when examples are sets of features, and the sets vary in cardinality and lack any sort of meaningful ordering.  Kernel-based classification methods can learn complex decision boundaries, but a kernel over unordered set inputs must somehow solve for correspondences -- generally a computationally expensive task that becomes impractical for largeset sizes.  We present a new fast kernel function which maps unordered feature sets to multi-resolution histograms and computes a weighted histogram intersection in this space.  This ``pyramid match"" computation is linear in the number of features, and it implicitly finds correspondences based on the finest resolution histogram cell where a matched pair first appears. Since the kerneldoes not penalize the presence of extra features, it is robust to clutter.  We show the kernel function is positive-definite, making it valid for use in learning algorithms whose optimal solutions are guaranteed only for Mercer kernels.  We demonstrate our algorithm on object recognition tasks and show it to be accurate and dramatically faster than current approaches.  (This tech report updates MIT-CSAIL-TR-2005-017 and the paper ""The Pyramid Match Kernel: Discriminative Classification with Sets of Images Features"" which appeared in the proceedings of ICCV 2005.)",10 p.; 7963746 bytes; 1702359 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Pyramid Match Kernels: Discriminative Classification with Sets of Image Features (version 2),,,,,
Leslie Kaelbling,"Ortiz, Luis E.; Schapire, Robert E.; Kakade, Sham M.",Learning and Intelligent Systems,2006-03-20T19:24:59Z,2006-03-20T19:24:59Z,2006-03-20,MIT-CSAIL-TR-2006-021,http://hdl.handle.net/1721.1/31339,"We study maximum entropy correlated equilibria in (multi-player)games and provide two gradient-based algorithms that are guaranteedto converge to such equilibria. Although we do not provideconvergence rates for these algorithms, they do have strong connectionsto other algorithms (such as iterative scaling) which are effectiveheuristics for tasks such as statistical estimation.",15 p.; 301190 bytes; 876790 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Maximum Entropy Correlated Equilibria,,,"Game Theory, Graphical Games, Graphical Models, Normal-form Games, Optimization",,
Leslie Kaelbling,"Gardiol, Natalia H.; Kaelbling, Leslie Pack",Learning and Intelligent Systems,2006-03-20T19:23:27Z,2006-03-20T19:23:27Z,2006-03-20,MIT-CSAIL-TR-2006-022,http://hdl.handle.net/1721.1/31337,"In order for autonomous artificial decision-makers to solverealistic tasks, they need to deal with the dual problems of searching throughlarge state and action spaces under time pressure.We study the problem of planning in domains with lots of objects.  Structuredrepresentations of action can help provide guidance when the number of actionchoices and size of the state space is large.We show how structured representations ofaction effects can help us partition the action space in to a smallerset of approximate equivalence classes. Then, the pared-downaction space can be used to identify a useful subset of the state space in whichto search for a solution.  As computational resources permit, we thenallow ourselves to elaborate the original solution. This kind of analysisallows us to collapse the action space and permits faster planning in muchlarger domains than before.",27 p.; 418358 bytes; 3755323 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Computing action equivalences for planning under time-constraints,,,,,
Nancy Lynch,"Canetti, Ran; Cheung, Ling; Kaynar, Dilsun; Liskov, Moses; Lynch, Nancy; Pereira, Olivier; Segala, Roberto",Theory of Computation,2006-03-31T17:51:50Z,2006-03-31T17:51:50Z,2006-03-31,MIT-CSAIL-TR-2006-023,http://hdl.handle.net/1721.1/32525,"In the Probabilistic I/O Automata (PIOA) framework, nondeterministicchoices are resolved using perfect-information schedulers,which are similar to history-dependent policies for Markov decision processes(MDPs). These schedulers are too powerful in the setting of securityanalysis, leading to unrealistic adversarial behaviors. Therefore, weintroduce in this paper a novel mechanism of task partitions for PIOAs.This allows us to define partial-information adversaries in a systematicmanner, namely, via sequences of tasks.The resulting task-PIOA framework comes with simple notions of externalbehavior and implementation, and supports simple compositionalityresults. A new type of simulation relation is defined and proven soundwith respect to our notion of implementation. To illustrate the potentialof this framework, we summarize our verification of an ObliviousTransfer protocol, where we combine formal and computational analyses.Finally, we present an extension with extra expressive power, usinglocal schedulers of individual components.",45 p.; 2404679 bytes; 487620 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Task-Structured Probabilistic I/O Automata,http://hdl.handle.net/1721.1/33964,http://hdl.handle.net/1721.1/33964,,,
Hari Balakrishnan,"Vutukuru, Mythili; Feamster, Nick; Walfish, Michael; Balakrishnan, Hari; Shenker, Scott",Networks & Mobile Systems,2006-04-15T02:06:49Z,2006-04-15T02:06:49Z,2006-04-14,MIT-CSAIL-TR-2006-025,http://hdl.handle.net/1721.1/32532,"IP prefixes undermine three goals of Internet routing: accurate reflection of network-layer reachability, secure routing messages, and effective traffic control. This paper presents Atomic IP (AIP), a simple change to Internet addressing (which in fact reverts to how addressing once worked), that allows Internet routing to achieve these goals.",8 p.; 226111 bytes; 705478 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Revisiting Internet Adressing: Back to the Future!,,,,,
Nancy Lynch,"Gilbert, Seth; Guerraoui, Rachid; Newport, Calvin",Theory of Computation,2006-04-19T17:01:59Z,2006-04-19T17:01:59Z,2006-04-19,MIT-CSAIL-TR-2006-026,http://hdl.handle.net/1721.1/32534,"How much damage can a malicious tiny device cause in a single-hopwireless network?  Imagine two players, Alice and Bob, who want toexchange information.  Collin, a malicious adversary, wants to preventthem from communicating.  By broadcasting at the same time as Alice orBob, Collin can destroy their messages or overwhelm them with his ownmalicious data.  Being a tiny device, however, Collin can onlybroadcast up to B times. Given that Alice and Bob do not knowB, and cannot distinguish honest from malicious messages, howlong can Collin prevent them from communicating?  We show the answerto be 2B + Theta(lg|V|) communication rounds, where V is theset of values that Alice and Bob may transmit.  We prove this resultto be optimal by deriving an algorithm that matches our lowerbound---even in the stronger case where Alice and Bob do not start thegame at the same time.We then argue that this specific 3-player game captures the generalextent to which a malicious adversary can disrupt coordination in asingle-hop wireless network. We support this claim by deriving---via reduction from the 3-player game---round complexity lower boundsfor several classical n-player problems: 2B + Theta(lg|V|) for reliable broadcast,2B + Omega(lg(n/k)) for leader election among k contenders,and 2B + Omega(k*lg(|V|/k)) for static k-selection.  We then consider an extension of our adversary model that also includes up to t crash failures. We study binary consensus as the archetypal problem for this environment and show a bound of 2B + Theta(t) rounds. We conclude by providing tight, or nearly tight, upper bounds for all four problems.  The new upper and lower bounds in this paper represent the first such results for a wireless network in which the adversary has the ability to disrupt communication.",20 p.; 22447191 bytes; 841434 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Of Malicious Motes and Suspicious Sensors,,,wireless ad hoc networks; byzantine; reliable broadcast; leader election; k-selection; consensus; collision detection,,
Tomaso Poggio,"Serre, Thomas",Vision,2006-05-10T16:52:26Z,2006-05-10T16:52:26Z,2006-04-25,MIT-CSAIL-TR-2006-028; CBCL-260,http://hdl.handle.net/1721.1/32544,"In this thesis, I describe a quantitative model that accounts for the circuits and computations of the feedforward path of the ventral stream of visual cortex.  This model is consistent with a general theory of visual processing that extends the hierarchical model of (Hubel & Wiesel, 1959) from primary to extrastriate visual areas. It attempts to explain the first few hundred milliseconds of visual processing and Â“immediate recognitionÂ”. One of the key elements in the approach is the learning of a generic dictionary of shape-components from V2 to IT, which provides an invariant representation to task-specific categorization circuits in higher brain areas. This vocabulary of shape-tuned units is learned in an unsupervised manner from natural images, and constitutes a large and redundant set of image features with different complexities and invariances.  This theory significantly extends an earlier approach by (Riesenhuber & Poggio, 1999) and builds upon several existing neurobiological models and conceptual proposals.First, I present evidence to show that the model can duplicate the tuning properties of neurons in various brain areas (e.g., V1, V4 and IT). In particular, the model agrees with data from V4 about the response of neurons to combinations of simple two-bar stimuli (Reynolds et al, 1999) (within the receptive field of the S2 units) and some of the C2 units in the model show a tuning for boundary conformations which is consistent with recordings from V4 (Pasupathy & Connor, 2001). Second, I show that not only can the model duplicate the tuning properties of neurons in various brain areas when probed with artificial stimuli, but it can also handle the recognition of objects in the real-world, to the extent of competing with the best computer vision systems. Third, I describe a comparison between the performance of the model and the performance of human observers in a rapid animal vs. non-animal recognition task for which recognition is fast and cortical back-projections are likely to be inactive.  Results indicate that the model predicts human performance extremely well when the delay between the stimulus and the mask is about 50 ms.  This suggests that cortical back-projections may not play a significant role when the time interval is in this range, and the model may therefore provide a satisfactory description of the feedforward path.Taken together, the evidences suggest that we may have the skeleton of a successful theory of visual cortex.  In addition, this may be the first time that a neurobiological model, faithful to the physiology and the anatomy of visual cortex, not only competes with some of the best computer vision systems thus providing a realistic alternative to engineered artificial vision systems, but also achieves performance close to that of humans in a categorization task involving complex natural images.",211 p.; 75497472 bytes; 6889446 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"Learning a Dictionary of Shape-Components in Visual Cortex: Comparison with Neurons, Humans and Machines",,,"object recognition, model, machine vision, neuroscience, visual system, feedforward, biologically inspired, hierarchy",PhD thesis,
Eric Grimson,"Bose, Biswajit; Wang, Xiaogang; Grimson, Eric",Vision,2006-04-25T13:33:26Z,2006-04-25T13:33:26Z,2006-04-25,MIT-CSAIL-TR-2006-027,http://hdl.handle.net/1721.1/32536,"We propose a framework for detecting and tracking multiple interacting objects from a single, static, uncalibrated camera. The number of objects is variable and unknown, and object-class-specific models are not available. We use background subtraction results as measurements for object detection and tracking. Given these constraints, the main challenge is to associate pixel measurements with (possibly interacting) object targets. We first track clusters of pixels, and note when they merge or split. We then build an inference graph, representing relations between the tracked clusters. Using this graph and a generic object model based on spatial connectedness and coherent motion, we label the tracked clusters as whole objects, fragments of objects or groups of interacting objects. The outputs of our algorithm are entire tracks of objects, which may include corresponding tracks from groups of objects during interactions. Experimental results on multiple video sequences are shown.",19 p.; 80453528 bytes; 1840042 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Detecting and tracking multiple interacting objects without class-specific models,,,visual surveillance; multi-target tracking; background subtraction; group tracking,,
