dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.title,dc.subject,dc.identifier.citation,dc.description,dc.relation.replaces,dc.relation.uri,dc.relation.isreplacedby,dc.relation,dc.rights,dc.rights.uri,dc.date.updated
Gerald Sussman,"Beal, Jacob",Mathematics and Computation,2006-06-01T16:22:12Z,2006-06-01T16:22:12Z,2006-05-27,MIT-CSAIL-TR-2006-038,http://hdl.handle.net/1721.1/32984,"Distributed computing and live-action roleplaying share many of thesame fundamental problems, as live-action roleplaying games commonly include simulations carried out by their players.Games run by the MIT Assassin's Guild are particularly illustrative ofdistributed computing issues due to their large scope and highcomplexity.I discuss three distributed computing issues addressed by Assassin'sGuild game design---information hiding, error correction, andliveness/consistency tradeoffs---and the relevance of the solutionsused by game writers to current problems in distributed computing.",9 p.; 168640 bytes; 609620 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,What the Assassin's Guild Taught Me About Distributed Computing,,,,,,,,,,
Howard Shrobe,"Bachrach, Jonathan; Beal, Jacob",AIRE,2006-10-03T14:06:44Z,2006-10-03T14:06:44Z,2006-06,MIT-CSAIL-TR-2006-069,http://hdl.handle.net/1721.1/34223,"In many sensor network applications, the network is deployedto approximate a physical space. The network itself is not ofinterest: rather, we are interested in measuring the propertiesof the space it fills, and of establishing control over thebehavior of that space.The spatial nature of sensor network applications meansthat many can be expressed naturally and succinctly in termsof the global behavior of an amorphous medium---a continuouscomputational material filling the space of interest. Althoughwe cannot construct such a material, we can approximateit using a sensor network.Using this amorphous medium abstraction separates sensornetwork problems into two largely independent domains.Above the abstraction barrier we are concerned with longrangecoordination and concise description of applications,while below the barrier we are concerned with fast, efficient,and robust communication between neighboring devices.We apply the amorphous medium abstraction with Proto,a high-level language for programming sensor/actuator networks.Existing applications, such as target tracking andthreat avoidance, can be expressed in only a few lines of Protocode. The applications are then compiled for execution on akernel that approximates an amorphous medium. Programswritten using our Proto implementation have been verified insimulation on over ten thousand nodes, as well as on a networkof Berkeley Motes.",6 p.; 374454 bytes; 4831946 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Programming a Sensor Network as an Amorphous Medium,amorphous computing,DCOSS 2006 (Extended Abstract),,,,,,,,
Eric Grimson,"Dalley, Gerald; Izo, Tomas",Vision,2006-06-12T18:36:58Z,2006-06-12T18:36:58Z,2006-06-12,MIT-CSAIL-TR-2006-043,http://hdl.handle.net/1721.1/32999,"In dealing with long-term tracking databases withwide-area coverage, an important problem is in formulating anintuitive and fast query system for analysis. In such a querysystem, a user who is not a computer vision research should beable to readily specify a novel query to the system and obtainthe desired results. Furthermore, these queries should be able tonot only search out individual actors (e.g. ""find all white cars"")but also find interactions amongst multiple actors (e.g. ""find alldrag racing activities in the city""). Informally, we have foundthat people often use sketches when describing activities andinteractions. In this paper, we demonstrate a preliminary systemthat automatically interprets schematic drawings of activities.The system transforms the schematics into executable code thatsearches a tracking database. Through our query optimization,these queries tend to take orders of magnitude less time to executethan equivalent queries running on a partially-optimized SQLdatabase.",7 p.; 391836 bytes; 7529339 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Schematic Querying of Large Tracking Databases,,,,,,,,,,
Barbara Liskov,"Leong, Ben",Programming Methodology,2006-06-14T14:57:35Z,2006-06-14T14:57:35Z,2006-06-14,MIT-CSAIL-TR-2006-044,http://hdl.handle.net/1721.1/33000,"As wireless sensor networks continue to grow in size, we are facedwith the prospect of emerging wireless networks with hundreds orthousands of nodes. Geographic routing algorithms are a promisingalternative to tradition ad hoc routing algorithms in this new domainfor point-to-point routing, but deployments of such algorithms arecurrently uncommon because of some practical difficulties.This dissertation explores techniques that address two major issues inthe deployment of geographic routing algorithms: (i) the costsassociated with distributed planarization and (ii) the unavailabilityof location information.  We present and evaluate two new algorithmsfor geographic routing: Greedy Distributed Spanning Tree Routing(GDSTR) and Greedy Embedding Spring Coordinates (GSpring).Unlike previous geographic routing algorithms which require theplanarization of the network connectivity graph, GDSTR switches torouting on a spanning tree instead of a planar graph when packets endup at dead ends during greedy forwarding. To choose a direction on thetree that is most likely to make progress towards the destination,each GDSTR node maintains a summary of the area covered by the subtreebelow each of its tree neighbors using convex hulls. This distributeddata structure is called a hull tree. GDSTR not only requires an orderof magnitude less bandwidth to maintain these hull trees than CLDP,the only distributed planarization algorithm that is known to workwith practical radio networks, it often achieves better routingperformance than previous planarization-based geographic routingalgorithms.GSpring is a new virtual coordinate assignment algorithm that derivesgood coordinates for geographic routing when location information isnot available. Starting from a set of initial coordinates for a set ofelected perimeter nodes, GSpring uses a modified spring relaxationalgorithm to incrementally adjust virtual coordinates to increase theconvexity of voids in the virtual routing topology. This reduces theprobability that packets will end up in dead ends during greedyforwarding, and improves the routing performance of existinggeographic routing algorithms.The coordinates derived by GSpring yield comparable routingperformance to that for actual physical coordinates and significantlybetter performance than that for NoGeo, the best existing algorithmfor deriving virtual coordinates for geographic routing. Furthermore,GSpring is the first known algorithm that is able to derivecoordinates that achieve better geographic routing performance thanactual physical coordinates for networks with obstacles.",150 p.; 3957081 bytes; 32739307 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,New Techniques for Geographic Routing,,,PhD thesis,,,,,,,
Trevor Darrell,"Grauman, Kristen; Darrell, Trevor",Vision,2006-06-15T21:37:00Z,2006-06-15T21:37:00Z,2006-06-15,MIT-CSAIL-TR-2006-045,http://hdl.handle.net/1721.1/33002,"Pyramid intersection is an efficient method for computing an approximate partial matching between two sets of feature vectors. We introduce a novel pyramid embedding based on a hierarchy of non-uniformly shaped bins that takes advantage of the underlying structure of the feature space and remains accurate even for sets with high-dimensional feature vectors.  The matching similarity is computed in linear time and forms a Mercer kernel.  We also show how the matching itself (a correspondence field) may be extracted for a small increase in computational cost. Whereas previous matching approximation algorithms suffer from distortion factors that increase linearly with the feature dimension, we demonstrate thatour approach can maintain constant accuracy even as the feature dimension increases. When used as a kernel in a discriminative classifier, our approach achieves improved object recognition results over a state-of-the-art set kernel.",10 p.; 14140112 bytes; 5515480 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Approximate Correspondences in High Dimensions,,,,,,,,,,
Nancy Lynch,"Canetti, Ran; Cheung, Ling; Kaynar, Dilsun; Liskov, Moses; Lynch, Nancy; Pereira, Olivier; Segala, Roberto",Theory of Computation,2006-06-19T18:52:04Z,2006-06-19T18:52:04Z,2006-06-19,MIT-CSAIL-TR-2006-046,http://hdl.handle.net/1721.1/33154,"We demonstrate how to carry out cryptographic security analysis ofdistributed protocols within the Probabilistic I/O Automataframework of Lynch, Segala, and Vaandrager. This framework providestools for arguing rigorously about the concurrency and schedulingaspects of protocols, and about protocols presented at differentlevels of abstraction. Consequently, it can help in makingcryptographic analysis more precise and less susceptible to errors.We concentrate on a relatively simple two-party Oblivious Transferprotocol, in the presence of a semi-honest adversary (essentially,an eavesdropper). For the underlying cryptographic notion ofsecurity, we use a version of Canetti's Universally Composablesecurity.In spite of the relative simplicity of the example, the exercise isquite nontrivial. It requires taking many fundamental issues intoaccount, including nondeterministic behavior, scheduling,resource-bounded computation, and computational hardness assumptionsfor cryptographic primitives.",129 p.; 1111678 bytes; 7337435 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Using Probabilistic I/O Automata to Analyze an Oblivious Transfer Protocol,,"January 10, 2006",,http://hdl.handle.net/1721.1/30566,http://hdl.handle.net/1721.1/30566,,,,,
Nancy Lynch,"Canetti, Ran; Cheung, Ling; Kaynar, Dilsun; Liskov, Moses; Lynch, Nancy; Pereira, Olivier; Segala, Roberto",Theory of Computation,2006-06-20T21:18:08Z,2006-06-20T21:18:08Z,2006-06-20,MIT-CSAIL-TR-2006-047,http://hdl.handle.net/1721.1/33217,"The Probabilistic I/O Automata framework of Lynch, Segala and Vaandrager provides tools for precisely specifying protocols and reasoning about theircorrectness using multiple  levels of abstraction, based on implementation relationships between these levels. We enhance this framework to allow analyzingprotocols that use cryptographic primitives. This requires resolving andreconciling issues such as nondeterministic behavior and scheduling, randomness,resource-bounded computation, and computational hardness assumptions.  The enhanced framework allows for more rigorous and systematic analysis of cryptographic protocols. To demonstrate the use of this framework, we present an example analysis that we have  done for an Oblivious Transfer protocol.",98 p.; 898579 bytes; 5581045 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Using Task-Structured Probabilistic I/O Automata to Analyze an Oblivious Transfer Protocol,,"June 19, 2006",,http://hdl.handle.net/1721.1/31310,http://hdl.handle.net/1721.1/35918; http://hdl.handle.net/1721.1/31310,http://hdl.handle.net/1721.1/35918,,,,
Peter Szolovits,"Sibanda, Tawanda Carleton",Clinical Decision-Making,2006-06-29T13:22:10Z,2006-06-29T13:22:10Z,2006-06-28,MIT-CSAIL-TR-2006-048,http://hdl.handle.net/1721.1/33223,"In this thesis, we detail an approach to extracting key information in medical discharge summaries. Starting with a narrative patient report, we first identify and remove information that compromises privacy (de-identification);next we recognize words and phrases in the text belonging to semantic categories of interest to doctors (semantic category recognition).For disease and symptoms, we determine whether the problem is present, absent, uncertain, or associated with somebody else (assertion classification). Finally, we classify the semantic relationships existing between our categories (semantic relationship classification).Our approach utilizes a series of statistical models that rely heavily on local lexical and syntactic context, and achieve competitive results compared to more complexNLP solutions. We conclude the thesis by presenting the design for the Category and Relationship Extractor (CaRE). CaRE combines our solutions to de-identification, semantic category recognition, assertion classification, and semantic relationship classification into a singleapplication that facilitates the easy extraction of semantic information from medical text.",108 p.; 2366072 bytes; 9070788 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Was the Patient Cured? Understanding Semantic Categories and Their Relationships in Patient Records,medical language processing; MLP; discharge summary,,MEng thesis,,,,,,,
Dina Katabi,"Chachulski, Szymon; Jennings, Michael; Katti, Sachin; Katabi, Dina",Networks & Mobile Systems,2006-07-03T14:16:54Z,2006-07-03T14:16:54Z,2006-06-30,MIT-CSAIL-TR-2006-049,http://hdl.handle.net/1721.1/33230,"Opportunistic routing has the potential to substantially increase wireless network throughput. Prior work on opportunistic routing, however, requires tight node coordination. Different nodes in a network must have knowledge of which packets other nodes have received. Furthermore, the nodes have to agree on which nodes should transmit which packets. Such coordination becomes fragile in dense or large networks.This paper introduces MORe, a new opportunistic routing protocol that avoids node-coordination. Our design is rooted in the theory of network coding.Routers code packets going to the same destination and forward the coded versions. The destination decodes and recovers the original packets. This approach needs no coordination and provably maximizes network throughput. We have implemented our design and evaluated it in a 25-node testbed. Our results show that MORE provides an average throughput increase of 60% and a maximum of 10-fold, demonstrating that the theoretical gains promised by network coding are realizable in practice.",12 p.; 22051455 bytes; 883727 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,MORE: A Network Coding Approach to Opportunistic Routing,Network Coding; Opportunistic Routing; Wireless Networks,,,,,,,,,
Dina Katabi,"Teow, Loo Nin; Katabi, Dina",Networks & Mobile Systems,2006-07-12T17:06:52Z,2006-07-12T17:06:52Z,2006-07-04,MIT-CSAIL-TR-2006-050,http://hdl.handle.net/1721.1/33234,"This paper introduces a new application: predicting the Internet provider-customer market. We cast the problem in the collaborative filtering framework, where we use current and past customer-provider relationships to compute for each Internet customer a ranking of potential future service providers. Furthermore, for each Internet service provider (ISP), we rank potential future customers. We develop a novel iterative ranking algorithm that draws inspiration from several sources, including collaborative filtering, webpage ranking, and kernel methods. Further analysis of our algorithm shows that it can be formulated in terms of an affine eigenvalue problem. Experiments on the actual Internet customer-provider data show promising results.",9 p.; 1308662 bytes; 269609 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Iterative Collaborative Ranking of  Customers and Providers,Network Analysis; Autonomous Systems,,,,,,,,,
