dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.title,dc.description,dc.subject,dc.relation.replaces,dc.relation.uri,dc.identifier.citation
Michael Ernst,"Kiezun, Adam; Ernst, Michael D.; Tip, Frank; Fuhrer, Robert M.",Program Analysis,2006-09-07T20:30:25Z,2006-09-07T20:30:25Z,2006-09-05,MIT-CSAIL-TR-2006-061,http://hdl.handle.net/1721.1/33965,"Type safety and expressiveness of many existing Java libraries and theirclient applications would improve, if the libraries were upgraded to definegeneric classes.  Efficient and accurate tools exist to assist clientapplications to use generics libraries, but so far the libraries themselvesmust be parameterized manually, which is a tedious, time-consuming, anderror-prone task.  We present a type-constraint-based algorithm forconverting non-generic libraries to add type parameters.  The algorithmhandles the full Java language and preserves backward compatibility, thusmaking it safe for existing clients.  Among other features, it is capableof inferring wildcard types and introducing type parameters formutually-dependent classes.  We have implemented the algorithm as a fullyautomatic refactoring in Eclipse.We evaluated our work in two ways.  First, our tool parameterized code thatwas lacking type parameters.  We contacted the developers of several ofthese applications, and in all cases where we received a response, theyconfirmed that the resulting parameterizations were correct and useful.Second, to better quantify its effectiveness, our tool parameterizedclasses from already-generic libraries, and we compared the results tothose that were created by the libraries' authors.  Our tool performed therefactoring accurately -- in 87% of cases the results were as good as thosecreated manually by a human expert, in 9% of cases the tool results werebetter, and in 4% of cases the tool results were worse.",11 p.; 268513 bytes; 1340485 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Refactoring for parameterizing Java classes,,,,,
Michael Ernst,"Tschantz, Matthew S.",Program Analysis,2006-09-07T18:51:29Z,2006-09-07T18:51:29Z,2006-09-05,MIT-CSAIL-TR-2006-059,http://hdl.handle.net/1721.1/33963,"This paper describes a programming language, Javari, that is capable of expressing and enforcing immutability constraints.  The specific constraint expressed is that the abstract state of the object to which an immutable reference refers cannot be modified using that reference.  The abstract state is (part of) the transitively reachable state: that is, the state of the object and all state reachable from it by following references.  The type system permits explicitly excluding fields from the abstract state of an object.  For a statically type-safe language, the type system guarantees reference immutability.The type system is distinguishes the notions of assignability and mutability; integrates with Java's generic types and with multi-dimensional arrays; provides a mutability polymorphism approach to avoiding code duplication; and has type-safe support for reflection and serialization.  This paper describes a core calculus including formal type rules for the language.Additionally, this paper describes a type inference algorithm that can be used convert existing Java programs to Javari.  Experimental results from a prototype implementation of the algorithm are presented.",133 p.; 1217863 bytes; 4225617 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Javari: Adding Reference Immutability to Java,MEng thesis,assignable; languages; mutable; readonly; type system; verification,,,
Nancy Lynch,"Canetti,, Ran; Cheung,, Ling; Kaynar,, Dilsun; Liskov,, Moses; Lynch,, Nancy; Pereira,, Olivier; Segala, Roberto",Theory of Computation,2006-09-07T20:14:22Z,2006-09-07T20:14:22Z,2006-09-05,MIT-CSAIL-TR-2006-060,http://hdl.handle.net/1721.1/33964,"Modeling frameworks such as Probabilistic I/O Automata (PIOA) andMarkov Decision Processes permit both probabilistic andnondeterministic choices.  In order to use such frameworks to express claims about probabilities of events, one needs mechanisms for resolving nondeterministic choices.  For PIOAs, nondeterministic choices have traditionally been resolved by schedulers that have perfect information about the past execution.  However, such schedulers are too powerful for certain settings, such as cryptographic protocol analysis, where information must sometimes be hidden. Here, we propose a new, less powerful nondeterminism-resolutionmechanism for PIOAs, consisting of tasks and local schedulers.Tasks are equivalence classes of system actions that are scheduled byoblivious, global task sequences.  Local schedulers resolve nondeterminism within system components, based on local information only.  The resulting task-PIOA framework yields simple notions of external behavior and implementation, and supports simple compositionality results.We also define a new kind of simulation relation, and show it to besound for proving implementation.  We illustrate the potential of the task-PIOA    framework by outlining its use in verifying an Oblivious Transfer protocol.",34 p.; 2343188 bytes; 369503 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Task-Structured Probabilistic I/O Automata,,,http://hdl.handle.net/1721.1/32525,http://hdl.handle.net/1721.1/32525,
Tomaso Poggio,"Caponnetto, Andrea; Yao, Yuan",Center for Biological and Computational Learning (CBCL),2006-09-29T18:36:45Z,2006-09-29T18:36:45Z,2006-09-10,MIT-CSAIL-TR-2006-063; CBCL-265,http://hdl.handle.net/1721.1/34217,"We consider learning algorithms induced by regularization methods in the regression setting.  We show that previously obtained error bounds for these algorithms using a-priori choices of the regularization parameter, can be attained using a suitable a-posteriori choice based on validation.  In particular, these results prove adaptation of the rate of convergence of the estimators to the minimax rate induced by the ""effective dimension"" of the problem.  We also show universal consistency for theses class methods.",19 p.; 963649 bytes; 819523 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Adaptation for Regularization Operators in Learning Theory,,"optimal rates, Learning, regularization methods, adaptation, cross-validation",,,
Tomaso Poggio,"Caponnetto, Andrea",Center for Biological and Computational Learning (CBCL),2006-09-29T18:36:42Z,2006-09-29T18:36:42Z,2006-09-10,MIT-CSAIL-TR-2006-062; CBCL-264,http://hdl.handle.net/1721.1/34216,"We develop some new error bounds for learning algorithms induced by regularization methods in the regression setting.  The ""hardness"" of the problem is characterized in terms of the parameters r and s, the first related to the ""complexity"" of the target function, the second connected to the effective dimension of the marginal probability measure over the input space.  We show, extending previous results, that by a suitable choice of the regularization parameter as a function of the number of the available examples, it is possible attain the optimal minimax rates of convergence for the expected squared loss of the estimators, over the family of priors fulfilling the constraint r + s > 1/2.  The setting considers both labelled and unlabelled examples, the latter being crucial for the optimality results on the priors in the range r < 1/2.",16 p.; 776374 bytes; 738421 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Optimal Rates for Regularization Operators in Learning Theory,,"optimal rates, regularized least-squares algorithm, regularization methods, adaptation",,,
Srini Devadas,"Sarmenta, Luis F. G.; van Dijk, Marten; O'Donnell, Charles W.; Rhodes, Jonathan; Devadas, Srinivas",Computation Structures,2006-09-11T22:20:24Z,2006-09-11T22:20:24Z,2006-09-11,MIT-CSAIL-TR-2006-064,http://hdl.handle.net/1721.1/33966,"A trusted monotonic counter is a valuable primitive thatenables a wide variety of highly scalable offlineand decentralized applications that would otherwise be prone to replay attacks, including offline payment, e-wallets, virtual trusted storage, and digital rights management (DRM).In this paper, we show how one can implement a very large number of virtual monotonic counters on an untrusted machine with a Trusted Platform Module (TPM) or similar device, without relying on a trusted OS.  We first present a log-based scheme that can be implemented with the current version of the TPM (1.2) and used incertain applications.We then show how the addition of a few simple features tothe TPM makes it possible to implement a hash-tree-based schemethat not only offers improved performance and scalability compared to the log-based scheme, but also makes it possible to implement count-limited objects (or ``clobs'' for short) -- i.e., encrypted keys, data, and other objectsthat can only be used when an associated virtual monotonic counter is within a certain range.Such count-limited objects include n-time use keys, n-out-of-m data blobs,n-copy migratable objects, and other variants, which have many potential uses in digital rights management (DRM), digital cash, digital voting, itinerant computing,and other application areas.",18 p.; 430350 bytes; 694048 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Virtual Monotonic Counters and Count-Limited Objects using a TPM without a Trusted OS (Extended Version),,trusted storage; key delegation; stored-value; e-wallet; smartcard; memory integrity checking; certified execution,,,A shorter version of this paper will appear in the 1st ACM CCS Workshop on Scalable Trusted Computing (STC'06).
Michael Ernst,"Artzi, Shay; Ernst, Michael D.; Glasser, David; Kiezun, Adam",Program Analysis,2006-09-18T17:55:18Z,2006-09-18T17:55:18Z,2006-09-17,MIT-CSAIL-TR-2006-065,http://hdl.handle.net/1721.1/33968,"Knowing which method parameters may be mutated during a method'sexecution is useful for many software engineering tasks.  We presentan approach to discovering parameter immutability, in which severallightweight, scalable analyses are combined in stages, with each stagerefining the overall result.  The resulting analysis is scalable andcombines the strengths of its component analyses.  As one of thecomponent analyses, we present a novel, dynamic mutability analysisand show how its results can be improved by random input generation.Experimental results on programs of up to 185 kLOC demonstrate that,compared to previous approaches, our approach increases both scalabilityand overall accuracy.",10 p.; 176363 bytes; 1038435 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Combined static and dynamic mutability analysis,,immutability; mutability; side effect analysis; purity; pointer analysis; dynamic analysis; mutation,,,
Krste Asanovic,"Tseng, Jessica H.; Asanovic, Krste",Computer Architecture,2006-09-25T16:01:50Z,2006-09-25T16:01:50Z,2006-09-18,MIT-CSAIL-TR-2006-066,http://hdl.handle.net/1721.1/34012,"RingScalar is a complexity-effective microarchitecture for out-of-order superscalar processors, that reduces the area, latency, and power of all major structures in the instruction flow.  The design divides an N-way superscalar into N columns connected in a unidirectional ring, where each column contains a portion of the instruction window, a bank of the register file, and an ALU.  The design exploits the fact that most decoded instructions are waiting on just one operand to use only a single tag per issue window entry, and to restrict instruction wakeup and value bypass to only communicate with the neighboring column.  Detailed simulations of four-issue single-threaded machines running SPECint2000 show that RingScalar has IPC only 13% lower than an idealized superscalar, while providing large reductions in area, power, and circuit latency.",14 p.; 1561908 bytes; 957204 bytes,application/postscript; application/pdf,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,RingScalar: A Complexity-Effective Out-of-Order Superscalar Microarchitecture,,,,,
Saman Amarasinghe,"Zhao, Qin; Rabbah, Rodric; Amarasinghe, Saman; Rudolph, Larry; Wong, Weng-Fai",Computer Architecture,2006-09-25T21:21:43Z,2006-09-25T21:21:43Z,2006-09-25,MIT-CSAIL-TR-2006-067,http://hdl.handle.net/1721.1/34013,"Modern memory systems play a critical role in the performance ofapplications, but a detailed understanding of the application behaviorin the memory system is not trivial to attain. It requires timeconsuming simulations of the memory hierarchy using long traces, andoften using detailed modeling. It is increasingly possible to accesshardware performance counters to measure events in the memory system,but the measurements remain coarse grained, better suited forperformance summaries than providing instruction level feedback. Theavailability of a low cost, online, and accurate methodology forderiving fine-grained memory behavior profiles can prove extremelyuseful for runtime analysis and optimization of programs.This paper presents a new methodology for Ubiquitous MemoryIntrospection (UMI). It is an online and lightweight mini-simulationmethodology that focuses on simulating short memory access tracesrecorded from frequently executed code regions. The simulations arefast and can provide profiling results at varying granularities, downto that of a single instruction or address. UMI naturally complementsruntime optimizations techniques and enables new opportunities formemory specific optimizations.In this paper, we present a prototype implementation of a runtimesystem implementing UMI. The prototype is readily deployed oncommodity processors, requires no user intervention, and can operatewith stripped binaries and legacy software. The prototype operateswith an average runtime overhead of 20% but this slowdown is only 6%slower than a state of the art binary instrumentation tool.  We used32 benchmarks, including the full suite of SPEC2000 benchmarks, forour evaluation. We show that the mini-simulation results accuratelyreflect the cache performance of two existing memory systems, anIntel Pentium~4 and an AMD Athlon MP (K7) processor. We alsodemonstrate that low level profiling information from the onlinesimulation can serve to identify high-miss rate load instructions with a77% rate of accuracy compared to full offline simulations thatrequired days to complete. The online profiling results are used atruntime to implement a simple software prefetching strategy thatachieves a speedup greater than 60% in the best case.",23 p.; 278689 bytes; 1358949 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Ubiquitous Memory Introspection (Preliminary Manuscript),,Performance Monitoring; Online Simulation; Runtime Optimization; Cache Modelling; Memory Hierarchy,,,
Daniel Jackson,"Torlak, Emina; Jackson, Daniel",Software Design,2006-09-29T21:46:41Z,2006-09-29T21:46:41Z,2006-09-29,MIT-CSAIL-TR-2006-068,http://hdl.handle.net/1721.1/34218,"The key design challenges in the construction of a SAT-based relational engine are described, and novel techniques are proposed to address them.  An efficient engine must have a mechanism for specifying partial solutions, an effective symmetry detection and breaking scheme, and an economical translation from relational to boolean logic.  These desiderata are addressed with three new techniques: a symmetry detection algorithm that works in the presence of partial solutions, a sparse-matrix representation of relations, and a compact representation of boolean formulas inspired by boolean expression diagrams and reduced boolean circuits.  The presented techniques have been implemented and evaluated, with promising results.",11 p.; 444636 bytes; 1204261 bytes,application/pdf; application/postscript,en_US,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,The Design of a Relational Engine,,,,,
