dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.title,dc.description,dc.subject,dc.identifier.citation,dc.contributor,dc.rights,dc.rights.uri,dc.date.updated,dc.relation
Daniel Weitzner,"Weitzner, Daniel J.; Abelson, Harold; Berners-Lee, Tim; Feigenbaum, Joan; Hendler, James; Sussman, Gerald Jay",Decentralized Information Group,2007-06-14T11:41:47Z,2007-06-14T11:41:47Z,2007-06-13,MIT-CSAIL-TR-2007-034,http://hdl.handle.net/1721.1/37600,"Ease of information flow is both the boon and the bane of large-scale, decentralized systems like the World Wide Web.  For all the benefits and opportunities brought by the information revolution, with that same revolution have come the challenges of inappropriate use. Such excesses and abuses in the use of information are most commonly viewed through the lens of information security. This paper argues that debates over online privacy, copyright, and information policy questions have been overly dominated by the access restriction perspective. Our alternative is to design systems that are oriented toward information accountability and appropriate use, rather than information security and access restriction.  Our goal is to extend the Web architecture to support transparency and accountability.",8 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Information Accountability,,,,,,,,
Karen Sollins,"Hansen, Richard E.",Advanced Network Architecture,2007-06-22T12:41:46Z,2007-06-22T12:41:46Z,2007-06-21,MIT-CSAIL-TR-2007-035,http://hdl.handle.net/1721.1/37601,"Distributed denial-of-service (DDoS) attacks can easily cripple victim hosts or networks, yet effective defenses remain elusive.  Normal anycast can be used to force the diffusion of attack traffic over a group of several hosts to increase the difficulty of saturating resources at or near any one of the hosts.  However, because a packet sent to the anycast group may be delivered to any member, anycast does not support protocols that require a group member to maintain state (such as TCP).  This makes anycast impractical for most applications of interest.This document describes the design of Stateful Anycast, a conceptual anycast-like network service based on IP anycast.  Stateful Anycast is designed to support stateful sessions without losing anycast’s ability to defend against DDoS attacks.  Stateful Anycast employs a set of anycasted proxies to direct packets to the proper stateholder.  These proxies provide DDoS protection by dropping a session’s packets upon group member request.  Stateful Anycast is incrementally deployable and can scale to support many groups.",103 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Stateful Anycast for DDoS Mitigation,MEng thesis,,,,,,,
Dave Gifford,"Gerber, Georg K.; Dowell, Robin D.; Jaakkola, Tommi S.; Gifford, David K.",Computational & Systems Biology,2007-06-26T22:24:22Z,2007-06-26T22:24:22Z,2007-06-25,,http://hdl.handle.net/1721.1/37603,"Table 2 (Supplemental): Complete data for all 100 recurrent expression programs (EPs) discovered by GeneProgram.  Each EP has two identifying rows, a list of meta-genes, and a list of significantly enriched GO categories.  The first identifying row has three columns: (1) the EP identifier (an arbitrarily assigned number), (2) the number of meta-genes in the EP, and (3) the percentage of samples the EP occurs in.  The identifying row lists all tissues that use the EP (h_ = human tissue, m_ = mouse tissue).  Numbers in parentheses next to each tissue indicate the degree to which the tissue uses the EP.After the identifying rows the set of meta-genes in the EP are listed. Each meta-gene has eight columns: (1) the human RefSeq identifier, (2) the mouse RefSeq identifier, (3) the empirical mean expression level, (4) the empirical mean occurrence percentage, (5) the human gene name, (6) the human Swis-Prot description, (7) the mouse gene name, and (8) the mouse Swis-Prot description.Following the meta-genes are lists of significant GO categories (the first list uses human annotations, and the second uses mouse annotations).  The columns for each line in this list are: (1) GO term, (2) enrichment p-value, (3) number of genes in the EP in the category/total genes in the EP with some GO category, (4) category description, and (5) total number of genes in the category that are also in the dataset analyzed.",N/A,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Table 2 (Supplemental): Complete data for all 100 expression programs discovered by GeneProgram from the Novartis Gene Atlas v2,,,,,,,,
Dave Gifford,"Gerber, Georg K.; Dowell, Robin D.; Jaakkola, Tommi S.; Gifford, David K.",Computational & Systems Biology,2007-06-26T22:22:12Z,2007-06-26T22:22:12Z,2007-06-25,,http://hdl.handle.net/1721.1/37602,"Table 1 (Supplemental): Summary of  recurrent expression programs (EPs) discovered by GeneProgram.  The columns are: (1) the EP identifier (an arbitrarily assigned number), (2) the number of genes in the EP, (3) the number of tissues in the EP, (4) the species using the EP (i.e., one or more tissues from the species uses the EP, H = human, M = mouse), (5) the generality score (GS), (6) the top three tissues using the EP (numbers in parentheses = usage percentages), (7)-(9) the GO category name, GO term, and associated p-value for the most abundant significantly enriched category (i.e., the significant category with the most genes overlapping with the EP's genes).",N/A,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Table 1 (Supplemental): Summary of expression programs discovered by GeneProgram from Novartis Tissue Atlas v2 data,,,,,,,,
Howard Shrobe,"Bachrach, Jonathan; Beal, Jacob; Fujiwara, Takeshi",AIRE,2007-07-23T14:41:48Z,2007-07-23T14:41:48Z,2007-07,MIT-CSAIL-TR-2007-038,http://hdl.handle.net/1721.1/38206,"A spatial computer is a collection of devices filling spacewhose ability to interact is strongly dependent on theirproximity. Previously, we have showed that programmingsuch a computer as a continuous space can allow self-scalingacross computers with different device distributionsand can increase robustness against device failure. Wehave extended these ideas to time, allowing self-scalingacross computers with different communication and executionrates. We have used a network of 24 Mica2 Motes todemonstrate that a program exploiting these ideas showsminimal difference in behavior as the time between programsteps ranges from 100 ms to 300 ms and on a configurationwith mixed rates.",4 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Continuous Space-Time Semantics Allow Adaptive Program Execution,,amorphous computing; Proto,IEEE SASO 2007,,,,,
Sam Madden,"Abadi, Daniel J.; Marcus, Adam; Madden, Samuel R.; Hollenbach, Kate",Database,2007-07-09T17:41:50Z,2007-07-09T17:41:50Z,2007-07-06,MIT-CSAIL-TR-2007-036,http://hdl.handle.net/1721.1/37816,This report describes the Barton Libraries RDF dataset and Longwell querybenchmark that we use for our recent VLDB paper on Scalable Semantic WebData Management Using Vertical Partitioning.,4 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Using The Barton Libraries Dataset As An RDF benchmark,,,,,,,,
Dave Gifford,"Gerber, Georg K.; Dowell, Robin D.; Jaakkola, Tommi S.; Gifford, David K.",Computational & Systems Biology,2007-07-09T17:43:48Z,2007-07-09T17:43:48Z,2007-07-06,MIT-CSAIL-TR-2007-037,http://hdl.handle.net/1721.1/37817,"An important research problem in computational biology is theidentification of expression programs, sets of co-activatedgenes orchestrating physiological processes, and thecharacterization of the functional breadth of these programs.  Theuse of mammalian expression data compendia for discovery of suchprograms presents several challenges, including: 1) cellularinhomogeneity within samples, 2) genetic and environmental variationacross samples, and 3) uncertainty in the numbers of programs andsample populations. We developed GeneProgram, a new unsupervisedcomputational framework that uses expression data to simultaneouslyorganize genes into overlapping programs and tissues into groups toproduce maps of inter-species expression programs, which are sortedby generality scores that exploit the automatically learnedgroupings.  Our method addresses each of the above challenges byusing a probabilistic model that: 1) allocates mRNA to differentexpression programs that may be shared across tissues, 2) ishierarchical, treating each tissue as a sample from a population ofrelated tissues, and 3) uses Dirichlet Processes, a non-parametricBayesian method that provides prior distributions over numbers ofsets while penalizing model complexity.  Using real gene expressiondata, we show that GeneProgram outperforms several popularexpression analysis methods in recovering biologically interpretablegene sets.  From a large compendium of mouse and human expressiondata, GeneProgram discovers 19 tissue groups and 100 expressionprograms active in mammalian tissues.  Our method automaticallyconstructs a comprehensive, body-wide map of expression programs andcharacterizes their functional generality. This map can be used forguiding future biological experiments, such as discovery of genesfor new drug targets that exhibit minimal ""cross-talk"" withunintended organs, or genes that maintain general physiologicalresponses that go awry in disease states.  Further, our method isgeneral, and can be applied readily to novel compendia of biologicaldata.",42 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Hierarchical Dirichlet Process-Based Models For Discovery of Cross-species Mammalian Gene Expression,,,,,,,,
Karen Sollins,"Li, Ji",Advanced Network Architecture,2007-07-26T13:41:47Z,2007-07-26T13:41:47Z,2007-07-26,MIT-CSAIL-TR-2007-039,http://hdl.handle.net/1721.1/38207,"In designing and building a network like the Internet, we continue to face the problems of scale and distribution. In particular, network management has become an increasingly difficult task, and network applications often need to maintain efficient connectivity graphs for various purposes. The knowledge plane was proposed as a new construct to improve network management and applications. In this proposal, I propose an application-independent mechanism to support the construction of application-specific connectivity graphs. Specifically, I propose to build a network knowledge plane and multiple sub-planes for different areas of network services. The network knowledge plane provides valuable knowledge about the Internet to the sub-planes, and each sub-plane constructs its own connectivity graph using network knowledge and knowledge in its own specific area. I focus on two key design issues: (1) a region-based architecture for agent organization; (2) knowledge dissemination and request propagation. Network management and applications benefit from the underlying network knowledge plane and sub-planes. To demonstrate the effectiveness of this mechanism, I conduct case studies in network management and security.",26 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Agent Organization and Request Propagation in the Knowledge Plane,,"knowledge plane, connectivity graph, agent, region, knowledge dissemination, network topology",,,,,,
,"Hsu, Eugene; Silva, Marco da; Popovic, Jovan",,2008-08-25T19:01:02Z,2008-08-25T19:01:02Z,2007-08-01,,http://hdl.handle.net/1721.1/41946,"Time warping allows users to modify timing without affecting poses. It has many applications in animation systems for motion editing, such as refining motions to meet new timing constraints or modifying the acting of animated characters. However, time warping typically requires many manual adjustments to achieve the desired results. We present a technique which simplifies this process by allowing time warps to be guided by a provided reference motion. Given few timing constraints, it computes a warp that both satisfies these constraints and maximizes local timing similarities to the reference. The algorithm is fast enough to incorporate into standard animation workflows. We apply the technique to two common tasks: preserving the natural timing of motions under new time constraints and modifying the timing of motions for stylistic effects.",N/A,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Guided Time Warping for Motion Editing,,,"In ACM SIGGRAPH/Eurographics Symposium on Computer Animation, pages 45-52, July 2007.",Jovan Popovic; Computer Graphics,,,,
Frans Kaashoek,"Brodsky, Micah Z. (Micah Zev); Efstathopoulos, Petros; Kaashoek, Frans; Kohler, Eddie; Krohn, Maxwell; Mazieres, David; Morris, Robert; VanDeBogart, Steve; Yip, Alexander",Parallel and Distributed Operating Systems,2007-08-06T15:21:49Z,2007-08-06T15:21:49Z,2007-08-06,MIT-CSAIL-TR-2007-041,http://hdl.handle.net/1721.1/38453,"We present a secure service prototype built from untrusted,contributed code.The service manages private data for a variety of different users, anduser programs frequently require access to other users' private data.However, aside from covert timing channels, no part of the service cancorrupt private data or leak it between users or outside the systemwithout permission from the data's owners.Instead, owners may choose to reveal their data in a controlled manner.This application model is demonstrated by Muenster, a job searchwebsite that protects both the integrity and secrecy of each user's data.In spite of running untrusted code, Muenster and other services canprevent overt leaks because the untrusted modules are constrained bythe operating system to follow pre-specified security policies, whichare nevertheless flexible enough for programmers to do useful work.We build Muenster atop Asbestos, a recently described operating systembased on a form of decentralized information flowcontrol.",20 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Toward Secure Services from Untrusted Developers,,decentralized information flow control; operating systems; security; web services; untrusted code; debugging; persistent storage,,,,,,
