dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation,dc.subject,dc.title,dc.relation.ispartofseries,dc.contributor,dc.identifier.citation
Leslie Kaelbling,"Milch, Brian; Koller, Daphne",Learning and Intelligent Systems,2008-05-13T16:00:19Z,2008-05-13T16:00:19Z,2008-05-12,MIT-CSAIL-TR-2008-029,http://hdl.handle.net/1721.1/41530,"In some multi-agent scenarios, identifying observations that an agent can safely ignore reduces exponentially the size of the agent's strategy space and hence the time required to find a Nash equilibrium. We consider games represented using the multi-agent influence diagram (MAID) framework of Koller and Milch [2001], and analyze the extent to which information edges can be eliminated. We define a notion of a safe edge removal transformation, where all equilibria in the reduced model are also equilibria in the original model. We show that existing edge removal algorithms for influence diagrams are safe, but limited, in that they do not detect certain cases where edges can be removed safely. We describe an algorithm that produces the ""minimal"" safe reduction, which removes as many edges as possible while still preserving safety. Finally, we note that both the existing edge removal algorithms and our new one can eliminate equilibria where agents coordinate their actions by conditioning on irrelevant information. Surprisingly, in some games these ""lost"" equilibria can be preferred by all agents in the game.",16 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,Multi-agent influence diagrams; Irrelevance,Ignorable Information in Multi-Agent Scenarios,,,
Silvio Micali,"Chen, Jing; Micali, Silvio",Theory of Computation,2008-07-09T22:15:19Z,2008-07-09T22:15:19Z,2008-06,MIT-CSAIL-TR-2008-041,http://hdl.handle.net/1721.1/41877,"We put forward new benchmarks and solution concepts for Adversarial Mechanism Design, as defined by [MV07.a], and we exemplify them in the case of truly combinatorial auctions.We benchmark the combined performance (the sum of the auction's efficiency and revenue) of a truly combinatorial auction against a very relevant but private knowledge of the players: essentially, the maximum revenue that the best informed player could guarantee if he were the seller. (I.e., by offering each other player a subset of the goods for a take-it-or-leave-it price.)We achieve this natural benchmark within a factor of 2, by means of a new and probabilistic auction mechanism, in surviving strategies. That is, the above performance of our mechanism is guaranteed in any rational play, independent of any possible beliefs of the players. Indeed, our performance guarantee holds for any possible choice of strategies, so long as each player chooses a strategy among those surviving iterated elimination of dominated strategies.Our mechanism is extremely robust. Namely, its performance guarantees hold even if all but one of the players collude (together or in separate groups) in any possible but reasonable way. Essentially, the only restriction for the collective utility function of a collusive subset S of the players is the following: the collective utility increases when one member of S is allocated a ubset of the goods ""individually better"" for him and/or his ""individual price"" is smaller, while the allocations and prices of all other members of S stay the same.Our results improve on the yet unpublished ones of [MV07.b]. The second part of this paper, dealing with a more aggressive benchmark (essentially, the maximum welfare privately known to the players) is forthcoming.",17 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,Knowledge Benchmarks in Adversarial Mechanism Design and Implementation in Surviving Strategies (Part I),,,
Hari Balakrishnan,"Jamieson, Kyle",Networks & Mobile Systems,2008-06-05T18:00:27Z,2008-06-05T18:00:27Z,2008-06-03,MIT-CSAIL-TR-2008-031,http://hdl.handle.net/1721.1/41857,"At ever-increasing rates, we are using wireless systems to communicatewith others and retrieve content of interest to us. Current wirelesstechnologies such as WiFi or Zigbee use forward error correction todrive bit error rates down when there are few interferingtransmissions. However, as more of us use wireless networks toretrieve increasingly rich content, interference increases inunpredictable ways. This results in errored bits, degradedthroughput, and eventually, an unusable network. We observe that thisis the result of higher layers working at the packet granularity,whereas they would benefit from a shift in perspective from wholepackets to individual symbols.From real-world experiments on a 31-node testbed of Zigbee andsoftware-defined radios, we find that often, not all of the bitsin corrupted packets share fate. Thus, today's wireless protocolsretransmit packets where only a small number of the constituent bitsin a packet are in error, wasting network resources. In thisdissertation, we will describe a physical layer that passesinformation about its confidence in each decoded symbol up to higherlayers. These SoftPHY hints have many applications, one ofwhich, more efficient link-layer retransmissions, we will describe indetail. PP-ARQ is a link-layer reliable retransmission protocolthat allows a receiver to compactly encode a request forretransmission of only the bits in a packet that are likely in error.Our experimental results show that PP-ARQ increases aggregate networkthroughput by a factor of approximately 2x under variousconditions. Finally, we will place our contributions in the contextof related work and discuss other uses of SoftPHY throughout thewireless networking stack.",153 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,802.11; 802.15.4,The SoftPHY Abstraction: from Packets to Symbols in Wireless Network Design,,,
Seth Teller,"Huang, Albert S.; Teller, Seth","Robotics, Vision & Sensor Networks",2008-06-11T20:15:09Z,2008-06-11T20:15:09Z,2008-06-06,MIT-CSAIL-TR-2008-032,http://hdl.handle.net/1721.1/41860,"We describe a new method for wide-area, non-metrical robot navigationwhich enables useful, purposeful motion indoors. Our method has twophases: a training phase, in which a human user directs a wheeledrobot with an attached camera through an environment while occasionallysupplying textual place names; and a navigation phase in which theuser specifies goal place names (again as text), and the robot issueslow-level motion control in order to move to the specified place. We show thatdifferences in the visual-field locations and scales of features matched acrosstraining and navigation can be used to construct a simple and robust controlrule that guides the robot onto and along the training motion path.Our method uses an omnidirectional camera, requires approximateintrinsic and extrinsic camera calibration, and is capable of effective motioncontrol within an extended, minimally-prepared building environment floorplan.We give results for deployment within a single building floor with 7 rooms, 6corridor segments, and 15 distinct place names.",8 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,Non-Metrical Navigation Through Visual Path Control,,,
Trevor Darrell,"Yeh, Tom; Lee, John J.; Darrell, Trevor",Vision,2008-06-11T20:15:30Z,2008-06-11T20:15:30Z,2008-06-10,MIT-CSAIL-TR-2008-033,http://hdl.handle.net/1721.1/41862,"Object localization and classification are important problems incomputer vision. However, in many applications, exhaustive searchover all class labels and image locations is computationallyprohibitive. While several methods have been proposed to makeeither classification or localization more efficient, few havedealt with both tasks simultaneously. This paper proposes anefficient method for concurrent object localization andclassification based on a data-dependent multi-classbranch-and-bound formalism. Existing bag-of-featuresclassification schemes, which can be expressed as weightedcombinations of feature counts can be readily adapted to ourmethod. We present experimental results that demonstrate the meritof our algorithm in terms of classification accuracy, localizationaccuracy, and speed, compared to baseline approaches includingexhaustive search, the ISM method, and single-class branch andbound.",9 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,Fast concurrent object classification and localization,,,
Karen Sollins,"Li, Ji",Advanced Network Architecture,2008-06-11T20:15:18Z,2008-06-11T20:15:18Z,2008-06-11,MIT-CSAIL-TR-2008-034,http://hdl.handle.net/1721.1/41861,"In designing and building a network like the Internet, we continue to face the problems of scale and distribution. With the dramatic expansion in scale and heterogeneity of the Internet, network management has become an increasingly difficult task. Furthermore, network applications often need to maintain efficient organization among the participants by collecting information from the underlying networks. Such individual information collection activities lead to duplicate efforts and contention for network resources.The Knowledge Plane (KP) is a new common construct that provides knowledge and expertise to meet the functional, policy and scaling requirements of network management, as well as to create synergy and exploit commonality among many network applications. To achieve these goals, we face many challenging problems, including widely distributed data collection, efficient processing of that data, wide availability of the expertise, etc.In this thesis, to provide better support for network management and large-scale network applications, I propose a knowledge plane architecture that consists of a network knowledge plane (NetKP) at the network layer, and on top of it, multiple specialized KPs (spec-KPs). The NetKP organizes agents to provide valuable knowledge and facilities about the Internet to the spec-KPs. Each spec-KP is specialized in its own area of interest. In both the NetKP and the spec-KPs, agents are organized into regions based on different sets of constraints. I focus on two key design issues in the NetKP: (1) a regionbased architecture for agent organization, in which I design an efficient and non-intrusive organization among regions that combines network topology and a distributed hash table; (2) request and knowledge dissemination, in which I design a robust and efficient broadcast and aggregation mechanism using a tree structure among regions. In the spec-KPs, I build two examples: experiment management on the PlanetLab testbed and distributed intrusion detection on the DETER testbed. The experiment results suggest a common approach driven by the design principles of the Internet and more specialized constraints can derive productive organization for network management and applications.",191 p.,; Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,broadcast; region; knowledge plane; network pnowledge plane; agent; intrusion detection; specialized knowledge plane; distributed hash table; aggregation,Agent Organization in the Knowledge Plane,,,
Chris Terman,"Carli, Roberto",Computer Architecture,2008-07-02T06:00:36Z,2008-07-02T06:00:36Z,2008-06-16,MIT-CSAIL-TR-2008-036,http://hdl.handle.net/1721.1/41874,"The flexible MIPS soft processor architecture borrows selected technologies from high-performance computing to deliver a modular, highly customizable CPU targeted towards FPGA implementations for embedded systems; the objective is to provide a more flexible architectural alternative to coprocessor-based solutions. The processor performs out-of-order execution on parallel functional units, it delivers in-order instruction commit and it is compatible with the MIPS-1 Instruction Set Architecture. Amongst many available options, the user can introduce custom instructions and matching functional units; modify existing units; change the pipelining depth within functional units to any fixed or variable value; customize instruction definitions in terms of operands, control signals and register file interaction; insert multiple redundant functional units for improved performance. The flexibility provided by the architecture allows the user to expand the processor functionality to implement instructions of coprocessor-level complexity through additional functional units. The processor design was implemented and simulated on two FPGA platforms, tested on multiple applications, and compared to three commercially available soft processor solutions in terms of features, area, clock frequency and benchmark performance.",49 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,Flexible MIPS Soft Processor Architecture,,,
Silvio Micali,"Chen, Jing; Micali, Silvio",Theory of Computation,2008-07-02T06:00:46Z,2008-07-02T06:00:46Z,2008-06-17,MIT-CSAIL-TR-2008-037,http://hdl.handle.net/1721.1/41875,None,6 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,Leveraging Player Knowledge in Combinatorial Auctions (and Implementation in Surviving Strategies),,,
Eric Grimson,"Grimson, Eric; Wang, Xiaogang; Ng, Gee-Wah; Ma, Keng Teck",Vision,2008-03-17T19:15:17Z,2008-03-17T19:15:17Z,2008-06-24,MIT-CSAIL-TR-2008-015,http://hdl.handle.net/1721.1/40808,"We propose a novel nonparametric Bayesian model, Dual Hierarchical Dirichlet Processes (Dual-HDP), for trajectory analysis and semantic region modeling in surveillance settings, in an unsupervised way. In our approach, trajectories are treated as documents and observations of an object on a trajectory are treated as words in a document. Trajectories are clustered into different activities. Abnormal trajectories are detected as samples with low likelihoods. The semantic regions, which are intersections of paths commonly taken by objects, related to activities in the scene are also modeled. Dual-HDP advances the existing Hierarchical Dirichlet Processes (HDP) language model. HDP only clusters co-occurring words from documents into topics and automatically decides the number of topics. Dual-HDP co-clusters both words and documents. It learns both the numbers of word topics and document clusters from data. Under our problem settings, HDP only clusters observations of objects, while Dual-HDP clusters both observations and trajectories. Experiments are evaluated on two data sets, radar tracks collected from a maritime port and visual tracks collected from a parking lot.",12 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,"hierarchical Dirichlet processes, activity analysis, clustering, visual surveillance",Trajectory Analysis and Semantic Region Modeling Using A Nonparametric Bayesian Model,,,
Barbara Liskov,"Vandiver, Benjamin Mead",Programming Methodology,2008-07-02T06:00:10Z,2008-07-02T06:00:10Z,2008-06-30,MIT-CSAIL-TR-2008-040,http://hdl.handle.net/1721.1/41873,"This thesis describes the design, implementation, and evaluation of a replication scheme to handle Byzantine faults in transaction processing database systems. The scheme compares answers from queries and updates on multiple replicas which are off-the-shelf database systems, to provide a single database that is Byzantine fault tolerant. The scheme works when the replicas are homogeneous, but it also allows heterogeneous replication in which replicas come from different vendors. Heterogeneous replicas reduce the impact of bugs and security compromises because they are implemented independently and are thus less likely to suffer correlated failures. A final component of the scheme is a repair mechanism that can correct the state of a faulty replica, ensuring the longevity of the scheme.The main challenge in designing a replication scheme for transaction processingsystems is ensuring that the replicas state does not diverge while allowing a high degree of concurrency. We have developed two novel concurrency control protocols, commit barrier scheduling (CBS) and snapshot epoch scheduling (SES) that provide strong consistency and good performance. The two protocols provide different types of consistency: CBS provides single-copy serializability and SES provides single-copy snapshot isolation. We have implemented both protocols in the context of a replicated SQL database. Our implementation has been tested with production versions of several commercial and open source databases as replicas. Our experiments show a configuration that can tolerate one faulty replica has only a modest performance overhead (about 10-20% for the TPC-C benchmark). Our implementation successfully masks several Byzantine faults observed in practice and we have used it to find a new bug in MySQL.",174 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,Detecting and Tolerating Byzantine Faults in Database Systems,,,
