dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.subject,dc.title,dc.identifier.citation,dc.rights,dc.rights.uri,dc.contributor,dc.identifier,dc.relation.replaces,dc.relation.uri,dc.relation
Dina Katabi,"Sodini, Charles; Edalat, Farinaz; Katabi, Dina; Kushman, Nate; Rahul, Hariharan",Networks & Mobile Systems,2010-02-02T23:15:08Z,2010-02-02T23:15:08Z,2008-08-17/2008-08-22,http://hdl.handle.net/1721.1/51335,"Wideband technologies in the unlicensed spectrum can satisfy the ever-increasing demands for wireless bandwidth created by emerging rich media applications. The key challenge for such systems, however, is to allow narrowband technologies that share these bands (say, 802.11 a/b/g/n, Zigbee) to achieve their normal performance, without compromising the throughput or range of the wideband network.This paper presents SWIFT, the first system where high-throughput wideband nodes are shown in a working deployment to coexist with unknown narrowband devices, while forming a network of their own. Prior work avoids narrowband devices by operating below the noise level and limiting itself to a single contiguous unused band. While this achieves coexistence, it sacrifices the throughput and operating distance of the wideband device. In contrast, SWIFT creates high throughput wireless links by weaving together non-contiguous unused frequency bands that change as narrowband devices enter or leave the environment. This design principle of cognitive aggregation allows SWIFT to achieve coexistence, while operating at normal power, and thereby obtaining higher throughput and greater operating range. We implement SWIFT on a wideband hardware platform, and evaluate it in the presence of 802.11 devices. In comparison to a baseline that coexists with narrowband devices by operating below their noise level, SWIFT is equally narrowband-friendly but achieves 3.6x-10.5x higher throughput and 6x greater range.",13 p.,MIT-CSAIL-TR-2010-001,Cognitive Radios; White Spaces; Cognitive Aggregation; Wideband; Wireless Networks,SWIFT: A Narrowband-Friendly Cognitive Wideband Network,"""Learning to Share: Narrowband-Friendly Wideband Networks"", ACM SIGCOMM 2008",,,,,,,
Tomaso Poggio,"De Vito, Ernesto; Belkin, Mikhail; Rosasco, Lorenzo",Center for Biological and Computational Learning (CBCL),2008-08-20T19:15:07Z,2008-08-20T19:15:07Z,2008-08-19,http://hdl.handle.net/1721.1/41940,"A large number of learning algorithms, for example, spectral clustering, kernel Principal Components Analysis and many manifold methods are based on estimating eigenvalues and eigenfunctions of operators defined by a similarity function or a kernel, given empirical data. Thus for the analysis of algorithms, it is an important problem to be able to assess the quality of such approximations. The contribution of our paper is two-fold:  1. We use a technique based on a concentration inequality for Hilbert spaces to provide new much simplified proofs for a number of results in spectral approximation.  2. Using these methods we provide several new results for estimating spectral properties of the graph Laplacian operator extending and strengthening results from [26].",22 p.,MIT-CSAIL-TR-2008-052; CBCL-274,perturbation theory; statistical learning theory; kernel methods; spectral methods,A Note on Perturbation Results for Learning Empirical Operators,,Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,,,
,"Dig, Danny; Marrero, John; Ernst, Michael D.",,2008-09-05T21:00:10Z,2008-09-05T21:00:10Z,2008-09-05,http://hdl.handle.net/1721.1/42832,"For several decades, programmers have relied onMooreâ  s Law to improve the performance of their softwareapplications. From now on, programmers need to programthe multi-cores if they want to deliver efficient code. Inthe multi-core era, a major maintenance task will be tomake sequential programs more concurrent. What are themost common transformations to retrofit concurrency intosequential programs?We studied the source code of 5 open-source Javaprojects. We analyzed qualitatively and quantitatively thechange patterns that developers have used in order toretrofit concurrency. We found that these transformationsbelong to four categories: transformations that improve thelatency, the throughput, the scalability, or correctness of theapplications. In addition, we report on our experience ofparallelizing one of our own programs. Our findings caneducate software developers on how to parallelize sequentialprograms, and can provide hints for tool vendors aboutwhat transformations are worth automating.",10 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,concurrency; program transformation; refactoring,How do programs become more concurrent? A story of program transformations,,,,Michael Ernst; Program Analysis,local: MIT-CSAIL-TR-2008-053,,,
,"Kiezun, Adam; Guo, Philip J.; Jayaraman, Karthick; Ernst, Michael D.",,2008-09-25T19:00:06Z,2008-09-25T19:00:06Z,2008-09-10,http://hdl.handle.net/1721.1/42836,"We present a technique for finding security vulnerabilitiesin Web applications. SQL Injection (SQLI) and cross-sitescripting (XSS) attacks are widespread forms of attackin which the attacker crafts the input to the application toaccess or modify user data and execute malicious code. Inthe most serious attacks (called second-order, or persistent,XSS), an attacker can corrupt a database so as to causesubsequent users to execute malicious code.This paper presents an automatic technique for creatinginputs that expose SQLI and XSS vulnerabilities. The techniquegenerates sample inputs, symbolically tracks taintsthrough execution (including through database accesses),and mutates the inputs to produce concrete exploits. Oursis the first analysis of which we are aware that preciselyaddresses second-order XSS attacks.Our technique creates real attack vectors, has few falsepositives, incurs no runtime overhead for the deployed application,works without requiring modification of applicationcode, and handles dynamic programming-languageconstructs. We implemented the technique for PHP, in a toolArdilla. We evaluated Ardilla on five PHP applicationsand found 68 previously unknown vulnerabilities (23 SQLI,33 first-order XSS, and 12 second-order XSS).",11 p.,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,reliability; dynamic analysis; dynamic taint,Automatic Creation of SQL Injection and Cross-Site Scripting Attacks,,,,Michael Ernst; Program Analysis,local: MIT-CSAIL-TR-2008-054,,,
David Karger,"Nikolova, Evdokia",Theory of Computation,2008-09-25T19:00:16Z,2008-09-25T19:00:16Z,2008-09-13,http://hdl.handle.net/1721.1/42837,"We consider general combinatorial optimization problems that can be formulated as minimizing the weight of a feasible solution wT x over an arbitrary feasible set. For these problems we describe a broad class of corresponding stochastic problems where the weight vector W has independent random components, unknown at the time of solution. A natural and important objective which incorporates risk in this stochastic setting, is to look for a feasible solution whose stochastic weight has a small tail or a small linear combination of mean and standard deviation. Our models can be equivalently reformulated as deterministic nonconvex programs for which no efficient algorithms are known. In this paper, we make progress on these hard problems.  Our results are several efficient general-purpose approximation schemes. They use as a black-box (exact or approximate) the solution to the underlying deterministic combinatorial problem and thus immediately apply to arbitrary combinatorial problems. For example, from an available ?-approximation algorithm to the deterministic problem, we construct a ?(1 + ?)-approximation algorithm that invokes the deterministic algorithm only a logarithmic number of times in the input and polynomial in 1/?, for any desired accuracy level ? > 0. The algorithms are based on a geometric analysis of the curvature and approximability of the nonlinear level sets of the objective functions.",25 p.,MIT-CSAIL-TR-2008-055,"approximation algorithms, combinatorial optimization, stochastic optimization, risk, nonconvex optimization, concave programming",Stochastic Combinatorial Optimization with Risk,,,,,,,,
Trevor Darrell,"Stiefelhagen, Rainer; Darrell, Trevor; Urtasun, Raquel; Geiger, Andreas",Vision,2008-09-29T20:15:10Z,2008-09-29T20:15:10Z,2008-09-26,http://hdl.handle.net/1721.1/42840,"Non-linear dimensionality reduction methods are powerful techniques to deal with high-dimensional datasets. However, they often are susceptible to local minima and perform poorly when initialized far from the global optimum, even when the intrinsic dimensionality is known a priori. In this work we introduce a prior over the dimensionality of the latent space, and simultaneously optimize both the latent space and its intrinsic dimensionality. Ad-hoc initialization schemes are unnecessary with our approach; we initialize the latent space to the observation space and automatically infer the latent dimensionality using an optimization scheme that drops dimensions in a continuous fashion. We report results applying our prior to various tasks involving probabilistic non-linear dimensionality reduction, and show that our method can outperform graph-based dimensionality reduction techniques as well as previously suggested ad-hoc initialization strategies.",8 p.,MIT-CSAIL-TR-2008-056,,Rank Priors for Continuous Non-Linear Dimensionality Reduction,,,,,,,,
Michael Ernst,"Ernst, Michael D.; Marrero, John; Dig, Danny",Program Analysis,2008-09-30T19:15:06Z,2008-09-30T19:15:06Z,2008-09-30,http://hdl.handle.net/1721.1/42841,"Parallelizing existing sequential programs to run efficiently on multicores is hard. The Java 5 packagejava.util.concurrent (j.u.c.) supports writing concurrent programs: much of the complexity of writing threads-safe and scalable programs is hidden in the library.  To use this package, programmers still need to reengineer existing code. This is tedious because it requires changing many lines of code, is error-prone because programmers can use the wrong APIs, and is omission-prone because programmers can miss opportunities to use the enhanced APIs.  This paper presents our tool, CONCURRENCER, which enables programmers to refactor sequential code into parallel code that uses j.u.c. concurrent utilities. CONCURRENCER does not require any program annotations, although the transformations are very involved: they span multiple program statements and use custom program analysis.  A find-and-replace tool can not perform such transformations.  Empirical evaluation shows that CONCURRENCER refactors code effectively: CONCURRENCER correctly identifies and applies transformations that some open-source developers overlooked, and the converted code exhibits good speedup.",12 p.,MIT-CSAIL-TR-2008-057,program transformations; concurrency; refactoring; library,Refactoring Sequential Java Code for Concurrency via Concurrent Libraries,,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,,,,
Dina Katabi,"Katabi, Dina; Gollakota, Shyamnath",Networks & Mobile Systems,2008-10-02T15:45:10Z,2008-10-02T15:45:10Z,2008-10-01,http://hdl.handle.net/1721.1/42842,"This paper presents ZigZag, an 802.11 receiver design that combats hidden terminals. ZigZag's core contribution is a new form of interference cancellation that exploits asynchrony across successive collisions. Specifically, 802.11 retransmissions, in the case of hidden terminals, cause successive collisions. These collisions have different interference-free stretches at their start, which ZigZag exploits to bootstrap its decoding. ZigZag makes no changes to the 802.11 MAC and introduces no overhead when there are no collisions. But, when senders collide, ZigZag attains the same throughput as if the colliding packets were a priori scheduled in separate time slots. We build a prototype of ZigZag in GNU Radio. In a testbed of 14 USRP nodes, ZigZag reduces the average packet loss rate at hidden terminals from 72.6% to about 0.7%.",14 p.,MIT-CSAIL-TR-2008-058,,ZigZag Decoding: Combating Hidden Terminals In Wireless Networks,,,,,,http://hdl.handle.net/1721.1/41084,http://hdl.handle.net/1721.1/41084,
Silvio Micali,"Micali, Silvio; Chen, Jing",Theory of Computation,2008-12-03T16:15:09Z,2008-12-03T16:15:09Z,2008-10-08,http://hdl.handle.net/1721.1/43715,"We put forward a new mechanism achieving a high benchmark for (both revenue and) the sum of revenue and efficiency in truly combinatorial auctions. Notably, our mechanism guarantees its performance (1) in a very adversarial collusion model; (2) for any profile of strategies surviving the iterated elimination of dominated strategies; and (3) by leveraging the knowledge that the players have about each other (in a non-Bayesian setting).Our mechanism also is computationally efficient, and preserves the players' privacy to an unusual extent.",18 p.,MIT-CSAIL-TR-2008-071,Implementation in surviving strategies; Resilient Mechanism Design; Privacy-preserving mechanisms; Equilibrium-less mechanism design; Knowledge benchmarks,Resilient Knowledge-Based  Mechanisms  For Truly Combinatorial Auctions (And Implementation in Surviving Strategies),,,,Silvio Micali; Theory of Computation,,,,MIT-CSAIL-TR-2008-059
Anant Agarwal,"Agarwal, Anant; Wentzlaff, David",Computer Architecture,2008-10-08T23:15:04Z,2008-10-08T23:15:04Z,2008-10-08,http://hdl.handle.net/1721.1/42894,"The next decade will afford us computer chips with 1,000 - 10,000 cores on a single piece of silicon. Contemporary operating systems have been designed to operate on a single core or small number of cores and hence are not well suited to manage and provide operating system services at such large scale. Managing 10,000 cores is so fundamentally different from managing two cores that the traditional evolutionary approach of operating system optimization will cease to work. The fundamental design of operating systems and operating system data structures must be rethought. This work begins by documenting the scalability problems of contemporary operating systems. These studies are used to motivate the design of a factored operating system (fos). fos is a new operating system targeting 1000+ core multicore systems where space sharing replaces traditional time sharing to increase scalability. fos is built as a collection of Internet inspired services. Each operating system service is factored into a fleet of communicating servers which in aggregate implement a system service. These servers are designed much in the way that distributed Internet services are designed, but instead of providing high level Internet services, these servers provide traditional kernel services and manage traditional kernel data structures in a factored, spatially distributed manner. The servers are bound to distinct processing cores and by doing so do not fight with end user applications for implicit resources such as TLBs and caches. Also, spatial distribution of these OS services facilitates locality as many operations only need to communicate with the nearest server for a given service.",12 p.,MIT-CSAIL-TR-2008-060,multicore; operating system design; manycore,The Case for a Factored Operating System (fos),,,,,,,,
