dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation,dc.relation.ispartofseries,dc.relation.uri,dc.subject,dc.title,dc.relation.isreferencedby,dc.rights,dc.rights.uri,dc.identifier.citation,dc.relation.isreplacedby,dc.description,dc.description.degree,dc.description.sponsorship
Silvio Micali,"Chen, Jing; Micali, Silvio",Theory of Computation,2008-12-16T19:15:07Z,2008-12-16T19:15:07Z,2008-12-02,http://hdl.handle.net/1721.1/43946,"We present two resilient mechanisms: the first for the provision of a public good, and the second for the provision of a private good. Both mechanisms adopt a knowledge-based benchmark.",3 p.,MIT-CSAIL-TR-2008-072,MIT-CSAIL-TR-2008-073,http://hdl.handle.net/1721.1/43716,"Single-good, unlimited-supply auctions; Resilient mechanism design; Provision of a public good; Knowledge-Based Benchmarks","Resilient  Provision of a Public and/or Private Good,  or: Resilient Auctions of One Good in Unlimited Supply",,,,,,,,
Silvio Micali,"Micali, Silvio; Chen, Jing",Theory of Computation,2008-12-03T16:15:18Z,2008-12-03T16:15:18Z,2008-12-02,http://hdl.handle.net/1721.1/43716,We present two resilient mechanisms for the provision of a public good.  Both mechanisms adopt a knowledge-based benchmark.,2 p.,,MIT-CSAIL-TR-2008-072,,Resilient Mechanism Design; Equilibrium-less Mechanism Design; Knowledge Benchmarks,Resilient Provision of a Public Good,http://hdl.handle.net/1721.1/43946,,,,,,,
Silvio Micali,"Micali, Silvio; Chen, Jing",Theory of Computation,2008-12-17T21:00:03Z,2008-12-17T21:00:03Z,2008-12-17,http://hdl.handle.net/1721.1/43947,We present various resilient auction mechanisms for a good in limited supply. Our mechanisms achieve both player-knowledge and aggregated player-knowledge benchmarks.,3 p.,,MIT-CSAIL-TR-2008-074,,Resilient mechanism design; Knowledge-Based Benchmarks; Player-Knowledge Benchmarks; Aggregated Knowledge-Based Benchmarks; Aggregated Player-Knowledge Benchmarks,Resilient Auctions of One Good in Limited Supply,,,,,,,,
Seth Teller,"Hicks, Jamey; Curtis, Dorothy; Teller, Seth; Charrow, Ben; Ryan, Russell; Ledlie, Jonathan; Battat, Jonathan","Robotics, Vision & Sensor Networks",2008-12-30T21:45:11Z,2008-12-30T21:45:11Z,2008-12-30,http://hdl.handle.net/1721.1/43951,"We describe an indoor, room-level location discovery method based on spatial variations in ""wifi signatures,"" i.e., MAC addresses and signal strengths of existing wireless access points. The principal novelty of our system is its organic nature; it builds signal strength maps from the natural mobility and lightweight contributions of ordinary users, rather than dedicated effort by a team of site surveyors. Whenever a user's personal device observes an unrecognized signature, a GUI solicits the user's location. The resulting location-tagged signature or ""bind"" is then shared with other clients through a common database, enabling devices subsequently arriving there to discover location with no further user contribution.  

Realizing a working system deployment required three novel elements: (1) a human-computer interface for indicating location over intervals of varying duration; (2) a client-server protocol for pre-fetching signature data for use in localization; and (3) a location-estimation algorithm incorporating highly variable signature data. We describe an experimental deployment of our method in a nine-story building with more than 1,400 distinct spaces served by more than 200 wireless access points. At the conclusion of the deployment, users could correctly localize to within 10 meters 92 percent of the time.",14 p.,,MIT-CSAIL-TR-2008-075,,Shared Sensing; Computer Communication Networks; Localization; Location-Based Services; Geo-Tagging; Collaborative Computing; Distributed Systems; Distributed Applications; Pervasive Computing; Algorithms; Experiments; Groups and Organization Interfaces; Measurement; Crowd-Sourcing; Information Interfaces and Presentation; Human Factors,Organic Indoor Location Discovery,,,,,,,,
Gerald Jay Sussman,"Sussman, Gerald Jay; Radul, Alexey",Mathematics and Computation,2009-01-27T06:15:12Z,2009-01-27T06:15:12Z,2009-01-26,http://hdl.handle.net/1721.1/44215,"We develop a programming model built on the idea that the basic computational elements are autonomous machines interconnected by shared cells through which they communicate. Each machine continuously examines the cells it is interested in, and adds information to some based on deductions it can make from information from the others. This model makes it easy to smoothly combine expression-oriented and constraint-based programming; it also easily accommodates implicit incremental distributed search in ordinary programs.  This work builds on the original research of Guy Lewis Steele Jr. and was developed more recently with the help of Chris Hanson.",50 p.,,MIT-CSAIL-TR-2009-002,,Constraint-based programming; Programming models; Distributed search,The Art of the Propagator,,Creative Commons Attribution-Share Alike 3.0 Unported,http://creativecommons.org/licenses/by-sa/3.0/,,,,,
Nancy Lynch,"Lynch, Nancy; Lahiani, Limor; Dolev, Shlomi; Nolte, Tina",Theory of Computation,2009-01-30T17:00:07Z,2009-01-30T17:00:07Z,2009-01-28,http://hdl.handle.net/1721.1/44516,"We present a self-stabilizing algorithm for routing messages between arbitrary pairs of nodes in a mobile ad hoc network. Our algorithm assumes the availability of a reliable GPS service, which supplies mobile nodes with accurate information about real time and about their own geographical locations. The GPS service provides an external, shared source of consistency for mobile nodes, allowing them to label and timestamp messages, and thereby aiding in recovery from failures. Our algorithm utilizes a Virtual Infrastructure programming abstraction layer, consisting of mobile client nodes, virtual stationary timed machines called Virtual Stationary Automata (VSAs), and a local broadcast service connecting VSAs and mobile clients. VSAs are associated with predetermined regions in the plane, and are emulated in a self-stabilizing manner by the mobile nodes. VSAs are relatively stable in the face of node mobility and failure, and can be used to simplify algorithm development for mobile networks. Our routing algorithm consists of three subalgorithms: [(1)] a VSA-to-VSA geographical routing algorithm, [2] a mobile client location management algorithm, and [3] the main algorithm, which utilizes both location management and geographical routing. All three subalgorithms are self-stabilizing, and consequently, the entire algorithm is also self-stabilizing.",50 p.,,MIT-CSAIL-TR-2009-003,,Self-stabilizing algorithms; Mobile ad-hoc networks; Routing algorithms,Self-Stabilizing Message Routing in Mobile ad hoc Networks,,,,"Closely based on chapters 12-14 of Tina Nolte's MIT PhD Thesis, 2009.",,,,
Michael Ernst,"Ernst, Michael D.; Kiezun, Adam; Ganesh, Vijay; Guo, Philip J.; Hooimeijer, Pieter",Program Analysis,2009-02-04T19:00:04Z,2009-02-04T19:00:04Z,2009-02-04,http://hdl.handle.net/1721.1/44584,"Many automatic testing, analysis, and verification techniques for programs can be effectively reduced to a constraint-generation phase followed by a constraint-solving phase. This separation of concerns often leads to more effective and maintainable tools. The increasing efficiency of off-the-shelf constraint solvers makes this approach even more compelling. However, there are few, if any, effective and sufficiently expressive off-the-shelf solvers for string constraints generated by analysis techniques for string-manipulating programs. We designed and implemented Hampi, a solver for string constraints over bounded string variables. Hampi constraints express membership in regular languages and bounded context-free languages. Hampi constraints may contain context-free-language definitions, regular-language definitions and operations, and the membership predicate. Given a set of constraints, Hampi outputs a string that satisfies all the constraints, or reports that the constraints are unsatisfiable. Hampi is expressive and efficient, and can be successfully applied to testing and analysis of real programs. Our experiments use Hampi in: static and dynamic analyses for finding SQL injection vulnerabilities in Web applications; automated bug finding in C programs using systematic testing; and compare Hampi with another string solver. Hampi's source code, documentation, and the experimental data are available at http://people.csail.mit.edu/akiezun/hampi.",11 p.,,MIT-CSAIL-TR-2009-004,http://people.csail.mit.edu/akiezun/hampi,Constraint solvers; Automated testing,HAMPI: A Solver for String Constraints,,,,,,,,
Dina Katabi,"Katabi, Dina; Rahul, Hariharan; Jakubczak, Szymon",Networks & Mobile Systems,2009-02-09T16:30:14Z,2009-02-09T16:30:14Z,2009-02-07,http://hdl.handle.net/1721.1/44585,"The main challenge in wireless video multicast is to scalably serve multiple receivers who have different channel characteristics. Current wireless transmission schemes, however, cannot support smooth degradation. Specifically, each packet is transmitted at a particular bitrate and is decodable only by receivers that support the chosen bitrate. Broadcasting a video stream to all receivers requires transmitting at the lowest bitrate, and hence reduces everyone to the performance of the worst receiver in the multicast group.This paper introduces SoftCast, an alternative design for wireless video multicast, in which a sender broadcasts a single stream and each receiver watches a video quality that matches its channel quality. SoftCast achieves this by making the magnitude of the transmitted signal proportional to the pixel value. Hence, channel noise directly translates to a small perturbation in pixel values, allowing graceful degradation with increasing noise. SoftCast introduces a novel power allocation scheme that allows the transmission of real-valued video signals in a compact and resilient manner. We implement SoftCast in the WARP radio platform. Our results show that SoftCast improves the average video quality across multicast receivers by 3-7dB over the current approach. Further, it stays competitive with the current approach even for regular unicast.",14 p.,,MIT-CSAIL-TR-2009-005,,Wireless networks; Multicast; Wireless video; Video coding,SoftCast: One Video to Serve All Wireless Receivers,,,,,,,,
John Leonard,"Benjamin, Michael R.; Leonard, John J.; Schmidt, Henrik; Newman, Paul M.","Robotics, Vision & Sensor Networks",2009-02-13T22:30:07Z,2009-02-13T22:30:07Z,2009-02-13,http://hdl.handle.net/1721.1/44590,"This paper provides an overview of the MOOS-IvP autonomy software modules. The MOOS-IvP collection of software, i.e., codebase, described here has been developed and is currently maintained by three organizations - Oxford University, Massachusetts Institute of Technology (MIT), and the Naval Undersea Warfare Center (NUWC) Division Newport Rhode Island. The objective of this paper is to provide a comprehensive list of modules and provide for each (a) a general description of functionality, (b) dependency relationships to other modules, (c) rough order of magnitude in complexity or size, (d) authorship, and (e) current and planned distribution access.",38 p.,,MIT-CSAIL-TR-2009-006,,marine vehicles; middleware; autonomous helm; unmanned underwater vehicle; IvP helm; IvP; unmanned surface vehicles; dackseat driver; behaviors; behavior-based; UUV; multi-objective optimization; publish-subscribe; interval programming; USV; Mission Oriented Operating Suite; MOOSDB; MOOS; pHelmIvP; decision making,A Tour of MOOS-IvP Autonomy Software Modules,,,,,,,,
Tomas Lozano-Perez,"Lozano-Perez, Tomas; Kaelbling, Leslie Pack; Chiu, Han-Pang",Learning and Intelligent Systems,2009-02-19T19:15:05Z,2009-02-19T19:15:05Z,2009-02-18,http://hdl.handle.net/1721.1/44615,"Our goal is to automatically reconstruct 3D objects from a single image, by using prior 3D shape models of classes. The shape models, defined as a collection of oriented primitive shapes centered at fixed 3D positions, can be learned from a few labeled images for each class. The 3D class model can then be used to estimate the 3D shape of an object instance, including occluded parts, from a single image. We provide a quantitative evaluation of the shape estimation process on real objects and demonstrate its usefulness in three applications: robot manipulation, object detection, and generating 3D 'pop-up' models from photos.",9 p.,,MIT-CSAIL-TR-2009-008,,,Automatic Class-Specific 3D Reconstruction from a Single Image,,,,,,,,
