dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.subject,dc.title,dc.language.iso,dc.relation.replaces,dc.relation.uri,dc.description,dc.rights,dc.rights.uri,dc.description.degree,dc.contributor.department
Anant Agarwal,"Liu, Jifeng; Psota, James; Beckmann, Nathan; Miller, Jason; Michel, Jurgen; Eastep, Jonathan; Kurian, George; Kimerling, Lionel; Agarwal, Anant; Beals, Mark",Computer Architecture,2009-05-06T18:30:04Z,2009-05-06T18:30:04Z,2009-05-05,http://hdl.handle.net/1721.1/45510,"Ever since industry has turned to parallelism instead of frequency scaling to improve processor performance, multicore processors have continued to scale to larger and larger numbers of cores. Some believe that multicores will have 1000 cores or more by the middle of the next decade. However, their promise of increased performance will only be reached if their inherent scaling and programming challenges are overcome. Meanwhile, recent advances in nanophotonic device manufacturing are making chip-stack optics a reality; interconnect technology which can provide significantly more bandwidth at lower power than conventional electrical analogs. Perhaps more importantly, optical interconnect also has the potential to enable new, easy-to-use programming models enabled by an inexpensive broadcast mechanism. This paper introduces ATAC, a new manycore architecture that capitalizes on the recent advances in optics to address a number of the challenges that future manycore designs will face. The new constraints and opportunities associated with on-chip optical interconnect are presented and explored in the design of ATAC. Furthermore, this paper introduces ACKwise, a novel directory-based cache coherence protocol that takes advantage of the special properties of ATAC to achieve high performance and scalability on large-scale manycores. Early performance results show that a 1000-core ATAC chip achieves a speedup of as much as 39% when compared with a similarly sized manycore with an electrical mesh network.",14 p.,MIT-CSAIL-TR-2009-018,Many-core processors; Processor interconnects; Optical interconnects,ATAC: A Manycore Processor with On-Chip Optical Network,,,,,,,,
William Freeman,"Levin, Anat; Hasinoff, Samuel W.; Freeman, William T.; Green, Paul; Durand, Fredo",Vision,2009-05-08T15:45:09Z,2009-05-08T15:45:09Z,2009-05-08,http://hdl.handle.net/1721.1/45513,"Depth of field (DOF), the range of scene depths that appear sharp in a photograph, poses a fundamental tradeoff in photography---wide apertures are important to reduce imaging noise, but they also increase defocus blur. Recent advances in computational imaging modify the acquisition process to extend the DOF through deconvolution. Because deconvolution quality is a tight function of the frequency power spectrum of the defocus kernel, designs with high spectra are desirable. In this paper we study how to design effective extended-DOF systems, and show an upper bound on the maximal power spectrum that can be achieved. We analyze defocus kernels in the 4D light field space and show that in the frequency domain, only a low-dimensional 3D manifold contributes to focus. Thus, to maximize the defocus spectrum, imaging systems should concentrate their limited energy on this manifold. We review several computational imaging systems and show either that they spend energy outside the focal manifold or do not achieve a high spectrum over the DOF. Guided by this analysis we introduce the lattice-focal lens, which concentrates energy at the low-dimensional focal manifold and achieves a higher power spectrum than previous designs. We have built a prototype lattice-focal lens and present extended depth of field results.",18 p.,MIT-CSAIL-TR-2009-019,light fields; Fourier analysis; Computational cameras; depth of field,4D Frequency Analysis of Computational Cameras for Depth of Field Extension,,,,,,,,
Tomaso Poggio,"Terashima, Yoshito",Center for Biological and Computational Learning (CBCL),2009-05-11T17:30:10Z,2009-05-11T17:30:10Z,2009-05-10,http://hdl.handle.net/1721.1/45516,"We present a biologically motivated method for scene image classification. The core of the method is to use shape based image property that is provided by a hierarchical feedforward model of the visual cortex [18]. Edge based and color based image properties are additionally used to improve the accuracy. The method consists of two stages of image analysis. In the first stage, each of three paths of classification uses each image property (i.e. shape, edge or color based features) independently. In the second stage, a single classifier assigns the category of an image based on the probability distributions of the first stage classifier outputs. Experiments show that the method boosts the classification accuracy over the shape based model. We demonstrate that this method achieves a high accuracy comparable to other reported methods on publicly available color image dataset.",8 p.,CBCL-277; MIT-CSAIL-TR-2009-020,image classification; vision,Scene Classification with a Biologically Inspired Method,,,,,,,,
Nancy Lynch,"Kuhn, Fabian; Newport, Calvin; Lynch, Nancy",Theory of Computation,2009-05-11T17:30:04Z,2009-05-11T17:30:04Z,2009-05-11,http://hdl.handle.net/1721.1/45515,"A diversity of possible communication assumptions complicates the study of algorithms and lower bounds for radio networks. We address this problem by defining an Abstract MAC Layer. This service provides reliable local broadcast communication, with timing guarantees stated in terms of a collection of abstract \emph{delay functions} applied to the relevant contention. Algorithm designers can analyze their algorithms in terms of these functions, independently of specific channel behavior. Concrete implementations of the Abstract MAC Layer over basic radio network models generate concrete definitions for these delay functions, automatically adapting bounds proven for the abstract service to bounds for the specific radio network under consideration. To illustrate this approach, we use the Abstract MAC Layer to study the new problem of Multi-Message Broadcast, a generalization of standard single-message broadcast, in which any number of messages arrive at any processes at any times.We present and analyze two algorithms for Multi-Message Broadcast in static networks: a simple greedy algorithm and one that uses regional leaders. We then indicate how these results can be extended to mobile networks.",27 p.,MIT-CSAIL-TR-2009-021,network modeling; mobile networks; wireless networks; medium-acccess protocols,The Abstract MAC Layer,en,MIT-CSAIL-TR-2009-009,http://hdl.handle.net/1721.1/44620,,,,,
Boris Katz,"Marton, Gregory Adam; Westrick, Linda Brown",Infolab,2009-05-28T19:00:05Z,2009-05-28T19:00:05Z,2009-05-28,http://hdl.handle.net/1721.1/45548,"To help explore linguistic semantics in the context of computational natural language understanding, Sepia provides a realization the central theoretical idea of categorial grammar: linking words and phrases to compositional lambda semantics.  The Sepia framework provides a language in 
which to express complex transformations from text to data structures, and tools surrounding that language for parsing and machine learning.  Lambda semantics are expressed as arbitrary Scheme programs, unlimited in the semantic representations they may build, and the rules for transformation are expressed in Combinatory Categorial Grammar, though the details of grammar formalism may be easily changed.  This report explains the major design decisions, and is meant to teach the reader how to understand Sepia semantics and how to create lexical items for a new language understanding task.",25 p.,,,Sepia: a Framework for Natural Language Semantics,,,,Source code and technical description,Creative Commons Attribution-Share Alike 3.0 Unported,http://creativecommons.org/licenses/by-sa/3.0/,,
Nancy Lynch,"Locher, Thomas; Kuhn, Fabian; Oshman, Rotem",Theory of Computation,2009-05-29T16:00:04Z,2009-05-29T16:00:04Z,2009-05-29,http://hdl.handle.net/1721.1/45549,"Over the last years, large-scale decentralized computer networks such as peer-to-peer and mobile ad hoc networks have become increasingly prevalent. The topologies of many of these networks are often highly dynamic. This is especially true for ad hoc networks formed by mobile wireless devices. In this paper, we study the fundamental problem of clock synchronization in dynamic networks. We show that there is an inherent trade-off between the skew S guaranteed along sufficiently old links and the time needed to guarantee a small skew along new links. For any sufficiently large initial skew on a new link, there are executions in which the time required to reduce the skew on the link to O(S) is at least Omega(n/S). We show that this bound is tight for moderately small values of S. Assuming a fixed set of n nodes and an arbitrary pattern of edge insertions and removals, a weak dynamic connectivity requirement suffices to prove the following results. We present an algorithm that always maintains a skew of O(n) between any two nodes in the network. For a parameter S = Omega(sqrt{rho n}), where rho is the maximum hardware clock drift, it is further guaranteed that if a communication link between two nodes u, v persists in the network for at least Omega(n/S) time, the clock skew between u and v is reduced to no more than O(S).",33 p.,MIT-CSAIL-TR-2009-022,time synchronization; distributed algorithms; lower bound,Gradient Clock Synchronization in Dynamic Networks,,,,,,,,
Nancy Lynch,"Lynch, Nancy; Newport, Calvin",Theory of Computation,2009-06-05T15:30:06Z,2009-06-05T15:30:06Z,2009-06-04,http://hdl.handle.net/1721.1/45553,"We describe a modeling framework and collection of foundational composition results for the study of probabilistic distributed algorithms in synchronous radio networks. Existing results in this setting rely on informal descriptions of the channel behavior and therefore lack easy comparability and are prone to error caused by definition subtleties. Our framework rectifies these issues by providing: (1) a method to precisely describe a radio channel as a probabilistic automaton; (2) a mathematical notion of implementing one channel using another channel, allowing for direct comparisons of channel strengths and a natural decomposition of problems into implementing a more powerful channel and solving the problem on the powerful channel; (3) a mathematical definition of a problem and solving a problem; (4) a pair of composition results that simplify the tasks of proving properties about channel implementation algorithms and combining problems with channel implementations. Our goal is to produce a model streamlined for the needs of the radio network algorithms community.",21 p.,MIT-CSAIL-TR-2009-023,,Modeling Radio Networks,,,,,,,,
Daniel Jackson,"Edwards, Jonathan",Software Design,2009-06-12T21:30:04Z,2009-06-12T21:30:04Z,2009-06-12,http://hdl.handle.net/1721.1/45563,"Side effects are both the essence and bane of imperative programming. The programmer must carefully coordinate actions to manage their side effects upon each other. Such coordination is complex, error-prone, and fragile. Coherent reaction is a new model of change-driven computation that coordinates effects automatically. State changes trigger events called reactions that in turn change other states. A coherent execution order is one in which each reaction executes before any others that are affected by its changes. A coherent order is discovered iteratively by detecting incoherencies as they occur and backtracking their effects. Unlike alternative solutions, much of the power of imperative programming is retained, as is the common sense notion of mutable state. Automatically coordinating actions lets the programmer express what to do, not when to do it. Coherent reactions are embodied in the Coherence language, which is specialized for interactive applications like those common on the desktop and web. The fundamental building block of Coherence is the dynamically typed mutable tree. The fundamental abstraction mechanism is the virtual tree, whose value is lazily computed, and whose behavior is generated by coherent reactions.",15 p.,MIT-CSAIL-TR-2009-024,reactive systems; synchronous reactive programming; interactive systems; functional reactive programming; bidirectional functions,Coherent Reaction,,,,,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,
Dina Katabi,"Katabi, Dina; Raskar, Ramesh; Mohan, Ankit; Woo, Grace",Networks & Mobile Systems,2009-06-15T23:15:04Z,2009-06-15T23:15:04Z,2009-06-15,http://hdl.handle.net/1721.1/45565,"We demonstrate a freespace optical system using a consumer camera and projector in indoor environments using available devices for visual computing. Through design, prototype and experimentation with this commodity hardware, we analyze a practical optical solution as well as the drawbacks for current wireless challenges unmet by classic RF wireless communication. We summarize and introduce some new applications enabled by such similar setups.",5 p.,,Visible Light Communication,Simple LCD Transmitter Camera Receiver Data Link,,,,,,,,
,"Micali, Silvio",Theory of Computation,2009-06-16T15:00:04Z,2009-06-16T15:00:04Z,2009-06-15,http://hdl.handle.net/1721.1/45566,,1 p.,MIT-CSAIL-TR-2009-025,,A Useful Homomorphic Encryption Method,,,,,,,,
