dc.contributor.advisor,dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.subject,dc.title,dc.contributor.other,dc.description,dc.type,dc.description.degree,dc.contributor.department,dc.rights,dc.rights.uri,dspace.orderedauthors,dc.identifier.citation,dc.date.submitted,dc.description.sponsorship
"Robotics, Vision & Sensor Networks; John Leonard","Benjamin, Michael R.; Newman, Paul M.; Schmidt, Henrik; Leonard, John J.",2009-08-20T18:30:06Z,2009-08-20T18:30:06Z,2009-08-20,http://hdl.handle.net/1721.1/46361,"This document describes how to extend the suite of MOOS applications and IvP Helm behaviors distributed with the MOOS-IvP software bundle from www.moos-ivp.org. It covers (a) a straw-man repository with a place-holder MOOS application and IvP Behavior, with a working CMake build structure, (b) a brief overview of the MOOS application class with an example application, (c) an overview of the IvP Behavior class with an example behavior, and (d) the IvPBuild Toolbox for generation of objective functions within behaviors.",102 p.,MIT-CSAIL-TR-2009-037,UUV; Behavior Based Control; Unmanned Vehicles; Multi-objective Optimization; Autonomous Marine Vehicles; Behavior Based Architecture; Autonomous Vehicles; AUV; Arbitration; MOOSDB; Unmanned Marine Vehicles; Action Selection; Multi-Objective Optimization; Autonomous Helm; USV; Unmanned Surface Vehicles; MOOS; Behaviors; Artificial Intelligence; Autonomous Decision Making; Underwater Vehicles; ZAIC,Extending a MOOS-IvP Autonomy System and Users Guide to the IvPBuild Toolbox,,,,,,,,,,,
Peter Szolovits,"Hug, Caleb",2009-08-26T18:15:07Z,2009-08-26T18:15:07Z,2009-08-26,http://hdl.handle.net/1721.1/46690,"The modern intensive care unit (ICU) has become a complex, expensive, data-intensive environment. Caregivers maintain an overall assessment of their patients based on important observations and trends. If an advanced monitoring system could also reliably provide a systemic interpretation of a patient's observations it could help caregivers interpret these data more rapidly and perhaps more accurately. In this thesis I use retrospective analysis of mixed medical/surgical intensive care patients to develop predictive models. Logistic regression is applied to 7048 development patients with several hundred candidate variables. These candidate variables range from simple vitals to long term trends and baseline deviations. Final models are selected by backward elimination on top cross-validated variables and validated on 3018 additional patients. The real-time acuity score (RAS) that I develop demonstrates strong discrimination ability for patient mortality, with an ROC area (AUC) of 0.880. The final model includes a number of variables known to be associated with mortality, but also computationally intensive variables absent in other severity scores. In addition to RAS, I also develop secondary outcome models that perform well at predicting pressor weaning (AUC=0.825), intraaortic balloon pump removal (AUC=0.816), the onset of septic shock (AUC=0.843), and acute kidney injury (AUC=0.742). Real-time mortality prediction is a feasible way to provide continuous risk assessment for ICU patients. RAS offers similar discrimination ability when compared to models computed once per day, based on aggregate data over that day. Moreover, RAS mortality predictions are better at discrimination than a customized SAPS II score (Day 3 AUC=0.878 vs AUC=0.849, p < 0.05). The secondary outcome models also provide interesting insights into patient responses to care and patient risk profiles. While models trained for specifically recognizing secondary outcomes consistently outperform the RAS model at their specific tasks, RAS provides useful baseline risk estimates throughout these events and in some cases offers a notable level of predictive utility.",315 p.,MIT-CSAIL-TR-2009-038,"Severity of Illness Index; Real-Time Systems; Decision Support Systems, Clinical; Pattern Recognition, Automated; Intensive Care; Hospital Mortality; Data Interpretation, Statistical; Artificial Intelligence; Decision Making, Computer-Assisted",Detecting Hazardous Intensive Care Patient Episodes Using Real-time Mortality Models,Clinical Decision-Making,PhD thesis,Thesis,Ph.D. in Computer Science,"Massachusetts Institute of Technology, Dept. of Electrical Engineering and Computer Science",,,,,,
Martin Rinard,"Ganesh, Vijay; Singh, Rishabh; Near, Joseph P.; Rinard, Martin",2009-08-26T22:00:06Z,2009-08-26T22:00:06Z,2009-08-26,http://hdl.handle.net/1721.1/46691,"We present AvatarSAT, a SAT solver that uses machine-learning classifiers to automatically tune the heuristics of an off-the-shelf SAT solver on a per-instance basis. The classifiers use features of both the input and conflict clauses to select parameter settings for the solver's tunable heuristics. On a randomly selected set of SAT problems chosen from the 2007 and 2008 SAT competitions, AvatarSAT is, on average, over two times faster than MiniSAT based on the geometric mean speedup measure and 50% faster based on the arithmeticmean speedup measure. Moreover, AvatarSAT is hundreds to thousands of times faster than MiniSAT on many hard SAT instances and is never more than twenty times slower than MiniSAT on any SAT instance.",7 p.,MIT-CSAIL-TR-2009-039,self-tuning; machine learning; SAT solvers,AvatarSAT: An Auto-tuning Boolean SAT Solver,Computer Architecture,,,,,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,,,
Barbara Liskov,"Cheng, Winnie Wing-Yee",2009-08-27T22:00:05Z,2009-08-27T22:00:05Z,2009-08-27,http://hdl.handle.net/1721.1/46700,"Private and confidential information is increasingly stored online and increasingly being exposed due to human errors as well as malicious attacks. Information leaks threaten confidentiality, lead to lawsuits, damage enterprise reputations, and cost billion of dollars. While distributed computing architectures provide data and service integration, they also create information flow control problems due to the interaction complexity among service providers. A main problem is the lack of an appropriate programming model to capture expected information flow behaviors in these large distributed software infrastructures. This research tackles this problem by proposing a programming methodology and enforcement platform for application developers to protect and share their sensitive data. We introduce Aeolus, a new platform intended to make it easier to build distributed applications that avoid the unauthorized release of information. The Aeolus security model is based on information flow control but differs from previous work in ways that we believe make it easier to use and understand. In addition, Aeolus provides a number of new mechanisms (anonymous closures, compound tags, boxes, and shared volatile state) to ease the job of writing applications. This thesis provides examples to show how Aeolus features support secure distributed applications. It describes the system design issues and solutions in designing a prototype implementation and presents performance results that show our platform has low overhead.",177 p.,MIT-CSAIL-TR-2009-040,privacy; security; distributed systems; information flow control; integrity; secrecy; confidentiality,Information Flow for Secure Distributed Applications,Programming Methodology,PhD thesis,Thesis,,"Massachusetts Institute of Technology, Dept. of Electrical Engineering and Computer Science",,,,,,
Seth Teller,"Moore, David; Olson, Edwin; Huang, Albert",2009-09-04T15:45:08Z,2009-09-04T15:45:08Z,2009-09-02,http://hdl.handle.net/1721.1/46708,"We describe the Lightweight Communications and Marshalling (LCM) library for message passing and data marshalling. The primary goal of LCM is to simplify the development of low-latency message passing systems, targeted at real-time robotics applications. LCM is comprised of several components: a data type specification language, a message passing system, logging/playback tools, and real-time analysis tools. LCM provides a platform- and language-independent type specification language. These specifications can be compiled into platform and language specific implementations, eliminating the need for users to implement marshalling code while guaranteeing run-time type safety. Messages can be transmitted between different processes using LCM's message-passing system, which implements a publish/subscribe model. LCM's implementation is notable in providing low-latency messaging and eliminating the need for a central communications ""hub"". This architecture makes it easy to mix simulated, recorded, and live data sources. A number of logging, playback, and traffic inspection tools simplify common development and debugging tasks. LCM is targeted at robotics and other real-time systems where low latency is critical; its messaging model permits dropping messages in order to minimize the latency of new messages. In this paper, we explain LCM's design, evaluate its performance, and describe its application to a number of autonomous land, underwater, and aerial robots.",15 p.,MIT-CSAIL-TR-2009-041,message passing; interprocess communication; robotics middleware; real-time systems,Lightweight Communications and Marshalling for Low-Latency Interprocess Communication,"Robotics, Vision & Sensor Networks",,,,,,,,,,
Martin Rinard,"Hoffmann, Henry; Misailovic, Sasa; Sidiroglou, Stelios; Agarwal, Anant; Rinard, Martin",2009-09-04T15:45:14Z,2009-09-04T15:45:14Z,2009-09-03,http://hdl.handle.net/1721.1/46709,"Many modern computations (such as video and audio encoders, Monte Carlo simulations, and machine learning algorithms) are designed to trade off accuracy in return for increased performance. To date, such computations typically use ad-hoc, domain-specific techniques developed specifically for the computation at hand. We present a new general technique, code perforation, for automatically augmenting existing computations with the capability of trading off accuracy in return for performance. In contrast to existing approaches, which typically require the manual development of new algorithms, our implemented SpeedPress compiler can automatically apply code perforation to existing computations with no developer intervention whatsoever. The result is a transformed computation that can respond almost immediately to a range of increased performancedemands while keeping any resulting output distortion within acceptable user-defined bounds. We have used SpeedPress to automatically apply code perforation to applications from the PARSEC benchmark suite. The results show that the transformed applications can run as much as two to three times faster than the original applications while distorting the output by less than 10%. Because the transformed applications can operate successfully at many points in the performance/accuracy tradeoff space, they can (dynamically and on demand) navigate the tradeoff space to either maximize performance subject to a given accuracy constraint, or maximize accuracy subject to a given performance constraint. We also demonstrate the SpeedGuard runtime system which uses code perforation to enable applications to automatically adapt to challenging execution environments such as multicore machines that suffer core failures or machines that dynamically adjust the clock speed to reduce power consumption or to protect the machine from overheating.",19 p.,MIT-CSAIL-TR-2009-042,,"Using Code Perforation to Improve Performance, Reduce Energy Consumption, and Respond to Failures",Computer Architecture,,,,,,,"Hoffmann, Henry; Misailovic, Sasa; Sidiroglou, Stelios; Agarwal, Anant; Rinard, Martin",,,
Gerald Sussman,"Beal, Jacob; Indurkhya, Sagar",2009-09-04T21:30:14Z,2009-09-04T21:30:14Z,2009-09-04,http://hdl.handle.net/1721.1/46710,"This code and data is publicly listed code for the LOLCAT Method developed by Sagar Indurkhya and Jacob Beal, in the paper: ""Reaction factoring and bipartite update graphs accelerate the Gillespie algorithm for large-scale biochemical systems.""",,,Computational Systems Biology; Gillespie Algorithm; Stochastic Simulation Algorithm; Bioinformatics,Code for LOLCAT Method (Variant of Gillespie Algorithm),Mathematics and Computation,,,,,Creative Commons Attrbution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,,,
,"Kaelbling, Leslie Pack; Lozano-Perez, Tomas",2009-09-17T18:30:10Z,2009-09-17T18:30:10Z,2009-09-12,http://hdl.handle.net/1721.1/46722,A progress report describing the application of policy gradient and policy search by dynamic programming methods to an aircraft collision avoidance problem inspired by the requirements of next-generation TCAS.,11 p.,MIT-CSAIL-TR-2009-043,,Finding aircraft collision-avoidance strategies using policy search methods,Learning and Intelligent Systems,,,,,Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,,
Nicholas Roy,"Roy, Nicholas; He, Ruijie",2009-09-28T21:00:15Z,2009-09-28T21:00:15Z,2009-09-23,http://hdl.handle.net/1721.1/46820,"Online, forward-search techniques have demonstrated promising results for solving problems in partially observable environments. These techniques depend on the ability to efficiently search and evaluate the set of beliefs reachable from the current belief. However, enumerating or sampling action-observation sequences to compute the reachable beliefs is computationally demanding; coupled with the need to satisfy real-time constraints, existing online solvers can only search to a limited depth. In this paper, we propose that policies can be generated directly from the distribution of the agent's posterior belief. When the underlying state distribution is Gaussian, and the observation function is an exponential family distribution, we can calculate this distribution of beliefs without enumerating the possible observations. This property not only enables us to plan in problems with large observation spaces, but also allows us to search deeper by considering policies composed of multi-step action sequences. We present the Posterior Belief Distribution (PBD) algorithm, an efficient forward-search POMDP planner for continuous domains, demonstrating that better policies are generated when we can perform deeper forward search.",12 p.,MIT-CSAIL-TR-2009-044,,Efficient POMDP Forward Search by Predicting the Posterior Belief Distribution,"Robotics, Vision & Sensor Networks",,,,,Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,,
Frans Kaashoek,"Lesniewski-Laas, Chris; Kaashoek, M. Frans",2009-09-28T21:00:08Z,2009-09-28T21:00:08Z,2009-09-24,http://hdl.handle.net/1721.1/46819,"Decentralized systems, such as distributed hash tables, are subject to the Sybil attack, in which an adversary creates many false identities to increase its influence. This paper proposes a routing protocol for a distributed hash table that is strongly resistant to the Sybil attack. This is the first solution to this problem with sublinear run time and space usage. The protocol uses the social connections between users to build routing tables that enable Sybil-resistant distributed hash table lookups. With a social network of N well-connected honest nodes, the protocol can tolerate up to O(N/log N) ""attack edges"" (social links from honest users to phony identities). This means that an adversary has to fool a large fraction of the honest users before any lookups will fail. The protocol builds routing tables that contain O(N log^(3/2) N) entries per node. Lookups take O(1) time. Simulation results, using social network graphs from LiveJournal, Flickr, and YouTube, confirm the analytical results.",14 p.,MIT-CSAIL-TR-2009-045,dht; security; sybil; overlay; distributed hash table,Whanaungatanga: Sybil-proof routing with social networks,Parallel and Distributed Operating Systems,,,,,Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,,
