dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.title,dc.contributor.editor,dc.description,dc.description.sponsorship,dc.subject,dc.rights,dc.rights.uri,dc.identifier.citation,dc.contributor,dc.coverage.spatial,dc.coverage.temporal,dc.language.iso,eprint.grantNumber
Anant Agarwal,"Beckmann, Nathan; Eastep, Jonathan; Gruenwald, Charles, III; Kurian, George; Kasture, Harshad; Miller, Jason E.; Celio, Christopher; Agarwal, Anant",Computer Architecture,2009-11-10T18:15:03Z,2009-11-10T18:15:03Z,2009-11-09,http://hdl.handle.net/1721.1/49809,"This paper introduces the open-source Graphite distributed parallel multicore simulator infrastructure. Graphite is designed from the ground up for exploration of future multicore processors containing dozens, hundreds, or even thousands of cores. It provides high performance for fast design space exploration and software development for future processors. Several techniques are used to achieve this performance including: direct execution, multi-machine distribution, analytical modeling, and lax synchronization. Graphite is capable of accelerating simulations by leveraging several machines. It can distribute simulation of an off-the-shelf threaded application across a cluster of commodity Linux machines with no modification to the source code. It does this by providing a single, shared address space and consistent single-process image across machines. Graphite is designed to be a simulation framework, allowing different component models to be easily replaced to either model different architectures or tradeoff accuracy for performance. We evaluate Graphite from a number of perspectives and demonstrate that it can simulate target architectures containing over 1000 cores on ten 8-core servers. Performance scales well as more machines are added with near linear speedup in many cases. Simulation slowdown is as low as 41x versus native execution for some applications. The Graphite infrastructure and existing models will be released as open-source software to allow the community to simulate their own architectures and extend and improve the framework.",17 p.,MIT-CSAIL-TR-2009-056,Graphite: A Distributed Parallel Simulator for Multicores,,,,,,,,,,,,
Nancy Lynch,"Oshman, Rotem; Lynch, Nancy; Kuhn, Fabian",Theory of Computation,2009-11-12T19:30:03Z,2009-11-12T19:30:03Z,2009-11-10,http://hdl.handle.net/1721.1/49814,"In this report we investigate distributed computation in dynamic networks in which the network topology changes from round to round. We consider a worst-case model in which the communication links for each round are chosen by an adversary, and nodes do not know who their neighbors for the current round are before they broadcast their messages. The model is intended to capture mobile networks and wireless networks, in which mobility and interference render communication unpredictable. The model allows the study of the fundamental computation power of dynamic networks. In particular, it captures mobile networks and wireless networks, in which mobility and interference render communication unpredictable. In contrast to much of the existing work on dynamic networks, we do not assume that the network eventually stops changing; we require correctness and termination even in networks that change continually. We introduce a stability property called T-interval connectivity (for T >= 1), which stipulates that for every T consecutive rounds there exists a stable connected spanning subgraph. For T = 1 this means that the graph is connected in every round, but changes arbitrarily between rounds. Algorithms for the dynamic graph model must cope with these unceasing changes. We show that in 1-interval connected graphs it is possible for nodes to determine the size of the network and compute any computable function of their initial inputs in O(n^2) rounds using messages of size O(log n + d), where d is the size of the input to a single node. Further, if the graph is T-interval connected for T > 1, the computation can be sped up by a factor of T, and any function can be computed in O(n + n^2 / T) rounds using messages of size O(log n + d). We also give two lower bounds on the gossip problem, which requires the nodes to disseminate k pieces of information to all the nodes in the network. We show an Omega(n log k) bound on gossip in 1-interval connected graphs against centralized algorithms, and an Omega(n + nk / T) bound on exchanging k pieces of information in T-interval connected graphs for a restricted class of randomized distributed algorithms. The T-interval connected dynamic graph model is a novel model, which we believe opens new avenues for research in the theory of distributed computing in wireless, mobile and dynamic networks.",40 p.,MIT-CSAIL-TR-2009-058,Distributed Computation in Dynamic Networks,,,,,,,,,,,,
Silvio Micali,"Micali, Silvio; Chen, Jing",,2009-11-10T18:15:12Z,2009-11-10T18:15:12Z,2009-11-10,http://hdl.handle.net/1721.1/49810,"The currently prevailing equilibrium-based approach to mechanism design suffers from a plurality of fundamental problems, and new conceptual frameworks are needed to solve or sufficiently alleviate them. In this paper, we put forward rational robustness, a new solution concept/implementation notion that is not equilibrium-based; prove its fundamental structural theorems; and compare it with prior notions. Our notion of implementation is specifically built so as to be robust against the problem of equilibrium selection. We prove it robust against other fundamental problems as well in different papers.",22 p.,MIT-CSAIL-TR-2009-057,Rational Robustness for Mechanism Design,Theory of Computation,first draft,Work partially supported by ONR Contract Number N00014-09-1-0597.,"Mechanism Design, Implementation, Rational Robustness, Distinguishably Dominated Strategies",,,,,,,,
Anant Agarwal,"Modzelewski, Kevin; Miller, Jason; Belay, Adam; Beckmann, Nathan; Gruenwald, Charles, III; Wentzlaff, David; Youseff, Lamia; Agarwal, Anant",Computer Architecture,2009-11-20T23:45:04Z,2009-11-20T23:45:04Z,2009-11-20,http://hdl.handle.net/1721.1/49844,"Single chip processors with thousands of cores will be available in the next ten years and clouds of multicore processors afford the operating system designer thousands of cores today. Constructing operating systems for manycore and cloud systems face similar challenges. This work identifies these shared challenges and introduces our solution: a factored operating system (fos) designed to meet the scalability, faultiness, variability of demand, and programming challenges of OSâ  s for single-chip thousand-core manycore systems as well as current day cloud computers. Current monolithic operating systems are not well suited for manycores and clouds as they have taken an evolutionary approach to scaling such as adding fine grain locks and redesigning subsystems, however these approaches do not increase scalability quickly enough. fos addresses the OS scalability challenge by using a message passing design and is composed out of a collection of Internet inspired servers. Each operating system service is factored into a set of communicating servers which in aggregate implement a system service. These servers are designed much in the way that distributed Internet services are designed, but provide traditional kernel services instead of Internet services. Also, fos embraces the elasticity of cloud and manycore platforms by adapting resource utilization to match demand. fos facilitates writing applications across the cloud by providing a single system image across both future 1000+ core manycores and current day Infrastructure as a Service cloud computers. In contrast, current cloud environments do not provide a single system image and introduce complexity for the user by requiring different programming models for intra- vs inter-machine communication, and by requiring the use of non-OS standard management tools.",11 p.,MIT-CSAIL-TR-2009-059,A Unified Operating System for Clouds and Manycore: fos,,,,Infrastructure as a Service; Cloud Computing; Manycore; Operating System; Multicore,,,,,,,,
Tomaso Poggio,"Poggio, Tomaso; Rosasco, Lorenzo; Wibisono, Andre",Center for Biological and Computational Learning (CBCL),2009-12-01T21:15:05Z,2009-12-01T21:15:05Z,2009-12-01,http://hdl.handle.net/1721.1/49868,"In this paper, we study the stability and generalization properties of penalized empirical-risk minimization algorithms. We propose a set of properties of the penalty term that is sufficient to ensure uniform ?-stability: we show that if the penalty function satisfies a suitable convexity property, then the induced regularization algorithm is uniformly ?-stable. In particular, our results imply that regularization algorithms with penalty functions which are strongly convex on bounded domains are ?-stable. In view of the results in [3], uniform stability implies generalization, and moreover, consistency results can be easily obtained. We apply our results to show that â  p regularization for 1 < p <= 2 and elastic-net regularization are uniformly ?-stable, and therefore generalize.",16 p.,CBCL-284; MIT-CSAIL-TR-2009-060,Sufficient Conditions for Uniform Stability of Regularization Algorithms,,,,artificial intelligence; theory; computation; learning,,,,,,,,
Silvio Micali,"Micali, Silvio; Chen, Jing",Theory of Computation,2009-12-09T21:15:08Z,2009-12-09T21:15:08Z,2009-12-04,http://hdl.handle.net/1721.1/49869,"We show that, when the players are perfectly informed about each other, essentially all social-choice functions can be rationally robustly implemented via an extensive-form public-action mechanism that (1) is perfectly robust against collusion, (2) requires only a linear number of computation steps and communication bits, and (3) preserves the privacy of the players' types to a very high extent.",4 p.,MIT-CSAIL-TR-2009-061,Perfect and General Virtual Implementation For Perfectly Informed Players,,,,rationally robust implementation; Virtual implementation; perfectly informed players,,,,,,,,
Fredo Durand,"Durand, Fredo; Cohen, Michael; Chen, Jiawen; Paris, Sylvain; Wang, Jue; Matusik, Wojciech",Computer Graphics,2009-12-17T19:15:09Z,2009-12-17T19:15:09Z,2009-12-16,http://hdl.handle.net/1721.1/50231,"This paper introduces the video mesh, a data structure for representing video as 2.5D ""paper cutouts."" The video mesh allows interactive editing of moving objects and modeling of depth, which enables 3D effects and post-exposure camera control. The video mesh sparsely encodes optical flow as well as depth, and handles occlusion using local layering and alpha mattes. Motion is described by a sparse set of points tracked over time. Each point also stores a depth value. The video mesh is a triangulation over this point set and per-pixel information is obtained by interpolation. The user rotoscopes occluding contours and we introduce an algorithm to cut the video mesh along them. Object boundaries are refined with perpixel alpha values. The video mesh is at its core a set of texture mapped triangles, we leverage graphics hardware to enable interactive editing and rendering of a variety of effects. We demonstrate the effectiveness of our representation with a number of special effects including 3D viewpoint changes, object insertion, and depth-of-field manipulation.",9 p.,MIT-CSAIL-TR-2009-062,The Video Mesh: A Data Structure for Image-based Video Editing,,,,feature tracking; compositing; video editing; optical flow; triangle mesh,Creative Commons Attribution-Noncommercial 3.0 Unported,http://creativecommons.org/licenses/by-nc/3.0/,"CHEN, J., PARIS, S., WANG, J., MATUSIK, W., COHEN, M., and DURAND, F. 2009. The Video Mesh: A Data Structure for Image-based Video Editing. MIT Computer Science and Artificial Intelligence Laboratory Technical Report Series, MIT-CSAIL-TR-2009-062.",,,,,
Whitman Richards,"Richards, Whitman; Winston, Patrick Henry; Finlayson, Mark Alan",Belief Dynamics,2009-12-17T21:15:04Z,2009-12-17T21:15:04Z,2009-12-17,http://hdl.handle.net/1721.1/50232,"Report of a Workshop held at the Wylie Center, Beverly, MA, Oct 8-10 2009",32 p.,MIT-CSAIL-TR-2009-063,Advancing Computational Models of Narrative,,,Sponsored by the AFOSR under MIT-MURI contract #FA9550-05-1-0321,literary theory; stories; narrative; computational linguistics; natural language generation; text understanding; discourse parsing,Creative Commons Attribution-No Derivative Works 3.0 Unported,http://creativecommons.org/licenses/by-nd/3.0/,,Belief Dynamics; Whitman Richards,"Beverly, Massachusetts, United States",2009-10-08/2009-10-10,en,FA9550-05-1-0321
Saman Amarasinghe,"Amarasinghe, Saman; Rabbah, Rodric; Larsen, Samuel",Computer Architecture,2009-12-18T19:30:12Z,2009-12-18T19:30:12Z,2009-12-18,http://hdl.handle.net/1721.1/50235,"Multimedia extensions are nearly ubiquitous in today's general-purpose processors. These extensions consist primarily of a set of short-vector instructions that apply the same opcode to a vector of operands. Vector instructions introduce a data-parallel component to processors that exploit instruction-level parallelism, and present an opportunity for increased performance. In fact, ignoring a processor's vector opcodes can leave a significant portion of the available resources unused. In order for software developers to find short-vector instructions generally useful, however, the compiler must target these extensions with complete transparency and consistent performance. This paper describes selective vectorization, a technique for balancing computation across a processor's scalar and vector units. Current approaches for targeting short-vector instructions directly adopt vectorizing technology first developed for supercomputers. Traditional vectorization, however, can lead to a performance degradation since it fails to account for a processor's scalar resources. We formulate selective vectorization in the context of software pipelining. Our approach creates software pipelines with shorter initiation intervals, and therefore, higher performance. A key aspect of selective vectorization is its ability to manage transfer of operands between vector and scalar instructions. Even when operand transfer is expensive, our technique is sufficiently sophisticated to achieve significant performance gains. We evaluate selective vectorization on a set of SPEC FP benchmarks. On a realistic VLIW processor model, the approach achieves whole-program speedups of up to 1.35x over existing approaches. For individual loops, it provides speedups of up to 1.75x.",25 p.,MIT-CSAIL-TR-2009-064,Selective Vectorization for Short-Vector Instructions,,,,SIMD; Vectorization; Compiler,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,,,,,
Nancy Lynch,"Canetti, Ran; Cheung, Ling; Kaynar, Dilsun; Liskov, Moses; Lynch, Nancy; Pereira, Olivier; Segala, Roberto",Theory of Computation,2013-04-11T20:45:03Z,2013-04-11T20:45:03Z,2009.,http://hdl.handle.net/1721.1/78359,"Modeling frameworks such as Probabilistic I/O Automata (PIOA) and Markov Decision Processes permit both probabilistic and nondeterministic choices. In order to use these frameworks to express claims about probabilities of events, one needs mechanisms for resolving nondeterministic choices. For PIOAs, nondeterministic choices have traditionally been resolved by schedulers that have perfect information about the past execution. However, these schedulers are too powerful for certain settings, such as cryptographic protocol analysis, where information must sometimes be hidden. Here, we propose a new, less powerful nondeterminism-resolution mechanism for PIOAs, consisting of tasks and local schedulers. Tasks are equivalence classes of system actions that are scheduled by oblivious, global task sequences. Local schedulers resolve nondeterminism within system components, based on local information only. The resulting task-PIOA framework yields simple notions of external behavior and implementation, and supports simple compositionality results. We also define a new kind of simulation relation, and show it to be sound for proving implementation. We illustrate the potential of the task-PIOAframework by outlining its use in verifying an Oblivious Transfer protocol.",46 p.,MIT-CSAIL-TR-2013-006,Task-Structured Probabilistic I/O Automata,,"""May 28, 2009.""",,,,,,,,,,
