dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.subject,dc.title,dc.contributor.advisor
"Nagpal, Radhika",2004-10-20T20:28:28Z,2004-10-20T20:28:28Z,2001-06-01,AITR-2001-008,http://hdl.handle.net/1721.1/7076,"In this thesis I present a language for  instructing a sheet of identically-programmed, flexible, autonomous  agents (``cells'') to assemble themselves into a predetermined  global shape, using local interactions. The global shape is described  as a folding construction on a continuous sheet, using a set of axioms  from paper-folding (origami). I provide a means of automatically  deriving the cell program, executed by all cells, from the global  shape description.  With this language, a wide variety of global  shapes and patterns can be synthesized, using only local interactions  between identically-programmed cells. Examples  include flat layered shapes, all plane Euclidean constructions, and a  variety of tessellation patterns. In contrast to approaches based on  cellular automata or evolution, the cell program is directly derived  from the global shape description and is composed from a small  number of biologically-inspired primitives: gradients, neighborhood query,  polarity inversion, cell-to-cell contact and flexible folding. The cell  programs are robust, without relying on regular cell  placement, global coordinates, or synchronous operation and can tolerate a  small amount of random cell death. I show that an average cell  neighborhood of 15 is sufficient to reliably self-assemble complex  shapes and geometric patterns on randomly distributed cells.  The language provides many insights into the  relationship between local and global descriptions of behavior,  such as the advantage of constructive languages, mechanisms for  achieving global robustness, and mechanisms for achieving scale-independent shapes from a single cell program. The language suggests a  mechanism by which many related shapes can be created by the same cell  program, in the manner of D'Arcy Thompson's famous coordinate  transformations. The thesis illuminates how complex morphology and  pattern can emerge from local interactions, and how one can engineer  robust self-assembly.",118 p.; 27221557 bytes; 1541086 bytes,application/postscript; application/pdf,en_US,AITR-2001-008,AI; self-organisation; multi agent; developmental biology; amorphous computing,Programmable Self-Assembly: Constructing Global Shape using Biologically-inspire,
"Frank, Matthew; Lee, Walter; Amarasinghe, Saman",2023-03-29T14:42:21Z,2023-03-29T14:42:21Z,2001-07,,https://hdl.handle.net/1721.1/149308,"This paper presents SUDS (Software Un-Do Systems), a data speculation system for Raw processors. SUDS manages specultation in software. Thekey to managing speculation in software is to use the compiler to minimize the number of data items that need to be managed in runtime. Managing speculation in software enables Raw processors to achieve good performance on integer applications without sacrificing chip area for speculation hardware. This additional area can instead be devoted to additional computer resources, improving the performance of dense matrix and media applications.",,,,MIT-LCS-TM-619,,A Software Framework for Supporting General Purpose Applications on RAW Computation Fabrics,"Lee, Walter; Amarasinghe, Saman"
"Alvira, Mariano; Paris, Jim; Rifkin, Ryan",2004-10-20T21:03:36Z,2004-10-20T21:03:36Z,2001-07-01,AIM-2001-012; CBCL-199,http://hdl.handle.net/1721.1/7234,"We design and implement a system that recommends musicians to listeners. The basic idea is to keep track of what artists a user listens to, to find other users with similar tastes, and to recommend other artists that these similar listeners enjoy. The system utilizes a client-server architecture, a web-based interface, and an SQL database to store and process information. We describe Audiomomma-0.3, a proof-of-concept implementation of the above ideas.",10 p.; 2186561 bytes; 257129 bytes,application/postscript; application/pdf,en_US,AIM-2001-012; CBCL-199,AI,The Audiomomma Music Recommendation System,
"Chan, Nicholas T.; Dahan, Ely; Lo, Andrew W.; Poggio, Tomaso",2004-10-20T21:03:35Z,2004-10-20T21:03:35Z,2001-07-01,AIM-2001-013; CBCL-200,http://hdl.handle.net/1721.1/7233,"Market prices are well known to efficiently collect and aggregate diverse information regarding the value of commodities and assets. The role of markets has been particularly suitable to pricing financial securities. This article provides an alternative application of the pricing mechanism to marketing research - using pseudo-securities markets to measure preferences over new product concepts. Surveys, focus groups, concept tests and conjoint studies are methods traditionally used to measure individual and aggregate preferences. Unfortunately, these methods can be biased, costly and time-consuming to conduct. The present research is motivated by the desire to efficiently measure preferences and more accurately predict new product success, based on the efficiency and incentive-compatibility of security trading markets. The article describes a novel market research method, pro-vides insight into why the method should work, and compares the results of several trading experiments against other methodologies such as concept testing and conjoint analysis.",3069806 bytes; 287156 bytes,application/postscript; application/pdf,en_US,AIM-2001-013; CBCL-200,AI,Experimental Markets for Product Concepts,
"Russell, Richard; Sinha, Pawan",2004-10-20T21:03:39Z,2004-10-20T21:03:39Z,2001-07-01,AIM-2001-014; CBCL-201,http://hdl.handle.net/1721.1/7235,"The image comparison operation ??sessing how well one image matches another ??rms a critical component of many image analysis systems and models of human visual processing. Two norms used commonly for this purpose are L1 and L2, which are specific instances of the Minkowski metric. However, there is often not a principled reason for selecting one norm over the other. One way to address this problem is by examining whether one metric better captures the perceptual notion of image similarity than the other. With this goal, we examined perceptual preferences for images retrieved on the basis of the L1 versus the L2 norm. These images were either small fragments without recognizable content, or larger patterns with recognizable content created via vector quantization. In both conditions the subjects showed a consistent preference for images matched using the L1 metric. These results suggest that, in the domain of natural images of the kind we have used, the L1 metric may better capture human notions of image similarity.",13 p.; 9714300 bytes; 2612761 bytes,application/postscript; application/pdf,en_US,AIM-2001-014; CBCL-201,AI; Image matching; vector quantization; Minkowski metric,Perceptually-based Comparison of Image Similarity Metrics,
"Torralba, Antonio; Sinha, Pawan",2004-10-20T21:03:41Z,2004-10-20T21:03:41Z,2001-07-25,AIM-2001-015; CBCL-202,http://hdl.handle.net/1721.1/7236,We propose a scheme for indoor place identification based on the recognition of global scene views. Scene views are encoded using a holistic representation that provides low-resolution spatial and spectral information. The holistic nature of the representation dispenses with the need to rely on specific objects or local landmarks and also renders it robust against variations in object configurations. We demonstrate the scheme on the problem of recognizing scenes in video sequences captured while walking through an office environment. We develop a method for distinguishing between 'diagnostic' and 'generic' views and also evaluate changes in system performances as a function of the amount of training data available and the complexity of the representation.,17 p.; 14931961 bytes; 3219314 bytes,application/postscript; application/pdf,en_US,AIM-2001-015; CBCL-202,AI; Scene classification; Navigation; scene representation,Recognizing Indoor Scenes,
"Kuncak, Viktor; Lam, Patrick; Rinard, Martin",2023-03-29T15:34:21Z,2023-03-29T15:34:21Z,2001-08,,https://hdl.handle.net/1721.1/149925,,,,,MIT-LCS-TR-822,,Roles Are Really Great!,
"Thies, William F.; Karczmarek, Michael; Amarasinghe, Saman",2023-03-29T14:42:24Z,2023-03-29T14:42:24Z,2001-08,,https://hdl.handle.net/1721.1/149309,"We characterize high-performance streaming applications as a new and distinct domain of programs that is becoming increasingly important. The StreaMIT language provides novel high-level representations to improve programmer productivity and program robustness within the streaming domain. At the same time, the StreaMIT compiler aims to improve the performance of streaming applications via stream-specific analyses and optimizations. In this paper, we motivate, describe and justify the language features of StreaMIT, which include: a structured model of streams, a messaging system for control, a re-initialization mechanism, and a natural textual syntax. We also present a means of reasoning about time in terms of ""information flow"": a concept that we believe is fundamental to the streaming domain. Using this concept, we give a formal semantics for StreaMIT's messaging system, as well as a simple algorithm for detecting deadlock and buffer overlow.",,,,MIT-LCS-TM-620,,StreaMIT: A Language for Streaming Applications,
"Zollei, Lilla",2004-10-20T20:28:33Z,2004-10-20T20:28:33Z,2001-08-01,AITR-2002-001,http://hdl.handle.net/1721.1/7078,"The registration of pre-operative volumetric datasets to intra- operative two-dimensional images provides an improved way of verifying patient position and medical instrument loca- tion. In applications from orthopedics to neurosurgery, it has a great value in maintaining up-to-date information about changes due to intervention. We propose a mutual information- based registration algorithm to establish the proper align- ment. For optimization purposes, we compare the perfor- mance of the non-gradient Powell method and two slightly di erent versions of a stochastic gradient ascent strategy: one using a sparsely sampled histogramming approach and the other Parzen windowing to carry out probability density approximation.   Our main contribution lies in adopting the stochastic ap- proximation scheme successfully applied in 3D-3D registra- tion problems to the 2D-3D scenario, which obviates the need for the generation of full DRRs at each iteration of pose op- timization. This facilitates a considerable savings in compu- tation expense. We also introduce a new probability density estimator for image intensities via sparse histogramming, de- rive gradient estimates for the density measures required by the maximization procedure and introduce the framework for a multiresolution strategy to the problem. Registration results are presented on uoroscopy and CT datasets of a plastic pelvis and a real skull, and on a high-resolution CT- derived simulated dataset of a real skull, a plastic skull, a plastic pelvis and a plastic lumbar spine segment.",128 p.; 21043480 bytes; 1712245 bytes,application/postscript; application/pdf,en_US,AITR-2002-001,AI; registration; medical imaging,2D-3D Rigid-Body Registration of X-Ray Fluoroscopy and CT Images,
"Shelton, Christian Robert",2004-10-01T14:00:04Z,2004-10-01T14:00:04Z,2001-08-01,AITR-2001-003; CBCL-204,http://hdl.handle.net/1721.1/5568,"This thesis considers three complications that arise from applying reinforcement learning to a real-world application. In the process of using reinforcement learning to build an adaptive electronic market-maker, we find the sparsity of data, the partial observability of the domain, and the multiple objectives of the agent to cause serious problems for existing reinforcement learning algorithms.  We employ importance sampling (likelihood ratios) to achieve good performance in partially observable Markov decision processes with few data. Our importance sampling estimator requires no knowledge about the environment and places few restrictions on the method of collecting data. It can be used efficiently with reactive controllers, finite-state controllers, or policies with function approximation. We present theoretical analyses of the estimator and incorporate it into a reinforcement learning algorithm.  Additionally, this method provides a complete return surface which can be used to balance multiple objectives dynamically. We demonstrate the need for multiple goals in a variety of applications and natural solutions based on our sampling method. The thesis concludes with example results from employing our algorithm to the domain of automated electronic market-making.",108 p.; 10551422 bytes; 1268632 bytes,application/postscript; application/pdf,en_US,AITR-2001-003; CBCL-204,AI; reinforcement learning; RL; importance sampling; estimation; market-making,Importance Sampling for Reinforcement Learning with Multiple Objectives,
