dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.rights,dc.rights.uri,dc.subject,dc.title,dc.identifier.citation,dc.contributor.department,dc.description,dc.description.sponsorship,dc.relation.uri,dc.contributor,dc.relation.isreferencedby,dc.relation.replaces,dc.relation.requires,dc.relation.isreplacedby,dc.contributor.editor
Fredo Durand,"Ragan-Kelley, Jonathan; Doggett, Michael; Lehtinen, Jaakko; Chen, Jiawen; Durand, Fredo",Computer Graphics,2010-03-29T18:45:17Z,2010-03-29T18:45:17Z,2010-03-29,http://hdl.handle.net/1721.1/53330,"We propose decoupled sampling, an approach that decouples shading from visibility sampling in order to enable motion blur and depth-of-field at reduced cost. More generally, it enables extensions of modern real-time graphics pipelines that provide controllable shading rates to trade off quality for performance. It can be thought of as a generalization of GPU-style multisample antialiasing (MSAA) to support unpredictable shading rates, with arbitrary mappings from visibility to shading samples as introduced by motion blur, depth-of-field, and adaptive shading. It is inspired by the Reyes architecture in offline rendering, but targets real-time pipelines by driving shading from visibility samples as in GPUs, and removes the need for micropolygon dicing or rasterization. Decoupled Sampling works by defining a many-to-one hash from visibility to shading samples, and using a buffer to memoize shading samples and exploit reuse across visibility samples. We present extensions of two modern GPU pipelines to support decoupled sampling: a GPU-style sort-last fragment architecture, and a Larrabee-style sort-middle pipeline. We study the architectural implications and derive end-to-end performance estimates on real applications through an instrumented functional simulator. We demonstrate high-quality motion blur and depth-of-field, as well as variable and adaptive shading rates.",16 p.,MIT-CSAIL-TR-2010-015,Creative Commons Attribution-Share Alike 3.0 Unported,http://creativecommons.org/licenses/by-sa/3.0/,Computer Graphics; Graphics Systems; Graphics Hardware,Decoupled Sampling for Real-Time Graphics Pipelines,"RAGAN-KELLEY, J., LEHTINEN, J., CHEN, J., DOGGETT, M., and DURAND, F. 2010. Decoupled Sampling for Real-Time Graphics Pipelines. MIT Computer Science and Artificial Intelligence Laboratory Technical Report Series, MIT-CSAIL-TR-2010-015.",,,,,,,,,,
Fredo Durand,"Agarwala, Aseem; Bae, Soonmin; Durand, Fredo",,2010-04-14T17:30:08Z,2010-04-14T17:30:08Z,2010-04-07,http://hdl.handle.net/1721.1/53705,"Rephotographers aim to recapture an existing photograph from the same viewpoint. A historical photograph paired with a well-aligned modern rephotograph can serve as a remarkable visualization of the passage of time. However, the task of rephotography is tedious and often imprecise, because reproducing the viewpoint of the original photograph is challenging. The rephotographer must disambiguate between the six degrees of freedom of 3D translation and rotation, and the confounding similarity between the effects of camera zoom and dolly. We present a real-time estimation and visualization technique for rephotography that helps users reach a desired viewpoint during capture. The input to our technique is a reference image taken from the desired viewpoint. The user moves through the scene with a camera and follows our visualization to reach the desired viewpoint. We employ computer vision techniques to compute the relative viewpoint difference. We guide 3D movement using two 2D arrows. We demonstrate the success of our technique by rephotographing historical images and conducting user studies.",15 p.,MIT-CSAIL-TR-2010-016,Creative Commons Attribution-Noncommercial 3.0 Unported,http://creativecommons.org/licenses/by-nc/3.0/,Rephotography; Computational photography; Pose estimation,Computational Re-Photography,,Computer Graphics,,,,,,,,,
Brian Williams,"Li, Hui X.",Model-based Embedded and Robotic Systems,2010-04-16T16:15:05Z,2010-04-16T16:15:05Z,2010-04-09,http://hdl.handle.net/1721.1/53720,"Most unmanned missions in space and undersea are commanded by a ""script"" that specifies a sequence of discrete commands and continuous actions. Currently such scripts are mostly hand-generated by human operators. This introduces inefficiency, puts a significant cognitive burden on the engineers, and prevents re-planning in response to environment disturbances or plan execution failure. For discrete systems, the field of autonomy has elevated the level of commanding by developing goal-directed systems, to which human operators specify a series of temporally extended goals to be accomplished, and the goal-directed systems automatically output the correct, executable command sequences. Increasingly, the control of autonomous systems involves performing actions with a mix of discrete and continuous effects. For example, a typical autonomous underwater vehicle (AUV) mission involves discrete actions, like get GPS and take sample, and continuous actions, like descend and ascend, which are influenced by the dynamical model of the vehicle. A hybrid planner generates a sequence of discrete and continuous actions that achieve the mission goals. In this thesis, I present a novel approach to solve the generative planning problem for temporally extended goals for hybrid systems, involving both continuous and discrete actions. The planner, Kongming, incorporates two innovations. First, it employs a compact representation of all hybrid plans, called a Hybrid Flow Graph, which combines the strengths of a Planning Graph for discrete actions and Flow Tubes for continuous actions. Second, it engages novel reformulation schemes to handle temporally flexible actions and temporally extended goals. I have successfully demonstrated controlling an AUV in the Atlantic ocean using mission scripts solely generated by Kongming. I have also empirically evaluated Kongming on various real-world scenarios in the underwater domain and the air vehicle domain, and found it successfully and efficiently generates valid and optimal plans.",237 p.,MIT-CSAIL-TR-2010-018,,,combinatorial optimization; AI planning; autonomous systems,Kongming: A Generative Planner for Hybrid Systems with Temporally Extended Goals,,,PhD thesis,Funded by the Boeing Company under contract MIT-BA-GTA-1,,,,,,,
Srini Devadas,"Devadas, Srinivas; Lis, Mieszko; Khan, Omer",Computation Structures,2010-04-23T17:15:07Z,2010-04-23T17:15:07Z,2010-04-17,http://hdl.handle.net/1721.1/53748,"We introduce the Execution Migration Machine (EM²), a novel data-centric multicore memory system architecture based on computation migration. Unlike traditional distributed memory multicores, which rely on complex cache coherence protocols to move the data to the core where the computation is taking place, our scheme always moves the computation to the core where the data resides. By doing away with the cache coherence protocol, we are able to boost the effectiveness of per-core caches while drastically reducing hardware complexity. To evaluate the potential of EM² architectures, we developed a series of PIN/Graphite-based models of an EM² multicore with 64 x86 cores and, under some simplifying assumptions (a timing model restricted to data memory performance, no instruction cache modeling, high-bandwidth fixed-latency interconnect allowing concurrent migrations), compared them against corresponding directory-based cache-coherent architecture models. We justify our assumptions and show that our conclusions are valid even if our assumptions are removed. Experimental results on a range of SPLASH-2 and PARSEC benchmarks indicate that EM2 can significantly improve per-core cache performance, decreasing overall miss rates by as much as 84% and reducing average memory latency by up to 58%.",13 p.,MIT-CSAIL-TR-2010-019,,,,Instruction-Level Execution Migration,,,,,,,,,,,
Frans Kaashoek,"Kaashoek, Frans; Morris, Robert; Mao, Yandong",Parallel and Distributed Operating Systems,2010-05-03T23:15:05Z,2010-05-03T23:15:05Z,2010-05-02,http://hdl.handle.net/1721.1/54692,"MapReduce is a programming model for data-parallel programs originally intended for data centers. MapReduce simplifies parallel programming, hiding synchronization and task management. These properties make it a promising programming model for future processors with many cores, and existing MapReduce libraries such as Phoenix have demonstrated that applications written with MapReduce perform competitively with those written with Pthreads. This paper explores the design of the MapReduce data structures for grouping intermediate key/value pairs, which is often a performance bottleneck on multicore processors. The paper finds the best choice depends on workload characteristics, such as the number of keys used by the application, the degree of repetition of keys, etc. This paper also introduces a new MapReduce library, Metis, with a compromise data structure designed to perform well for most workloads. Experiments with the Phoenix benchmarks on a 16-core AMD-based servershow that Metisâ   data structure performs better than simpler alternatives, including Phoenix.",13 p.,MIT-CSAIL-TR-2010-020,,,,Optimizing MapReduce for Multicore Architectures,,,,,,,,,,,
Fredo Durand,"Igarashi, Takeo; Durand, Fredo; Rivers, Alec",Computer Graphics,2010-05-06T17:45:04Z,2010-05-06T17:45:04Z,2010-05-05,http://hdl.handle.net/1721.1/54731,"We describe a user study comparing 3D Modeling with Silhouettes and Google SketchUp. In the user study, ten users were asked to create 3D models of three different objects, using either 3D Modeling with Silhouettes or Google SketchUp. Ten different users were then asked to rank images of the models produced by the first group. We show that the models made with 3D Modeling with Silhouettes were ranked significantly higher on average than those made with Google SketchUp.",4 p.,MIT-CSAIL-TR-2010-023,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,sketch-based modeling,A User Study Comparing 3D Modeling with Silhouettes and Google SketchUp,,,,,,,,,,,
Martin Rinard,"Jayaraman, Karthick; Rinard, Martin C.; Tripunitara, Mahesh; Ganesh, Vijay; Chapin, Steve",Computer Architecture,2010-05-06T17:30:07Z,2010-05-06T17:30:07Z,2010-05-05,http://hdl.handle.net/1721.1/54730,"Access-control policies are a key infrastructural technology for computer security. However, a significant problem is that system administrators need to be able to automatically verify whether their policies capture the intended security goals. To address this important problem, researchers have proposed many automated verification techniques. Despite considerable progress in verification techniques, scalability is still a significant issue. Hence, in this paper we propose that error finding complements verification, and is a fruitful way of checking whether or not access control policies implement the security intent of system administrators. Error finding is more scalable (at the cost of completeness), and allows for the use of a wider variety of techniques. In this paper, we describe an abstraction-refinement based technique and its implementation, the Mohawk tool, aimed at finding errors in ARBAC access-control policies. The key insight behind our abstraction-refinement technique is that it is more efficient to look for errors in an abstract policy (with successive refinements, if necessary) than its complete counterpart. Mohawk accepts as input an access-control policy and a safety question. If Mohawk finds an error in the input policy, it terminates with a sequence of actions that cause the error. We provide an extensive comparison of Mohawk with the current state-of-the-art analysis tools. We show that Mohawk scales very well as the size and complexity of the input policies increase, and is orders of magnitude faster than competing tools. The Mohawk tool is open source and available from the Google Code website: http://code.google.com/p/mohawk/",12 p.,MIT-CSAIL-TR-2010-022,Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,access-control policies; error finding; bounded model-checking; abstraction refinement,Automatic Error Finding in Access-Control Policies,,,,,http://code.google.com/p/mohawk/,,,,,,
,"Kaelbling, Leslie Pack; Lozano-Perez, Tomas",Learning and Intelligent Systems,2010-05-12T23:00:07Z,2010-05-12T23:00:07Z,2010-05-07,http://hdl.handle.net/1721.1/54780,"In this paper we outline an approach to the integration of task planning and motion planning that has the following key properties: It is aggressively hierarchical. It makes choices and commits to them in a top-down fashion in an attempt to limit the length of plans that need to be constructed, and thereby exponentially decrease the amount of search required. Importantly, our approach also limits the need to project the effect of actions into the far future. It operates on detailed, continuous geometric representations and partial symbolic descriptions. It does not require a complete symbolic representation of the input geometry or of the geometric effect of the task-level operations.",9 p.,MIT-CSAIL-TR-2010-026,Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,,Hierarchical Task and Motion Planning in the Now,,,"Workshop on Mobile Manipulation, IEEE International Conference on Robotics and Automation",This work was supported in part by the National Science Foundation under Grant No. 0712012.,,,,,,,
William Freeman,"Freeman, William T.; Torralba, Antonio; Yuen, Jenny; Liu, Ce",Vision,2010-05-13T19:30:03Z,2010-05-13T19:30:03Z,2010-05-08,http://hdl.handle.net/1721.1/54787,"While image alignment has been studied in different areas of computer vision for decades, aligning images depicting different scenes remains a challenging problem. Analogous to optical flow where an image is aligned to its temporally adjacent frame, we propose SIFT flow, a method to align an image to its nearest neighbors in a large image corpus containing a variety of scenes. The SIFT flow algorithm consists of matching densely sampled, pixel-wise SIFT features between two images, while preserving spatial discontinuities. The SIFT features allow robust matching across different scene/object appearances, whereas the discontinuity-preserving spatial model allows matching of objects located at different parts of the scene. Experiments show that the proposed approach robustly aligns complex scene pairs containing significant spatial differences. Based on SIFT flow, we propose an alignment-based large database framework for image analysis and synthesis, where image information is transferred from the nearest neighbors to a query image according to the dense scene correspondence. This framework is demonstrated through concrete applications, such as motion field prediction from a single image, motion synthesis via object transfer, satellite image registration and face recognition.",17 p.,MIT-CSAIL-TR-2010-024,,,,SIFT Flow: Dense Correspondence across Scenes and its Applications,,,,,,,,,,,
Patrick Winston,"Finlayson, Mark Alan; Hervas, Raquel",Genesis,2010-08-19T18:15:22Z,2010-08-19T18:15:22Z,2010-05-12,http://hdl.handle.net/1721.1/57507,"The corpus comprises 62 files in ""Story Workbench"" annotation format: 30 folktales in English from a variety of sources, and 32 Wall Street Journal articles selected to coincide with articles found in the Penn Treebank. The files are annotated with the location of referring expressions, coreference relations between the referring expressions, and so-called ""indication structures"", which split referring expressions into constituents (nuclei and modifiers) and mark each constituent as either 'distinctive' or 'descriptive', indicating whether or not the constituent contains information required for uniquely identifying the referent. The files distributed in this corpus archive are the gold-standard files, which were constructed by merging annotations done by two trained annotators. The contents of this corpus, the annotation procedure, and the indication structures are described in more detail in a paper titled ""The Prevalence of Descriptive Referring Expressions in News and Narrative"" published in the proceedings of the 48th Annual Meeting of the Association for Computational Linguistics, held in July 2010 in Uppsala, Sweden (ACL-2010). A near-final version of the paper is included in the doc/ directory of the compressed corpus archive file.
This is version 1.1 of the UMIREC corpus, in which the coreference annotations have been fixed relative to version 1.0. UMIREC v1.0 suffered from a bug in the export script that corrupted the coreference data.",877 ko,,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,"UCM/MIT Indications, Referring Expressions, and Coreference Corpus (UMIREC corpus) v1.1","Finlayson, M.A. & Hervás, R. (2010) UCM/MIT Indications, Referring Expressions, and Co-Reference Corpus v1.1 (UMIREC corpus). MIT CSAIL Work Product.",,,,,Patrick Winston; Genesis,http://hdl.handle.net/1721.1/54765,http://hdl.handle.net/1721.1/54766,,,
