dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.subject,dc.title,dc.identifier.citation,dc.rights,dc.rights.uri,dc.description,dc.description.sponsorship
Tomaso Poggio,"Wibisono, Andre; Bouvrie, Jake; Rosasco, Lorenzo; Poggio, Tomaso",Center for Biological and Computational Learning (CBCL),2010-07-30T17:45:16Z,2010-07-30T17:45:16Z,2010-07-30,http://hdl.handle.net/1721.1/57464,"Understanding invariance and discrimination properties of hierarchical models is arguably the key to understanding how and why such models, of which the the mammalian visual system is one instance, can lead to good generalization properties and reduce the sample complexity of a given learning task. In this paper we explore invariance to transformation and the role of layer-wise embeddings within an abstract framework of hierarchical kernels motivated by the visual cortex. Here a novel form of invariance is induced by propagating the effect of locally defined, invariant kernels throughout a hierarchy. We study this notion of invariance empirically. We then present an extension of the abstract hierarchical modeling framework to incorporate layer-wise embeddings, which we demonstrate can lead to improved generalization and scalable algorithms. Finally we analyze experimentally sample complexity properties as a function of architectural parameters.",9 p.,CBCL-290; MIT-CSAIL-TR-2010-035,artificial intelligence,Learning and Invariance in a Family of Hierarchical Kernels,,,,,
Nancy Lynch,"Khabbazian, Majid; Kuhn, Fabian; Lynch, Nancy; Medard, Muriel; ParandehGheibi, Ali",,2010-08-04T15:15:23Z,2010-08-04T15:15:23Z,2010-08-02,http://hdl.handle.net/1721.1/57473,"Most medium access control mechanisms discard collided packets and consider interference harmful. Recent work on Analog Network Coding (ANC) suggests a different approach, in which multiple interfering transmissions are strategically scheduled. The received collisions are collected and then used in a decoding process, such as the ZigZag decoding process, where the packets involved in the collisions are extracted. In this paper, we present an algebraic representation of collisions and describe a general approach to recovering collisions using ANC. To study the eect of using ANC on the performance of MAC layers, we develop an ANC-based algorithm that implements an abstract MAC layer service, as defined in [1, 2], and analyze its performance. This study proves that ANC can significantly improve the performance of MAC layer services, in terms of probabilistic time guarantees for packet delivery. We illustrate how this improvement at the MAC layer can translate into faster higher-level algorithms, by analyzing the time complexity of a multiple-message network-wide broadcast algorithm that uses our ANC-based MAC service.",19 p.,MIT-CSAIL-TR-2010-036,,MAC Design for Analog Network Coding,,,,,
Joshua Tenenbaum,"Salakhutdinov, Ruslan; Hinton, Geoffrey",Computational Cognitive Science,2010-08-04T15:15:39Z,2010-08-04T15:15:39Z,2010-08-04,http://hdl.handle.net/1721.1/57474,"We present a new learning algorithm for Boltzmann Machines that contain many layers of hidden variables. Data-dependent statistics are estimated using a variational approximation that tends to focus on a single mode, and data-independent statistics are estimated using persistent Markov chains. The use of two quite different techniques for estimating the two types of statistic that enter into the gradient of the log likelihood makes it practical to learn Boltzmann Machines with multiple hidden layers and millions of parameters. The learning can be made more efficient by using a layer-by-layer ""pre-training"" phase that initializes the weights sensibly. The pre-training also allows the variational inference to be initialized sensibly with a single bottom-up pass. We present results on the MNIST and NORB datasets showing that Deep Boltzmann Machines learn very good generative models of hand-written digits and 3-D objects. We also show that the features discovered by Deep Boltzmann Machines are a very effective way to initialize the hidden layers of feed-forward neural nets which are then discriminatively fine-tuned.",32 p.,MIT-CSAIL-TR-2010-037,Deep learning; Graphical models; Boltzmann Machines,An Efficient Learning Procedure for Deep Boltzmann Machines,,,,,
Martin Rinard,"Misailovic, Sasa; Kim, Deokhwan; Rinard, Martin",Computer Architecture,2010-08-05T16:00:10Z,2010-08-05T16:00:10Z,2010-08-05,http://hdl.handle.net/1721.1/57475,"We present QuickStep, a novel system for parallelizing sequential programs. QuickStep deploys a set of parallelization transformations that together induce a search space of candidate parallel programs. Given a sequential program, representative inputs, and an accuracy requirement, QuickStep uses performance measurements, profiling information, and statistical accuracy tests on the outputs of candidate parallel programs to guide its search for a parallelizationthat maximizes performance while preserving acceptable accuracy. When the search completes, QuickStep produces an interactive report that summarizes the applied parallelization transformations, performance, and accuracy results for the automatically generated candidate parallel programs. In our envisioned usage scenarios, the developer examines this report to evaluate the acceptability of the final parallelization and to obtain insight into how the original sequential program responds to different parallelization strategies. Itis also possible for the developer (or even a user of the program who has no software development expertise whatsoever) to simply use the best parallelization out of the box without examining the report or further investigating the parallelization. Results from our benchmark set of applications show that QuickStep can automatically generate accurate and efficient parallel programs---the automatically generated parallel versions of five of our six benchmark applications run between 5.0 and 7.7 times faster on 8 cores than the original sequential versions. Moreover, a comparison with the Intel icc compiler highlights how QuickStep can effectively parallelize applications with features (such as the use of modern object-oriented programming constructs or desirable parallelizations with infrequent but acceptable data races) that place them inherently beyond the reach of standard approaches.",22 p.,MIT-CSAIL-TR-2010-038,,Parallelizing Sequential Programs With Statistical Accuracy Tests,,,,,
John Leonard,"Benjamin, Michael R.",Marine Robotics,2010-08-23T21:15:27Z,2010-08-23T21:15:27Z,2010-08-23,http://hdl.handle.net/1721.1/57509,This document describes fifteen MOOS-IvP autonomy tools. uHelmScope provides a run-time scoping window into the state of an active IvP Helm executing its mission. pMarineViewer is a geo-based GUI tool for rendering marine vehicles and geometric data in their operational area. uXMS is a terminal based tool for scoping on a MOOSDB process. uTermCommand is a terminal based tool for poking a MOOSDB with a set of MOOS file pre-defined variable-value pairs selectable with aliases from the command-line. pEchoVar provides a way of echoing a post to one MOOS variable with a new post having the same value to a different variable. uProcessWatch monitors the presence or absence of a set of MOOS processes and summarizes the collective status in a single MOOS variable. uPokeDB provides a way of poking the MOOSDB from the command line with one or more variable-value pairs without any pre-existing configuration of a MOOS file. uTimerScript will execute a pre-defined timed pausable script of poking variable-value pairs to a MOOSDB. pNodeReporter summarizes a platforms critical information into a single node report string for sharing beyond the vehicle. pBasicContactMgr provides a basic contact management service with the ability to generate range-dependent configurable alerts. The Alog Toolbox is a set of offline tools for analyzing and manipulating log files in the .alog format.,113 p.,MIT-CSAIL-TR-2010-039,MOOS; Contact Manager,MOOS-IvP Autonomy Tools Users Manual,,,,,
Nancy Lynch,"Kuhn, Fabian; Lynch, Nancy; Newport, Calvin",Theory of Computation,2010-08-26T20:45:18Z,2010-08-26T20:45:18Z,2010-08-26,http://hdl.handle.net/1721.1/57577,"A diversity of possible communication assumptions complicates the study of algorithms and lower bounds for radio networks. We address this problem by defining an abstract MAC layer. This service provides reliable local broadcast communication, with timing guarantees stated in terms of a collection of abstract delay functions applied to the relevant contention. Algorithm designers can analyze their algorithms in terms of these functions, independently of specific channel behavior. Concrete implementations of the abstract MAC Layer over basic radio network models generate concrete definitions for these delay functions, automatically adapting bounds proven for the abstract service to bounds for the specific radio network under consideration. To illustrate this approach, we use the abstract MAC Layer to study the new problem of Multi-Message Broadcast, a generalization of standard single-message broadcast in which multiple messages can originate at different times and locations in the network. We present and analyze two algorithms for Multi-Message Broadcast in static networks: a simple greedy algorithm and one that uses regional leaders. We then indicate how these results can be extended to mobile networks.",30 p.,MIT-CSAIL-TR-2010-040,Wireless networks; Abstraction; Medium access control; Broadcast,The Abstract MAC Layer,,,,,
John Leonard,"Benjamin, Michael R.; Newman, Paul; Schmidt, Henrik; Leonard, John J.",Marine Robotics,2010-08-27T16:00:16Z,2010-08-27T16:00:16Z,2010-08-27,http://hdl.handle.net/1721.1/57583,"This document describes the IvP Helm -- an Open Source behavior-based autonomy application for unmanned vehicles. IvP is short for interval programming -- a technique for representing and solving multi-objective optimizations problems. Behaviors in the IvP Helm are reconciled using multi-objective optimization when in competition with each other for influence of the vehicle. The IvP Helm is written as a MOOS application where MOOS is a set of Open Source publish-subscribe autonomy middleware tools. This document describes the configuration and use of the IvP Helm, provides examples of simple missions and information on how to download and build the software from the MOOS-IvP server at www.moosivp.org.",255 p.,MIT-CSAIL-TR-2010-041,pMarineViewer; uTimerScript; Adaptive Autonomy; USV; UUV; UxV; Unmanned Marine Vehicles; Marine Autonomy; AUV; NURC,An Overview of MOOS-IvP and a Users Guide to the IvP Helm Autonomy Software,,,,,
Silvio Micali,"Azar, Pablo; Chen, Jing; Micali, Silvio",Theory of Computation,2010-09-11T00:00:46Z,2010-09-11T00:00:46Z,2010-09-08,http://hdl.handle.net/1721.1/58486,"We put forward a new class of mechanisms. In this extended abstract, we exemplify our approach only for single-good auctions in what we call a conservative-Bayesian setting. (Essentially, no common-knowledge about the underlying distribution of the players' valuations is required.) We prove that our mechanism is optimal in this challenging and realistic setting.",5 p.,MIT-CSAIL-TR-2010-042,,Conservative-Bayesian Mechanisms,,,,,
Nancy Lynch,"Cornejo, Alejandro; Lynch, Nancy",Theory of Computation,2010-09-11T00:00:21Z,2010-09-11T00:00:21Z,2010-09-09,http://hdl.handle.net/1721.1/58484,"Local distributed algorithms can only gather sufficient information to identify local graph traits, that is, properties that hold within the local neighborhood of each node. However, it is frequently the case that global graph properties (connectivity, diameter, girth, etc) have a large influence on the execution of a distributed algorithm. This paper studies local graph traits and their relationship with global graph properties. Specifically, we focus on graph k-connectivity. First we prove a negative result that shows there does not exist a local graph trait which perfectly captures graph k-connectivity. We then present three different local graph traits which can be used to reliably predict the k-connectivity of a graph with varying degrees of accuracy. As a simple application of these results, we present upper and lower bounds for a local distributed algorithm which determines if a graph is k-connected. As a more elaborate application of local graph traits, we describe, and prove the correctness of, a local distributed algorithm that preserves k-connectivity in mobile ad hoc networks while allowing nodes to move independently whenever possible.",16 p,MIT-CSAIL-TR-2010-043,Connectivity; Graph Traits; Distributed,Reliably Detecting Connectivity using Local Graph Traits,,,,,
Jovan Popovic,"Wang, Robert; Paris, Sylvain; Popovic, Jovan",Computer Graphics,2010-09-11T00:00:37Z,2010-09-11T00:00:37Z,2010-09-10,http://hdl.handle.net/1721.1/58485,"Motion capture systems have been widely used for high quality content creation and virtual reality but are rarely used in consumer applications due to their price and setup cost. In this paper, we propose a motion capture system built from commodity components that can be deployed in a matter of minutes. Our approach uses one or more webcams and a color shirt to track the upper-body at interactive rates. We describe a robust color calibration system that enables our color-based tracking to work against cluttered backgrounds and under multiple illuminants. We demonstrate our system in several real-world indoor and outdoor settings.",6 p.,MIT-CSAIL-TR-2010-044,augmented reality,Practical Color-Based Motion Capture,,,,,
