dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.subject,dc.title,dc.language.rfc3066,dspace.orderedauthors,dc.rights,dc.rights.uri,dc.description,dc.description.degree,dc.contributor,dc.description.sponsorship,dc.identifier.citation,dc.publisher
Tomaso Poggio,"Alvarez, Mauricio A.; Rosasco, Lorenzo; Lawrence, Neil D.",Center for Biological and Computational Learning (CBCL),2011-06-30T19:30:08Z,2011-06-30T19:30:08Z,2011-06-30,http://hdl.handle.net/1721.1/64731,"Kernel methods are among the most popular techniques in machine learning. From a frequentist/discriminative perspective they play a central role in regularization theory as they provide a natural choice for the hypotheses space and the regularization functional through the notion of reproducing kernel Hilbert spaces. From a Bayesian/generative perspective they are the key in the context of Gaussian processes, where the kernel function is also known as the covariance function. Traditionally, kernel methods have been used in supervised learning problem with scalar outputs and indeed there has been a considerable amount of work devoted to designing and learning kernels. More recently there has been an increasing interest in methods that deal with multiple outputs, motivated partly by frameworks like multitask learning. In this paper, we review different methods to design or learn valid kernel functions for multiple outputs, paying particular attention to the connection between probabilistic and functional methods.",38 p.,MIT-CSAIL-TR-2011-033; CBCL-301,learning theory; kernel methods; multi-output learning,Kernels for Vector-Valued Functions: a Review,en-US,"Alvarez, Mauricio A.; Rosasco, Lorenzo; Lawrence, Neil D.",,,,,,,,
Anant Agarwal,"Belay, Adam; Wentzlaff, David; Agarwal, Anant",Computer Architecture,2011-07-28T17:45:15Z,2011-07-28T17:45:15Z,2011-07-27,http://hdl.handle.net/1721.1/64977,"Recent trends in OS research have shown evidence that there are performance benefits to running OS services on different cores than the user applications that rely on them. We quantitatively evaluate this claim in terms of one of the most significant architectural constraints: memory performance. To this end, we have created CachEMU, an open-source memory trace generator and cache simulator built as an extension to QEMU for working with system traces. Using CachEMU, we determined that for five common Linux test workloads, it was best to run the OS close, but not too close   on the same package, but not on the same core.",6 p.,MIT-CSAIL-TR-2011-035,,Vote the OS off your Core,en-US,,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,,,,,
John Leonard,"Benjamin, Michael R.",Marine Robotics,2011-08-03T17:15:13Z,2011-08-03T17:15:13Z,2011-07-28,http://hdl.handle.net/1721.1/65074,This document describes 19 MOOS-IvP autonomy tools. uHelmScope provides a run-time scoping window into the state of an active IvP Helm executing its mission. pMarineViewer is a geo-based GUI tool for rendering marine vehicles and geometric data in their operational area. uXMS is a terminal based tool for scoping on a MOOSDB process. uTermCommand is a terminal based tool for poking a MOOSDB with a set of MOOS file pre-defined variable-value pairs selectable with aliases from the command-line. pEchoVar provides a way of echoing a post to one MOOS variable with a new post having the same value to a different variable. uProcessWatch monitors the presence or absence of a set of MOOS processes and summarizes the collective status in a single MOOS variable. uPokeDB provides a way of poking the MOOSDB from the command line with one or more variable-value pairs without any pre-existing configuration of a MOOS file. uTimerScript will execute a pre-defined timed pausable script of poking variable-value pairs to a MOOSDB. pNodeReporter summarizes a platforms critical information into a single node report string for sharing beyond the vehicle. pBasicContactMgr provides a basic contact management service with the ability to generate range-dependent configurable alerts. uSimMarine provides a simple marine vehicle simulator. uSimBeaconRange and uSimContactRange provide further simulation for range-only sensors. The Alog Toolbox is a set of offline tools for analyzing and manipulating log files in the .alog format.,167 p.,MIT-CSAIL-TR-2011-036,Autonomous Marine Vehicles; Unmanned Marine Vehicles; UUVs; AUVs; USVs; IvP Helm; pHelmIvP; LAMSS; MOOS; pLogger; MOOS Scope; MOOSDB,MOOS-IvP Autonomy Tools Users Manual Release 4.2.1,en-US,,Creative Commons Attribution-ShareAlike 3.0 Unported,http://creativecommons.org/licenses/by-sa/3.0/,,,,,,
John Leonard,"Benjamin, Michael R.; Schmidt, Henrik; Newman, Paul; Leonard, John J.",Marine Robotics,2011-08-03T17:15:06Z,2011-08-03T17:15:06Z,2011-08-03,http://hdl.handle.net/1721.1/65073,"This document describes the IvP Helm - an Open Source behavior-based autonomy application for unmanned vehicles. IvP is short for interval programming - a technique for representing and solving multi-objective optimizations problems. Behaviors in the IvP Helm are reconciled using multi-objective optimization when in competition with each other for influence of the vehicle. The IvP Helm is written as a MOOS application where MOOS is a set of Open Source publish-subscribe autonomy middleware tools. This document describes the configuration and use of the IvP Helm, provides examples of simple missions and information on how to download and build the software from the MOOS-IvP server at www.moos-ivp.org.",262 p.,MIT-CSAIL-TR-2011-037,Unmanned Underwater Vehicles; UUV; Unmanned Surface Vehicles; USV; Unmanned Vehicles; Autonomy; Marine Vehicles; Marine Autonomy; pHelmIvP; MOOS; Autonomous Vehicles; Autonomous Marine Vehicles; Unmanned Marine Vehicles; Multi-objective Optimization; Behavior-Based Control; Behavior-Based Architecture,An Overview of MOOS-IvP and a Users Guide to the IvP Helm - Release 4.2.1,en-US,,Creative Commons Attribution-ShareAlike 3.0 Unported,http://creativecommons.org/licenses/by-sa/3.0/,,,,,,
Karen Sollins,"Woodrow, Stephen Robert",Advanced Network Architecture,2011-08-31T23:00:08Z,2011-08-31T23:00:08Z,2011-08-06,http://hdl.handle.net/1721.1/65591,"This thesis analyzes and discusses the effectiveness of social efforts to achieve collective action amongst Internet network operators in order to manage the growth of the Internet routing table. The size and rate of growth of the Internet routing table is an acknowledged challenge impeding the scalability of our BGP interdomain routing architecture. While most of the work towards a solution to this problem has focused on architectural improvements, an effort launched in the 1990s called the CIDR Report attempts to incentivize route aggregation using social forces and norms in the Internet operator community. This thesis analyzes the behavior of Internet network operators in response to the CIDR Report from 1997 to 2011 to determine whether the Report was effective in achieving this goal. While it is difficult to causally attribute aggregation behavior to appearance on the CIDR report, there is a trend for networks to improve their prefix aggregation following an appearance on the CIDR Report compared to untreated networks. This suggests that the CIDR Report did affect network aggregation behavior, although the routing table continued to grow. This aggregation improvement is most prevalent early in the study period and becomes less apparent as time goes on. Potential causes of the apparent change in efficacy of the Report are discussed and examined using Ostrom s Common Pool Resource framework. The thesis then concludes with a discussion of options for mitigating routing table growth, including the continued use of community forces to better manage the Internet routing table.",165 p.,MIT-CSAIL-TR-2011-038,,Tragedy of the routing table: An analysis of collective action amongst Internet network operators,en-US,,,,S.M. thesis,S.M.,,,,
Russ Tedrake,"Platt, Robert, Jr.; Kaelbling, Leslie; Lozano-Perez, Tomas; Tedrake, Russ",Robot Locomotion Group,2011-09-15T18:30:11Z,2011-09-15T18:30:11Z,2011-08-27,http://hdl.handle.net/1721.1/65856,"We consider the partially observable control problem where it is potentially necessary to perform complex information-gathering operations in order to localize state. One approach to solving these problems is to create plans in belief-space, the space of probability distributions over the underlying state of the system. The belief-space plan encodes a strategy for performing a task while gaining information as necessary. Most approaches to belief-space planning rely upon representing belief state in a particular way (typically as a Gaussian). Unfortunately, this can lead to large errors between the assumed density representation and the true belief state. We propose a new computationally efficient algorithm for planning in non-Gaussian belief spaces. We propose a receding horizon re-planning approach where planning occurs in a low-dimensional sampled representation of belief state while the true belief state of the system is monitored using an arbitrary accurate high-dimensional representation. Our key contribution is a planning problem that, when solved optimally on each re-planning step, is guaranteed, under certain conditions, to enable the system to gain information. We prove that when these conditions are met, the algorithm converges with probability one. We characterize algorithm performance for different parameter settings in simulation and report results from a robot experiment that illustrates the application of the algorithm to robot grasping.",22 p.,MIT-CSAIL-TR-2011-039,,A hypothesis-based algorithm for planning and control in non-Gaussian belief spaces,en-US,,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,,Russ Tedrake; Robot Locomotion Group,,,
Tomaso Poggio,"Isik, Leyla; Leibo, Joel Z; Poggio, Tomaso",Center for Biological and Computational Learning (CBCL),2011-09-12T16:00:13Z,2011-09-12T16:00:13Z,2011-09-10,http://hdl.handle.net/1721.1/65646,"Learning by temporal association rules such as Foldiak's trace rule is an attractive hypothesis that explains the development of invariance in visual recognition. Consistent with these rules, several recent experiments have shown that invariance can be broken by appropriately altering the visual environment but found puzzling differences in the effects at the psychophysical versus single cell level. We show a) that associative learning provides appropriate invariance in models of object recognition inspired by Hubel and Wiesel b) that we can replicate the ""invariance disruption"" experiments using these models with a temporal association learning rule to develop and maintain invariance, and c) that we can thereby explain the apparent discrepancies between psychophysics and singe cells effects. We argue that these models account for the stability of perceptual invariance despite the underlying plasticity of the system, the variability of the visual world and expected noise in the biological mechanisms.",13 p.,MIT-CSAIL-TR-2011-040; CBCL-302,"vision, object recognition",Learning and disrupting invariance in visual recognition,en-US,,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,,,,,,
Daniela Rus,"Julian, Brian J.; Angermann, Michael; Schwager, Mac; Rus, Daniela",Robotics (Rus),2011-07-15T17:15:17Z,2011-07-15T17:15:17Z,2011-09-25,http://hdl.handle.net/1721.1/64821,"This paper presents a scalable information theoretic approach to infer the state of an environment by distributively controlling robots equipped with sensors. The robots iteratively estimate the environment state using a recursive Bayesian filter, while continuously moving to improve the quality of the estimate by following the gradient of mutual information. Both the filter and the controller use a novel algorithm for approximating the robots' joint measurement probabilities, which combines consensus (for decentralization) and sampling (for scalability). The approximations are shown to approach the true joint measurement probabilities as the size of the consensus rounds grows or as the network becomes complete. The resulting gradient controller runs in constant time with respect to the number of robots, and linear time with respect to the number of sensor measurements and environment discretization cells, while traditional mutual information methods are exponential in all of these quantities. Furthermore, the controller is proven to be convergent between consensus rounds and, under certain conditions, is locally optimal. The complete distributed inference and coordination algorithm is demonstrated in experiments with five quad-rotor flying robots and simulations with 100 robots.",10 p.,MIT-CSAIL-TR-2011-034,,A Scalable Information Theoretic Approach to Distributed Robot Coordination,en-US,,,,,,,"This work is sponsored by the Department of the Air Force under Air Force contract number FA8721-05-C-0002. The opinions, interpretations, recommendations, and conclusions are those of the authors and are not necessarily endorsed by the United States Government. This work is also supported in part by ARO grant number W911NF-05-1-0219, ONR grant number N00014-09-1-1051, NSF grant number EFRI-0735953, ARL grant number W911NF-08-2-0004, MIT Lincoln Laboratory, the European Commission, and the Boeing Company.",In Proceedings of the IEEE International Conference on Intelligent Robots and Systems (IROS 11),
Tomaso Poggio,"Mosci, Sofia; Rosasco, Lorenzo; Santoro, Matteo; Verri, Alessandro; Villa, Silvia",Center for Biological and Computational Learning (CBCL),2011-09-26T20:45:09Z,2011-09-26T20:45:09Z,2011-09-26,http://hdl.handle.net/1721.1/65964,"In this work we are interested in the problems of supervised learning and variable selection when the input-output dependence is described by a nonlinear function depending on a few variables. Our goal is to consider a sparse nonparametric model, hence avoiding linear or additive models. The key idea is to measure the importance of each variable in the model by making use of partial derivatives. Based on this intuition we propose and study a new regularizer and a corresponding least squares regularization scheme. Using concepts and results from the theory of reproducing kernel Hilbert spaces and proximal methods, we show that the proposed learning algorithm corresponds to a minimization problem which can be provably solved by an iterative procedure. The consistency properties of the obtained estimator are studied both in terms of prediction and selection performance. An extensive empirical analysis shows that the proposed method performs favorably with respect to the state-of-the-art.",38 p.,MIT-CSAIL-TR-2011-041; CBCL-303,computational learning; machine learning,Nonparametric Sparsity and Regularization,en-US,,,,,,,,,
Tomaso Poggio,"Mroueh, Youssef; Poggio, Tomaso; Rosasco, Lorenzo; Slotine, Jean-Jacques E.",Center for Biological and Computational Learning (CBCL),2011-09-27T20:30:07Z,2011-09-27T20:30:07Z,2011-09-27,http://hdl.handle.net/1721.1/66085,"We study multi-category classification in the framework of computational learning theory. We show how a relaxation approach, which is commonly used in binary classification, can be generalized to the multi-class setting. We propose a vector coding, namely the simplex coding, that allows to introduce a new notion of multi-class margin and cast multi-category classification into a vector valued regression problem. The analysis of the relaxation error be quantified and the binary case is recovered as a special case of our theory. From a computational point of view we can show that using the simplex coding we can design regularized learning algorithms for multi-category classification that can be trained at a complexity which is independent to the number of classes.",3 p.,MIT-CSAIL-TR-2011-043; CBCL-305,computational learning; machine learning; convex relaxation,Multi-Class Learning: Simplex Coding And Relaxation Error,en-US,,,,,,,,,
