dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.subject,dc.title,dc.rights,dc.rights.uri,dc.language.rfc3066,dc.description,dc.date.updated,dc.identifier.citation,dc.contributor,dc.relation.isreplacedby
Silvio Micali,"Chen, Jing; Micali, Silvio",Theory of Computation,2012-08-01T21:30:09Z,2012-08-01T21:30:09Z,2012-07-31,http://hdl.handle.net/1721.1/71953,"Shimoji and Watson (1998) prove that a strategy of an extensive game is rationalizable in the sense of Pearce if and only if it survives the maximal elimination of conditionally dominated strategies. Briefly, this process iteratively eliminates conditionally dominated strategies according to a specific order, which is also the start of an order of elimination of weakly dominated strategies. Since the final set of possible payoff profiles, or terminal nodes, surviving iterated elimination of weakly dominated strategies may be order-dependent, one may suspect that the same holds for conditional dominance. We prove that, although the sets of strategy profiles surviving two arbitrary elimination orders of conditional dominance may be very different from each other, they are equivalent in the following sense: for each player i and each pair of elimination orders, there exists a function phi_i mapping each strategy of i surviving the first order to a strategy of i surviving the second order, such that, for every strategy profile s surviving the first order, the profile (phi_i(s_i))_i induces the same terminal node as s does. To prove our results we put forward a new notion of dominance and an elementary characterization of extensive-form rationalizability (EFR) that may be of independent interest. We also establish connections between EFR and other existing iterated dominance procedures, using our notion of dominance and our characterization of EFR.",35 p.,MIT-CSAIL-TR-2012-023,extensive-form rationalizability; distinguishable dominance; order independence,"The Order Independence of Iterated Dominance in Extensive Games, with Connections to Mechanism Design and Backward Induction",,,,,,,,
Armando Solar-Lezama,"Cheung, Alvin; Solar-Lezama, Armando; Madden, Samuel",Computer-Aided Programming,2012-08-13T21:15:04Z,2012-08-13T21:15:04Z,2012-08-13,http://hdl.handle.net/1721.1/72106,"This paper presents a new approach to select events of interest to a user in a social media setting where events are generated by the activities of the user's friends through their mobile devices. We argue that given the unique requirements of the social media setting, the problem is best viewed as an inductive learning problem, where the goal is to first generalize from the users' expressed ""likes"" and ""dislikes"" of specific events, then to produce a program that can be manipulated by the system and distributed to the collection devices to collect only data of interest. The key contribution of this paper is a new algorithm that combines existing machine learning techniques with new program synthesis technology to learn users' preferences. We show that when compared with the more standard approaches, our new algorithm provides up to order-of-magnitude reductions in model training time, and significantly higher prediction accuracies for our target application. The approach also improves on standard machine learning techniques in that it produces clear programs that can be manipulated to optimize data collection and filtering.",10 p.,MIT-CSAIL-TR-2012-025,recommender systems; social networking applications; support vector machines,Using Program Synthesis for Social Recommendations,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,en-US,,,,,
Brian Williams,"Dong, Shuonan",Model-based Embedded and Robotic Systems,2018-01-30T23:46:40Z,2018-01-30T23:46:40Z,2012-08-23,http://hdl.handle.net/1721.1/113367,"Robots can act as proxies for human operators in environments where a human operator is not present or cannot directly perform a task, such as in dangerous or remote situations. Teleoperation is a common interface for controlling robots that are designed to be human proxies. Unfortunately, teleoperation may fail to preserve the natural fluidity of human motions due to interface limitations such as communication delays, non-immersive sensing, and controller uncertainty. I envision a robot that can learn a set of motions that a teleoperator commonly performs, so that it can autonomously execute routine tasks or recognize a user's motion in real time. Tasks can be either primitive activities or compound plans. During online operation, the robot can recognize a user's teleoperated motions on the fly and offer real-time assistance, for example, by autonomously executing the remainder of the task. I realize this vision by addressing three main problems: (1) learning primitive activities by identifying significant features of the example motions and generalizing the behaviors from user demonstration trajectories; (2) recognizing activities in real time by determining the likelihood that a user is currently executing one of several learned activities; and (3) learning complex plans by generalizing a sequence of activities, through auto-segmentation and incremental learning of previously unknown activities. To solve these problems, I first present an approach to learning activities from human demonstration that (1) provides flexibility and robustness when encoding a user's demonstrated motions by using a novel representation called a probabilistic flow tube, and (2) automatically determines the relevant features of a motion so that they can be preserved during autonomous execution in new situations. I next introduce an approach to real-time motion recognition that (1) uses temporal information to successfully model motions that may be non-Markovian, (2) provides fast real-time recognition of motions in progress by using an incremental temporal alignment approach, and (3) leverages the probabilistic flow tube representation to ensure robustness during recognition against varying environment states. Finally, I develop an approach to learn combinations of activities that (1) automatically determines where activities should be segmented in a sequence and (2) learns previously unknown activities on the fly. I demonstrate the results of autonomously executing motions learned by my approach on two different robotic platforms supporting user-teleoperated manipulation tasks in a variety of environments. I also present the results of real-time recognition in different scenarios, including a robotic hardware platform. Systematic testing in a two-dimensional environment shows up to a 27% improvement in activity recognition rates over prior art, while maintaining average computing times for incremental recognition of less than half of human reaction time.",144 p.,MIT-CSAIL-TR-2018-007,,Learning and recognition of hybrid manipulation tasks in variable environments using probabilistic flow tubes,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,http://creativecommons.org/licenses/by-nc-nd/4.0/,,PhD thesis,2018-01-30T23:46:40Z,,,
Nancy Lynch,"Musial, Peter M.",Theory of Computation,2012-09-05T22:00:14Z,2012-09-05T22:00:14Z,2012-08-27,http://hdl.handle.net/1721.1/72537,"The objective of this work is the derivation of software that is verifiably correct. Our approach is to abstract system specifications and model these in a formal framework called Timed Input/Output Automata, which provides a notation for expressing distributed systems and mathematical support for reasoning about their properties. Although formal reasoning is easier at an abstract level, it is not clear how to transform these abstractions into executable code. During system implementation, when an abstract system specification is left up to human interpretation, then this opens a possibility of undesirable behaviors being introduced into the final code, thereby nullifying all formal efforts. This manuscript addresses this issue and presents a set of transformation methods for systems described as a network to timed automata into Java code for distributed platforms. We prove that the presented transformation methods preserve guarantees of the source specifications, and therefore, result in code that is correct by construction.",92 p.,MIT-CSAIL-TR-2012-027,,From Formal Methods to Executable Code,,,,Note: the cover page of this report shows an incorrect title.  The title given on the first page of the document itself is correct.,,,,
Nancy Lynch,"Censor-Hillel, Keren; Haeupler, Bernhard; Lynch, Nancy; Medard, Muriel",Theory of Computation,2012-09-05T22:00:07Z,2012-09-05T22:00:07Z,2012-08-27,http://hdl.handle.net/1721.1/72536,"Efficient communication in wireless networks is typically challenged by the possibility of interference among several transmitting nodes. Much important research has been invested in decreasing the number of collisions in order to obtain faster algorithms for communication in such networks. This paper proposes a novel approach for wireless communication, which embraces collisions rather than avoiding them, over an additive channel. It introduces a coding technique called Bounded-Contention Coding (BCC) that allows collisions to be successfully decoded by the receiving nodes into the original transmissions and whose complexity depends on a bound on the contention among the transmitters. BCC enables deterministic local broadcast in a network with n nodes and at most a transmitters with information of L bits each within O(a log n + aL) bits of communication with full-duplex radios, and O((a log n + aL)(log n)) bits, with high probability, with half-duplex radios. When combined with random linear network coding, BCC gives global broadcast within O((D + a + log n)(a log n + L)) bits, with high probability. This also holds in dynamic networks that can change arbitrarily over time by a worst-case adversary. When no bound on the contention is given, it is shown how to probabilistically estimate it and obtain global broadcast that is adaptive to the true contention in the network.",17 p.,MIT-CSAIL-TR-2012-026,,Bounded-Contention Coding for Wireless Networks in the High SNR Regime,,,,,,,,
Silvio Micali,"Chiesa, Alessandro; Micali, Silvio; Zhu, Zeyuan Allen",Theory of Computation,2012-09-07T22:15:03Z,2012-09-07T22:15:03Z,2012-09-07,http://hdl.handle.net/1721.1/72584,"We provide an optimal probabilistic mechanism for maximizing social welfare in single-good auctions when each player does not know his true valuation for the good, but only a set of valuations that is guaranteed to include his true one.",19 p.,MIT-CSAIL-TR-2012-028,Knightian Auctions; Probabilistic Mechanisms; Social Welfare,A Social-Welfare Optimal Probabilistic Mechanism for Knightian Single-Good Auctions,,,,,,,,
Tomaso Poggio,"Little, Anna V.; Maggioni, Mauro; Rosasco, Lorenzo",Center for Biological and Computational Learning (CBCL),2012-09-10T18:00:08Z,2012-09-10T18:00:08Z,2012-09-08,http://hdl.handle.net/1721.1/72597,"Large data sets are often modeled as being noisy samples from probability distributions in R^D, with D large. It has been noticed that oftentimes the support M of these probability distributions seems to be well-approximated by low-dimensional sets, perhaps even by manifolds. We shall consider sets that are locally well approximated by k-dimensional planes, with k << D, with k-dimensional manifolds isometrically embedded in R^D being a special case. Samples from this distribution; are furthermore corrupted by D-dimensional noise. Certain tools from multiscale geometric measure theory and harmonic analysis seem well-suited to be adapted to the study of samples from such probability distributions, in order to yield quantitative geometric information about them. In this paper we introduce and study multiscale covariance matrices, i.e. covariances corresponding to the distribution restricted to a ball of radius r, with a fixed center and varying r, and under rather general geometric assumptions we study how their empirical, noisy counterparts behave. We prove that in the range of scales where these covariance matrices are most informative, the empirical, noisy covariances are close to their expected, noiseless counterparts. In fact, this is true as soon as the number of samples in the balls where the covariance matrices are computed is linear in the intrinsic dimension of M. As an application, we present an algorithm for estimating the intrinsic dimension of M.",59 p.,MIT-CSAIL-TR-2012-029; CBCL-310,machine learning; high dimensional data,"Multiscale Geometric Methods for Data Sets I: Multiscale SVD, Noise and Curvature",,,,,,,,
Barbara Liskov,"Liskov, Barbara",Programming Methodology,2012-09-17T18:30:04Z,2012-09-17T18:30:04Z,2012-09-14,http://hdl.handle.net/1721.1/73017,This document describes the interface that the Aeolus information flow platform provides for users who are implementing applications using Java. The document explains how the Aeolus features are made available by means of a Java library.,37 p.,MIT-CSAIL-TR-2012-030,information flow control; DIFC; data privacy,Aeolus Reference Manual,,,,,,,,
John Leonard,"Whelan, Thomas; Johannsson, Hordur; Kaess, Michael; Leonard, John J.; McDonald, John",Marine Robotics,2012-09-25T16:00:05Z,2012-09-25T16:00:05Z,2012-09-17,http://hdl.handle.net/1721.1/73167,"This paper describes extensions to the Kintinuous algorithm for spatially extended KinectFusion, incorporating the following additions: (i) the integration of multiple 6DOF camera odometry estimation methods for robust tracking; (ii) a novel GPU-based implementation of an existing dense RGB-D visual odometry algorithm; (iii) advanced fused real-time surface coloring. These extensions are validated with extensive experimental results, both quantitative and qualitative, demonstrating the ability to build dense fully colored models of spatially extended environments for robotics and virtual reality applications while remaining robust against scenes with challenging sets of geometric and visual features.",8 p.,MIT-CSAIL-TR-2012-031,,Robust Tracking for Real-Time Dense RGB-D Mapping with Kintinuous,,,,,,,,
Fredo Durand,"Gharbi, Michael; Malisiewicz, Tomasz; Paris, Sylvain; Durand, Frédo",Computer Graphics,2012-10-09T16:45:04Z,2012-10-09T16:45:04Z,2012-10-01,http://hdl.handle.net/1721.1/73685,"We introduce a fast technique for the robust computation of image similarity. It builds on a re-interpretation of the recent exemplar-based SVM approach, where a linear SVM is trained at a query point and distance is computed as the dot product with the normal to the separating hyperplane. Although exemplar-based SVM is slow because it requires a new training for each exemplar, the latter approach has shown robustness for image retrieval and object classification, yielding state-of- the-art performance on the PASCAL VOC 2007 detection task despite its simplicity. We re-interpret it by viewing the SVM between a single point and the set of negative examples as the computation of the tangent to the manifold of images at the query. We show that, in a high-dimensional space such as that of image features, all points tend to lie at the periphery and that they are usually separable from the rest of the set. We then use a simple Gaussian approximation to the set of all images in feature space, and fit it by computing the covariance matrix on a large training set. Given the covariance matrix, the computation of the tangent or normal at a point is straightforward and is a simple multiplication by the inverse covariance. This allows us to dramatically speed up image retrieval tasks, going from more than ten minutes to a single second. We further show that our approach is equivalent to feature-space whitening and has links to image saliency.",11 p.,MIT-CSAIL-TR-2012-032,"Image retrieval, object detection, computer vision, parametric model",A Gaussian Approximation of Feature Space for Fast Image Similarity,,,,,,,,
