dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.rights,dc.rights.uri,dc.title,dc.description.sponsorship,dc.subject,dc.date.updated,dc.description,dc.identifier.citation,dc.language.rfc3066,dc.contributor
Leslie Kaelbling,"Glover, Jared; Kaelbling, Leslie Pack",Learning and Intelligent Systems,2013-03-29T21:30:06Z,2013-03-29T21:30:06Z,2013-03-27,http://hdl.handle.net/1721.1/78248,"A deterministic method for sequential estimation of 3-D rotations is presented. The Bingham distribution is used to represent uncertainty directly on the unit quaternion hypersphere. Quaternions avoid the degeneracies of other 3-D orientation representations, while the Bingham distribution allows tracking of large-error (high-entropy) rotational distributions. Experimental comparison to a leading EKF-based filtering approach on both synthetic signals and a ball-tracking dataset shows that the Quaternion Bingham Filter (QBF) has lower tracking error than the EKF, particularly when the state is highly dynamic. We present two versions of the QBF, suitable for tracking the state of first- and second-order rotating dynamical systems.",13 p.,MIT-CSAIL-TR-2013-005,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,Tracking 3-D Rotations with the Quaternion Bingham Filter,,,,,,,
Joshua Tenenbaum,"Wingate, David; Diuk, Carlos; O'Donnell, Timothy; Tenenbaum, Joshua; Gershman, Samuel",Computational Cognitive Science,2013-04-18T00:45:04Z,2013-04-18T00:45:04Z,2013-04-12,http://hdl.handle.net/1721.1/78573,"This paper describes a probabilistic framework for incorporating structured inductive biases into reinforcement learning. These inductive biases arise from policy priors, probability distributions over optimal policies. Borrowing recent ideas from computational linguistics and Bayesian nonparametrics, we define several families of policy priors that express compositional, abstract structure in a domain. Compositionality is expressed using probabilistic context-free grammars, enabling a compact representation of hierarchically organized sub-tasks. Useful sequences of sub-tasks can be cached and reused by extending the grammars nonparametrically using Fragment Grammars. We present Monte Carlo methods for performing inference, and show how structured policy priors lead to substantially faster learning in complex domains compared to methods without inductive biases.",17 p.,MIT-CSAIL-TR-2013-007,,,Compositional Policy Priors,"This work was supported by AFOSR FA9550-07-1-0075 and ONR
N00014-07-1-0937. SJG was supported by a Graduate Research Fellowship from the NSF.",,,,,,
Fredo Durand,"Levin, Anat; Glasner, Daniel; Xiong, Ying; Durand, Fredo; Freeman, William; Matusik, Wojciech; Zickler, Todd",Computer Graphics,2013-04-24T18:00:04Z,2013-04-24T18:00:04Z,2013-04-24,http://hdl.handle.net/1721.1/78590,"This manuscript completes the analysis of our SIGGRAPH 2013 paper ""Fabricating BRDFs at High Spatial Resolution Using Wave Optics"" in which photolithography fabrication was used for manipulating reflectance effects. While photolithography allows for precise reflectance control, it is costly to fabricate. Here we explore an inexpensive alternative to micro-fabrication, in the form of metallic powders. Such powders are readily available at a variety of particle sizes and morphologies. Using an analysis similar to the micro-fabrication paper, we provide guidelines for the relation between the particles' shape and size and the reflectance functions they can produce.",4 p.,MIT-CSAIL-TR-2013-008,,,High Spatial Resolution BRDFs with Metallic powders Using Wave Optics Analysis,,,,,,,
Dina Katabi,"Hassanieh, Haitham; Shi, Lixin; Abari, Omid; Hamed, Ezzeldine; Katabi, Dina",Networks & Mobile Systems,2013-06-03T23:45:02Z,2013-06-03T23:45:02Z,2013-05-22,http://hdl.handle.net/1721.1/79058,"The goal of this paper is to make sensing and decoding GHz of spectrum simple, cheap, and low power. Our thesis is simple: if we can build a technology that captures GHz of spectrum using commodity Wi-Fi radios, it will have the right cost and power budget to enable a variety of new applications such as GHz-widedynamic access and concurrent decoding of diverse technologies. This vision will change today s situation where only expensive power-hungry spectrum analyzers can capture GHz-wide spectrum. Towards this goal, the paper harnesses the sparse Fourier transform to compute the frequency representation of a sparse signal without sampling it at full bandwidth. The paper makes the following contributions. First, it presents BigBand, a receiver that can sense and decode a sparse spectrum wider than its own digital bandwidth. Second, it builds a prototype of its design using 3 USRPs that each samples the spectrum at 50 MHz, producing a device that captures 0.9 GHz -- i.e., 6x larger bandwidth than the three USRPs combined. Finally, it extends its algorithm to enable spectrum sensing in scenarios where the spectrum is not sparse.",13 p.,MIT-CSAIL-TR-2013-009,,,BigBand: GHz-Wide Sensing and Decoding on Commodity Radios,,Spectrum Sensing; Sparse Fourier Transform; Wireless; ADC; Software Radios,2013-06-03T23:45:03Z,,,,
Gerald Sussman,"Evans, Isaac; Lynch, Joseph","Robotics, Vision & Sensor Networks",2013-06-03T23:30:05Z,2013-06-03T23:30:05Z,2013-05-24,http://hdl.handle.net/1721.1/79057,"Organon is an open source system for expressing and solving complex symbolic constraints between generic entities. Our design avoids restricting the programmer s ability to phrase constraints; Organon acts purely as a framework that defines and holds together the key concepts of forms, constraints, and solvers. It has three main components: (1) Forms: Abstract representations of the entities to be constrained. (2) Constraints: Functions that symbolically express requirements on the relationships between forms as well as provide information a solver can use to improve the constraint s satisfaction. (3) Solvers: Functions which inspect instantiations of forms and manipulate them in an attempt to satisfy a set of objective constraints.",33 p.,MIT-CSAIL-TR-2013-010,,,Organon: A Symbolic Constraint Framework & Solver,,scheme; propagator; exponential solver; annealing solver,2013-06-03T23:30:06Z,,,,
Karen Sollins,"Simosa, Jorge D.",Advanced Network Architecture,2013-06-04T20:15:04Z,2013-06-04T20:15:04Z,2013-06-04,http://hdl.handle.net/1721.1/79060,"As modern networks become highly integrated, heterogeneous, and experience exponential growth, the task of network management becomes increasingly unmanageable for network administrators and designers. The Knowledge Plane (KP) is designed to support a self-managing network, given the organizational constraints of network management, as well as to create synergy and exploit commonality among network applications. In this thesis, to build an Information Plane that is suitable to the requirements of the KP, we propose a publish/subscribe system that provides a clear and systematic framework for resolving tussles in the network. To evaluate the effectiveness of this design, we configured a network of PlanetLab nodes and conducted experiments involving a variety of file sizes and source-destination pairs. The results suggest that the system's performance is not only comparable to existing file transfer services, but that the system also introduces several performance gains that are unattainable with current network architectures.",77 p.,MIT-CSAIL-TR-2013-011,Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,A Publish-Subscribe Implementation of Network Management,,,2013-06-04T20:15:04Z,MEng thesis,,,
Brian Williams,"Shroff, Ameya",Model-based Embedded and Robotic Systems,2013-06-06T22:30:03Z,2013-06-06T22:30:03Z,2013-06-06,http://hdl.handle.net/1721.1/79078,"We envision a world in which robots and humans can collaborate to perform complex tasks in real-world environments. Current motion planners successfully generate trajectories for a robot with multiple degrees of freedom, in a cluttered environment, and ensure that the robot can achieve its goal while avoiding all the obstacles in the environment. However, these planners are not practical in real world scenarios that involve unstructured, dynamic environments for a three primary reasons. First, these motion planners assume that the environment the robot is functioning in, is well-known and static, both during plan generation and plan execution. Second, these planners do not support temporal constraints, which are crucial for planning in a rapidly-changing environment and for allowing task synchronisation between the robot and other agents, like a human or even another robot. Third, the current planners do not adequately represent the requirements of the task. They often over-constrain the task description and are hence unable to take advantage of task flexibility which may aid in optimising energy efficiency or robustness. In this thesis we present Chekhov, a reactive, integrated motion planning and execution executive that addresses these shortcomings using four key innovations. First, unlike traditional planners, the planning and execution components of Chekhov are very closely integrated. This close coupling blurs the traditional, sharp boundary between the two components and allows for optimal collaboration. Second, Chekhov represents temporal constraints, which allows it to perform operations that are temporally synchronised with external events. Third, Chekhov uses an incremental search algorithm which allows it to rapidly generate a new plan if a disturbance is encountered that threatens the execution of the existing plan. Finally, unlike standard planners which generate a single reference trajectory from the start pose to the goal pose, Chekhov generates a Qualitative Control Plan using Flow Tubes that represent families of feasible trajectories and associated control policies. These flow tubes provide Chekhov with a flexibility that is extremely valuable and serve as Chekhov's first line of defence.",100 p,MIT-CSAIL-TR-2013-012,,,Reactive Integrated Motion Planning and Execution Using Chekhov,,Integrated Planning and Control; Manipulation Planning and Control,2013-06-06T22:30:03Z,MEng thesis,,en-GB,
Tomaso Poggio,"Kim, Heejung; Wohlwend, Jeremy; Leibo, Joel Z.; Poggio, Tomaso",Center for Biological and Computational Learning (CBCL),2013-06-20T17:00:04Z,2013-06-20T17:00:04Z,2013-06-18,http://hdl.handle.net/1721.1/79354,"When learning to recognize a novel body shape, e.g., a panda bear, we are not misled by changes in its pose. A ""jumping panda bear"" is readily recognized, despite having no prior visual experience with the conjunction of these concepts. Likewise, a novel pose can be estimated in an invariant way, with respect to the actor's body shape. These body and pose recognition tasks require invariance to non-generic transformations that previous models of the ventral stream do not have. We show that the addition of biologically plausible, class-specific mechanisms associating previously-viewed actors in a range of poses enables a hierarchical model of object recognition to account for this human capability. These associations could be acquired in an unsupervised manner from past experience.",10 p.,MIT-CSAIL-TR-2013-013; CBCL-312,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported,http://creativecommons.org/licenses/by-nc-nd/3.0/,Body-form and body-pose recognition with a hierarchical model of the ventral stream,,Ventral stream; Modularity; Computational neuroscience; HMAX,2013-06-20T17:00:05Z,,,,
Martin Rinard,"Carbin, Michael; Misailovic, Sasa; Rinard, Martin",Computer Architecture,2013-06-20T17:00:08Z,2013-06-20T17:00:08Z,2013-06-19,http://hdl.handle.net/1721.1/79355,"Emerging high-performance architectures are anticipated to contain unreliable components that may exhibit soft errors, which silently corrupt the results of computations. Full detection and recovery from soft errors is challenging, expensive, and, for some applications, unnecessary. For example, approximate computing applications (such as multimedia processing, machine learning, and big data analytics) can often naturally tolerate soft errors. In this paper we present Rely, a programming language that enables developers to reason about the quantitative reliability of an application -- namely, the probability that it produces the correct result when executed on unreliable hardware. Rely allows developers to specify the reliability requirements for each value that a function produces. We present a static quantitative reliability analysis that verifies quantitative requirements on the reliability of an application, enabling a developer to perform sound and verified reliability engineering. The analysis takes a Rely program with a reliability specification and a hardware specification, that characterizes the reliability of the underlying hardware components, and verifies that the program satisfies its reliability specification when executed on the underlying unreliable hardware platform. We demonstrate the application of quantitative reliability analysis on six computations implemented in Rely.",22 p.,MIT-CSAIL-TR-2013-014,,,Verifying Quantitative Reliability of Programs That Execute on Unreliable Hardware,"This research was supported in part by the National Science Foundation (Grants CCF-0905244, CCF-1036241, CCF-1138967, CCF-1138967, and IIS-0835652), the United States Department of Energy (Grant DE-SC0008923), and DARPA (Grants FA8650-11-C-7192, FA8750-12-2-0110).","unreliable hardware, probabilistic semantics, quantitative reliability",2013-06-20T17:00:08Z,,,en,
Nancy Lynch,"Attie, Paul C.; Lynch, Nancy A.",Theory of Computation,2013-07-08T18:15:04Z,2013-07-08T18:15:04Z,2013-07-08,http://hdl.handle.net/1721.1/79420,"We present dynamic I/O automata (DIOA), a compositional model of dynamic systems, based on I/O automata. In our model, automata can be created and destroyed dynamically, as computation proceeds. In addition, an automaton can dynamically change its signature, that is, the set of actions in which it can participate. This allows us to model mobility, by enforcing the constraint that only automata at the same location may synchronize on common actions. Our model features operators for parallel composition, action hiding, and action renaming. It also features a notion of automaton creation, and a notion of trace inclusion from one dynamic system to another, which can be used to prove that one system implements the other. Our model is hierarchical: a dynamically changing system of interacting automata is itself modeled as a single automaton that is ""one level higher."" This can be repeated, so that an automaton that represents such a dynamic system can itself be created and destroyed. We can thus model the addition and removal of entire subsystems with a single action. We establish fundamental compositionality results for DIOA: if one component is replaced by another whose traces are a subset of the former, then the set of traces of the system as a whole can only be reduced, and not increased, i.e., no new behaviors are added. That is, parallel composition, action hiding, and action renaming, are all monotonic with respect to trace inclusion. We also show that, under certain technical conditions, automaton creation is monotonic with respect to trace inclusion: if a system creates automaton Ai instead of (previously) creating automaton A'i, and the traces of Ai are a subset of the traces of A'i,then the set of traces of the overall system is possibly reduced, but not increased. Our trace inclusion results imply that trace equivalence is a congruence relation with respect to parallel composition, action hiding, and action renaming. Our trace inclusion results enable a design and refinement methodology based solely on the notion of externally visible behavior, and which is therefore independent of specific methods of establishing trace inclusion. It permits the refinement of components and subsystems in isolation from the entire system, and provides more flexibility in refinement than a methodology which is, for example, based on the monotonicity of forward simulation with respect to parallel composition. In the latter, every automaton must be refined using forward simulation, whereas in our framework different automata can be refined using different methods. The DIOA model was defined to support the analysis of mobile agent systems, in a joint project with researchers at Nippon Telegraph and Telephone. It can also be used for other forms of dynamic systems, such as systems described by means of object-oriented programs, and systems containing services with changing access permissions.",63 p.,MIT-CSAIL-TR-2013-015,,,Dynamic Input/Output Automata: a Formal and Compositional Model for Dynamic Systems,,,2013-07-08T18:15:05Z,,,,
