dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.relation.replaces,dc.title,dc.date.updated,dc.description.sponsorship,dc.rights,dc.rights.uri,dc.subject,dc.publisher
Nancy Lynch,"Cornejo, Alejandro; Lynch, Nancy; Sastry, Srikanth",Theory of Computation,2013-10-10T18:15:04Z,2013-10-10T18:15:04Z,2013-10-10,http://hdl.handle.net/1721.1/81371,This report supersedes MIT-CSAIL-TR-2013-002.,"Failure detectors -- oracles that provide information about process crashes -- are an important abstraction for crash tolerance in distributed systems. The generality of failure-detector theory, while providing great expressiveness, poses significant challenges in developing a robust hierarchy of failure detectors. We address some of these challenges by proposing (1) a variant of failure detectors called asynchronous failure detectors and (2) an associated modeling framework. Unlike the traditional failure-detector framework, our framework eschews real-time completely. We show that asynchronous failure detectors are sufficiently expressive to include several popular failure detectors including, but not limited to, the canonical Chandra-Toueg failure detectors, Sigma and other quorum failure detectors, Omega, anti-Omega, Omega^k, and Psi_k. Additionally, asynchronous failure detectors satisfy many desirable properties: they are self-implementable, guarantee that stronger asynchronous failure-detectors solve harder problems, and ensure that their outputs encode no information other than the set of crashed processes. We introduce the notion of a failure detector being representative for a problem to capture the idea that some problems encode the same information about process crashes as their weakest failure detectors do. We show that a large class of problems, called bounded problems, do not have representative failure detectors. Finally, we use the asynchronous failure-detector framework to show how sufficiently strong AFDs circumvent the impossibility of consensus in asynchronous systems.",47 p.,MIT-CSAIL-TR-2013-025,http://hdl.handle.net/1721.1/76716,Asynchronous Failure Detectors,2013-10-10T18:15:05Z,,,,,
Saman Amarasinghe,"Ansel, Jason; Kamil, Shoaib; Veeramachaneni, Kalyan; O'Reilly, Una-May; Amarasinghe, Saman",Computer Architecture,2013-11-01T20:30:03Z,2013-11-01T20:30:03Z,2013-11-01,http://hdl.handle.net/1721.1/81958,,"Program autotuning has been shown to achieve better or more portable performance in a number of domains. However, autotuners themselves are rarely portable between projects, for a number of reasons: using a domain-informed search space representation is critical to achieving good results; search spaces can be intractably large and require advanced machine learning techniques; and the landscape of search spaces can vary greatly between different problems, sometimes requiring domain specific search techniques to explore efficiently. This paper introduces OpenTuner, a new open source framework for building domain-specific multi-objective program autotuners. OpenTuner supports fully-customizable configuration representations, an extensible technique representation to allow for domain-specific techniques, and an easy to use interface for communicating with the program to be autotuned. A key capability inside OpenTuner is the use of ensembles of disparate search techniques simultaneously; techniques that perform well will dynamically be allocated a larger proportion of tests. We demonstrate the efficacy and generality of OpenTuner by building autotuners for 6 distinct projects and 14 total benchmarks, showing speedups over prior techniques of these projects of up to 2.8x with little programmer effort.",13 p.,MIT-CSAIL-TR-2013-026,,OpenTuner: An Extensible Framework for Program Autotuning,2013-11-01T20:30:03Z,"This work is partially supported by DOE award DE-SC0005288 and DOD DARPA award HR0011-10-9-0009.  This research used resources of the National Energy Research Scientific Computing Center, which is supported by the Office of Science of the U.S. Department of Energy under Contract No. DE-AC02-05CH11231.",,,,
Patrick Winston,"Finlayson, Mark Alan",Genesis,2013-11-01T17:18:16Z,2013-11-01T17:18:16Z,2013-11-01,http://hdl.handle.net/1721.1/81949,,"This archive contains the code and data for running the evaluations described in: Finlayson, Mark Alan (2014) ""Java Libraries for Accessing the Princeton Wordnet: comparison and Evaluation"" in Proceedings of the 7th Global Wordnet Conference (GWC 2014). Tartu, Estonia, 25-29 January 2014. The archive contains five Eclipse projects (compatible with Eclipse 3.8.0) that may be imported directly into an Eclipse workspace. You will need a Java 1.4, 1.5, and 1.6 JRE to run all the code in the archive. Paper abstract: Java is a popular programming language for natural language processing. I compare and evaluate 12 Java libraries designed to access the information in the original Princeton Wordnet databases. From this comparison emerges a set of decision criteria that will enable a user to pick the library most suited to their purposes. I identify five deciding features: (1) availability of similarity metrics; (2) support for editing; (3) availability via Maven; (4) compatibility with retired Java versions; and (5) support for Enterprise Java. I also provide a comparison of other features of each library, the information exposed by each API, and the versions of Wordnet each library supports, and I evaluate each library for the speed of various retrieval operations. In the case that the user's application does not require one of the deciding features, I show that my library, JWI, the MIT Java Wordnet Interface, is the highest-performance, widest-coverage, easiest-to-use library available.",,,,Code for Java Libraries for Accessing the Princeton Wordnet: Comparison and Evaluation,2013-11-01T17:18:17Z,,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,
Tomas Lozano-Perez,"Perez, Alejandro",Learning and Intelligent Systems,2013-11-18T20:00:08Z,2013-11-18T20:00:08Z,2013-11-18,http://hdl.handle.net/1721.1/82462,,We present a sampling-based algorithm that generates a set of locally-optimal paths that differ in visibility.,13 p.,MIT-CSAIL-TR-2013-027,,On Randomized Path Coverage of Configuration Spaces,2013-11-18T20:00:09Z,,Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported,http://creativecommons.org/licenses/by-nc-sa/3.0/,,
Sam Madden,"Taft, Rebecca; Vartak, Manasi; Satish, Nadathur Rajagopalan; Sundaram, Narayanan; Madden, Samuel; Stonebraker, Michael",Database,2013-11-20T17:00:05Z,2013-11-20T17:00:05Z,2013-11-19,http://hdl.handle.net/1721.1/82517,,"This paper introduces a new benchmark, designed to test database management system (DBMS) performance on a mix of data management tasks (joins, filters, etc.) and complex analytics (regression, singular value decomposition, etc.) Such mixed workloads are prevalent in a number of application areas, including most science workloads and web analytics. As a specific use case, we have chosen genomics data for our benchmark, and have constructed a collection of typical tasks in this area. In addition to being representative of a mixed data management and analytics workload, this benchmark is also meant to scale to large dataset sizes and multiple nodes across a cluster. Besides presenting this benchmark, we have run it on a variety of storage systems including traditional row stores, newer column stores, Hadoop, and an array DBMS. We present performance numbers on all systems on single and multiple nodes, and show that performance differs by orders of magnitude between the various solutions. In addition, we demonstrate that most platforms have scalability issues. We also test offloading the analytics onto a coprocessor. The intent of this benchmark is to focus research interest in this area; to this end, all of our data, data generators, and scripts are available on our web site.",12 p.,MIT-CSAIL-TR-2013-028,,GenBase: A Complex Analytics Genomics Benchmark,2013-11-20T17:00:05Z,,Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported,http://creativecommons.org/licenses/by-nc-sa/3.0/,,
Silvio Micali,"Chiesa, Alessandro; Micali, Silvio; Zhu, Zeyuan Allen",Theory of Computation,2013-12-03T20:45:05Z,2013-12-03T20:45:05Z,2013-12-03,http://hdl.handle.net/1721.1/82632,,"We relate the strategies obtained by (1) utility maximizers who use regret to refine their set of undominated strategies, and (2) regret minimizers who use weak domination to refine their sets of regret-minimizing strategies.",9 p.,MIT-CSAIL-TR-2013-029,,Bridging Utility Maximization and Regret Minimization,2013-12-03T20:45:05Z,,,,,
Dina Katabi,"Adib, Fadel; Kabelac, Zach; Katabi, Dina; Miller, Robert C.",Networks & Mobile Systems,2013-12-11T18:30:03Z,2013-12-11T18:30:03Z,2013-12-11,http://hdl.handle.net/1721.1/82913,,"This paper introduces WiTrack, a system that tracks the 3D motion of a user from the radio signals reflected off her body. It works even if the person is occluded from the WiTrack device or in a different room. WiTrack does not require the user to carry any wireless device, yet its accuracy exceeds current RF localization systems, which require the user to hold a transceiver. Empirical measurements with a WiTrack prototype show that, on average, it localizes the center of a human body to within 10 to 13 cm in the x and y dimensions, and 21 cm in the z dimension. It also provides coarse tracking of body parts, identifying the direction of a pointing hand with a median of 11.2 degrees. WiTrack bridges a gap between RF-based localization systems which locate a user through walls and occlusions, and human-computer interaction systems like WiTrack, which can track a user without instrumenting her body, but require the user to stay within the direct line of sight of the device.",13 p.,MIT-CSAIL-TR-2013-030,,3D Tracking via Body Radio Reflections,2013-12-11T18:30:03Z,,,,Seeing Through Walls; 3D Motion Tracking; Wireless Signals; Body Reflections,
Brian Williams,"Timmons, Eric",Model-based Embedded and Robotic Systems,2018-01-30T23:46:03Z,2018-01-30T23:46:03Z,2013-12-11,http://hdl.handle.net/1721.1/113364,SM thesis,"It is an undeniable fact that autonomous systems are simultaneously becoming more common place, more complex, and deployed in more inhospitable environments. Examples include smart homes, smart cars, Mars rovers, unmanned aerial vehicles, and autonomous underwater vehicles. A common theme that all of these autonomous systems share is that in order to appropriately control them and prevent mission failure, they must be able to quickly estimate their internal state and the state of the world. A natural representation of many real world systems is to describe them in terms of a mixture of continuous and discrete variables. Unfortunately, hybrid estimation is typically intractable due to the large space of possible assignments to the discrete variables. In this thesis, we investigate how to incorporate conflict directed techniques from the consistency-based, model-based diagnosis community into a hybrid framework that is no longer purely consistency based. We introduce a novel search algorithm, A&#8727; with Bounding Conflicts, that uses conflicts to not only record infeasiblilities, but also learn where in the search space the heuristic function provided to the A&#8727; search is weak (possibly due to heavy to moderate sensor or process noise). Additionally, we describe a hybrid state estimation algorithm that uses this new search to perform estimation on hybrid discrete/continuous systems.",73 p.,MIT-CSAIL-TR-2018-004,,"Fast, Approximate State Estimation of Concurrent Probabilistic Hybrid Automata",2018-01-30T23:46:03Z,,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,http://creativecommons.org/licenses/by-nc-nd/4.0/,,
Martin Rinard,"Misailovic, Sasa; Rinard, Martin",Computer Architecture,2013-12-30T20:00:02Z,2013-12-30T20:00:02Z,2013-12-29,http://hdl.handle.net/1721.1/83397,,"We present Syndy, a technique for automatically synthesizing randomized map/fold computations that trade accuracy for performance. Given a specification of a fully accurate computation, Syndy automatically synthesizes approximate implementations of map and fold tasks, explores the approximate computation space that these approximations induce, and derives an accuracy versus performance tradeoff curve that characterizes the explored space. Each point on the curve corresponds to an approximate randomized program configuration that realizes the probabilistic error and time bounds associated with that point.",22 p.,MIT-CSAIL-TR-2013-031,,Synthesis of Randomized Accuracy-Aware Map-Fold Programs,2013-12-30T20:00:02Z,,,,,
Martin Rinard,"Misailovic, Sasa; Carbin, Michael; Achour, Sara; Qi, Zichao; Rinard, Martin",Computer Architecture,2014-01-09T23:45:05Z,2014-01-09T23:45:05Z,2014-01-09,http://hdl.handle.net/1721.1/83843,,"Emerging high-performance architectures are anticipated to contain unreliable components (e.g., ALUs) that offer low power consumption at the expense of soft errors. Some applications (such as multimedia processing, machine learning, and big data analytics) can often naturally tolerate soft errors and can therefore trade accuracy of their results for reduced energy consumption by utilizing these unreliable hardware components. We present and evaluate a technique for reliability-aware optimization of approximate computational kernel implementations. Our technique takes a standard implementation of a computation and automatically replaces some of its arithmetic operations with unreliable versions that consume less power, but may produce incorrect results with some probability. Our technique works with a developer-provided specification of the required reliability of a computation -- the probability that it returns the correct result -- and produces an unreliable implementation that satisfies that specification. We evaluate our approach on five applications from the image processing, numerical analysis, and financial analysis domains and demonstrate how our technique enables automatic exploration of the trade-off between the reliability of a computation and its performance.",11 p.,MIT-CSAIL-TR-2014-001,,Reliability-Aware Optimization of Approximate Computational Kernels with Rely,2014-01-09T23:45:06Z,,,,,
Frans Kaashoek,"Beckmann, Nathan Z.; Gruenwald III, Charles; Johnson, Christopher R.; Kasture, Harshad; Sironi, Filippo; Agarwal, Anant; Kaashoek, M. Frans; Zeldovich, Nickolai",Parallel and Distributed Operating Systems,2014-01-29T19:30:05Z,2014-01-29T19:30:05Z,2014-01-28,http://hdl.handle.net/1721.1/84608,,"PIKA is a network stack designed for multikernel operating systems that target potential future architectures lacking cache-coherent shared memory but supporting message passing. PIKA splits the network stack into several servers that communicate using a low-overhead message passing layer. A key challenge faced by PIKA is the maintenance of shared state, such as a single accept queue and load balance information. PIKA addresses this challenge using a speculative 3-way handshake for connection acceptance, and a new distributed load balancing scheme for spreading connections. A PIKA prototype achieves competitive performance, excellent scalability, and low service times under load imbalance on commodity hardware. Finally, we demonstrate that splitting network stack processing by function across separate cores is a net loss on commodity hardware, and we describe conditions under which it may be advantageous.",14  p.,MIT-CSAIL-TR-2014-002,,PIKA: A Network Service for Multikernel Operating Systems,2014-01-29T19:30:05Z,,,,Operating Systems; Multi-kernel; Micro-kernel; Scalability; Networking,
Seth Teller,"Fallon, Maurice; Kuindersma, Scott; Karumanchi, Sisir; Antone, Matthew; Schneider, Toby; Dai, Hongkai; Perez D'Arpino, Claudia; Deits, Robin; DiCicco, Matt; Fourie, Dehann; Koolen, Twan; Marion, Pat; Posa, Michael; Valenzuela, Andres; Yu, Kuan-Ting; Shah, Julie; Iagnemma, Karl; Tedrake, Russ; Teller, Seth","Robotics, Vision & Sensor Networks",2014-03-17T21:30:06Z,2014-03-17T21:30:06Z,2014-03-16,http://hdl.handle.net/1721.1/85690,,"The DARPA Robotics Challenge Trials held in December 2013 provided a landmark demonstration of dexterous mobile robots executing a variety of tasks aided by a remote human operator using only data from the robot's sensor suite transmitted over a constrained, field-realistic communications link. We describe the design considerations, architecture, implementation and performance of the software that Team MIT developed to command and control an Atlas humanoid robot. Our design emphasized human interaction with an efficient motion planner, where operators expressed desired robot actions in terms of affordances fit using perception and manipulated in a custom user interface. We highlight several important lessons we learned while developing our system on a highly compressed schedule.",29 p.,MIT-CSAIL-TR-2014-003,,An Architecture for Online Affordance-based Perception and Whole-body Planning,2014-03-17T21:30:06Z,,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,,
Patrick Winston,"Finlayson, Mark A.; Halverson, Jeffry R.; Corman, Steven R.",Genesis,2014-03-22T16:45:08Z,2014-03-22T16:45:08Z,2014-03-22,http://hdl.handle.net/1721.1/85893,,"The N2 Corpus (Narrative Networks Corpus) comprises 100 story texts (42,480 words) relevant to Islamist Extremism, drawn from religious stories, online material, and promotional magazines. The corpus has been annotated for 14 different layers of syntax and semantics. This v1.0 version is missing 33 texts that will be added in later versions. The corpus is described in: Mark A. Finlayson, Jeffry R. Halverson, and Steven R. Corman (2014) ""The N2 Corpus: A semantically annotated collection of Islamist extremist stories"", Proceedings of the 9th Language Resources and Evaluation Conference (LREC), Reykjavik, Iceland.",n/a,,,The N2 Corpus v1.0,2014-03-22T16:45:08Z,,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,,MIT CSAIL
