dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.subject,dc.title,dc.date.updated,dc.relation.isreferencedby,dc.relation.uri,dc.relation,dc.rights,dc.rights.uri,dc.contributor,dc.identifier.citation
Karen Sollins,"Beckler, Kendra K.",Advanced Network Architecture,2015-02-02T16:30:05Z,2015-02-02T16:30:05Z,2015-01-31,http://hdl.handle.net/1721.1/93253,MEng thesis,"The systemic structure of TCP/IP is outdated; a new scheme for data transportation is needed in order to make the internet more adaptive to modern demands of mobility, information-driven demand, ever-increasing quantity of users and data, and performance requirements. While an information centric networking system addresses these issues, one required component for publish subscribe or content-addressed internet networking systems to work properly is an improved caching system. This allows the publish subscribe internet networking to dynamically route packets to mobile users, as an improvement over pure hierarchical or pure distributed caching systems. To this end, I proposed, implemented, and analyzed the workings of a superdomain caching system. The superdomain caching system is a hybrid of hierarchical and dynamic caching systems designed to continue reaping the benefits of the caching system for mobile users (who may move between neighboring domains in the midst of a network transaction) while minimizing the latency inherent in any distributed caching system to improve upon the content-addressed system.",82 p.,MIT-CSAIL-TR-2015-002,Network caching; information centric networking,Improved Caching Strategies for Publish/Subscribe Internet Networking,2015-02-02T16:30:05Z,,,,,,,
Martin Rinard,"Qi, Zichao; Long, Fan; Achour, Sara; Rinard, Martin",Computer Architecture,2015-02-02T22:00:04Z,2015-02-02T22:00:04Z,2015-02-02,http://hdl.handle.net/1721.1/93255,,"We analyze reported patches for three prior generate-and-validate patch generation systems (GenProg, RSRepair, and AE). Because of experimental error, the majority of the reported patches violate the basic principle behind the design of these systems -- they do not produce correct outputs even for the inputs in the test suite used to validate the patches. We also show that the overwhelming majority of the accepted patches are not correct and are equivalent to a single modification that simply deletes functionality. We also present Kali, a generate-and-validate patch generation system that simply deletes functionality. Working with a simpler and more effectively focused search space, Kali produces more correct patches and at least as many patches that produce correct outputs for the inputs in the validation test suite as prior GenProg, RSRepair, and AE systems.",N/A,,,An Analysis of Patch Plausibility and Correctness for Generate-And-Validate Patch Generation Systems (Supplementary Material),2015-02-02T22:00:04Z,Main paper: http://hdl.handle.net/1721.1/94337,http://hdl.handle.net/1721.1/94337,,,,,
Martin Rinard,"Qi, Zichao; Long, Fan; Achour, Sara; Rinard, Martin",Computer Architecture,2015-02-11T19:45:04Z,2015-02-11T19:45:04Z,2015-02-10,http://hdl.handle.net/1721.1/94337,,"We analyze reported patches for three prior generate-and-validate patch generation systems (GenProg, RSRepair, and AE). Because of experimental error, the majority of the reported patches violate the basic principle behind the design of these systems -- they do not produce correct outputs even for the inputs in the test suite used to validate the patches. We also show that the overwhelming majority of the accepted patches are not correct and are equivalent to a single modification that simply deletes functionality. We also present Kali, a generate-and-validate patch generation system that simply deletes functionality. Working with a simpler and more effectively focused search space, Kali generates at least as many correct patches as prior GenProg, RSRepair, and AE systems. Kali also generates at least as many plausible patches that produce correct outputs for the inputs in the validation test suite as the three prior systems. We also discuss the patches produced by ClearView, a generate-and-validate binary hot patching system that leverages learned invariants to produce patches that enable systems to survive otherwise fatal defects and security attacks.",13 p.,MIT-CSAIL-TR-2015-003,Automatic Program Repair; Patch Analysis; Functionality Elimination,An Analysis of Patch Plausibility and Correctness for Generate-And-Validate Patch Generation Systems,2015-02-11T19:45:04Z,,http://hdl.handle.net/1721.1/93255,See supplementary material at http://hdl.handle.net/1721.1/93255,,,,
Martin Rinard,"Long, Fan; Qi, Zichao; Achour, Sara; Rinard, Martin",Computer Architecture,2015-02-12T21:00:03Z,2015-02-12T21:00:03Z,2015-02-12,http://hdl.handle.net/1721.1/94520,,"We present PCR, a new automatic patch generation system. PCR uses a new condition synthesis technique to efficiently discover logical expressions that generate desired control- flow transfer patterns. Presented with a set of test cases, PCR deploys condition synthesis to find and repair incorrect if conditions that cause the application to produce the wrong result for one or more of the test cases. PCR also leverages condition synthesis to obtain a set of compound modifications that generate a rich, productive, and tractable search space of candidate patches. We evaluate PCR on a set of 105 defects from the GenProg benchmark set. For 40 of these defects, PCR generates plausible patches (patches that generate correct outputs for all inputs in the test suite used to validate the patch). For 12 of these defects, PCR generates correct patches that are functionally equivalent to developer patches that appear in subsequent versions. For comparison purposes, GenProg generates plausible patches for only 18 defects and correct patches for only 2 defects. AE generates plausible patches for only 27 defects and correct patches for only 3 defects.",14 p.,MIT-CSAIL-TR-2015-004,,Automatic Program Repair with Condition Synthesis and Compound Mutations,2015-02-12T21:00:03Z,,,,,,,
Manolis Kellis,"Feizi, Soheil; Quon, Gerald; Medard, Muriel; Kellis, Manolis; Jadbabaie, Ali",Computational Biology (Kellis),2015-02-18T18:45:06Z,2015-02-18T18:45:06Z,2015-02-18,http://hdl.handle.net/1721.1/94606,,"Network alignment refers to the problem of finding a bijective mapping across vertices of two or more graphs to maximize the number of overlapping edges and/or to minimize the number of mismatched interactions across networks. This paper introduces a network alignment algorithm inspired by eigenvector analysis which creates a simple relaxation for the underlying quadratic assignment problem. Our method relaxes binary assignment constraints along the leading eigenvector of an alignment matrix which captures the structure of matched and mismatched interactions across networks. Our proposed algorithm denoted by EigeAlign has two steps. First, it computes the Perron-Frobenius eigenvector of the alignment matrix. Second, it uses this eigenvector in a linear optimization framework of maximum weight bipartite matching to infer bijective mappings across vertices of two graphs. Unlike existing network alignment methods, EigenAlign considers both matched and mismatched interactions in its optimization and therefore, it is effective in aligning networks even with low similarity. We show that, when certain technical conditions hold, the relaxation given by EigenAlign is asymptotically exact over Erdos-Renyi graphs with high probability. Moreover, for modular network structures, we show that EigenAlign can be used to split the large quadratic assignment optimization into small subproblems, enabling the use of computationally expensive, but tight semidefinite relaxations over each subproblem. Through simulations, we show the effectiveness of the EigenAlign algorithm in aligning various network structures including Erdos-Renyi, power law, and stochastic block models, under different noise models. Finally, we apply EigenAlign to compare gene regulatory networks across human, fly and worm species which we infer by integrating genome-wide functional and physical genomics datasets from ENCODE and modENCODE consortia. EigenAlign infers conserved regulatory interactions across these species despite large evolutionary distances spanned. We find strong conservation of centrally-connected genes and some biological pathways, especially for human-fly comparisons.",61 p.,MIT-CSAIL-TR-2015-005,Network alignment; Graph isomorphism; Gene regulatory networks,Spectral Alignment of Networks,2015-02-18T18:45:06Z,,,,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,http://creativecommons.org/licenses/by-nc-nd/4.0/,,
Nancy Lynch,"Lynch, Nancy; Sastry, Srikanth",Theory of Computation,2015-03-03T21:00:09Z,2015-03-03T21:00:09Z,2015-03-02,http://hdl.handle.net/1721.1/95775,,"The FLP result shows that crash-tolerant consensus is impossible to solve in asynchronous systems, and several solutions have been proposed for crash-tolerant consensus under alternative (stronger) models. One popular approach is to augment the asynchronous system with appropriate failure detectors, which provide (potentially unreliable) information about process crashes in the system, to circumvent the FLP impossibility. In this paper, we demonstrate the exact mechanism by which (sufficiently powerful) asynchronous failure detectors enable solving crash-tolerant consensus. Our approach, which borrows arguments from the FLP impossibility proof and the famous result from CHT, which shows that Omega is a weakest failure detector to solve consensus, also yields a natural proof to Omega as a weakest asynchronous failure detector to solve consensus. The use of I/O automata theory in our approach enables us to model execution in a more detailed fashion than CHT and also addresses the latent assumptions and assertions in the original result in CHT.",66 p.,MIT-CSAIL-TR-2015-006,,Consensus using Asynchronous Failure Detectors,2015-03-03T21:00:09Z,,,,,,,
Howard Shrobe,"Khan, Muhammad Taimoor; Serpanos, Dimitrios; Shrobe, Howard",Cybersecurity,2015-03-03T21:00:05Z,2015-03-03T21:00:05Z,2015-03-03,http://hdl.handle.net/1721.1/95774,,"The purpose of this work is two fold: on one hand we want to formalize the behavior of critical components of the self generating and adapting cognitive middleware AWDRAT such that the formalism not only helps to understand the semantics and technical details of the middleware but also opens an opportunity to extend the middleware to support other complex application domains of cybersecurity; on the other hand, the formalism serves as a prerequisite for our proof of the behavioral correctness of the critical components to ensure the safety of the middleware itself. However, here we focus only on the core and critical component of the middleware, i.e. Execution Monitor which is a part of the module ""Architectural Differencer"" of AWDRAT. The role of the execution monitor is to identify inconsistencies between run-time observations of the target system and predictions of the System Architectural Model. Therefore, to achieve this goal, we first define the formal (denotational) semantics of the observations (run-time events) and predictions (executable specifications as of System Architectural Model); then based on the aforementioned formal semantics, we formalize the behavior of the ""Execution Monitor"" of the middleware.",60 p.,MIT-CSAIL-TR-2015-007,cyber-security; reference-monitor; wrappers; executable specification,On the Formal Semantics of the Cognitive Middleware AWDRAT,2015-03-03T21:00:05Z,,,,,,AIRE,
Martin Rinard,"Long, Fan; Rinard, Martin",Computer Architecture,2015-03-11T19:45:06Z,2015-03-11T19:45:06Z,2015-03-05,http://hdl.handle.net/1721.1/95963,,"We present SPR, a new program repair system that uses condition synthesis to instantiate transformation schemas to repair program defects. SPR's staged repair strategy combines a rich space of potential repairs with a targeted search algorithm that makes this space viably searchable in practice. This strategy enables SPR to successfully find correct program repairs within a space that contains many correct patches. The majority of these correct patches are not within the search spaces of previous automatic program repair systems.",1213290 bytes,,Program Repair; Transformation Schema; Condition Synthesis,Staged Program Repair in SPR (Supplementary Material),2015-03-11T19:45:06Z,,,,,,,
Martin Rinard,"Long, Fan; Rinard, Martin",Computer Architecture,2015-03-11T21:15:02Z,2015-03-11T21:15:02Z,2015-03-11,http://hdl.handle.net/1721.1/95970,,"We present SPR, a new program repair system that uses condition synthesis to instantiate transformation schemas to repair program defects. SPR s staged repair strategy combines a rich space of potential repairs with a targeted search algorithm that makes this space viably searchable in practice. This strategy enables SPR to successfully find correct program repairs within a space that contains many meaningful and useful patches. The majority of these correct repairs are not within the search spaces of previous automatic program repair systems.",15 p.,MIT-CSAIL-TR-2015-008,Program Repair; Transformation Schema; Condition Synthesis,Staged Program Repair in SPR,2015-03-11T21:15:02Z,,,,,,,
Boris Katz,"Borchardt, Gary C.",Infolab,2015-03-31T22:15:06Z,2015-03-31T22:15:06Z,2015-03-30,http://hdl.handle.net/1721.1/96300,,"This report presents a set of software techniques that support the tasks of event recognition, summarization of event sequences, explanation of recognized events, explanation of non-recognized events, prediction of event completions, and question answering by leveraging language-encoded human knowledge of what typically happens during various types of events. The techniques operate on sequences of timestamped, three-dimensional positions and contacts for humans, body parts, and objects, provided by a Microsoft Kinect sensor plus associated software. Appendices describe 64 activity sequences used for development and testing of the techniques and 102 event models created as part of the effort.",89 p.,MIT-CSAIL-TR-2015-009,,A Suite of Techniques for Describing Activity in Terms of Events,2015-03-31T22:15:06Z,,,,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,http://creativecommons.org/licenses/by-nc-nd/4.0/,,
