dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.subject,dc.title,dc.date.updated,dc.rights,dc.rights.uri,dc.description,dc.relation.replaces,dc.relation.uri,dc.relation.isreplacedby,dc.identifier.citation
Hari Balakrishnan,"Deng, Shuo; Sivaraman, Anirudh; Balakrishnan, Hari",Networks & Mobile Systems,2016-03-09T00:00:06Z,2016-03-09T00:00:06Z,2016-02-25,http://hdl.handle.net/1721.1/101636,"This paper presents Delphi, a mobile software controller that helps applications select the best network among available choices for their data transfers. Delphi optimizes a specified objective such as transfer completion time, or energy per byte transferred, or the monetary cost of a transfer. It has four components: a performance predictor that uses features gathered by a network monitor, and a traffic profiler to estimate transfer sizes near the start of a transfer, all fed into a network selector that uses the prediction and transfer size estimate to optimize an objective.For each transfer, Delphi either recommends the  best  single network to use, or recommends Multi-Path TCP (MPTCP), but crucially selects the network for MPTCP s  primary subflow . The choice of primary subflow has a strong impact onthe transfer completion time, especially for short transfers.We designed and implemented Delphi in Linux. It requires no application modifications. Our evaluation shows that Delphi reduces application network transfer time by 46% for Web browsing and by 49% for video streaming, comparedwith Android s default policy of always using Wi-Fi when it is available. Delphi can also be configured to achieve high throughput while being battery-efficient: in this configuration, it achieves 1.9x the throughput of Android s default policy while only consuming 6% more energy.",14 p.,MIT-CSAIL-TR-2016-004,MPTCP; Network Selection; Wi-Fi; LTE,Delphi: A Software Controller for Mobile Network Selection,2016-03-09T00:00:06Z,,,,,,,
Leslie Kaelbling,"Kawaguchi, Kenji",Learning and Intelligent Systems,2016-05-24T20:45:08Z,2016-05-24T20:45:08Z,2016-05-23,http://hdl.handle.net/1721.1/102665,"In this paper, we prove a conjecture published in 1989 and also partially address an open problem announced at the Conference on Learning Theory (COLT) 2015. For an expected loss function of a deep nonlinear neural network, we prove the following statements under the independence assumption adopted from recent work: 1) the function is non-convex and non-concave, 2) every local minimum is a global minimum, 3) every critical point that is not a global minimum is a saddle point, and 4) the property of saddle points differs for shallow networks (with three layers) and deeper networks (with more than three layers). Moreover, we prove that the same four statements hold for deep linear neural networks with any depth, any widths and no unrealistic assumptions. As a result, we present an instance, for which we can answer to the following question: how difficult to directly train a deep model in theory? It is more difficult than the classical machine learning models (because of the non-convexity), but not too difficult (because of the nonexistence of poor local minima and the property of the saddle points). We note that even though we have advanced the theoretical foundations of deep learning, there is still a gap between theory and practice.",26 p.,MIT-CSAIL-TR-2016-005,Optimization; Neural Network; Machine Learning; High Dimension; Convex; Non-convex; Local minimum; Global minimum; Saddle point; Critical point,Deep Learning without Poor Local Minima,2016-05-24T20:45:08Z,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,,,,,
Leslie Kaelbling,"Kawaguchi, Kenji",Learning and Intelligent Systems,2016-06-01T22:00:14Z,2016-06-01T22:00:14Z,2016-05-26,http://hdl.handle.net/1721.1/102796,"This thesis discusses novel principles to improve the theoretical analyses of a class of methods, aiming to provide theoretically driven yet practically useful methods. The thesis focuses on a class of methods, called bound-based search, which includes several planning algorithms (e.g., the A* algorithm and the UCT algorithm), several optimization methods (e.g., Bayesian optimization and Lipschitz optimization), and some learning algorithms (e.g., PAC-MDP algorithms). For Bayesian optimization, this work solves an open problem and achieves an exponential convergence rate. For learning algorithms, this thesis proposes a new analysis framework, called PAC-RMDP, and improves the previous theoretical bounds. The PAC-RMDP framework also provides a unifying view of some previous near-Bayes optimal and PAC-MDP algorithms. All proposed algorithms derived on the basis of the new principles produced competitive results in our numerical experiments with standard benchmark tests.",87 p.,MIT-CSAIL-TR-2016-006,PAC-MDP; AI planning; Global optimization,Towards Practical Theory: Bayesian Optimization and Optimal Exploration,2016-06-01T22:00:15Z,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,SM thesis,,,,
Karen Sollins,"Jing, Yuxin",Advanced Network Architecture,2016-06-28T22:15:02Z,2016-06-28T22:15:02Z,2016-06-28,http://hdl.handle.net/1721.1/103381,"This thesis seeks to test and evaluate the effects of in-­network storage in novel proposed Internet architectures in terms of their performance. In a world where more and more people are mobile and connected to the Internet, we look at how the added variable of user mobility can affect how these architectures perform under different loads. Evaluating the effects of in­-network storage and caching in these novel architectures will provide another facet to understanding how viable of an alternative they would be to the current TCP/IP paradigm of today's Internet. In Named Data Networking, where the storage is used to directly cache content, we see its use of storage impact the locality of where things are, while in MobilityFirst, where storage is used to cache chunks to provide robust delivery, we look at how its different layers work together in a mobility event.",58 p.,MIT-CSAIL-TR-2016-009,in-network storage; mobility; scalability,Evaluating Caching Mechanisms In Future Internet Architectures,2016-06-28T22:15:02Z,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,http://creativecommons.org/licenses/by-nc-sa/4.0/,MEng thesis,,,,
Karen Sollins,"Xu, Shidan",Advanced Network Architecture,2016-06-28T21:30:08Z,2016-06-28T21:30:08Z,2016-06-28,http://hdl.handle.net/1721.1/103379,"This project involves learning to predict users' mobility within the network topology. Topological mobility, as opposed to physical mobility, can be substantial as a user switches from LTE to wifi network, while moving minimally physically. Our dataset consists of email IMAP logs as they document associated client IP addresses, as well as the clients' identifiers. Prediction for online mobility is of particular interest to the networks community. If we can predict online mobility with high probability, then new network architecture can be designed to optimize the caching system by minimizing resending packets. We used various approaches and techniques to model the user's behavior, including probabilistic programming, regression, neural nets, and clustering algorithms. We compare and contrast how models differ in their prediction accuracy, speed of convergence, and algorithmic complexity.",60 p.,MIT-CSAIL-TR-2016-007,,Modeling Network User Behavior: Various Approaches,2016-06-28T21:30:09Z,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,MEng thesis,,,,
Martin Rinard,"Long, Fan; Amidon, Peter; Rinard, Martin",Program Analysis and Compilation,2017-05-02T21:45:03Z,2017-05-02T21:45:03Z,2016-07-08,http://hdl.handle.net/1721.1/108619,"We present a new system, Genesis, that processes sets of human patches to automatically infer code transforms and search spaces for automatic patch generation. We present results that characterize the effectiveness of the Genesis inference algorithms and the resulting complete Genesis patch generation system working with real-world patches and errors collected from top 1000 github Java software development projects. To the best of our knowledge, Genesis is the first system to automatically infer patch generation transforms or candidate patch search spaces from successful patches.",26 p.,MIT-CSAIL-TR-2017-008,,Automatic Inference of Code Transforms and Search Spaces for Automatic Patch Generation Systems,2017-05-02T21:45:04Z,,,,MIT-CSAIL-TR-2016-010,http://hdl.handle.net/1721.1/103556,,
Martin Rinard,"Long, Fan; Amidon, Peter; Rinard, Martin",Program Analysis and Compilation,2016-07-08T20:15:07Z,2016-07-08T20:15:07Z,2016-07-08,http://hdl.handle.net/1721.1/103556,"We present a new system, Genesis, that processes sets of human patches to automatically infer code transforms and search spaces for automatic patch generation. We present results that characterize the effectiveness of the Genesis inference algorithms and the resulting complete Genesis patch generation system working with real-world patches and errors collected from top 1000 github Java software development projects. To the best of our knowledge, Genesis is the first system to automatically infer patch generation transforms or candidate patch search spaces from successful patches.",14 p.,MIT-CSAIL-TR-2016-010,,Automatic Inference of Code Transforms and Search Spaces for Automatic Patch Generation Systems,2016-07-08T20:15:08Z,,,,,http://hdl.handle.net/1721.1/108619,MIT-CSAIL-TR-2017-008,
Hari Balakrishnan,"Perry, Jonathan; Balakrishnan, Hari; Shah, Devavrat",Networks & Mobile Systems,2016-08-15T20:00:07Z,2016-08-15T20:00:07Z,2016-08-15,http://hdl.handle.net/1721.1/103920,"Rapid convergence to a desired allocation of network resources to endpoint traffic has been a long-standing challenge for packet-switched networks. The reason for this is that congestion control decisions are distributed across the endpoints, which vary their offered load in response to changes in application demand and network feedback on a packet-by-packet basis. We propose a different approach for datacenter networks, flowlet control, in which congestion control decisions are made at the granularity of a flowlet, not a packet. With flowlet control, allocations have to change only when flowlets arrive or leave. We have implemented this idea in a system called Flowtune using a centralized allocator that receives flowlet start and end notifications from endpoints. The allocator computes optimal rates using a new, fast method for network utility maximization, and updates endpoint congestion-control parameters. Experiments show that Flowtune outperforms DCTCP, pFabric, sfqCoDel, and XCP on tail packet delays in various settings, converging to optimal rates within a few packets rather than over several RTTs. Our implementation of Flowtune handles 10.4x more throughput per core and scales to 8x more cores than Fastpass, for an 83-fold throughput gain.",15 p.,MIT-CSAIL-TR-2016-011,,Flowtune: Flowlet Control for Datacenter Networks,2016-08-15T20:00:08Z,,,,,,,
Karen Sollins,"Rock, Colleen T.",Advanced Network Architecture,2016-09-26T22:15:03Z,2016-09-26T22:15:03Z,2016-09-26,http://hdl.handle.net/1721.1/104385,"The problem we address in this thesis is to uncover the design elements in a network architecture design that may open it up to denial of service (DoS) attacks and to expose the tradeoffs in mitigating those DoS opportunities. We take as our candidate network architecture design the Future Internet Architecture project MobilityFirst. MobilityFirst's overarching goal, driven by increasingly available wireless communication, is the support of mobility in an Internet architecture. At its core, MobilityFirst separates identification from location, as distinct from the current Internet architecture, and postulates the existence of globally unique, flat identifiers. In order to support mobility in this context, it also postulates a global name resolution service (GNRS). In this thesis we examine three alternative designs for the GNRS and the opportunities they expose for DoS attacks. We consider each one in depth analytically. As an example, we then study one particular attack in depth and are forced to conclude that approaches to mitigating this attack would have significant negative impact on the support of mobility thus exposing the dilemma in such system design tradeoffs.",68 p.,MIT-CSAIL-TR-2016-012,DMap; GMap; Auspice,Examining Key Mobility Resources through Denial of Service Attacks on proposed Global Name Resolution Services,2016-09-26T22:15:03Z,,,MEng thesis,,,,
Nickolai Zeldovich,"Lazar, David; Zeldovich, Nickolai",Parallel and Distributed Operating Systems,2016-10-26T16:00:07Z,2016-10-26T16:00:07Z,2016-10-05,http://hdl.handle.net/1721.1/105093,"Alpenhorn is the first system for initiating an encrypted connection between two users that provides strong privacy and forward secrecy guarantees for metadata (i.e., information about which users connected to each other) and that does not require out-of-band communication other than knowing the other user's Alpenhorn username (email address). This resolves a significant shortcoming in all prior works on private messaging, which assume an out-of-band key distribution mechanism. Alpenhorn's design builds on three ideas. First, Alpenhorn provides each user with an address book of friends that the user can call to establish a connection. Second, when a user adds a friend for the first time, Alpenhorn ensures the adversary does not learn the friend's identity, by using identity-based encryption in a novel wayto privately determine the friend's public key. Finally, when calling a friend, Alpenhorn ensures forward secrecy of metadata by storing pairwise shared secrets in friends' address books, and evolving them over time, using a new keywheel construction. Alpenhorn relies on a number of servers, but operates in an anytrust model, requiring just one of the servers to be honest. We implemented a prototype of Alpenhorn, and integrated it into the Vuvuzela private messaging system (which did not previously provide privacy or forward secrecy of metadata when initiating conversations). Experimental results show that Alpenhorn can scale to many users, supporting 10 million users on three Alpenhorn servers with an average call latency of 150 seconds and a client bandwidth overhead of 3.7 KB/sec.",17 p.,MIT-CSAIL-TR-2016-013,,Alpenhorn: Bootstrapping Secure Communication without Leaking Metadata,2016-10-26T16:00:07Z,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,,,,,"David Lazar and Nickolai Zeldovich. Alpenhorn: Bootstrapping Secure Communication without Leaking Metadata. In Proceedings of the 12th Symposium on Operating Systems Design and Implementation (OSDI), Savannah, GA, Nov. 2016."
