dc.contributor.advisor,dc.contributor.author,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.relation.ispartofseries,dc.subject,dc.title,dc.date.updated,dc.rights,dc.rights.uri,dc.relation.haspart,dc.description.sponsorship,dc.language.iso,dc.publisher,dc.type,dc.identifier.citation,dc.description
Vinod Vaikuntanathan,"Lombardi, Alex; Vaikuntanathan, Vinod",Theory of Computation,2017-04-06T23:00:10Z,2017-04-06T23:00:10Z,2017-04-06,http://hdl.handle.net/1721.1/107928,"Lin and Tessaro (Eprint 2017/250) recently proposed indistinguishability obfuscation and functional encryption candidates and proved their security based on a standard assumption on bilinear maps and a non-standard assumption on ``Goldreich-like'' pseudorandom generators (PRG). In a nutshell, they require the existence of pseudo-random generators $G:\Sigma^n \to \{0,1\}^m$ for some $\mathsf{poly}(n)$-size alphabet $\Sigma$ where each output bit depends on at most two input alphabet symbols, and which achieve sufficiently large stretch. We show a polynomial-time attack against such generators. Our attack uses tools from the literature on two-source extractors (Chor and Goldreich, SICOMP 1988) and efficient refutation of 2-CSPs over large alphabets (Allen, O'Donnell and Witmer, FOCS 2015). Finally, we propose new ways to instantiate the Lin-Tessaro construction that do not immediately fall to our attacks. While we cannot say with any confidence that these modifications are secure, they certainly deserve further cryptanalysis.",12 p.,MIT-CSAIL-TR-2017-005,Indistinguishability Obfuscation,On the Non-Existence of Blockwise 2-Local PRGs with Applications to Indistinguishability Obfuscation,2017-04-06T23:00:10Z,,,,,,,,,
Martin Rinard,"Rinard, Martin; Shen, Jiasi",Program Analysis and Compilation,2017-04-24T19:45:07Z,2017-04-24T19:45:07Z,2017-04-24,http://hdl.handle.net/1721.1/108383,"As modern computation platforms become increasingly complex, their programming interfaces are increasingly difficult to use. This complexity is especially inappropriate given the relatively simple core functionality that many of the computations implement. We present a new approach for obtaining so ware that executes on modern computing platforms with complex programming interfaces. Our approach starts with a simple seed program, written in the language of the developer's choice, that implements the desired core functionality. It then systematically generates inputs and observes the resulting outputs to learn the core functionality. It finally automatically regenerates new code that implements the learned core functionality on the target computing platform. This regenerated code contains both (a) boilerplate code for the complex programming interfaces that the target computing platform presents and (b) systematic error and vulnerability checking code that makes the new implementations robust and secure. By providing a productive new mechanism for capturing and encapsulating knowledge about how to use modern complex interfaces, this new approach promises to greatly reduce the developer effort required to obtain secure, robust so ware that executes on modern computing platforms.",22 p.,MIT-CSAIL-TR-2017-006,,Inference and Regeneration of Programs that Store and Retrieve Data,2017-04-24T19:45:07Z,,,,,,,,,
John Leonard,"Benjamin, Michael R.",Marine Robotics,2017-05-17T16:00:05Z,2017-05-17T16:00:05Z,2017-05-16,http://hdl.handle.net/1721.1/109146,"This paper concerns an implementation of an autonomy system for unmanned surface vessels operating in accordance with the Coast Guard Collision Regulations (COLREGS). The autonomy system is implemented by associating a dedicated ownship behavior module for each contact for collision avoidance. For each behavior, a mode determination is made based on the COLREGS rules, ownship position and trajectory, and the contact position and trajectory. Based on the mode, an appropriate objective function is generated, over the set of possible ownship maneuvers, to bias the vehicle in accordance with the COLREGS. The focus on this paper is solely on (a) the mode determination algorithms, (b) the requisite ownship and contact terms regarding position, trajectory and relative position utilized in the mode determination algorithms, and (c) the form and equations used in making the objective functions associated with each mode.",47 p.,MIT-CSAIL-TR-2017-009,Autonomy; Marine Autonomy; Unmanned Surface Vehicles; Collision Avoidance; Multi-Objective Optimization; Interval Programming; IvP; MOOS-IvP; pHelmIvP; Collision Regulations; Velocity Functions; Objective Functions; Autonomous Surface Vehicle; Autonomous Marine Vehicle; Rules of the Road,Autonomous COLREGS Modes and Velocity Functions,2017-05-17T16:00:05Z,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,http://creativecommons.org/licenses/by-nc-nd/4.0/,,,,,,,
Silvio Micali,"Micali, Silvio; Vlachos, Georgios",Theory of Computation,2017-06-07T22:00:04Z,2017-06-07T22:00:04Z,2017-06-05,http://hdl.handle.net/1721.1/109726,"The revenue of traditional auction mechanisms is benchmarked solely against the players' own valuations, despite the fact that they may also have valuable beliefs about each other's valuations. Not much is known about generating revenue in auctions of multiple identical copies of a same good. (In particular the celebrated Vickrey mechanism has no revenue guarantees.) For such auctions, we (1) put forward an attractive revenue benchmark, based on the players' possibilistic about each other, and (2) construct a mechanism that achieves such benchmark, assuming that the players are two-level rational (where the rationality is in the sense of Aumann).",20 p.,MIT-CSAIL-TR-2017-010,Multi-unit auctions; Possibilistic beliefs,Multi-Unit Auction Revenue with Possibilistic Beliefs,2017-06-07T22:00:05Z,,,,,,,,,
Alan Edelman,"Ahrens, Willow; Schiefer, Nicholas; Xu, Helen",Theory of Computation,2017-06-12T15:45:16Z,2017-06-12T15:45:16Z,2017-06-09,http://hdl.handle.net/1721.1/109792,"Tensors, linear-algebraic extensions of matrices in arbitrary dimensions, have numerous applications in computer science and computational science. Many tensors are sparse, containing more than 90% zero entries. Efficient algorithms can leverage sparsity to do less work, but the irregular locations of the nonzero entries pose challenges to performance engineers. Many tensor operations such as tensor-vector multiplications can be sped up substantially by breaking the tensor into equally sized blocks (only storing blocks which contain nonzeros) and performing operations in each block using carefully tuned code. However, selecting the best block size is computationally challenging. Previously, Vuduc et al. defined the fill of a sparse tensor to be the number of stored entries in the blocked format divided by the number of nonzero entries, and showed that the fill can be used as an effective heuristic to choose a good block size. However, they gave no accuracy bounds for their method for estimating the fill, and it is vulnerable to adversarial examples. In this paper, we present a sampling-based method for finding a (1 + epsilon)-approximation to the fill of an order N tensor for all block sizes less than B, with probability at least 1 - delta, using O(B^(2N) log(B^N / delta) / epsilon^2) samples for each block size. We introduce an efficient routine to sample for all B^N block sizes at once in O(N B^N) time. We extend our concentration bounds to a more efficient bound based on sampling without replacement, using the recent Hoeffding-Serfling inequality. We then implement our algorithm and compare our scheme to that of Vuduc, as implemented in the Optimized Sparse Kernel Interface (OSKI) library. We find that our algorithm provides faster estimates of the fill at all accuracy levels, providing evidence that this is both a theoretical and practical improvement. Our code is available under the BSD 3-clause license at https://github.com/peterahrens/FillEstimation.",19 p.,MIT-CSAIL-TR-2017-011,Randomized Algorithm; Sampling Algorithm; Autotuning; Performance Engineering; Numerical Linear Algebra,An Efficient Fill Estimation Algorithm for Sparse Matrices and Tensors in Blocked Formats,2017-06-12T15:45:16Z,,,https://github.com/peterahrens/FillEstimation,,,,,,
Martin Rinard,"Shen, Jiasi; Rinard, Martin",Program Analysis and Compilation,2017-08-29T22:00:05Z,2017-08-29T22:00:05Z,2017-08-29,http://hdl.handle.net/1721.1/111067,"We present a new technique that infers models of programs that manipulate relational databases. This technique generates test databases and input commands, runs the program, then observes the resulting outputs and updated databases to infer the model. Because the technique works only with the externally observable inputs, outputs, and databases, it can infer the behavior of programs written in arbitrary languages using arbitrary coding styles and patterns. We also present a technique for automatically regenerating an implementation of the program based on the inferred model. The regenerator can produce a translated implementation in a different language and systematically include relevant security and error checks. We present results that illustrate the use of the technique to eliminate SQL injection vulnerabilities and the translation of applications from Java and Ruby on Rails to Python.",14 p.,MIT-CSAIL-TR-2017-012,,Inference and Regeneration of Programs that Manipulate Relational Databases,2017-08-29T22:00:05Z,,,,,,,,,
,"Fourie, Dehann",,2022-09-01T18:03:04Z,2022-09-01T18:03:04Z,2017-08-31,https://hdl.handle.net/1721.1/145253,"This thesis presents a sum-product inference algorithm for platform navigation called Multi-modal iSAM (incremental smoothing and mapping). Common Gaussian only likelihoods are restrictive and require a complex front-end processes to deal with non-Gaussian measurements. Instead, our approach allows the front-end to defer ambiguities with non-Gaussian measurement models. We retain the acyclic Bayes tree (and incremental update strategy) from the predecessor iSAM2 max-product algorithm [Kaess et al., IJRR 2012]. The approach propagates continuous beliefs on the Bayes (Junction) tree, which is an efficient symbolic refactorization
of the nonparametric factor graph, and asymptotically approximates the underlying Chapman-Kolmogorov equations. Our method tracks dominant modes in the marginal posteriors of all variables with minimal approximation error, while suppressing almost all low likelihood modes (in a non-permanent manner). Keeping with existing inertial navigation, we present a novel, continuous-time, retroactively calibrating inertial odometry residual function, using preintegration to seamlessly incorporate pure inertial sensor measurements into a factor graph. We centralize around a factor graph (with starved graph databases) to separate elements of the navigation into an ecosystem of processes. Practical examples are included, such as how to infer multi-modal marginal posterior belief estimates for ambiguous loop closures; raw beam-formed acoustic measurements; or conventional parametric likelihoods, and others.",,,"SLAM, robotics, navigation, mapping, localization, factor graph, Bayes tree, non-Gaussian, multi-modal, junction tree, inertial odometry, preintegration, IMU, radar, acoustic, Chapman-Kolmogorov transit integral",Multi-modal and Inertial sensor Solutions for Navigation-type Factor Graphs,,CC0 1.0 Universal,http://creativecommons.org/publicdomain/zero/1.0/,,"NSF, ONR, DARPA",en_US,MIT,Thesis,"Fourie, D., 2017. Multi-modal and inertial sensor solutions for navigation-type factor graphs (Doctoral dissertation, Massachusetts Institute of Technology and Woods Hole Oceanographic Institution).",
John Leonard,"Benjamin, Michael R.",Marine Robotics,2017-09-01T20:15:02Z,2017-09-01T20:15:02Z,2017-09-01,http://hdl.handle.net/1721.1/111117,"Interval programming (IvP) is model for representing multi-objective optimization problems along with a set of solution algorithms. This paper describes a set of IvP solution experiments run over randomly generated problem instances, using five different versions of the Recursive Interval Programming ALgorithm (RIPAL). The final version is the algorithm used most extensively in practice, with the first four provided mostly for comparison as the final version is built up in complexity. The full details of the algorithms are outside the scope of this paper, with the focus here being the experimental results, and the software tools and technique used in generating the problem instances. Additional tools are described for facilitating the experiments, including visualization tools, and tools for generating the plots and tables shown in this document. All software tools are available under an open source license, and all problem instances reported here are also available online. This document is meant to supplement other discussions on the IvP model, algorithm, and IvP applications to provide the detail of reporting that would not be possible due to length restrictions of other papers.",68 p.,MIT-CSAIL-TR-2017-013,Multi-objective Optimization; piecewise linear functions; decision making,The Interval Programming Model Solution Algorithm Experimentation Tools and Results,2017-09-01T20:15:03Z,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,,,
Michael Carbin,"Atkinson, Eric; Carbin, Michael",Programming Systems,2017-11-13T18:30:11Z,2017-11-13T18:30:11Z,2017-11-09,http://hdl.handle.net/1721.1/112172,"Researchers have recently proposed several systems that ease the process of developing Bayesian probabilistic inference algorithms. These include systems for automatic inference algorithm synthesis as well as stronger abstractions for manual algorithm development. However, existing systems whose performance relies on the developer manually constructing a part of the inference algorithm have limited support for reasoning about the correctness of the resulting algorithm. In this paper, we present Shuffle, a programming language for developing manual inference algorithms that enforces 1) the basic rules of probability theory and 2) statistical dependencies of the algorithm's corresponding probabilistic model. We have used Shuffle to develop inference algorithms for several standard probabilistic models. Our results demonstrate that Shuffle enables a developer to deliver performant implementations of these algorithms with the added benefit of Shuffle's correctness guarantees.",41 p.,MIT-CSAIL-TR-2017-014,type safety,Typesafety for Explicitly-Coded Probabilistic Inference Procedures,2017-11-13T18:30:11Z,,,,,,,,,
Martin Rinard,"Cambronero, Jose; Rinard, Martin",Program Analysis and Compilation,2017-12-22T21:45:58Z,2017-12-22T21:45:58Z,2017-12-21,http://hdl.handle.net/1721.1/112949,"We present CrowdLearn, a new system that processes an existing corpus of crowdsourced machine learning programs to learn how to generate effective pipelines for solving supervised machine learning problems. CrowdLearn uses a probabilistic model of program likelihood, conditioned on the current sequence of pipeline components and on the characteristics of the input data to the next component in the pipeline, to predict candidate pipelines. Our results highlight the effectiveness of this technique in leveraging existing crowdsourced programs to generate pipelines that work well on a range of supervised learning problems.",14 p.,MIT-CSAIL-TR-2017-015,program synthesis; automated machine learning; code mining,Generating Component-based Supervised Learning Programs From Crowdsourced Examples,2017-12-22T21:45:58Z,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,,,,,,,
