dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.description.abstract,dc.description.sponsorship,dc.language.iso,dc.relation.ispartofseries,dc.title,dc.type,dc.description,dc.rights,dc.rights.uri,dc.subject,dc.publisher,dc.contributor.advisor,dc.contributor.other,dc.format.extent,dc.identifier.citation,dc.date.updated
"Cusumano-Towner, Marco F.; Saad, Feras A.; Lew, Alexander; Mansinghka, Vikash K.",2018-11-26T17:33:26Z,2018-11-26T17:33:26Z,2018-11-26,http://hdl.handle.net/1721.1/119255,"Probabilistic modeling and inference are central to many fields. A key challenge for wider adoption of probabilistic programming languages is designing systems that are both flexible and performant. This paper introduces Gen, a new probabilistic programming system with novel language con- structs for modeling and for end-user customization and optimization of inference. Gen makes it practical to write probabilistic programs that solve problems from multiple fields. Gen programs can combine generative models written in Julia, neural networks written in TensorFlow, and custom inference algorithms based on an extensible library of Monte Carlo and numerical optimization techniques. This paper also presents techniques that enable Gen’s combination of flexibility and performance: (i) the generative function inter- face, an abstraction for encapsulating probabilistic and/or differentiable computations; (ii) domain-specific languages with custom compilers that strike different flexibility/per- formance tradeoffs; (iii) combinators that encode common patterns of conditional independence and repeated compu- tation, enabling speedups from caching; and (iv) a standard inference library that supports custom proposal distributions also written as programs in Gen. This paper shows that Gen outperforms state-of-the-art probabilistic programming systems, sometimes by multiple orders of magnitude, on problems such as nonlinear state-space modeling, structure learning for real-world time series data, robust regression, and 3D body pose estimation from depth images.","This research was supported in part by the US Department of the Air Force contract FA8750-17-C-0239, grants from the MIT Media Lab/Harvard Berkman Center Ethics & Gover- nance of AI Fund and the MIT CSAIL Systems that Learn Consortium, a gift from the Aphorism Foundation, and the US Department of Defense through the the National De- fense Science & Engineering Graduate Fellowship (NDSEG) Program.",en_US,;MIT-CSAIL-TR-2018-020,Gen: A General-Purpose Probabilistic Programming System with Programmable Inference,Article,,,,,,,,,,
"Gadient, Austin; Ortiz, Baltazar; Barrato, Ricardo; Davis, Eli; Perkins, Jeff; Rinard, Martin",2019-06-11T13:45:02Z,2019-06-11T13:45:02Z,2019-06-11,https://hdl.handle.net/1721.1/121246,"We present Marten, a new end to end system for automatically discovering, exploiting, and combining information leakage and buffer overflow vulnerabilities to derandomize and exploit remote, fully randomized processes. Results from two case studies high- light Marten’s ability to generate short, robust ROP chain exploits that bypass address space layout randomization and other modern defenses to download and execute injected code selected by an attacker.",DARPA Grant HR001118C0059,en_US,,Automatic Exploitation of Fully Randomized Executables,Article,"We present an automated system, Marten, that automatically generates control flow hijacking exploits against fully randomized executables by combining information leakage and buffer overflow exploits.",Attribution-NonCommercial-NoDerivs 3.0 United States,http://creativecommons.org/licenses/by-nc-nd/3.0/us/,exploit; Symbolic Execution; taint analysis; information leakage,,,,,,
"Bhargava, Nikhil; Williams, Brian C.",2019-08-15T17:30:01Z,2019-08-15T17:30:01Z,2019-08,https://hdl.handle.net/1721.1/121993,"Simple Temporal Networks with Uncertainty (STNUs) provide a useful formalism with which to reason about events and the temporal constraints that apply to them. STNUs are in particular notable because they facilitate reasoning over stochastic, or uncontrollable, actions and their corresponding durations. To evaluate the feasibility of a set of constraints associated with an STNU, one checks the network's \textit{dynamic controllability}, which determines whether an adaptive schedule can be constructed on-the-fly. Our work provides a dynamic controllability checker that is able to quickly refute the controllability of an STNU with integer bounds, such as those found in planning problems. Our work is faster than the existing best runtime for networks with integer bounds and executes in O(min(mn, m\sqrt{n}\log{N}) + km + k^2n + kn\log{n}). Our approach pre-processes the STNU using an existing O(n^3) dynamic controllability checking algorithm and provides tighter bounds on its runtime. This makes our work easily adaptable to other algorithms that rely on checking variants of dynamic controllability.",,en_US,,Faster Dynamic Controllability Checking in Temporal Networks with Integer Bounds,Article,,,,temporal reasoning; scheduling,International Joint Conference in Artificial Intelligence,,,,,
"Perkins, Jeff; Eikenberry, Jordan; Coglio, Alessandro; Rinard, Martin",2019-11-19T19:24:11Z,2019-11-19T19:24:11Z,2019-11-19,https://hdl.handle.net/1721.1/122969,"We present ClearTrack, a system that tracks 32 bits of metadata for each primitive value in Java programs to detect and nullify a range of vulnerabilities such as integer overflow and underflow vulnerabilities, SQL injection vulnerabilities, and command injection vulnerabilities. Contributions include new techniques for eliminating false positives associated with benign integer overflows and underflows, new metadata-aware techniques for detecting and nullifying SQL and command injection attacks, and results from an evaluation of ClearTrack performed by a Test and Evaluation team hired by the sponsor of this research (an anonymous agency of the United States government). These results show that 1) ClearTrack operates successfully on Java programs comprising hundreds of thousands of lines of code (including instrumented jar files and Java system libraries, the majority of the applications comprise over 3 million lines of code), 2) because of computations such as cryptography and hash table calculations, these applications perform millions of benign integer overflows and underflows, and 3) ClearTrack successfully detects and nullifies all tested integer overflow and underflow, SQL injection, and command injection vulnerabilities in the benchmark applications.",,en_US,,Comprehensive Java Metadata Tracking for Attack Detection and Repair,Article,,Attribution-NonCommercial-NoDerivs 3.0 United States,http://creativecommons.org/licenses/by-nc-nd/3.0/us/,security; runtime instrumentation; numeric errrors,,,,,,
"Gordon, Michael; Eikenberry, Jordan; Eden, Anthony; Perkins, Jeff; Rinard, Martin",2019-11-19T19:23:10Z,2019-11-19T19:23:10Z,2019-11-19,https://hdl.handle.net/1721.1/122968,"Detailed information about the paths that data take through a system is invaluable for understanding sources and behaviors of complex exfiltration malware. We present a new system, ClearScope, that tracks, at the level of individual bytes, the complete paths that data follow through Android systems. These paths include the original source where data entered the device (such as sensors or network connections), files in which the data was temporarily stored, applications that the data traversed during its time in the device, and sinks through which the data left the device.

The ClearScope system design enables this unprecedented level of provenance tracking detail by 1) structuring the provenance representation as references, via provenance tags, to provenance events that record the movement of data between system components and into or out of the device and 2) adopting a split design in which provenance events are streamed to a remote server for storage, with only the minimal information required to generate the tagged stream of events retained on the device. ClearScope also includes compiler optimizations that enable efficient provenance tracking within applications by eliminating unnecessary provenance tracking computations and adopting and efficient aggregate provenance representation for arrays when all array elements have the same provenance.

Experience using ClearScope to analyze the notorious Adups FOTA malware highlights the significant benefits that this level of comprehensive detail can bring. Performance experiments with the Caffeine Mark benchmarks show that the overall ClearScope provenance tracking overhead on this benchmark suite is 14%.",DARPA (Grant FA8650-15-C-7564),en_US,,Precise and Comprehensive Provenance Tracking for Android Devices,Technical Report,,Attribution-NonCommercial-NoDerivs 3.0 United States,http://creativecommons.org/licenses/by-nc-nd/3.0/us/,security; runtime instrumentation; provenance,,,,,,
"Nachin, Mergen",2021-03-02T23:12:23Z,2021-03-02T23:12:23Z,2021-03-02,https://hdl.handle.net/1721.1/130056,,,en,6.UAP: Undergraduate Advanced Project;Spring 2010,Lower Bounds on the Column Sparsity of Compressed Sensing Matrices,Technical Report,,Attribution 3.0 United States,http://creativecommons.org/licenses/by/3.0/us/,compressed sensing; sketching,,,,,,
"Zhang, Yuening",2021-03-02T23:13:24Z,2021-03-02T23:13:24Z,2021-03-02,https://hdl.handle.net/1721.1/130057,"Simple Temporal Networks with Uncertainty (STNU) can represent temporal problems where duration between events may be uncontrollable, e.g. when the event is caused by nature. An STNU is dynamically controllable (DC) if it can be successfully scheduled online. In this paper, we introduce a novel usage of bucket elimination algorithms for DC checking that matches the state of the art in achieving O(n^3) performance. Bucket elimination algorithms exist for STNs (path consistency and Fourier algorithms), but adapting it to STNUs is non-trivial. As a result, consistency checking becomes a special case of our algorithm. Due to the familiarity to bucket elimination algorithms, the final algorithm is easier to understand and implement. Additionally, conflict extraction is also easily supported in this framework.",,en,,Bucket Elimination Algorithm for Dynamic Controllability Checking of Simple Temporal Networks with Uncertainty,Technical Report,,CC0 1.0 Universal,http://creativecommons.org/publicdomain/zero/1.0/,temporal networks; dynamic controllability; bucket elimination; scheduling with uncertainty,,,,,,
"Shen, Jiasi; Rinard, Martin",2021-09-09T14:44:49Z,2021-09-09T14:44:49Z,2021-09-09,https://hdl.handle.net/1721.1/131244,"We present Shear, a new system that observes and manipulates the interaction between an application and its surrounding environment to learn a model of the behavior of the application. Shear implements active loop detection to infer the looping structure in the application. This technique repeatedly presents the application with the same input, altering the program's interaction with the environment at precisely chosen execution points to elicit different program behaviors depending on the loop structure in the application. The ability to alter interactions between the application and the environment enables Shear to infer a broader range of looping structures otherwise undetectable given only the ability to observe application behavior. Active loop detection therefore enables Shear to infer a broader range of looping structures than previous approaches.",,en,,Active Loop Detection for Applications that Access Databases,Technical Report,,,,,,,,,,
"Shen, Jiasi; Rinard, Martin",2021-11-15T22:40:41Z,2021-11-15T22:40:41Z,2021-11-15,https://hdl.handle.net/1721.1/138144,"We present Shear, a new system that observes and manipulates the interaction between an application and its surrounding environment to learn a model of the behavior of the application. Shear implements active loop detection to infer the loop structures in the application. This technique repeatedly presents the application with the same input, altering the program's interaction with the environment at precisely chosen execution points to elicit different program behaviors depending on the loop structure in the application. The ability to alter interactions between the application and the environment enables Shear to infer a broader range of loop structures otherwise undetectable given only the ability to observe application behavior. Active loop detection therefore enables Shear to infer a broader range of loop structures than previous approaches.",,en_US,,Active Loop Detection for Applications that Access Databases,Technical Report,,,,,,,,,,
"Wang, Yanwei; Shah, Julie",2022-06-15T14:42:32Z,2022-06-15T14:42:32Z,2022-06-15,https://hdl.handle.net/1721.1/143430,"Foundation models, which are large neural networks trained on massive datasets, have shown
impressive generalization in both the language and the vision domain. While fine-tuning foundation
models for new tasks at test-time is impractical due to billions of parameters in those models, prompts
have been employed to re-purpose models for test-time tasks on the fly. In this report, we ideate the equivalent foundation model for motion generation and the corresponding formats of prompt that can condition such a model. The central goal is to learn a behavior prior for motion generation that can be re-used in a novel scene.",CSAIL NSF MI project – 6939398,en_US,,Universal Motion Generator: Trajectory Autocompletion by Motion Prompts,Working Paper,,Attribution-NonCommercial-NoDerivs 3.0 United States,http://creativecommons.org/licenses/by-nc-nd/3.0/us/,"Robot Learning, Large Language Models, Motion Generation",,,,,,
