dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.identifier.other,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.other,dc.description.sponsorship,dc.rights,dc.rights.uri
"Heo, Seongmoo; Barr, Kenneth; Hampton, Mark; Asanovi_, Krste",2023-03-29T15:35:04Z,2023-03-29T15:35:04Z,2002-01,https://hdl.handle.net/1721.1/149935,MIT-LCS-TR-832,Fine-Grain Dynamic Leakage Reduction,,,,,,,,,,
"Heo, Seongmoo; Asanovi_, Krste",2023-03-29T15:35:02Z,2023-03-29T15:35:02Z,2002-01,https://hdl.handle.net/1721.1/149934,MIT-LCS-TR-831,Leakage-Biased Domino Circuits for Dynamic Fine-Grain Leakage Reduction,,,,,,,,,,
"Beal, Jacob",2004-10-20T20:29:08Z,2004-10-20T20:29:08Z,2002-01-01,http://hdl.handle.net/1721.1/7079,AITR-2002-002,Generating Communications Systems Through Shared Context,AITR-2002-002,"In a distributed model of intelligence, peer components need to communicate with one another. I present a system which enables two agents connected by a thick twisted bundle of wires to bootstrap a simple communication system from observations of a shared environment. The agents learn a large vocabulary of symbols, as well as inflections on those symbols which allow thematic role-frames to be transmitted. Language acquisition time is rapid and linear in the number of symbols and inflections. The final communication system is robust and performance degrades gradually in the face of problems.",58 p.; 7876447 bytes; 588901 bytes,application/postscript; application/pdf,en_US,AI; distributed amorphous human intelligence genesis robust communication network,,,,
"Darrell, Trevor; Checka, Neal; Oh, Alice; Morency, Louis-Philippe",2004-10-08T20:37:23Z,2004-10-08T20:37:23Z,2002-01-01,http://hdl.handle.net/1721.1/6682,AIM-2002-001,Exploring Vision-Based Interfaces: How to Use Your Head in Dual Pointing Tasks,AIM-2002-001,"The utility of vision-based face tracking for dual pointing tasks is evaluated. We first describe a 3-D face tracking technique based on real-time parametric motion-stereo, which is non-invasive, robust, and self-initialized. The tracker provides a real-time estimate of a ?frontal face ray? whose intersection with the display surface plane is used as a second stream of input for scrolling or pointing, in paral-lel with hand input. We evaluated the performance of com-bined head/hand input on a box selection and coloring task: users selected boxes with one pointer and colors with a second pointer, or performed both tasks with a single pointer. We found that performance with head and one hand was intermediate between single hand performance and dual hand performance. Our results are consistent with previously reported dual hand conflict in symmetric pointing tasks, and suggest that a head-based input stream should be used for asymmetric control.",1 p.; 1612360 bytes; 298580 bytes,application/postscript; application/pdf,en_US,AI,,,,
"Freeman, William T.; Zhang, Hao",2004-10-08T20:37:26Z,2004-10-08T20:37:26Z,2002-01-10,http://hdl.handle.net/1721.1/6683,AIM-2002-002,Shape-Time Photography,AIM-2002-002,"We introduce a new method to describe, in a single image, changes in  shape over time. We acquire both range and image information with a  stationary stereo camera. From the pictures taken, we display a  composite image consisting of the image data from the  surface closest to the camera at every pixel. This reveals the 3-d  relationships over time by easy-to-interpret occlusion relationships  in the composite image. We call the composite a shape-time  photograph.   Small errors in depth measurements cause artifacts in the shape-time  images. We correct most of these using a Markov network to estimate  the most probable front surface, taking into account the depth  measurements, their uncertainties, and layer continuity assumptions.",6 p.; 6494953 bytes; 11283819 bytes,application/postscript; application/pdf,en_US,AI; video summarization; stereo,,,,
"Zee, Karen; Rinard, Martin",2023-03-29T15:35:09Z,2023-03-29T15:35:09Z,2002-02,https://hdl.handle.net/1721.1/149937,MIT-LCS-TR-834,Write Barrier Removal by Static Analysis,,,,,,,,,,
"Matusik, Wojciech; Buehler, Chris; McMillan, Leonard; Gortler, Steven J.",2023-03-29T14:42:33Z,2023-03-29T14:42:33Z,2002-02,https://hdl.handle.net/1721.1/149312,MIT-LCS-TM-623,An Efficient Visual Hull Computation Algorithm,,"In this paper we describe an efficient algorithm for computing the visual hull of an object. This problem is equivalent to computing the intersection of generalized cones. The naïve visual hull computation algorithm requires intersecting 3D polyhedra. We exploit the special structure of generalized cone polyhedra and show how to reduce this computation to a set of intersections in 2D. Moreover, we describe how the 2D intersections can be carried out efficiently.",,,,,,,,
"Matusik, Wojciech; Buehler, Chris; McMillan, Leonard",2023-03-29T14:42:35Z,2023-03-29T14:42:35Z,2002-02,https://hdl.handle.net/1721.1/149313,MIT-LCS-TM-624,Efficient View-Dependent Sampling of Visual Hulls,,"In this paper we present an efficient algorithm for sampling visual hulls. Our algorithm computers exact points and normals on the surface of visual hull instead of a more traditional volumetric representation. The main feature that distinguishes our algorithm from previous ones is that it allows for sampling along arbitrary viewing rays with no loss of efficiency. Using this property, we adaptively sample visual hulls to minimize the number of samples needed to attain a given fidelity. In our experiments, the number of samples can typically be reduced by an order of magnitude, resulting in a corresponding performance increase over previous algorithms.",,,,,,,,
"Kiriansky, Vladimir; Bruening, Derek; Amarasinghe, Saman",2023-03-29T14:42:37Z,2023-03-29T14:42:37Z,2002-02,https://hdl.handle.net/1721.1/149314,MIT-LCS-TM-625,Secure Execution Via Program Shepherding,,"We introduce program shepherding, a method for monitoring control flow transfers during program execution to enforce a security policy. Shepherding ensures that malicious code masquerading as data is never executed, thwarting a large class of security attacks. Shepherding can also enforce entry points as the only way to execute shared library code. Furthermore, shepherding guarantees that sandboxing checks around any type of program operation will never be bypassed. We have implemented these capabilities efficiently in a runtime system with minimal or no performance penalties. This system operates on unmodified native binaries, requires no special hardware or operating system support, and runs on existing IA-32 machines.",,,,,,,,
"Katabi, Dina; Blake, Charles",2023-03-29T14:42:39Z,2023-03-29T14:42:39Z,2002-02,https://hdl.handle.net/1721.1/149315,MIT-LCS-TM-626,A Note on the Stability Requirements of Adaptive Virtual Queue,,Choosing the correct value for the parameters of an Active Queue Management (AQM) scheme is a well-known hard problem. The Adaptive Virtual Queue (AVQ) attempts at solving this problem by using stability requirements to devise a rule for setting its parameter. This memo shows that the AVQ rule for setting its parameter is impractical for many real-life situations.,,,,,,,,
