dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.other,dc.identifier.uri,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.relation.ispartofseries,dc.subject,dc.title
"Sullivan, Gregory T.",2004-10-08T20:37:46Z,2004-10-08T20:37:46Z,2002-03-22,AIM-2002-005,http://hdl.handle.net/1721.1/6686,"The Design Patterns book [GOF95] presents  24 time-tested patterns that consistently appear in well-designed  software systems. Each pattern is presented with a description of the  design problem the pattern addresses, as well as sample  implementation code and design considerations. This paper explores how the  patterns from the ""Gang of Four'', or ""GOF'' book, as it is often called,  appear when similar problems are addressed using a dynamic,  higher-order, object-oriented programming language. Some of the  patterns disappear -- that is, they are supported directly by language features,  some patterns are simpler or have a different focus, and some are  essentially unchanged.",45 p.; 1734113 bytes; 322829 bytes,application/postscript; application/pdf,en_US,AIM-2002-005,AI,"Advanced Programming Language Features for Executable Design Patterns ""Better Patterns Through Reflection"
"Bar-Joseph, Ziv; Keidar, Idit; Lynch, Nancy A.",2023-03-29T15:35:22Z,2023-03-29T15:35:22Z,2002-04,,https://hdl.handle.net/1721.1/149942,,,,,MIT-LCS-TR-840,,Early-Delivery Dynamic Atomic Broadcast
"Boyapati, Chandrasekhar",2023-03-29T15:35:28Z,2023-03-29T15:35:28Z,2002-04,,https://hdl.handle.net/1721.1/149944,,,,,MIT-LCS-TR-842,,Towards An Extensible Virtual Machine
"Finney, Sarah; Gardiol, Natalia H.; Kaelbling, Leslie Pack; Oates, Tim",2004-10-08T20:37:45Z,2004-10-08T20:37:45Z,2002-04-10,AIM-2002-006,http://hdl.handle.net/1721.1/6685,"Most reinforcement learning methods operate  on propositional representations of the world state. Such  representations are often intractably large and generalize poorly. Using  a deictic representation is believed to be a viable  alternative: they promise generalization while allowing the use of  existing reinforcement-learning methods. Yet, there  are few experiments on learning with deictic representations reported  in the literature. In this paper we explore the effectiveness of two  forms of deictic representation and a naive propositional  representation in a simple blocks-world domain. We find,  empirically, that the deictic representations actually worsen performance.  We conclude with a discussion of possible causes of these  results and strategies for more effective learning in domains with objects.",41 p.; 5712208 bytes; 1294450 bytes,application/postscript; application/pdf,en_US,AIM-2002-006,AI; Reinforcement Learning; Partial Observability; Representations,Learning with Deictic Representation
"Knoblich, Ulf; Freedman, David J.; Riesenhuber, Maximilian",2004-10-20T21:05:01Z,2004-10-20T21:05:01Z,2002-04-18,AIM-2002-007; CBCL-216,http://hdl.handle.net/1721.1/7270,"In a recent experiment, Freedman et al.  recorded from inferotemporal (IT) and prefrontal cortices (PFC) of monkeys  performing a ""cat/dog"" categorization task (Freedman 2001 and  Freedman, Riesenhuber, Poggio, Miller 2001). In this paper we analyze the tuning properties of view-tuned  units in our HMAX model of object recognition in cortex (Riesenhuber  1999) using the same paradigm and stimuli  as in the experiment. We then compare the simulation results to the monkey  inferotemporal neuron population data. We find that view-tuned  model IT units that were trained without any explicit category  information can show category-related tuning as observed in the  experiment. This suggests that the tuning properties of experimental IT  neurons might primarily be shaped by bottom-up stimulus-space  statistics, with little influence of top-down task-specific  information. The population of experimental PFC neurons, on the other hand,  shows tuning properties that cannot be explained just by stimulus  tuning. These analyses are compatible with a model of object recognition  in cortex (Riesenhuber 2000)  in which a population of shape-tuned  neurons provides a general basis for neurons tuned to  different recognition tasks.",11 p.; 1497623 bytes; 678374 bytes,application/postscript; application/pdf,en_US,AIM-2002-007; CBCL-216,AI; categorization IT PFC computational neuroscience model HMAX,Categorization in IT and PFC: Model and Experiments
"Gassend, Blaise; Clarke, Dwaine; van Dijk, Marten; Devadas, Srinivas",2023-03-29T15:35:07Z,2023-03-29T15:35:07Z,2002-05,,https://hdl.handle.net/1721.1/149936,,,,,MIT-LCS-TR-833,,Silicon Physical Unknown Functions and Secure Smartcards
"Ne Win, Toh; Ernst, Michael D.",2023-03-29T15:35:26Z,2023-03-29T15:35:26Z,2002-05,,https://hdl.handle.net/1721.1/149943,,,,,MIT-LCS-TR-841,,Verifying Distributed Algorithms via Dynamic Analysis and Theorem Proving
"Ma, Albert; Asanovi_, Krste",2023-03-29T15:35:33Z,2023-03-29T15:35:33Z,2002-05,,https://hdl.handle.net/1721.1/149946,,,,,MIT-LCS-TR-844,,A Double-Pulsed Set-Conditional-Reset Flip-Flop
"Steinbach, Carl",2004-10-20T20:29:42Z,2004-10-20T20:29:42Z,2002-05-01,AITR-2002-007,http://hdl.handle.net/1721.1/7093,"We describe an adaptive, mid-level approach  to the wireless device power management problem. Our approach  is based on reinforcement learning, a machine learning  framework for autonomous agents. We describe how our  framework can be applied to the power management problem in both  infrastructure and ad~hoc wireless networks. From this thesis we conclude that  mid-level power management policies can outperform low-level policies and  are more convenient to implement than high-level policies. We also  conclude that power management policies need to adapt to the  user and network, and that a mid-level power management framework  based on reinforcement learning fulfills these requirements.",41 p.; 8457203 bytes; 989455 bytes,application/postscript; application/pdf,en_US,AITR-2002-007,AI; reinforcement learning; power management; wireless networks,A Reinforcement-Learning Approach to Power Management
"Huang, Andrew ""bunnie""",2004-10-08T20:38:06Z,2004-10-08T20:38:06Z,2002-05-26,AIM-2002-008,http://hdl.handle.net/1721.1/6694,"This paper discusses the hardware foundations of the cryptosystem employed by the Xbox(TM) video game console from Microsoft. A secret boot block overlay is buried within a system ASIC. This secret boot block decrypts and verifies portions of an external FLASH-type ROM. The presence of the secret boot block is camouflaged by a decoy boot block in the external ROM. The code contained within the secret boot block is transferred to the CPU in the clear over a set of high-speed busses where it can be extracted using simple custom hardware. The paper concludes with recommendations for improving the Xbox security system. One lesson of this study is that the use of a high-performance bus alone is not a sufficient security measure, given the advent of inexpensive, fast rapid prototyping services and high-performance FPGAs.",15 p.; 837733 bytes; 527464 bytes,application/postscript; application/pdf,en_US,AIM-2002-008,AI; Tamper-resistant hardware; Microsoft Xbox; Cryptography; Privacy; Public Key Algos,Keeping Secrets in Hardware: the Microsoft Xbox(TM) Case Study
