dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.identifier.other,dc.description.abstract,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject
"Boyapati, Chandrasekhar; Liskov, Barbara H.; Shrira, Liuba",2023-03-29T15:36:02Z,2023-03-29T15:36:02Z,2002-07,https://hdl.handle.net/1721.1/149958,MIT-LCS-TR-858,Ownership Types and Safe Lazy Upgrades in Object-Oriented Databases,,,,,,
"Gassend, Blaise; Suh, G. Edward; Clarke, Dwaine; van Dijk, Marten; Devadas, Srinivas",2023-03-29T15:36:00Z,2023-03-29T15:36:00Z,2002-07,https://hdl.handle.net/1721.1/149957,MIT-LCS-TR-857,Caches and Merkle Trees for Efficient Memory Authentication,,,,,,
"Kaynar, Dilsun Kirh; Chefter, Anna; Dean, Laura; Garland, Stephen J.; Lynch, Nancy A.; Ne Win, Toh; Ramírez-Robredo, Antonio",2023-03-29T15:35:31Z,2023-03-29T15:35:31Z,2002-07,https://hdl.handle.net/1721.1/149945,MIT-LCS-TR-843,The IOA Simulator,,,,,,
"Taylor, Michael Bedford; Lee, Walter; Amarasinghe, Saman; Agarwal, Anant",2023-03-29T15:36:04Z,2023-03-29T15:36:04Z,2002-07,https://hdl.handle.net/1721.1/149959,MIT-LCS-TR-859,Scalar Operand Networks: On-chip interconnect for ILP in Partitioned Architechures,,,,,,
"Strumpen, Volker; Krishnamurthy, Arvind",2023-03-29T14:42:47Z,2023-03-29T14:42:47Z,2002-07,https://hdl.handle.net/1721.1/149318,MIT-LCS-TM-629,A Collision Model for Randomized Routing In Fat-Tree Networks,,,,,,
"Werfel, Justin",2004-10-08T20:38:09Z,2004-10-08T20:38:09Z,2002-07-01,http://hdl.handle.net/1721.1/6696,AIM-2002-010,Implementing Universal Computation in an Evolutionary System,AIM-2002-010,"Evolutionary algorithms are a common tool in  engineering and in the study of natural  evolution. Here we take their use in a new  direction by showing how they can be made to  implement a universal computer. We  consider populations of individuals with  genes whose values are the variables of  interest. By allowing them to interact with one  another in a specified environment with  limited resources, we demonstrate the ability  to construct any arbitrary logic circuit. We  explore models based on the limits of small  and large populations, and show examples of  such a system in action, implementing a  simple logic circuit.",17 p.; 3942374 bytes; 1153028 bytes,application/postscript; application/pdf,en_US,AI
"Clarke, Dwaine; Gassend, Blaise; Suh, G. Edward; van Dijk, Marten; Devadas, Srinivas",2023-03-29T14:42:58Z,2023-03-29T14:42:58Z,2002-08,https://hdl.handle.net/1721.1/149320,MIT-LCS-TM-631,Offline Authentication of Untrusted Storage,,"We extend the offline memory correctness checking scheme presented by Blum et. al [BEG+91], by using incremental cryptography, to detect attacks by an active adversary. We also introduce a hybrid o_ine-online checking scheme designed for untrusted storages in file systems and databases. Previous work [GSC+02] [FKM00] [MVS00] describe systems in which Merkle trees are used to verify the authenticity of data stored on untrusted storage. The Merkle trees [Mer79] are used to check, after each operation, whether the storage performed correctly. The offline and hybrid checkers are designed for checking sequences of operations on an untrusted storage and, in the common case, require only a constant overhead on the number of accesses to the storage, as compared to the logarithmic overhead incurred by online Merkle tree schemes",,,,
"Aftab, Omar",2023-03-29T15:36:38Z,2023-03-29T15:36:38Z,2002-08,https://hdl.handle.net/1721.1/149972,MIT-LCS-TR-876b,Economic Mechanisms for Efficient Wireless Coexistence,,,,,,
"Thies, William; Lin, Jasper; Amarasinghe, Saman",2023-03-29T14:42:53Z,2023-03-29T14:42:53Z,2002-08,https://hdl.handle.net/1721.1/149319,MIT-LCS-TM-630,Phased Computation Graphs in the Polyhedral Model,,"We present a translation scheme that allows a broad class of dataflow graphs to be considered under the optimization framework of the polyhedral model. The input to our analysis is a Phased Computation Graph, which we define as a generalization of the most widely used dataflow representations, including synchronous dataflow, cyclo-static dataflow, and computation graphs. The output of our analysis is a System of Affine Recurrence Equations (SARE) that exactly captures the data dependencies between the nodes of the original graph. Using the SARE representation, one can apply many techniques from the scientific community that are new to the DSP domain. For example, we propose simple optimizations such as node splitting, decimation propagation, and stead-state invariant code motion that leverage the fine-grained dependence information of the SARE to perform novel transformations on a stream graph. We also propose ways in which the polyhedral model can offer new approaches to classic problems of the DSP community, such as minimizing buffer size, code size, and optimizing the schedule.",,,,
"Schneider, Robert; Riesenhuber, Maximilian",2004-10-20T20:48:51Z,2004-10-20T20:48:51Z,2002-08-01,http://hdl.handle.net/1721.1/7178,AIM-2002-011; CBCL-218,A Detailed Look at Scale and Translation Invariance in a Hierarchical Neural Model of Visual Object Recognition,AIM-2002-011; CBCL-218,"The HMAX model has recently been proposed  by Riesenhuber & Poggio as a  hierarchical  model of position- and size-invariant object  recognition in visual cortex. It has also turned  out to model successfully a number of other  properties of the ventral visual stream (the  visual pathway thought to be crucial for object  recognition in cortex), and particularly of (view-tuned) neurons in macaque inferotemporal  cortex, the brain area at the top of the ventral  stream. The original modeling study only  used ``paperclip'' stimuli, as in the  corresponding physiology experiment, and did  not explore systematically how model units'  invariance properties depended on model  parameters. In this study, we aimed at a  deeper understanding of the inner workings of  HMAX and its performance for various  parameter settings and ``natural'' stimulus  classes. We examined HMAX responses for  different stimulus sizes and positions  systematically and found a dependence of  model units' responses on stimulus position  for which a quantitative description is offered.  Interestingly, we find that scale invariance  properties of hierarchical neural models are  not independent of stimulus class, as  opposed to translation invariance, even  though both are affine transformations within  the image plane.",12 p.; 2137337 bytes; 1062341 bytes,application/postscript; application/pdf,en_US,AI
"Giese, Martin Alexander; Poggio, Tomaso",2004-10-20T21:05:04Z,2004-10-20T21:05:04Z,2002-08-01,http://hdl.handle.net/1721.1/7272,AIM-2002-012; CBCL-219,Biologically Plausible Neural Model for the Recognition of Biological Motion and Actions,AIM-2002-012; CBCL-219,"The visual recognition of complex movements  and actions is crucial for communication and  survival in many species. Remarkable  sensitivity and robustness of biological  motion perception have been demonstrated in  psychophysical experiments. In recent years,  neurons and cortical areas involved in action  recognition have been identified in  neurophysiological and imaging studies.  However, the detailed neural mechanisms  that underlie the recognition of such complex  movement patterns remain largely unknown.  This paper reviews the experimental results  and summarizes them in terms of a  biologically plausible neural model. The  model is based on the key assumption that  action recognition is based on learned  prototypical patterns and exploits information  from the ventral and the dorsal pathway. The  model makes specific predictions that  motivate new experiments.",26 p.; 3562724 bytes; 2540946 bytes,application/postscript; application/pdf,en_US,AI; biological motion; action recognition; visual pathways; hierarchical processing
