dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.description.abstract,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.description
"Tan, Godfrey",2023-03-29T15:36:12Z,2023-03-29T15:36:12Z,2002-10,https://hdl.handle.net/1721.1/149962,MIT-LCS-TR-866,Blueware: Bluetooth Simulator for ns,,,,,,,
"Batten, Christopher; Barr, Kenneth; Saraf, Arvind; Trepetin, Stanley",2023-03-29T14:43:01Z,2023-03-29T14:43:01Z,2002-10,https://hdl.handle.net/1721.1/149321,MIT-LCS-TM-632,pStore: A Secure Peer-to-Peer Backup System,"In an effort to combine research in peer-to-peer systems with techniques for incremental backup systems, we propose pStore: a secure distributed backup system based on an adaptive peer-to-peer network. pStore exploits unused personal hard drive space attached to the Internet to provide the distributed redundancy needed for reliable and effective data backup. Experiments on a 30 node network show that 95% of the files in a 13 MB dataset can be retrieved even when 7 of the nodes have failed. On top of this reliability, pStore includes support for file encryption, versioning, and secure sharing. Its custom versioning system permits arbitrary version retrieval similar to CVS. pStore provides this functionality at less than 10% of the network bandwidth and requires 85% less storage capacity than simpler local tape backup schemes for a representative workload.",,,,,,
"Dror, Ron O.",2004-10-20T20:29:53Z,2004-10-20T20:29:53Z,2002-10-01,http://hdl.handle.net/1721.1/7097,AITR-2002-009,Surface Reflectance Recognition and Real-World Illumination Statistics,"Humans distinguish materials such as metal, plastic, and paper effortlessly at a glance. Traditional computer vision systems cannot solve this problem at all. Recognizing surface reflectance properties from a single photograph is difficult because the observed image depends heavily on the amount of light incident from every direction. A mirrored sphere, for example, produces a different image in every environment. To make matters worse, two surfaces with different reflectance properties could produce identical images. The mirrored sphere simply reflects its surroundings, so in the right artificial setting, it could mimic the appearance of a matte ping-pong ball. Yet, humans possess an intuitive sense of what materials typically ""look like"" in the real world. This thesis develops computational algorithms with a similar ability to recognize reflectance properties from photographs under unknown, real-world illumination conditions.   Real-world illumination is complex, with light typically incident on a surface from every direction. We find, however, that real-world illumination patterns are not arbitrary. They exhibit highly predictable spatial structure, which we describe largely in the wavelet domain. Although they differ in several respects from the typical photographs, illumination patterns share much of the regularity described in the natural image statistics literature.   These properties of real-world illumination lead to predictable image statistics for a surface with given reflectance properties. We construct a system that classifies a surface according to its reflectance from a single photograph under unknown illuminination. Our algorithm learns relationships between surface reflectance and certain statistics computed from the observed image. Like the human visual system, we solve the otherwise underconstrained inverse problem of reflectance estimation by taking advantage of the statistical regularity of illumination. For surfaces with homogeneous reflectance properties and known geometry, our system rivals human performance.",AITR-2002-009,195 p.; 7366082 bytes; 3656634 bytes,application/postscript; application/pdf,en_US,AI; illumination; reflectance; natural image statistics; vision; materials,
"Van Eepoel, John M.",2004-10-20T20:29:56Z,2004-10-20T20:29:56Z,2002-10-22,http://hdl.handle.net/1721.1/7098,AITR-2002-010,Achieving Real-Time Mode Estimation through Offline Compilation,"As exploration of our solar system and outerspace move into the future, spacecraft are being developed to venture on increasingly challenging missions with bold objectives. The spacecraft tasked with completing  these missions are becoming progressively more complex. This  increases the potential for mission failure due to hardware malfunctions  and unexpected spacecraft behavior. A solution to this problem lies in the  development of an advanced fault management system. Fault  management enables spacecraft to respond to failures and take repair  actions so that it may continue its mission. The two main approaches  developed for spacecraft fault management have been rule-based and  model-based systems. Rules map sensor information to system  behaviors, thus achieving fast response times, and making the actions of  the fault management system explicit. These rules are developed by  having a human reason through the interactions between spacecraft  components. This process is limited by the number of interactions a  human can reason about correctly. In the model-based approach, the  human provides component models, and the fault management system  reasons automatically about system wide interactions and complex fault combinations. This approach improves correctness, and makes explicit  the underlying system models, whereas these are implicit in the rule-based approach. We propose a fault detection engine, Compiled Mode  Estimation (CME) that unifies the strengths of the rule-based and model-based approaches. CME uses a compiled model to determine spacecraft  behavior more accurately. Reasoning related to fault detection is  compiled in an off-line process into a set of concurrent, localized  diagnostic rules. These are then combined on-line along with sensor  information to reconstruct the diagnosis of the system. These rules  enable a human to inspect the diagnostic consequences of CME.  Additionally, CME is capable of reasoning through component  interactions automatically and still provide fast and correct responses.  The implementation of this engine has been tested against the NEAR  spacecraft advanced rule-based system, resulting in detection of failures  beyond that of the rules. This evolution in fault detection will enable future  missions to explore the furthest reaches of the solar system without the  burden of human intervention to repair failed components.",AITR-2002-010,321 p.; 20495512 bytes; 7253655 bytes,application/postscript; application/pdf,en_US,AI; mode estimation; compilation; model-based; reasoning; autonomy,
"Clarke, Dwaine; Gassend, Blaise; Suh, G. Edward; van Dijk, Marten; Devadas, Srinivas",2023-03-29T15:36:25Z,2023-03-29T15:36:25Z,2002-11,https://hdl.handle.net/1721.1/149967,MIT-LCS-TR-871,Offline Integrity Checking of Untrusted Storage,,,,,,,
"De Prisco, Roberto; Fekete, Alan; Lynch, Nancy A.; Shvartsman, Alexander A.",2023-03-29T15:36:30Z,2023-03-29T15:36:30Z,2002-11,https://hdl.handle.net/1721.1/149969,MIT-LCS-TR-873,A Dynamic Primary View Group Communication Service,,,,,,,
"Salcianu, Alexandru; Boyapati, Chandrasekhar; Beebee, William S., Jr.; Rinard, Martin",2023-03-29T15:36:20Z,2023-03-29T15:36:20Z,2002-11,https://hdl.handle.net/1721.1/149965,MIT-LCS-TR-869,A Type System for Safe Region-Based Memory Management in Real-Time Java,"The Real-Time Specification for Java (RTSJ) allows a program to create real-time threads with hard real time constraints. Real-time threads use immortal memory and region-based memory management to avoid unbounded pauses caused by interference from the garbage collector. The RTSJ uses runtime checks to ensure that deleting a region does not create dangling references and that real-time threads do not access references to objects allocated in the garbage-collected heap. This paper presents a static type system that guarantees that these runtime checks will never fail for well-typed programs. Our type system therefore 1) provides an important safety guarantee for real-time programs and 2) makes it possible to eliminate the runtime checks and their associated overhead. Our system also makes several contributions over previous work on region types. For object-oriented programs, it combines region types and ownership types in a unified type system framework. For multithreaded programs, it allows long-lived threads to share objects without using the heap and without having memory leaks. For real-time programs, it ensures that real-time threads do not interfere with the garbage collector. We have implemented several programs in our system. Our experience indicates that our type system is sufficiently expressive and requires little programming overhead. We also ran these programs on our RTSJ platform. Our experiments show that eliminating the RTSJ runtime checks using a static type system can significantly decrease the execution time of a real-time program.",,,,,,
"Livadas, Carolos; Lynch, Nancy A.",2023-03-29T15:36:17Z,2023-03-29T15:36:17Z,2002-11,https://hdl.handle.net/1721.1/149964,MIT-LCS-TR-868,A Formal Venture into Reliable Multicast Territory,,,,,,,
"Suh, G. Edward; Clarke, Dwaine; Gassend, Blaise; van Dijk, Marten; Devadas, Srinivas",2023-03-29T15:36:27Z,2023-03-29T15:36:27Z,2002-11,https://hdl.handle.net/1721.1/149968,MIT-LCS-TR-872,Hardware Mechanisms for Memory Integrity Checking,"Memory integrity verification is a useful primitive when implementing  secure processors that are resistant to attacks on hardware components.  This paper proposes new hardware schemes to verify the integrity of  untrusted external memory using a very small amount of trusted on-chip  storage. Our schemes maintain incremental multiset hashes of all memory  reads and writes at run-time, and can verify a {\\em sequence} of memory  operations at a later time. We study the advantages and disadvantages of  the two new schemes and two existing integrity checking schemes, MACs  and hash trees, when implemented in hardware in a microprocessor.  Simulations show that the new schemes outperform existing schemes of  equivalent functionality when integrity verification is infrequent.",,,,,,
"Sussman, Gerald Jay; Wisdom, Jack",2004-10-08T20:38:38Z,2004-10-08T20:38:38Z,2002-11-01,http://hdl.handle.net/1721.1/6707,AIM-2002-018,The Role of Programming in the Formulation of Ideas,"Classical mechanics is deceptively simple. It  is surprisingly easy to get the right answer with fallacious reasoning  or without real understanding. To address this problem we  use computational techniques to communicate a deeper  understanding of Classical Mechanics. Computational algorithms are  used to express the methods used in the analysis of dynamical  phenomena. Expressing the methods in a computer language forces them to be  unambiguous and computationally effective. The task of  formulating a method as a computer-executable program and debugging  that program is a powerful exercise in the learning process. Also, once  formalized procedurally, a mathematical idea becomes a tool that can  be used directly to compute results.",AIM-2002-018,18 p.; 1180238 bytes; 786910 bytes,application/postscript; application/pdf,en_US,AI; Education; Mechanics; Functional Programming; Symbolic Mathematics,
"Wisdom, Jack",2004-10-08T20:38:37Z,2004-10-08T20:38:37Z,2002-11-01,http://hdl.handle.net/1721.1/6706,AIM-2002-017,Swimming in Space-Time,"Cyclic changes in the shape of a quasi-rigid  body on a curved manifold can lead to net translation and/or  rotation of the body in the manifold. Presuming space-time is a  curved manifold as portrayed by general relativity, translation in space can  be accomplished simply by cyclic changes in the shape of a body,  without any thrust or external forces.",AIM-2002-017,32 p.; 6370543 bytes; 473755 bytes,application/postscript; application/pdf,en_US,AI,
