dc.contributor.advisor,dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.description.abstract,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.other,dc.description.sponsorship,dc.rights,dc.rights.uri,dc.description,dc.identifier.citation,dc.contributor,dc.relation.isversionof,dc.description.degree,dc.relation.isreplacedby,dc.relation.uri,dc.relation.replaces,dc.relation,dc.date.updated,dc.identifier,dc.relation.isreferencedby,dc.contributor.department,dc.type,dspace.orderedauthors,dc.date.submitted,dc.contributor.editor,dc.coverage.spatial,dc.coverage.temporal,eprint.grantNumber,dc.relation.requires,dc.language.rfc3066,dc.publisher,dc.relation.haspart,dc.identifier.oclc,year,research_paper_id
,"Evgeniou, Theodoros; Pontil, Massimiliano",2004-10-20T20:48:37Z,2004-10-20T20:48:37Z,2000-05-01,http://hdl.handle.net/1721.1/7169,AIM-1681; CBCL-184,A Note on the Generalization Performance of Kernel Classifiers with Margin,We present distribution independent bounds on the generalization misclassification performance of a family of kernel classifiers with margin. Support Vector Machine classifiers (SVM) stem out of this class of machines. The bounds are derived through computations of the $V_gamma$ dimension of a family of loss functions where the SVM one belongs to. Bounds that use functions of margin distributions (i.e. functions of the slack variables of SVM) are derived.,AIM-1681; CBCL-184,9 p.; 1149066 bytes; 253797 bytes,application/postscript; application/pdf,en_US,AI; MIT; Artificial Intelligence; missing data; mixture models; statistical learning; EM algorithm; neural networks; kernel classifiers; Support Vector Machine; regularization networks; statistical learning theory; V-gamma dimension.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,15
,"Kumar, Vinay; Poggio, Tomaso",2004-10-20T21:04:37Z,2004-10-20T21:04:37Z,2000-09-01,http://hdl.handle.net/1721.1/7264,AIM-1696; CBCL-191,Learning-Based Approach to Estimation of Morphable Model Parameters,"We describe the key role played by partial  evaluation in the Supercomputing Toolkit, a  parallel computing system for scientific  applications that effectively exploits the vast  amount of parallelism exposed by partial  evaluation. The Supercomputing Toolkit  parallel processor and its associated partial  evaluation-based compiler have been used  extensively by scientists at MIT, and have  made possible recent results in astrophysics  showing that the motion of the planets in our  solar system is chaotically unstable.",AIM-1696; CBCL-191,1037544 bytes; 218112 bytes,application/postscript; application/pdf,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,22
,"Kohler, Eddie; Chen, Benjie; Kaashoek, M. Frans; Morris, Robert T.; Poletto, Massimiliano",2023-03-29T15:33:47Z,2023-03-29T15:33:47Z,2000-08,https://hdl.handle.net/1721.1/149915,MIT-LCS-TR-812,Programming Language Techniques for Modular Router Configurations,"This paper applies programming language techniques to a high-level system description, both to optimize the system and to prove useful properties about it. The system in question is Click, a modular software router framework. Click routers are built from components called elements. Elements are written in C++, but the user creates a configuration using a simple, declarative data flow language. This language is amenable to data flow analysis and other conventional programming language techniques. Applied to a router configuration, these techniques have high-level results---for example, optimizing the router or verifying its high-level properties. This paper describes several programming language techniques that have been useful in practice, including optimization tools that remove virtual function calls from router definitions and remove redundant parts of adjacent routers. We also present performance results for an extensively optimized standards-compliant IP router. On conventional PC hardware, this router can forward up to 456,000 64-byte packets per second.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,19
"Liskov, Barbara H.; Morris, Robert T.","Ajmani, Sameer",2023-03-29T15:35:38Z,2023-03-29T15:35:38Z,2000-09,https://hdl.handle.net/1721.1/149948,MIT-LCS-TR-846,A Trusted Execution Platform for Multiparty Computation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,21
,"Fekete, Alan; Keidar, Idit",2023-03-29T14:42:00Z,2023-03-29T14:42:00Z,2000-11,https://hdl.handle.net/1721.1/149300,MIT-LCS-TM-610,A General Framework for Highly Available Services based on Group Communication,"We present a general framework for building highly available services. The framework uses group communication to coordinate a collection of servers. Our framework is configurable, in that one can adjust parameters such as the number of servers and the extent to which they are synchronized. We analyze the scenarios that can lead to the service availability being temporarily comprised, and we discuss the tradeoffs that govern the choice of parameters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,26
,"Riesenhuber, Maximilian; Poggio, Tomaso",2004-10-20T21:03:32Z,2004-10-20T21:03:32Z,2000-08-07,http://hdl.handle.net/1721.1/7231,AIM-1695; CBCL-190,Computational Models of Object Recognition in Cortex: A Review,"Understanding how biological visual systems perform object recognition is one of the ultimate goals in computational neuroscience. Among the biological models of recognition the main distinctions are between feedforward and feedback and between object-centered and view-centered. From a computational viewpoint the different recognition tasks - for instance categorization and identification - are very similar, representing different trade-offs between specificity and invariance. Thus the different tasks do not strictly require different classes of models. The focus of the review is on feedforward, view-based models that are supported by psychophysical and physiological data.",AIM-1695; CBCL-190,683319 bytes; 124521 bytes,application/postscript; application/pdf,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,20
"Amarasinghe, Saman; Agarwal, Anant","Barua, Rajeev",2023-03-29T15:32:37Z,2023-03-29T15:32:37Z,2000-01,https://hdl.handle.net/1721.1/149907,MIT-LCS-TR-799,Maps:  A Compiler-Managed Memory System for Software-Exposed Architectures,"Microprocessors must exploit both instruction-level parallelism (ILP) and memory parallelism for high performance.  Sophisticated techniques for ILP have boosted the ability of modern-day microprocessors to exploit ILP when available. Unfortunately, impro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,4
,"Andersen, David; Bansal, Deccuk; Curtis, Dorothy; Seshan, Srinivasan; Balakrishnan, Hari",2023-03-29T15:33:11Z,2023-03-29T15:33:11Z,2000-05,https://hdl.handle.net/1721.1/149912,MIT-LCS-TR-808,System Support for Bandwidth Management and Content Adaptation in Internet Applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,11
,"Snoeren, Alex C.; Andersen, David G.; Balakrishnan, Hari",2023-03-29T15:33:50Z,2023-03-29T15:33:50Z,2000-11,https://hdl.handle.net/1721.1/149916,MIT-LCS-TR-813,Fine-Grained Failover Using Connection Migration,"This paper presents a set of techniques for providing fine-grained failover of long-running connections across a distributed collection of replica servers, and is especially useful for fault-tolerant and load-balanced delivery of streaming media and telephony sessions. Our system achieves connection-level failover across both local- and wide-area server replication, without requiring a front-end transport- or application-layer switch. Our approach is enabled by the recently-developed end-to-end ``connection migration'' mechanism for transport protocols such as TCP, combined with a soft-state session synchronization protocol between replica servers.   The end result is a robust, fast, and fine-grained server failover mechanism that is transparent to both the client and server applications. We describe the details of our design and Linux implementation, as well as experiments with our implementation that show that this approach to failover is an attractive way to engineer robust systems for distributing long-running streams; connections suffer relatively low performance degradation even when server redirection occurs every few seconds, and overhead is negligible when compared to standard techniques. In particular, we observe the performance impact of migrating TCP connections depends on the length of time between migration and the most recent loss-recovery event.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,24
,"Serre, Thomas; Heisele, Bernd; Mukherjee, Sayan; Poggio, Tomaso",2004-10-20T21:03:34Z,2004-10-20T21:03:34Z,2000-09-01,http://hdl.handle.net/1721.1/7232,AIM-1697; CBCL-192,Feature Selection for Face Detection,We present a new method to select features for a face detection system using Support Vector Machines (SVMs). In the first step we reduce the dimensionality of the input space by projecting the data into a subset of eigenvectors. The dimension of the subset is determined by a classification criterion based on minimizing a bound on the expected error probability of an SVM. In the second step we select features from the SVM feature space by removing those that have low contributions to the decision function of the SVM.,AIM-1697; CBCL-192,7211022 bytes; 1034240 bytes,application/postscript; application/pdf,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,23
