dc.contributor.advisor,dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.description.abstract,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.other,dc.description.sponsorship,dc.rights,dc.rights.uri,dc.description,dc.identifier.citation,dc.contributor,dc.relation.isversionof,dc.description.degree,dc.relation.isreplacedby,dc.relation.uri,dc.relation.replaces,dc.relation,dc.date.updated,dc.identifier,dc.relation.isreferencedby,dc.contributor.department,dc.type,dspace.orderedauthors,dc.date.submitted,dc.contributor.editor,dc.coverage.spatial,dc.coverage.temporal,eprint.grantNumber,dc.relation.requires,dc.language.rfc3066,dc.publisher,dc.relation.haspart,dc.identifier.oclc,year,research_paper_id,text,predicted_topic
,"Papageorgiou, Constantine P.",2004-10-01T13:59:58Z,2004-10-01T13:59:58Z,2000-05-01,http://hdl.handle.net/1721.1/5566,AITR-1685; CBCL-186,A Trainable System for Object Detection in Images and Video Sequences,"This thesis presents a general, trainable  system for object detection in static images  and video sequences. The core system finds  a certain class of objects in static images of  completely unconstrained, cluttered scenes  without using motion, tracking, or handcrafted  models and without making any assumptions  on the scene structure or the number of  objects in the scene. The system uses a set  of training data of positive and negative  example images as input, transforms the  pixel images to a Haar wavelet  representation, and uses a support vector  machine classifier to learn the difference  between in-class and out-of-class patterns.  To detect objects in out-of-sample images,  we do a brute force search over all the  subwindows in the image. This system is  applied to face, people, and car detection with  excellent results. For our extensions to video  sequences, we augment the core static  detection system in several ways -- 1)  extending the representation to five frames, 2)  implementing an approximation to a Kalman  filter, and 3) modeling detections in an image  as a density and propagating this density  through time according to measured features.  In addition, we present a real-time version of  the system that is currently running in a  DaimlerChrysler experimental vehicle. As part  of this thesis, we also present a system that,  instead of detecting full patterns, uses a  component-based approach. We find it to be  more robust to occlusions, rotations in depth,  and severe lighting conditions for people  detection than the full body version. We also  experiment with various other representations  including pixels and principal components  and show results that quantify how the  number of features, color, and gray-level affect  performance.",AITR-1685; CBCL-186,128 p.; 72537763 bytes; 15910731 bytes,application/postscript; application/pdf,en_US,AI; MIT; Artificial Intelligence; object detection; pattern recognition; people detection; face detection; car detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,13,"a trainable system for object detection in images and video sequences this thesis presents a general, trainable  system for object detection in static images  and video sequences. the core system finds  a certain class of objects in static images of  completely unconstrained, cluttered scenes  without using motion, tracking, or handcrafted  models and without making any assumptions  on the scene structure or the number of  objects in the scene. the system uses a set  of training data of positive and negative  example images as input, transforms the  pixel images to a haar wavelet  representation, and uses a support vector  machine classifier to learn the difference  between in-class and out-of-class patterns.  to detect objects in out-of-sample images,  we do a brute force search over all the  subwindows in the image. this system is  applied to face, people, and car detection with  excellent results. for our extensions to video  sequences, we augment the core static  detection system in several ways -- 1)  extending the representation to five frames, 2)  implementing an approximation to a kalman  filter, and 3) modeling detections in an image  as a density and propagating this density  through time according to measured features.  in addition, we present a real-time version of  the system that is currently running in a  daimlerchrysler experimental vehicle. as part  of this thesis, we also present a system that,  instead of detecting full patterns, uses a  component-based approach. we find it to be  more robust to occlusions, rotations in depth,  and severe lighting conditions for people  detection than the full body version. we also  experiment with various other representations  including pixels and principal components  and show results that quantify how the  number of features, color, and gray-level affect  performance.",object recognition/detection
,"Evgeniou, Theodoros; Pontil, Massimiliano",2004-10-20T20:48:37Z,2004-10-20T20:48:37Z,2000-05-01,http://hdl.handle.net/1721.1/7169,AIM-1681; CBCL-184,A Note on the Generalization Performance of Kernel Classifiers with Margin,We present distribution independent bounds on the generalization misclassification performance of a family of kernel classifiers with margin. Support Vector Machine classifiers (SVM) stem out of this class of machines. The bounds are derived through computations of the $V_gamma$ dimension of a family of loss functions where the SVM one belongs to. Bounds that use functions of margin distributions (i.e. functions of the slack variables of SVM) are derived.,AIM-1681; CBCL-184,9 p.; 1149066 bytes; 253797 bytes,application/postscript; application/pdf,en_US,AI; MIT; Artificial Intelligence; missing data; mixture models; statistical learning; EM algorithm; neural networks; kernel classifiers; Support Vector Machine; regularization networks; statistical learning theory; V-gamma dimension.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,15,a note on the generalization performance of kernel classifiers with margin we present distribution independent bounds on the generalization misclassification performance of a family of kernel classifiers with margin. support vector machine classifiers (svm) stem out of this class of machines. the bounds are derived through computations of the $v_gamma$ dimension of a family of loss functions where the svm one belongs to. bounds that use functions of margin distributions (i.e. functions of the slack variables of svm) are derived.,high performance computing
,"Sezgin, Tevfik Metin",2004-10-20T20:28:30Z,2004-10-20T20:28:30Z,2001-05-01,http://hdl.handle.net/1721.1/7077,AITR-2001-009,Feature Point Detection and Curve Approximation for Early Processing of Freehand Sketches,"Freehand sketching is both a natural and crucial part of design, yet is unsupported by current design automation software. We are working to combine the flexibility and ease of use of paper and pencil with the processing power of a computer to produce a design environment that feels as natural as paper, yet is considerably smarter. One of the most basic steps in accomplishing this is converting the original digitized pen strokes in the sketch into the intended geometric objects using feature point detection and approximation. We demonstrate how multiple sources of information can be combined for  feature detection in strokes and apply this technique using two approaches to  signal processing, one using simple average based thresholding and a second  using scale space.",AITR-2001-009,82 p.; 10553461 bytes; 5067939 bytes,application/postscript; application/pdf,en_US,AI; Feature Point Detection; Curve Approximation; Freehand Sketching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,55,"feature point detection and curve approximation for early processing of freehand sketches freehand sketching is both a natural and crucial part of design, yet is unsupported by current design automation software. we are working to combine the flexibility and ease of use of paper and pencil with the processing power of a computer to produce a design environment that feels as natural as paper, yet is considerably smarter. one of the most basic steps in accomplishing this is converting the original digitized pen strokes in the sketch into the intended geometric objects using feature point detection and approximation. we demonstrate how multiple sources of information can be combined for  feature detection in strokes and apply this technique using two approaches to  signal processing, one using simple average based thresholding and a second  using scale space.",object recognition/detection
,"Banks, Jessica",2004-10-20T20:28:07Z,2004-10-20T20:28:07Z,2001-05-01,http://hdl.handle.net/1721.1/7070,AITR-2001-005,Design and Control of an Anthropomorphic Robotic Finger with Multi-point Tactile Sensation,"The goal of this research is to develop the prototype of a tactile sensing platform for anthropomorphic manipulation research. We investigate this problem through the fabrication and simple control of a planar 2-DOF robotic finger inspired by anatomic consistency, self-containment, and adaptability. The robot is equipped with a tactile sensor array based on optical transducer technology whereby localized changes in light intensity within an illuminated foam substrate correspond to the distribution and magnitude of forces applied to the sensor surface plane.   The integration of tactile perception is a key component in realizing robotic systems which organically interact with the world. Such natural behavior is characterized by compliant performance that can initiate internal, and respond to external, force application in a dynamic environment. However, most of the current manipulators that support some form of haptic feedback either solely derive proprioceptive sensation or only limit tactile sensors to the mechanical fingertips. These constraints are due to the technological challenges involved in high resolution, multi-point tactile perception.  In this work, however, we take the opposite approach, emphasizing the role of full-finger tactile feedback in the refinement of manual capabilities. To this end, we propose and implement a control framework for sensorimotor coordination analogous to infant-level grasping and fixturing reflexes. This thesis details the mechanisms used to achieve these sensory, actuation, and control objectives, along with the design philosophies and biological influences behind them. The results of behavioral experiments with a simple tactilely-modulated control scheme are also described. The hope is to integrate the modular finger into an %engineered analog of the human hand with a complete haptic system.",AITR-2001-005,88 p.; 17699541 bytes; 1837341 bytes,application/postscript; application/pdf,en_US,AI; tactile sensation; finger; robot; anthropomorphic; skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,56,"design and control of an anthropomorphic robotic finger with multi-point tactile sensation the goal of this research is to develop the prototype of a tactile sensing platform for anthropomorphic manipulation research. we investigate this problem through the fabrication and simple control of a planar 2-dof robotic finger inspired by anatomic consistency, self-containment, and adaptability. the robot is equipped with a tactile sensor array based on optical transducer technology whereby localized changes in light intensity within an illuminated foam substrate correspond to the distribution and magnitude of forces applied to the sensor surface plane.   the integration of tactile perception is a key component in realizing robotic systems which organically interact with the world. such natural behavior is characterized by compliant performance that can initiate internal, and respond to external, force application in a dynamic environment. however, most of the current manipulators that support some form of haptic feedback either solely derive proprioceptive sensation or only limit tactile sensors to the mechanical fingertips. these constraints are due to the technological challenges involved in high resolution, multi-point tactile perception.  in this work, however, we take the opposite approach, emphasizing the role of full-finger tactile feedback in the refinement of manual capabilities. to this end, we propose and implement a control framework for sensorimotor coordination analogous to infant-level grasping and fixturing reflexes. this thesis details the mechanisms used to achieve these sensory, actuation, and control objectives, along with the design philosophies and biological influences behind them. the results of behavioral experiments with a simple tactilely-modulated control scheme are also described. the hope is to integrate the modular finger into an %engineered analog of the human hand with a complete haptic system.",robotics
,"Ucko, Aaron Mark",2004-10-20T20:28:09Z,2004-10-20T20:28:09Z,2001-05-01,http://hdl.handle.net/1721.1/7071,AITR-2001-006,Predicate Dispatching in the Common Lisp Object System,"I have added support for predicate dispatching, a powerful generalization of other dispatching mechanisms, to the Common Lisp Object System (CLOS). To demonstrate its utility, I used predicate dispatching to enhance Weyl, a computer algebra system which doubles as a CLOS library. My result is Dispatching-Enhanced Weyl (DEW), a computer algebra system that I have demonstrated to be well suited for both users and programmers.",AITR-2001-006,74 p.; 2463955 bytes; 977046 bytes,application/postscript; application/pdf,en_US,AI; predicate dispatching; Common Lisp; CLOS; Weyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,57,"predicate dispatching in the common lisp object system i have added support for predicate dispatching, a powerful generalization of other dispatching mechanisms, to the common lisp object system (clos). to demonstrate its utility, i used predicate dispatching to enhance weyl, a computer algebra system which doubles as a clos library. my result is dispatching-enhanced weyl (dew), a computer algebra system that i have demonstrated to be well suited for both users and programmers.",language models
,"Ho, Purdy",2004-10-20T20:48:40Z,2004-10-20T20:48:40Z,2001-05-31,http://hdl.handle.net/1721.1/7171,AIM-2001-010; CBCL-197,Rotation Invariant Real-time Face Detection and Recognition System,"In this report, a face recognition system that is capable of detecting and recognizing frontal and rotated faces was developed. Two face recognition methods focusing on the aspect of pose invariance are presented and evaluated - the whole face approach and the component-based approach. The main challenge of this project is to develop a system that is able to identify faces under different viewing angles in realtime. The development of such a system will enhance the capability and robustness of current face recognition technology.  The whole-face approach recognizes faces by classifying a single feature vector consisting of the gray values of the whole face image. The component-based approach  first locates the facial components and extracts them. These components are normalized and combined into a single feature vector for classification. The Support Vector Machine (SVM) is used as the classifier for both approaches. Extensive tests with respect to the robustness against pose changes are performed on a  database that includes faces rotated up to about 40 degrees in depth. The component-based approach clearly outperforms the whole-face approach on all tests. Although this approach isproven to be more reliable, it is still too slow for real-time applications. That is the reason why a real-time face recognition system using the whole-face approach is implemented to recognize people in color video sequences.",AIM-2001-010; CBCL-197,24 p.; 12501066 bytes; 896203 bytes,application/postscript; application/pdf,en_US,AI; vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,60,"rotation invariant real-time face detection and recognition system in this report, a face recognition system that is capable of detecting and recognizing frontal and rotated faces was developed. two face recognition methods focusing on the aspect of pose invariance are presented and evaluated - the whole face approach and the component-based approach. the main challenge of this project is to develop a system that is able to identify faces under different viewing angles in realtime. the development of such a system will enhance the capability and robustness of current face recognition technology.  the whole-face approach recognizes faces by classifying a single feature vector consisting of the gray values of the whole face image. the component-based approach  first locates the facial components and extracts them. these components are normalized and combined into a single feature vector for classification. the support vector machine (svm) is used as the classifier for both approaches. extensive tests with respect to the robustness against pose changes are performed on a  database that includes faces rotated up to about 40 degrees in depth. the component-based approach clearly outperforms the whole-face approach on all tests. although this approach isproven to be more reliable, it is still too slow for real-time applications. that is the reason why a real-time face recognition system using the whole-face approach is implemented to recognize people in color video sequences.",face detection
,"Nagpal, Radhika",2004-10-20T20:28:28Z,2004-10-20T20:28:28Z,2001-06-01,http://hdl.handle.net/1721.1/7076,AITR-2001-008,Programmable Self-Assembly: Constructing Global Shape using Biologically-inspire,"In this thesis I present a language for  instructing a sheet of identically-programmed, flexible, autonomous  agents (``cells'') to assemble themselves into a predetermined  global shape, using local interactions. The global shape is described  as a folding construction on a continuous sheet, using a set of axioms  from paper-folding (origami). I provide a means of automatically  deriving the cell program, executed by all cells, from the global  shape description.  With this language, a wide variety of global  shapes and patterns can be synthesized, using only local interactions  between identically-programmed cells. Examples  include flat layered shapes, all plane Euclidean constructions, and a  variety of tessellation patterns. In contrast to approaches based on  cellular automata or evolution, the cell program is directly derived  from the global shape description and is composed from a small  number of biologically-inspired primitives: gradients, neighborhood query,  polarity inversion, cell-to-cell contact and flexible folding. The cell  programs are robust, without relying on regular cell  placement, global coordinates, or synchronous operation and can tolerate a  small amount of random cell death. I show that an average cell  neighborhood of 15 is sufficient to reliably self-assemble complex  shapes and geometric patterns on randomly distributed cells.  The language provides many insights into the  relationship between local and global descriptions of behavior,  such as the advantage of constructive languages, mechanisms for  achieving global robustness, and mechanisms for achieving scale-independent shapes from a single cell program. The language suggests a  mechanism by which many related shapes can be created by the same cell  program, in the manner of D'Arcy Thompson's famous coordinate  transformations. The thesis illuminates how complex morphology and  pattern can emerge from local interactions, and how one can engineer  robust self-assembly.",AITR-2001-008,118 p.; 27221557 bytes; 1541086 bytes,application/postscript; application/pdf,en_US,AI; self-organisation; multi agent; developmental biology; amorphous computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,61,"programmable self-assembly: constructing global shape using biologically-inspire in this thesis i present a language for  instructing a sheet of identically-programmed, flexible, autonomous  agents (``cells'') to assemble themselves into a predetermined  global shape, using local interactions. the global shape is described  as a folding construction on a continuous sheet, using a set of axioms  from paper-folding (origami). i provide a means of automatically  deriving the cell program, executed by all cells, from the global  shape description.  with this language, a wide variety of global  shapes and patterns can be synthesized, using only local interactions  between identically-programmed cells. examples  include flat layered shapes, all plane euclidean constructions, and a  variety of tessellation patterns. in contrast to approaches based on  cellular automata or evolution, the cell program is directly derived  from the global shape description and is composed from a small  number of biologically-inspired primitives: gradients, neighborhood query,  polarity inversion, cell-to-cell contact and flexible folding. the cell  programs are robust, without relying on regular cell  placement, global coordinates, or synchronous operation and can tolerate a  small amount of random cell death. i show that an average cell  neighborhood of 15 is sufficient to reliably self-assemble complex  shapes and geometric patterns on randomly distributed cells.  the language provides many insights into the  relationship between local and global descriptions of behavior,  such as the advantage of constructive languages, mechanisms for  achieving global robustness, and mechanisms for achieving scale-independent shapes from a single cell program. the language suggests a  mechanism by which many related shapes can be created by the same cell  program, in the manner of d'arcy thompson's famous coordinate  transformations. the thesis illuminates how complex morphology and  pattern can emerge from local interactions, and how one can engineer  robust self-assembly.",language models
,"Alvira, Mariano; Paris, Jim; Rifkin, Ryan",2004-10-20T21:03:36Z,2004-10-20T21:03:36Z,2001-07-01,http://hdl.handle.net/1721.1/7234,AIM-2001-012; CBCL-199,The Audiomomma Music Recommendation System,"We design and implement a system that recommends musicians to listeners. The basic idea is to keep track of what artists a user listens to, to find other users with similar tastes, and to recommend other artists that these similar listeners enjoy. The system utilizes a client-server architecture, a web-based interface, and an SQL database to store and process information. We describe Audiomomma-0.3, a proof-of-concept implementation of the above ideas.",AIM-2001-012; CBCL-199,10 p.; 2186561 bytes; 257129 bytes,application/postscript; application/pdf,en_US,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,63,"the audiomomma music recommendation system we design and implement a system that recommends musicians to listeners. the basic idea is to keep track of what artists a user listens to, to find other users with similar tastes, and to recommend other artists that these similar listeners enjoy. the system utilizes a client-server architecture, a web-based interface, and an sql database to store and process information. we describe audiomomma-0.3, a proof-of-concept implementation of the above ideas.",language models
,"Chan, Nicholas T.; Dahan, Ely; Lo, Andrew W.; Poggio, Tomaso",2004-10-20T21:03:35Z,2004-10-20T21:03:35Z,2001-07-01,http://hdl.handle.net/1721.1/7233,AIM-2001-013; CBCL-200,Experimental Markets for Product Concepts,"Market prices are well known to efficiently collect and aggregate diverse information regarding the value of commodities and assets. The role of markets has been particularly suitable to pricing financial securities. This article provides an alternative application of the pricing mechanism to marketing research - using pseudo-securities markets to measure preferences over new product concepts. Surveys, focus groups, concept tests and conjoint studies are methods traditionally used to measure individual and aggregate preferences. Unfortunately, these methods can be biased, costly and time-consuming to conduct. The present research is motivated by the desire to efficiently measure preferences and more accurately predict new product success, based on the efficiency and incentive-compatibility of security trading markets. The article describes a novel market research method, pro-vides insight into why the method should work, and compares the results of several trading experiments against other methodologies such as concept testing and conjoint analysis.",AIM-2001-013; CBCL-200,3069806 bytes; 287156 bytes,application/postscript; application/pdf,en_US,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,64,"experimental markets for product concepts market prices are well known to efficiently collect and aggregate diverse information regarding the value of commodities and assets. the role of markets has been particularly suitable to pricing financial securities. this article provides an alternative application of the pricing mechanism to marketing research - using pseudo-securities markets to measure preferences over new product concepts. surveys, focus groups, concept tests and conjoint studies are methods traditionally used to measure individual and aggregate preferences. unfortunately, these methods can be biased, costly and time-consuming to conduct. the present research is motivated by the desire to efficiently measure preferences and more accurately predict new product success, based on the efficiency and incentive-compatibility of security trading markets. the article describes a novel market research method, pro-vides insight into why the method should work, and compares the results of several trading experiments against other methodologies such as concept testing and conjoint analysis.",privacy/ethics
,"Russell, Richard; Sinha, Pawan",2004-10-20T21:03:39Z,2004-10-20T21:03:39Z,2001-07-01,http://hdl.handle.net/1721.1/7235,AIM-2001-014; CBCL-201,Perceptually-based Comparison of Image Similarity Metrics,"The image comparison operation ??sessing how well one image matches another ??rms a critical component of many image analysis systems and models of human visual processing. Two norms used commonly for this purpose are L1 and L2, which are specific instances of the Minkowski metric. However, there is often not a principled reason for selecting one norm over the other. One way to address this problem is by examining whether one metric better captures the perceptual notion of image similarity than the other. With this goal, we examined perceptual preferences for images retrieved on the basis of the L1 versus the L2 norm. These images were either small fragments without recognizable content, or larger patterns with recognizable content created via vector quantization. In both conditions the subjects showed a consistent preference for images matched using the L1 metric. These results suggest that, in the domain of natural images of the kind we have used, the L1 metric may better capture human notions of image similarity.",AIM-2001-014; CBCL-201,13 p.; 9714300 bytes; 2612761 bytes,application/postscript; application/pdf,en_US,AI; Image matching; vector quantization; Minkowski metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,65,"perceptually-based comparison of image similarity metrics the image comparison operation ??sessing how well one image matches another ??rms a critical component of many image analysis systems and models of human visual processing. two norms used commonly for this purpose are l1 and l2, which are specific instances of the minkowski metric. however, there is often not a principled reason for selecting one norm over the other. one way to address this problem is by examining whether one metric better captures the perceptual notion of image similarity than the other. with this goal, we examined perceptual preferences for images retrieved on the basis of the l1 versus the l2 norm. these images were either small fragments without recognizable content, or larger patterns with recognizable content created via vector quantization. in both conditions the subjects showed a consistent preference for images matched using the l1 metric. these results suggest that, in the domain of natural images of the kind we have used, the l1 metric may better capture human notions of image similarity.",image classification
